Student
Amalia Wulf
Prof. Roy Blümel
Dipl.-Ing. Mirella Franke MBA.
Dipl.-Ing. Sigrid Hahn
Otmar Ditschlerin
Catharina auch Schlauchin
Katharina Etzler
Herr Klaus Peter Krause B.A.
Univ.Prof. Fatima Hölzenbecher
Regine Häring
Brita Roht MBA.
Ditmar Adolph
Fatima Rörricht
Angelica Lindau-Heß
Dipl.-Ing. Bodo Junk B.Eng.
Madeleine Thanel MBA.
Josef Butte-Lindau
Gretchen Pohl
Dr. Klothilde Lachmann B.A.
Milena Weitzel-Steinberg
Katherina Ruppert
Raisa Scholtz
Sylvie Neuschäfer
Georgios Knappe-Mälzer
Dierk Beier
Lilly Beckmann B.Sc.
Rocco Rosemann B.A.
Geraldine Reising MBA.
André Kroker
Prof. Gerda Barkholz MBA.
Beatrix Möchlichen
Martina Keudel
Hildegund Gunpf
Gesche Trub
Rose Beer
Imelda Geißler
Julia Heinrich
Prof. Sandy Butte
Joachim Kramer
Svenja Salz
Frau Yvonne Trupp B.A.
Evangelos Beyer
Lena Wende
Sibilla Eimer
Nikolaus Rosenow
Prof. Folker Trupp B.Sc.
Jeannine Gieß
Frithjof Gertz
Bodo Finke
Madlen Geißler
Marek Ackermann
Dr. Kristine Tschentscher
Theda Stumpf B.Eng.
Gordon Lehmann
Ahmet Stumpf
Nils Hering-Loos
Hansjoachim Salz-Junk
Markus Eimer
Dipl.-Ing. Claudia Häring
Tamara Bender MBA.
Tülay Fiebig
Ildiko Mitschke B.Sc.
Hans Georg Niemeier
Univ.Prof. Alexa Junitz B.Eng.
Dipl.-Ing. Bertram Gieß MBA.
Marek Walter MBA.
Czeslaw Bohnbach B.Eng.
Herr Imre Kohl
Annie Langern
Frau Gertrud Jüttner
Prof. Katarzyna Gehringer B.Eng.
Anne-Katrin Höfig
Yusuf Nette B.Sc.
Reinhold Striebitz
Eugen Schottin
Dr. Lieselotte Blümel B.A.
Mirco Girschner
Gundula Weitzel-Liebelt
Dr. Natascha Trüb
Univ.Prof. Marjan Graf B.Sc.
Vito Davids-Schwital
Hansjürgen Weitzel
Christiana Bauer
Kai-Uwe Köhler
Dina Schmiedt MBA.
Prof. Lieschen Bohlander
Rainer Conradi
Konstantin Eimer-Lehmann
Isabell Briemer
Pasquale Karge
Kenneth Kramer
Dr. Myriam Häring
Univ.Prof. Ivonne Haase B.Sc.
Darius Loos
Gisa Dörr B.Eng.
Kristiane Hermann
Waltrud Scholl
Dipl.-Ing. Till Säuberlich
Univ.Prof. Francisco Tröst B.Eng.
Cathleen Mies MBA.
Heimo Förster
Kay-Uwe Barkholz
Angelika Roskoth
Silvester Etzold
Hedi Bärer
Dr. Leila Gunpf B.Sc.
Prof. Attila Werner B.A.
Krzysztof Mülichen
Dr. Ehrhard Gieß B.Sc.
Prof. Guenther Margraf B.Eng.
Jelena Löffler
Jörgen Putz B.A.
Kati Koch II
Heiner Pieper
Bodo Ullrich
Tassilo Gehringer
Edith Kostolzin
Veli Junitz
Marietta Heinrich
Geraldine Eckbauer
Prof. Henryk Kitzmann
Nancy Hartmann-Schottin
Kunigunda Fischer
Marta Roht B.Sc.
Ernest Müller
Karlfried Müller
Hartmuth Eberhardt
Liesbeth Junck-Benthin
Alban Dippel
Hendrik Bolzmann-Henschel
Nadja Hethur
Volker Süßebier-Staude
Ing. Helmuth Bachmann B.Sc.
Gerti Ullrich
Univ.Prof. Antoinette Wende B.A.
Milos Kuhl B.Sc.
Miroslaw auch Schlauchin
Hans-J. Atzler
Gerda Mans
Walentina Eckbauer
Aleksandra Stey MBA.
