Student
Herr Jens Ritter B.Eng.
Malgorzata Pieper
Josephine Nerger-Mende
Maya Lindner-Zimmer
Milan Weiß-Schuchhardt
Edeltrud Kambs
Frida Süßebier
Dr. Leila Gunpf B.Sc.
Sylvia Schäfer
Prof. Gunther Klingelhöfer
Univ.Prof. Romana Hiller
Prof. Linda Beier
Lorenzo Adler-Trommler
Joana Wähner
Hagen Weimer
Inge Kabus
Mohammed Geißler
Bruno Wagenknecht
Prof. Jonas Scholtz
Marie-Louise Hauffer
Kaspar Trub
Friedericke Roht
Liselotte Lindau
Hans-Karl Christoph-Schleich
Arndt Weinhold MBA.
Bianka Holsten
Anne Zorbach
Dipl.-Ing. Claas Ladeck
Ignaz Schottin
Frau Gülay Rogner B.A.
Univ.Prof. Fatima Hiller B.A.
Heinz-Willi Holt
Reinhold Hellwig-Mülichen
Svetlana Bonbach B.A.
Prof. Annita Putz
Domenico Gerlach-Kramer
Dipl.-Ing. Jaroslav Henk
Manuel Pärtzelt
Caroline Haering MBA.
Dr. Ingelore Winkler
Dipl.-Ing. Edgar Gehringer B.Eng.
Simon Meyer
Volker Adler
Karlfried Müller
Josip Hiller-Hauffer
Christin Hein B.Sc.
Ing. Alla Schottin B.A.
Karen Grein Groth-Dörschner
Lucia Hermighausen
Univ.Prof. Waldtraut Riehl
Evelyn Ortmann
Frau Trudi Wähner B.A.
Karlfried Sorgatz
Verena Höfig
Dr. Caroline Ortmann
Yusuf Seifert
Fanny Zänker-Hein
Prof. Ullrich Rosenow B.A.
Ignatz Budig
Lilly Seifert
Bernard Karge
Reni Roht-Binner
Julian Dussen van B.Eng.
Gina Killer
Canan Heinrich
Prof. Heinz-Willi Lindau MBA.
Gaetano Lübs
Prof. Bela Noack
Gunnar Junk
Andree Wilmsen B.Eng.
Milica Reichmann
Gerta Hartmann
Berit Pärtzelt
Hildegund Gunpf
Dr. Janos Reising
Chantal Kade
Nico Möchlichen
Johann Reuter
Natali Löffler
Claudius Rust-Mans
Andreas Trapp
Piotr Schaaf
Ulrike Klemt B.Sc.
Bekir Gumprich-Kabus
Wiltrud Christoph
Friedrich-Wilhelm Holsten
Dr. Fedor Plath B.Sc.
Dietlind Albers
Dr. Aribert Sontag
Trude Scholtz B.A.
Herr Vladimir Zimmer MBA.
Gesa Jäntsch
Lene Sauer
Herr Andy Förster B.A.
Patrick Haering
Gabriel Roskoth
Irmingard Meyer MBA.
Mohammad Karz MBA.
Mattias Kensy
Undine Jopich
Valeria Finke
Ing. Sebastian Killer B.A.
Dr. Franz-Peter Löffler
Peggy Haering B.Sc.
Christl Wähner
Robin Junk-Henk
Bernhardine Mangold
Monja Siering
Dr. Ljiljana Henck MBA.
Marianna Geisler
Dr. Lina Hiller
Dr. Gerard Dörr
Herr Marian Schlosser B.A.
Brit Heidrich B.A.
Nadia Steckel
Anton Drubin
Ing. Christina Beckmann B.Eng.
Aldo Kusch-Klemm
Justine Patberg-Metz
Ilija Hofmann
Univ.Prof. Ivonne Haase B.Sc.
Marietta Geißler
Theodor Niemeier
Wilma Röhrdanz
Elisabeth Wieloch-Boucsein
Iris Kraushaar B.Sc.
Laila Trüb
Inka Hornig B.A.
Pius Gierschner-Weitzel
Zbigniew Schleich-Huhn
Edda Henschel
Dipl.-Ing. Emmy Börner
Maurice Steckel
Regine Häring
Burckhard Caspar
Annemie Herrmann
Alexandre Caspar
Frau Edeltraud Radisch B.A.
Aziz Bauer MBA.
Dörte Warmer
Ludwina Mohaupt
Dipl.-Ing. Halina Bender B.A.
Prof. Heinz-Joachim Seidel
Dr. Otmar Linke MBA.
Gerold Schuchhardt B.Sc.
Ludmila Löffler
Riza Römer
Marie-Therese Schleich
Herta Keudel
Frau Hedwig Wirth
Frau Mira Klemm
Abbas Segebahn
Micha Eckbauer B.Sc.
Ralf-Peter Schacht
Jolanta Kühnert
Ralph Jacobi Jäckel
Herr Süleyman Karge MBA.
Claudio Bolnbach
Stavros Vollbrecht-Geißler
Irmtrud Textor B.Eng.
Prof. Freya Biggen B.Eng.
Tino Wagenknecht B.Eng.
Sara Heuser
Rebecca Oderwald
Jiri Kambs
Ing. Britt Trupp B.Eng.
Natalie Werner
Ing. Nadeschda Bohlander
Alicia van der Dussen-Patberg
Pierre Köster
Dr. Hans Dieter Mude
Sven Walter
Andrew Schlosser
Helen Tschentscher
Univ.Prof. Michaele Heser MBA.
Olga Krein
Gloria Schulz-Huhn
Bertram Eigenwillig
Heinrich Putz B.Sc.
Beata Stahr
Stella Mülichen
Univ.Prof. Lissi Schomber
Ann-Kathrin Mühle
Ivana Mielcarek
Sybilla Striebitz
Frank-Peter Bien
Jonas Adler
Ottilie auch Schlauchin B.Eng.
Wieslaw Käster
Gerda Kitzmann
Mirja Dehmel B.A.
Elke Huhn
Leszek Wagner-Häring
Irmengard Röhrdanz
Dr. Heinz Dieter Dörschner
