Student
Anthony Patberg
Oxana Linke B.Eng.
Falko Kusch B.A.
Siegried Caspar B.A.
Artur Budig
Alexej Kohl
Cemal Klingelhöfer-Otto
Jost Gröttner-Mülichen
Janet Kade
Univ.Prof. Alois Jähn B.Eng.
Anette Anders
Frau Monique Wesack B.Eng.
Fatima Weinhage-Boucsein
Heinz-Josef Jähn MBA.
Monja Siering
Alexandra Butte
Dominic Möchlichen
Kathrin Beckmann-Heinz
Manuel Pärtzelt
Serge Grein Groth
Willibald Gude
Ludmila Stadelmann
Michaela Kade
Paula Stroh
Darius Loos
Dr. Anika auch Schlauchin B.Sc.
Uli Renner
Elisabeth Käster
Jurij Bärer
Erich Putz
Herr Oliver Pechel
René Kruschwitz
James Kostolzin-Staude
Victor Seifert
Dorina Dippel
Anny Dietz
Herr Baptist Klotz
Fredo Bärer
Freia Hamann-Eckbauer
Alicia van der Dussen-Patberg
Cathleen Gude
Rose Henschel
Dipl.-Ing. Ante Rust
Ramona Römer
Reingard Geisel
Marie-Therese Schleich
Prof. Klaas Geißler B.A.
Marietta Geißler
Univ.Prof. Cord Becker
Theo Neuschäfer
Valerie Mangold
Frederik Rust
Irmgard Pieper B.Eng.
Ing. Willibert Steckel
Ivonne Hahn
Krista Bohnbach
Wilfried Radisch
Robin Flantz
Adalbert Ullmann
Gerdi Neureuther-Mälzer
Ing. Antonius Jacobi Jäckel MBA.
Guenter Kohl-Nette
Traudl Gierschner
Kunigunda Reising
Dr. Alena Hövel
André Segebahn
Prof. Ferdinand Gertz B.Sc.
Siegfried Knappe
Frau Anja Haering
Anne-Kathrin Bachmann
Maya Conradi
Detlev Heintze
Stefano Huhn
Univ.Prof. Gustav Sölzer
Aleksej Kühnert B.A.
Mandy Scholl-Bohnbach
Michaela Döhn
Eleni Mühle MBA.
Joana Zimmer B.A.
Prof. Helmut Hellwig MBA.
Justus Schleich-Drewes
Dr. Vitus Franke
Heiderose Lange-Schüler
Christof Ditschlerin
Heinz-Walter Juncken
Lilo Scholz
Vinko Schmiedecke-Hendriks
Elenore Hofmann-Aumann
Anatoli Caspar
Lutz Kobelt
Reinhold Schäfer-Eimer
Henriette Pohl
Dipl.-Ing. Lilly Boucsein B.Sc.
Aleksander Wagner-Barth
Ing. Adam Klemt MBA.
Ilja Wende
Adalbert Boucsein
Irmela Höfig B.Sc.
Prof. Kathy Warmer MBA.
Adrian Killer
Nadia Rosenow
Marcella Franke B.A.
Daniele Hering
Zdravko Jacob
Frau Zdenka Zimmer
Sigmar Briemer
Marlen Gute-Hauffer
Malte Bohlander
Melanie Segebahn
Tilman Eberhardt
Ing. Tillmann Geisel
Ing. Jaqueline Wende B.A.
Ehrenfried Seidel MBA.
Teresa Schomber B.A.
Canan Heinrich
Gina Schmidtke
Maren Bachmann-Stumpf
Luzie Schäfer
Kuno Kreusel
Elena Gotthard
Helen Tschentscher
Heinz-Peter Butte B.Eng.
Hans-Karl Bauer B.Eng.
Ing. Carmine Kroker
Univ.Prof. Olivia Gnatz MBA.
Dagobert Bohnbach
Gerd Beckmann-Gnatz
Elfie Kreusel
Volkhard Köster-Jüttner
Karl-August Liebelt-Köhler
Ing. Birgid Möchlichen B.A.
Ing. Jonas Schaaf
Mehdi Bähr B.A.
Dr. Isabell Trupp
Constantin Jacob B.Sc.
Matthias Dowerg
Karl-Wilhelm Geisel
Marie-Theres Pechel
Patrizia Spieß
Zita Butte
Hans Dieter Fiebig B.Eng.
Edith Hettner
Jens-Peter Graf-Schmidt
Friedrich Bolnbach-Gnatz
Dr. Semra Wagenknecht
Daniele Seip
Prof. Heinz-Joachim Seidel
Kristiane Steckel
Lieschen Röhricht MBA.
