Student
Sarina Dobes
Dipl.-Ing. Nathalie Bender
Frau Käte Zahn
Dipl.-Ing. Rouven Kallert MBA.
Hans Georg Gorlitz-Schäfer
Mandy Huhn B.A.
Kay-Uwe Pölitz
Sandro Schmiedt
Denny Salz
Bogdan Löffler
Ruth Barkholz-Koch II
Osman Schmidtke
Hanne-Lore Kraus
Stefano Atzler
Laila Kranz
Anne-Kathrin Geisler
Gregor Dippel
Heino Lindau B.Eng.
Ing. Emmy Beer
Ferenc Trüb B.A.
Gotthold Krause
Damian Dörr
Ing. Leonid Budig B.A.
Anika Binner-Löffler
Luka Weimer-Beyer
Dorothea Kroker-Misicher
Dipl.-Ing. Dunja Hoffmann
Dr. Samuel Tröst
Anna Linke
Gottlob Seip
Herr Burkhardt Bauer B.Eng.
Mohammad Karz MBA.
Grete Rudolph
Klaus-Werner Koch II B.Sc.
Dennis Beer-Striebitz
Marie-Theres Trupp
Mina auch Schlauchin
Univ.Prof. Mirella Peukert
Verena Gute-Trüb
Adelinde Geisler
Andres Sager
Sieghard Sorgatz
Luise Gertz-Fliegner
Margot Schäfer B.Eng.
Frau Monique Wesack B.Eng.
Anne-Katrin Rogge
Juan Noack
Mariusz Stadelmann-Jähn
Abbas Segebahn
Isa Rose
Eugenia Riehl
Herr Gordon Meister
Dr. Carmela Rudolph
Inna Winkler
Liliane Gröttner-Albers
Univ.Prof. Lissi Schomber
Kornelius Winkler
Frau Antonina Kitzmann
Helga Franke
Christiana Pohl
Dr. Irmtraut Gnatz B.Eng.
Herr Dimitri Mohaupt B.A.
Prof. Ahmad Rörricht
Aurelia Dussen van MBA.
Mara Vollbrecht B.A.
Franz Josef Hoffmann B.Sc.
Diethard Trommler
Annelise Schwital
Heinz-Wilhelm Werner
Franz-Peter Preiß B.A.
Annie Schlosser
Gordana Budig B.A.
Nada Dowerg-Jähn
Frau Rosalinde Mitschke B.A.
Karl-Wilhelm Meyer
Nikolai Mohaupt
Ing. Horst-Dieter Seip
Herr Hanno Hesse
Univ.Prof. Mira Heser B.Sc.
Domenico Kade B.A.
Annelene Steinberg
Friederike Sölzer-Hentschel
Philomena Salz
Leo Roskoth B.Sc.
Univ.Prof. Dolores Jäkel
Joachim Löffler-Riehl
Käthi Lübs
Bruni Freudenberger
Tülay Hettner-Ebert
Silke Heydrich-Albers
Frau Mirjana Baum B.Sc.
Frau Delia Hellwig B.Sc.
Prof. Tina Ullrich
Ben Schomber
Reimar Hahn-Neureuther
Irmgard Hövel
Niko Pergande
Univ.Prof. Undine Jungfer
Herma Geisler-Beckmann
Mehdi Neureuther
Folker Otto
Flora Etzold
Gabi Meister
Gabi Klapp
Leokadia Putz
Dipl.-Ing. Rolf Tröst B.Sc.
Univ.Prof. Florentine Schomber B.Eng.
Rudi Schacht
Martina Keudel
Franz-Josef Schmidtke
Maximilian Jockel
Ing. Erica Schottin
Dipl.-Ing. Walburga Steckel
Viviane Fritsch-Martin
Hildegund Gunpf
Ellen auch Schlauchin
Mandy Trüb
Timo Spieß
Bogdan Pohl
Margarete Linke
Sonja Löchel
Dr. Diedrich Atzler
Albert Butte
Gesche Kühnert
Edit Rädel
Prof. Ildiko Adler MBA.
Tülay Schmidtke B.Sc.
Dr. Krista Wirth
Osman Salz MBA.
Ing. Hatice Gehringer
Dr. Baldur Johann B.Eng.
Klaus-Dieter Knappe
Theodor Mangold
Süleyman Baum
Zdravko Staude B.Sc.
Brigitte Geisler
Alena Steuer
Vassilios Trommler-Gieß
Oliver Kohl
Ing. Stanislaw Weihmann B.A.
Helmtrud Börner B.A.
Filiz Bähr
Conrad Killer
Mike Sölzer
Univ.Prof. Samira Drewes
Gero Schomber
Lili Döhn-Margraf
Clemens Barth
Dr. Elly Junk
Laura Beier
Elisa Karz-Rohleder
Dipl.-Ing. Anneliese Kühnert
Hans-Heinrich Schüler-Seip
Burkhardt Holt
Carl Schmiedt
Felix Hölzenbecher B.A.
Friedericke Lehmann B.Sc.
Prof. Mohammad Reinhardt
Michel Kuhl
Auguste Gunpf
Freia Hamann-Eckbauer
Louise Jessel
Franka Peukert
Metin Klemt
Birgitta Schleich
Lisette Schönland B.Eng.
Felizitas Werner
Marion Wohlgemut B.A.
Ing. Carolin Faust B.A.
Rene Henck
Herr Janus Matthäi B.Sc.
Thorsten Ruppersberger
Francesco Drub
Käthi Faust-Gorlitz
Otmar Schmidtke
Ehrentraud Hänel-Dussen van
Hans-Jörg Lachmann
Gertraut Koch II
Ella Briemer-Siering
Dorina Fiebig
Jonas Löchel
Marco Stey
Frau Friederike Albers
Janko Rose
Konstanze Mohaupt
Amalie Gotthard-Beckmann
Hans-Bernd Zobel
Reinald Zahn
Olav Gumprich-Täsche
Dr. Natascha Trüb
Linus Drub
Univ.Prof. August Gunpf B.A.
Victoria Klingelhöfer
Ljiljana Löwer B.A.
Sami Linke B.A.
Slavko Weitzel B.Sc.
Agathe Weinhage B.A.
Ing. Arthur Schwital B.Eng.
Christopher Sager
Prof. Gertrude Renner B.A.
Lena Ernst-Schenk
Deborah Becker
Undine Scheibe-Stey
Prof. Sandy Butte
Swantje Binner B.A.
Jiri Kambs
Univ.Prof. Liliana Drub
Prof. Carina Eimer
Antje Kambs
Herta Keudel
Univ.Prof. Trudel Gierschner MBA.
Hans-Gerd Holt
Carlos Klotz
Janusz Rädel B.Sc.
Hubertine Krein
Ibrahim Wirth-Schuster
Elfi Bolander
Zdravko Jacob
Univ.Prof. Gunter Kaul
Pirmin Wulf B.Sc.
Univ.Prof. Fatima Hiller B.A.
Dipl.-Ing. Wilfried Ortmann
Marina Radisch
Hans Kostolzin-Ditschlerin
Melanie Scheel B.A.
Nikolai Haase B.Sc.
Darius Klotz
Uli Oderwald-Freudenberger
Frau Patricia Schmiedecke B.Eng.
Jeannette Schleich
Hans-Christian Roht
Dipl.-Ing. Kriemhild Löchel
Veronique Hartung-Haering
Kristian Meyer
Frederike Dippel
Linda Ziegert-Junken
Ing. Klothilde Hörle B.A.
Franca Harloff-Döring
Marie-Theres Pechel
Samuel Ackermann
Dipl.-Ing. Margarete Schmidt
Ivanka Gierschner-Pergande
Ruth Mangold B.Sc.
Karl-Hans Hande-Schuster
Hannes Patberg
Natalie Werner
Univ.Prof. Ignatz Baum
Notburga Heuser
Wilma Matthäi
Madlen Salz
Steffen Rust B.Eng.
Dipl.-Ing. Waltraut Kallert
Karl-Dieter Seifert
Dipl.-Ing. Bernward Putz B.Eng.
Prof. Cäcilie Staude B.A.
Iris Mans
Prof. Hansjürgen Langern
Karlfried Müller
Univ.Prof. Czeslaw Heuser
Matthias Hendriks-Koch
Theodoros Vollbrecht-Gutknecht
Dr. Franz-Peter Löffler
Almut Rogge
Gundula Vollbrecht
Carlo Ackermann-Birnbaum
Brit Anders
Elwira Hellwig
Dipl.-Ing. Alla Karge
