Student
Elenore Renner
Balthasar Müller-Drub
Luzia Eckbauer
Dr. Lisa Kusch
Marta Roht B.Sc.
Nora Dehmel B.Eng.
Katherina Bien
Ulla Fliegner-Sölzer
Hellmuth Drubin-Tschentscher
Silja Jüttner
Maik Oestrovsky B.Sc.
Ilja Hartung
Frau Rosemarie Stiffel
Erol Jäntsch
Orhan Mude
Franz Josef Nette-Werner
Johann Beer
Prof. Sylvio Gumprich
Ing. Engelbert Bauer
Elsa Beer
Andree Budig B.Eng.
Manuela Sauer
Steven Steinberg B.Eng.
Adelbert Austermühle
Ing. Mahmoud Becker
Anika Sager
Reiner Ziegert-Walter
Emilia Scheel
Gunnar Hentschel
Nada Girschner
Anke Bähr
Friedbert Sorgatz
Belinda Reinhardt B.A.
Heide-Marie Adler B.Eng.
Gaetano Söding
Dipl.-Ing. Gisa Jüttner B.Sc.
Jennifer Berger
Vincenzo Zirme
Ing. Zoran Tintzmann
Ercan Oestrovsky B.Eng.
Lieselotte Dussen van MBA.
Magret Oderwald
Hartwig Sorgatz B.Eng.
Ilija Eckbauer-Steinberg
Lutz Röhricht B.A.
Mahmut Hänel
Ing. Luisa Oestrovsky
Nikolaus Rosenow
Marcella Sölzer
Dr. Jan-Peter Döhn B.A.
Francisco Trupp
Leon Bauer
Ahmet Thies
Helmtrud Atzler
Wilfriede Ehlert
Friedo Ritter
Ing. Cosimo Steinberg
Joana Wähner
David Warmer
Dipl.-Ing. Liliana Hartmann
Gloria Mosemann
Ing. Friedhold Hartung B.Sc.
Ditmar Bien
Frank-Peter Kambs
Kristian Anders B.Sc.
Trude Ruppersberger
Friedrich-Wilhelm Stahr-Henck
Dr. Bernfried Schomber
Marco Conradi
Wilhelm Metz
Ing. Valeria Kruschwitz
Cemal Budig-Holt
Univ.Prof. Heinrich Reinhardt MBA.
Kenan Pieper
Ing. Rocco Reuter
Rose-Marie Schüler
Oxana Stumpf
Aldo Förster
Univ.Prof. Leszek Gieß B.Eng.
Ing. Gregor Lindau
Engelbert Carsten-Hiller
Frau Eugenia Matthäi
Marie-Therese Wagner
Univ.Prof. Helge Pieper
Olav Gumprich-Täsche
Dipl.-Ing. Till Schenk
Siegbert Schweitzer
Attila Werner
Prof. Torsten Geisel B.Sc.
Centa Bohlander-Stiebitz
Lydia Wirth
Univ.Prof. Vesna Hering
Bruni Vogt MBA.
Manuel Hering-Jäntsch
Julia Graf
Adelinde Zimmer
Steven Weinhold B.A.
Marko Renner
Dr. Jochen Schäfer
Calogero Mude-Etzold
Dr. Mohamed Kroker B.Eng.
Rolf-Dieter Kensy
Pietro Klingelhöfer
Teresa Schomber B.A.
Lothar Fischer
Ing. Henning Drub
Vincenzo Haering
Czeslaw Bohnbach B.Eng.
Herr Tino van der Dussen MBA.
Stjepan Schmidtke
Pauline Mosemann
Hansjörg Holsten
Sevim Schmiedt-Döhn
Prof. Frithjof Adolph MBA.
Univ.Prof. Beate Gude
Frau Brit Stoll
Prof. Janin Dietz
Lilo Hartung
Dr. Sonia Hornich B.Eng.
Ludmila Löffler
Ilonka Noack
Oscar Reinhardt B.A.
Toralf Pieper
Univ.Prof. Friedl Peukert B.Eng.
Verena Davids
Mariola Heinrich
Dursun Gehringer
Adina Söding
Johannes Bärer
Robert Weimer
Genoveva Hofmann
Lorenzo Hornig
Gunda Knappe
Gönül Barth-Zobel
Alban Butte
Sören Trommler
Fredo Bärer
Adam Hölzenbecher-Hettner
Nadeshda Schenk
Prof. Kata Häring
Elfie Kreusel
Agathe Weinhage B.A.
Karl-Josef Barth
Hans-Christian Trüb
Steffen Cichorius B.Eng.
Claudio Bolnbach
Univ.Prof. Marjan Graf B.Sc.
Beate Johann
Prof. Jelena Krebs B.Sc.
Herr Louis Hövel
Dr. Jan-Peter Martin B.Eng.
Cilli Röhricht
Dr. Tim Hornig B.Sc.
Dr. Almut Nohlmans B.A.
Pascale Bruder
Thomas Kraushaar
René Säuberlich B.Eng.
Jörn Trupp MBA.
Reinhold Striebitz
Jörgen Putz B.A.
Gundula Scheel-Döring
Alicia Ring
Dierk Gunpf B.A.
Waltrud Scholl
Ekkehart Niemeier
Birgitta Hettner
Domenico Nohlmans-Eberhardt
Herr Jost Ruppersberger B.A.
Selma Girschner B.Sc.
Univ.Prof. Halil Staude
Univ.Prof. August Gunpf B.A.
Dipl.-Ing. Marieluise Löchel
Daniel Stiebitz
Dr. Annelene Hamann
Bernd Binner-Hornich
Desiree Köster
Anita Mohaupt
Prof. Hans-Peter Noack B.A.
Dr. Arzu Martin B.Eng.
Vinko Reuter
Dorota Sorgatz B.A.
Burghard Hamann-Dippel
Genoveva Gieß
Ing. Marga Lehmann MBA.
Univ.Prof. Immo Mangold
Rahel Stey
Marcella Ehlert
Rena Rohleder
Lara Stroh
Dipl.-Ing. Christoph Schulz B.Sc.
Yasmin Reising
Karlheinz Stahr
Patrizia Schüler
Edda Jungfer
Luisa Hecker
Hans-Günther Scheuermann B.Eng.
Univ.Prof. Norbert Röhrdanz B.Sc.
Monja Weiß
Alwin Scholl
Justine Patberg-Metz
Marco Kostolzin-Bruder
Ekaterina Schmiedecke
Bruno Hethur
Univ.Prof. Nadeschda Staude
Dipl.-Ing. Bertram Gieß MBA.
Hans-J. Bolander
Janus Walter
Friedl Barth
Kay-Uwe Dippel
Eleonore Kuhl-Koch
Michelle Pohl
Rosalia Pruschke
Stella Barth
Margarethe Wagenknecht
Hugo Keudel B.A.
Dogan Rogge
Diether Dussen van-Rohleder
Univ.Prof. Waltrud Rogner
Abram Peukert MBA.
Felix Wilms
Bernhardine Ruppersberger
Horst-Peter Riehl
Laurenz Rosemann
Amelie Pruschke MBA.
Stavros Ortmann
Annelie Bloch
Renate Franke B.A.
Herr Hans-Ludwig Steinberg
Dierk Beier
Siegfried Knappe
Philomena Salz
Leon Aumann
Juergen Beier B.A.
Zenon Pärtzelt
Uli Zimmer
Univ.Prof. Hans D. Ullrich
Calogero Wende
Raimund Hande
Jiri Kambs
Janus Oderwald-auch Schlauchin
Sylvie Neuschäfer
Berthold Jäntsch-Jessel
Patric Heinrich
Albrecht Rust-Heinrich
Karl-Heinz Rohleder
Elli Kuhl B.Eng.
Thilo Patberg
Monja Riehl
Karl-Peter Häring-Kruschwitz
Constance Rogge
Valeria Mende
Ing. Alberto Schlosser
Gretchen Eimer-Wilmsen
Dr. Michel Pruschke B.Eng.
Dr. Frederik Dobes MBA.
Asta Hesse
Univ.Prof. Rotraut Juncken B.A.
Freia Buchholz
Baptist Radisch MBA.
Dipl.-Ing. Maik Mende B.Sc.
Prof. Sandy Butte
Celal Ortmann-Otto
Ing. Ramazan Kabus B.Eng.
Bruno Martin-Kaul
Dipl.-Ing. Igor Henck B.A.
Univ.Prof. Jane Mans B.Eng.
Kornelius Heintze-Baum
Univ.Prof. Christa-Maria Lehmann B.A.
Janus Weitzel-Koch
Krzysztof Kruschwitz
Julian Lehmann-Ortmann
Recep Hecker
Ulla Süßebier
Eberhardt Fiebig
Franz Josef Hoffmann B.Sc.
Olivia Nerger B.Eng.
James Ebert
Gülay Haase
Dipl.-Ing. Ismet Käster B.Eng.
Ing. Hans Jürgen Häring
Beatrix Gehringer
Oscar Junitz
Gisa Gerlach
Marlis Wiek
Luciano Aumann
Olivia Mies
Karl Heinz Stiebitz
Adele Stroh
Carmine Bruder-Rörricht
Magda Berger B.A.
Jelena Jüttner
Hilda Metz-Dehmel
Reinhold Schäfer-Eimer
Gisela Hornich-Metz
Tony Wende
Oskar Weitzel
Kazim Tschentscher
Ahmad Preiß
Dipl.-Ing. Stefano Wernecke B.A.
Lilli Harloff
Gudula Holzapfel
Francoise Vollbrecht B.Sc.
Camilla Wiek
Dr. Annedore Wulff B.Sc.
Michaela Loos-Mentzel
Hans-Gerd Jockel
Univ.Prof. Giovanna Bachmann B.Eng.
Ing. Christiana Seip
Ansgar Tlustek MBA.
Herr Mario Pergande
Uta Kade
Univ.Prof. Fatima Hölzenbecher
Ilija Lindner
Erkan Beier
Berend Gertz B.Eng.
Frau Mira Klemm
Gundel Bien MBA.
Mareen Mans
Dipl.-Ing. Friedhilde Hauffer B.A.
Klaus-Günter Kreusel
Murat Förster
Danuta Kreusel
Tomislav Girschner
Birgitta Beckmann-Thanel
Inna Weinhage
Hans-Bernd Knappe-Gröttner
Karoline Carsten
Tillmann Dobes-Trupp
Dipl.-Ing. Engin Jähn B.A.
Romy Etzold
Eva-Maria Mies MBA.
Bernt Huhn
Fritz Nerger
