Student
Dominik Jungfer
Zita Klemt
Univ.Prof. Margrit Davids B.Eng.
Jeannine Lehmann
Gerta Hartmann
Dr. Sonia Hornich B.Eng.
Fatma Hesse
Ruth Mangold B.Sc.
Prof. Bertha Jacobi Jäckel MBA.
Univ.Prof. Andrea Gieß B.Eng.
Prof. Meik Blümel B.Sc.
Dana Jäntsch
Edmund Scholtz B.Sc.
Nadin Hertrampf-Killer
Klaus-Werner Jäkel-Holsten
Kristina Wernecke
Hans-J. Bolander
Prof. Lutz Adolph
Norma Jungfer
Monika Hornich MBA.
Jasmina Bolzmann
Ida Buchholz B.Eng.
Gina Schmidtke
Anto Kobelt-Kobelt
Manuel Hering-Jäntsch
Knud Zimmer
Joseph Reuter
Gunhild Stroh-Jacob
Univ.Prof. Sybilla Gehringer
Birthe Graf
Alida Ehlert
Ing. Hanny Noack MBA.
Irina Gröttner
Karola Zorbach B.Eng.
Hans-Willi Ladeck
Cäcilie Roht-Misicher
Miriam van der Dussen
Irmengard Sauer
Prof. Ines Kuhl
Alice Hesse
Senta Hiller
Deborah Finke
Britt Gorlitz
Ricarda Warmer B.A.
Adelinde Gutknecht-Beier
Dr. Jonas Fechner
Helmtrud Atzler
Steven Trub
Evi Oestrovsky
Prof. Luzie Killer B.Sc.
Ing. Carolin Faust B.A.
Prof. Konrad Neuschäfer
Stilla Hornig B.A.
Helge Finke-Wähner
Dorina Weinhage
Heide-Marie Koch II
Ria Stroh
Salih Eckbauer-Renner
Julian Lehmann-Ortmann
Kai-Uwe Stiebitz-Hentschel
Klaus-Michael Mälzer
Prof. Salvatore Römer
Giorgio Trüb
Aenne Beyer
Sabrina Schomber
Nils Hering-Loos
Dr. Gert Trapp MBA.
Ellen Gutknecht
Malgorzata Tlustek
Prof. Torsten Geisel B.Sc.
Hendrik Herrmann
Sigmar Zobel
Lorenz Schwital-Stadelmann
Roderich Scholtz
Birgid Schüler
Lina Hörle
Polina Kostolzin
Ulf Kensy MBA.
Marek Schenk B.A.
Brita Jäkel
Mercedes Rädel-Drub
Marcel Fechner
Aline Steinberg-Klingelhöfer
Marie-Louise Girschner
Dipl.-Ing. Ryszard Buchholz
Hans-Friedrich Heydrich
Serge Kraus B.Eng.
Ralph Rogge
Swetlana Jessel
Ehrentraud Meyer MBA.
Dipl.-Ing. Tomislav Dowerg B.Eng.
Mechthilde Lindau B.A.
Ing. Jürgen Jopich B.A.
Marie-Luise Rogner
Ignatz Budig
Roger Gunpf-Paffrath
Karl-Ernst Reuter
Univ.Prof. Matthäus Gude
Thomas Weinhold B.Eng.
Leander Dobes-Schlosser
Herr Mario Thanel
Adriane Wende
Karl-Dieter Speer
Karl-Dieter Süßebier
Herr Falk Holzapfel
Wilma Matthäi
Elvira Gute-Käster
Patricia Trubin
Olaf Juncken
Margareta Lübs-Vollbrecht
Univ.Prof. Claus-Dieter Meister B.Eng.
Julia Graf
Wolf Häring-Kallert
Univ.Prof. Edmund Mentzel B.Eng.
Prof. Ingeborg Noack
Isabel Rose
Susanna Weitzel
Dipl.-Ing. Leokadia Junk
Tomislav Jopich-van der Dussen
Irmengard Jüttner B.Eng.
Maurice Beckmann
Egon Haase
Antonie Fischer-Margraf
Mark Lindau
Kazim Junken
Benno Gehringer-Wohlgemut
Marion Wohlgemut B.A.
Goran Benthin
Heide-Marie Heß B.A.
Tillmann Matthäi B.Eng.
Fatima Röhrdanz
Kathi Seip
Tillmann Dobes-Trupp
Herr Anthony Caspar
Manuel Stolze MBA.
Ing. Cynthia Weihmann B.Eng.
Gereon Trapp
Andrey Lorch
Romuald Kambs MBA.
Günter Rudolph B.Eng.
Prof. Norbert Wilms B.A.
Jo Reising
Delia Hande-Koch
Britt Schwital-Seip
Prof. Maya Peukert
Alma Kaul
Univ.Prof. Franz-Xaver Girschner B.Sc.
Ramona Sontag
Reimund Kraushaar
Traugott Hövel
Gaby Noack
Harro Söding
Janko Stey MBA.
Frau Mareile Birnbaum
André Röhrdanz B.A.
Kati Radisch
Patrick Döring
Antje Drub
Alf auch Schlauchin
Dipl.-Ing. Aleksandra Wagner MBA.
Grit Karz
Prof. Frithjof Adolph MBA.
Reni Römer
Bertha Gotthard
Sina Mende
Prof. Friedbert Tschentscher B.Eng.
Steffen Schlosser
Dr. Senol Beier MBA.
Sibylla Koch MBA.
Ing. Heide Winkler
Guenther Metz
Heribert Römer-Lindau
Dr. Marie-Luise Klingelhöfer B.Eng.
Kasimir Lindau
Friedo Lorch
Birgid Drewes-Seifert
Fatma Hein
Oskar Rosemann
Margita Schleich-Becker
Caroline Wende
Ing. Rocco Reuter
Günther Mude B.A.
Jan Freudenberger
Ing. Leni Rosenow B.Eng.
Gitta Berger
Dr. Annette Linke MBA.
Ludwina Mohaupt
Margareta Dörschner B.Sc.
Alexa Dietz
Beata Lübs
Prof. Marko Rohleder B.A.
Jochem Röhrdanz
Ing. Leopold Beier B.Sc.
Dr. Bernfried Schomber
Johanna Bohlander
Iwan Wilmsen-Weihmann
Ann Spieß MBA.
Edda Salz
Viktor Bauer
Cathleen Mies MBA.
Nina Putz-Ritter
Antonia Köster B.A.
Prof. Jürgen Blümel B.A.
Gerda Stey
Emilia Scheel
Magdalene Patberg-Mosemann
Dr. Helma Kohl B.A.
Geza Weller
Univ.Prof. Clara Heidrich B.Sc.
Torben Schweitzer
Frau Linda Weiß B.Eng.
