Student
Marie-Therese Steuer
Univ.Prof. Tomasz Atzler B.Sc.
Ludwina Fritsch
Nadine Sauer
Prof. Anica Haering B.A.
Prof. Dietlind Ullrich B.Sc.
Asta Hesse
Moritz Roht
Reimar Jacob-Loos
Hans-Henning Heydrich MBA.
Eleni Franke
Birgid Freudenberger
Philippe Wähner
Prof. Jan-Peter Schmidt
Anni Hänel B.Eng.
Frau Suse Zorbach
Jens Trub
Annelise Jungfer
Lissi Kohl
Emanuel Schinke B.Sc.
Franz Josef Herrmann
Anna Linke
Aenne Sölzer B.A.
Klaudia Seidel
Stavros Zirme
Ferdinand Junck-Hölzenbecher
Torsten Pergande
Prof. Maria-Luise Drub B.Sc.
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Alban Dippel
Rosita Budig
Goran Benthin
Karl-Hans Fiebig
Fabienne Conradi B.Eng.
Martina Keudel
Elfie Kreusel
Adina Kallert
Giovanna Zobel-Liebelt
Senta Wernecke B.Sc.
Walfried Wohlgemut B.Eng.
Karlfried Müller
Carla Gnatz
Raymond Drub B.Sc.
Katharina Krause-Hornig
Gerwin Ortmann
Annaliese Gerlach
Evangelos Hartmann B.A.
Ing. Jenny Oestrovsky
Carolin Etzler
Ing. Gabriella Bähr
Harriet Ullmann
Ing. Walli Bolander MBA.
Georg Nerger
Anna-Luise Seip-Hofmann
Frau Eleni Ziegert B.Sc.
Daniela Wernecke-Hölzenbecher
Univ.Prof. Halil Staude
Univ.Prof. Ismet Bloch B.Eng.
Vassilios Kramer
Prof. Cora Bolander
Irmi Zobel
Friedl Hartmann
Babett Süßebier B.A.
Dr. Myriam Häring
Jolanta Nohlmans-Tschentscher
Kreszentia Bohlander
Lilija Ruppert
Univ.Prof. Hans-Theo Kroker
Donald Schönland
Janin Hamann
Silva Plath
Birte Jüttner
Isa Weihmann
Irmgard Weinhage-Wieloch
Magdalena Warmer MBA.
Florence Schulz
Gerhild Löffler
Klaus-Dieter Hänel B.Sc.
Leonore Hettner-Staude
Marit Mühle
Dipl.-Ing. Utz Henschel MBA.
Sevim Ackermann
Jonas Christoph B.Eng.
Aziz Bauer MBA.
Dipl.-Ing. Baldur Oderwald B.Sc.
Heinz-Josef Jähn MBA.
Brit Anders
Saskia Heidrich
Margrit Förster
Herr Roderich Hauffer
Margarethe Wagenknecht
Dr. Deborah Kade
Sylvester Neuschäfer-Schacht
Karl-Georg Zahn
Anke Hettner
Bekir Bonbach
Ing. Cosimo Steinberg
Frau Rosalinde Mitschke B.A.
Marliese Drubin
Klemens Knappe
Brigitte Zirme B.Sc.
Niko Geißler-Wirth
Isolde Seifert
Hans-Günther Wilmsen
Baptist Gröttner B.Sc.
Timo Butte
Raissa Mitschke MBA.
Balthasar Müller-Drub
Janos Ehlert
Anthony Bonbach
Carmen Berger
Silvia Eberth
Univ.Prof. Bela Kraus
Heinrich Ackermann
Ulrich Plath-Weihmann
Inge Paffrath
Dr. Anatoli Bonbach
Piotr Ruppersberger
Mira Sontag
Rahel Kreusel
Willibald Boucsein B.Sc.
Frau Marie-Therese Mielcarek
Hans Kohl MBA.
Josefine Rosenow-Hertrampf
Univ.Prof. Pia Schlosser MBA.
Bekir Fechner
Kornelius Hornig MBA.
Karl-Dieter Thies
Ing. Konstanze Geisel
Regina Hamann B.Sc.
Maurizio Mans-Ullmann
Klothilde Zänker
Katarina Knappe
Heinz-Gerd Gorlitz B.Eng.
Theodoros Grein Groth
Ingrid Rudolph
Nick Jockel B.A.
Dipl.-Ing. Wanda Dussen van
Saban Eimer
Ronald Rädel
Andreas Birnbaum-Kallert
Vito Davids-Schwital
Margareta Dörschner B.Sc.
Ingmar Beckmann
Heidelore Zirme
Dipl.-Ing. Nikolaus Conradi MBA.
Cornelius Scheuermann
Timm Freudenberger-Henschel
Prof. Guiseppe Gröttner B.Sc.
Ing. Isolde Rosenow
Ing. Wendelin Köster B.A.
Sergio Kraushaar-Anders
Hansjürgen Lindner
Hasso Mans-Buchholz
Slavica Vollbrecht
Univ.Prof. Friedl Peukert B.Eng.
Trudel Wagner
Anika Binner-Löffler
Bastian Röhrdanz
Larissa Käster
Walli Baum-Kohl
Marzena Hein
Paul Hettner
Samir Krein B.A.
Carmine Schacht
Daniel Stiebitz
Rotraut Ullrich
Gisa Hendriks
Stilla Heuser
Dipl.-Ing. Regine Renner
Ignatz Gutknecht
Frank-Peter Kambs
Zdravko Jacob
Zdravko Kroker
Michaele Schwital
Ing. Aldo Radisch
Prof. Maya Peukert
Herr Jan Kobelt
Gabriel Süßebier-Eigenwillig
Mehdi Bähr B.A.
Elli Junck
Constanze Schleich
Adalbert Reising
Jost Briemer
Angelica Lindau-Heß
Natalie Neureuther
Lena Dowerg
Zeljko Baum
Margita Hartung-Zänker
Lucie Gutknecht
Nurettin Börner
Claire Junk
Dipl.-Ing. Edda Barth MBA.
Darius Gieß
Frau Ariane Weinhage MBA.
Ing. Jo Caspar
Magrit Lange
Ryszard Lorch
Cord Mende B.Eng.
Sibilla Hofmann
Silvester Sorgatz MBA.
Ing. Alexander Mude
Guntram Scholz MBA.
Hans-Herbert Walter
Till Bolander
Till Tlustek
Kai-Uwe Stiebitz-Hentschel
Jolanta Kühnert
Liane Gröttner
Hanna Knappe
Gunter Misicher
Agathe Söding
Carl-Heinz Steinberg
Ingeburg Radisch-Steckel
Sibylla Koch MBA.
Univ.Prof. Gerhardt Dowerg B.Eng.
Diana Jessel-Geißler
Bertram Segebahn
Ing. Carmine Kroker
Johanna Fischer
Wolf Martin
Cläre Heser
Mareile Birnbaum
Heide-Marie Beckmann B.Sc.
Ekkehart Niemeier
Peter Mitschke
Annie Harloff B.A.
Kati Süßebier
Adelbert Austermühle
Gunhild Meister
Simon Hahn
Ing. Leonid Budig B.A.
Ing. Magda Jäntsch
Univ.Prof. Herta Zänker
Gisela Paffrath
Lidwina Sorgatz-Weihmann
Dr. Robert Neuschäfer
Kläre Beier B.A.
Fredi Lindner
Heinz-Gerd Beyer
Diana Drubin-Walter
Nicolaus Franke-Paffrath
Joachim Kramer
Ehrenfried Stiffel
Ing. Swen Sorgatz B.Eng.
Univ.Prof. Amalie Warmer B.Eng.
Stanislav Stey
Prof. Monique Budig B.Eng.
Frau Krista Rädel B.Sc.
Ulrike Albers
Nina Ladeck
Helga Salz
Dr. Marco Scheuermann
Frau Friederike Albers
Sibylla Pohl
Prof. Sylvio Gumprich
Franco Loos B.Eng.
Tomas Gröttner
Dr. Editha Rohleder
Prof. Bianka Reinhardt
Univ.Prof. Gönül Meister B.Sc.
Anton Müller
Frau Chantal Ebert B.Eng.
Univ.Prof. Isabel Ladeck
Anne-Marie Stumpf
Rudolf Mentzel
Silvio Weimer
Dorothee Koch II
Kurt Thanel
Viviane Fritsch-Martin
Ing. Canan Gutknecht B.A.
Dipl.-Ing. Cora Baum
Wenke Neureuther-Hermighausen
Hans-Henning Scheel
David Warmer
Cornelia Radisch
Inga Ruppersberger
Mandy Huhn B.A.
Ing. Konstantin Gerlach B.A.
Prof. Katarzyna Gehringer B.Eng.
Irmtraut Süßebier
Franca Mentzel
Arnulf Kusch
Bettina Klapp
Thorsten Herrmann
Claus-Dieter Krause
Sinaida Ruppersberger
Tino Paffrath B.Eng.
Frau Alexandra Beckmann B.A.
Ing. Dorothee Harloff B.Sc.
Dipl.-Ing. Corina Fischer
Ing. Knud Vogt
Prof. Hannah Hölzenbecher MBA.
Silja Kraus-Schuster
Marica Walter
Franz Josef Hoffmann B.Sc.
Canan auch Schlauchin-Dussen van
Oliver Biggen
Philip Mangold
Dipl.-Ing. Magrit Junck
Dipl.-Ing. Laila Scheuermann B.Sc.
Albin Fischer B.Eng.
Univ.Prof. Teresa Weinhage B.A.
Lothar Ladeck
Ing. Agnes Zobel
Tanja Plath
Ing. Brunhilde Albers
Ing. Erica Schottin
Gebhard Eberth B.Eng.
Karl-Heinz Buchholz
Timm Oderwald
Dipl.-Ing. Cläre Geißler
Svenja Langern
Lissy Dippel
Dr. Lisa Kusch
Univ.Prof. Milan Hande
Daniele Hering
Herr Jörgen Kruschwitz
Marion Drewes
Frau Ellinor Tintzmann
Ing. Tillmann Geisel
Bertram Rädel
Sibylla Klingelhöfer B.Sc.
Sina Patberg
