Student
Gotthold Krause
Isidor Niemeier
Tatiana Kade-Rust
Calogero Hoffmann B.Eng.
Raymund Mosemann-Eckbauer
Adolfine Wilms
Marga Scholz
Gundi Sager
Diedrich Scheel-Hübel
Univ.Prof. Sonja Hande MBA.
Hans Kostolzin-Ditschlerin
Cecilia Scholz-Barth
Marlen Schenk-Schuchhardt
Hellmut Lindner
Malte Herrmann-Zänker
Prof. Anica Haering B.A.
Ingmar Hauffer
Nancy Hartmann-Schottin
Ing. Valeria Kruschwitz
Hanna Knappe
Beatrix Gehringer
Heidelore Heinrich
Linda Kruschwitz
Roselinde Zobel
Ute Conradi-Trüb
Ronny Dippel
Univ.Prof. Anny Stolze
Ing. Josip Ruppert
Leonard Kostolzin
Ing. Siglinde Speer MBA.
Prof. Sergei Heser
Sabrina Schomber
Zeljko Baum
Iwan Renner-Dussen van
Prof. Nuran Sauer B.Sc.
Frau Swantje Heinrich B.A.
Gerfried Dippel
Gordana Budig B.A.
Käthe Langern-Jacob
Nancy Karz-Bolzmann
Univ.Prof. Josip Hartung
Annelore Täsche
Olav Thies
Andrei Säuberlich
Agathe Weinhage B.A.
Viktor Kusch
Anika Sager
Gudula Holzapfel
Univ.Prof. Galina Kobelt B.Eng.
Madeleine Henk
Hans-Otto Trubin B.Eng.
Grit Karz
Harro Trapp B.Eng.
Marit Mühle
Siegmar Keudel-Gude
Herr Franz Geisler B.A.
Rüdiger Heinrich
Mahmoud Ditschlerin-Trüb
Ing. Wolf-Rüdiger Weihmann B.Eng.
Ing. Willfried Kostolzin
Dipl.-Ing. Petar Wohlgemut
Pavel Jessel
Frau Nurten Huhn
Wally Fliegner
Gerwin Ortmann
Lutz Mies-Hesse
Dipl.-Ing. Harm van der Dussen
Heinz-Joachim Jähn
Susanna Beyer B.Eng.
Ing. Janin Winkler MBA.
Jana Drubin-Heß
Therese Rohleder
Carmela Lindau
Univ.Prof. Sönke Schomber
Heike Karge
Alwin Scholl
Lutz Kobelt
Stefano Wagenknecht
Jorge Killer
Iwan Schleich
Alois Knappe
Torsten Pergande
Karl-Otto Putz
Sina Wulff-Dussen van
Beatrix Rädel MBA.
Sibylle Löchel
Jonathan Mohaupt
Dr. Jurij Nohlmans B.A.
Prof. Tilmann Franke B.Sc.
Corinna Täsche B.A.
Univ.Prof. Bert Gieß
Irma Atzler-Herrmann
Frau Francesca Blümel
Wilma Drub B.Eng.
Herr Hans-Detlef Grein Groth
Ingried Stiffel B.A.
Olaf Juncken
Elli Junck
Oliver Kohl
Theres Heser
Helga Franke
Univ.Prof. Walter Barkholz
Ilonka Lange
Andree Wilmsen B.Eng.
Adalbert Ullmann
Meral Bolnbach
Ekrem Spieß
Victor Häring
Mina Segebahn B.A.
Rosalinde Trupp
Aribert Mitschke
Friedbert Sorgatz
Prof. Riza Niemeier
Hanne Ackermann
Dipl.-Ing. Theda Weinhold B.Eng.
David Warmer
Arndt Weinhold MBA.
Ing. Tomas Fischer B.Sc.
Edelgard Finke B.Eng.
Jerzy Wagenknecht B.A.
Thorben Henk-Mende
Nurten Henschel-Stroh
Eckart Klotz
Anne-Katrin Seip
Ottilie Trüb
Gunhild Zimmer
Zita Klemt
Univ.Prof. Hans-Theo Kroker
Dipl.-Ing. Laurenz Gerlach MBA.
Ivo Lorch
Ing. Adalbert Heser
Willibald Holsten
Emmy Trub MBA.
Eitel Ernst
Univ.Prof. Friedl Peukert B.Eng.
John Roskoth-Rädel
Kevin Trubin
Frank-Michael Löwer-Ring
Siegfried Kreusel
Univ.Prof. Dolores Jäkel
Dipl.-Ing. Charles Täsche
Frau Nadeshda Ruppert
Karoline Römer
