Student
Klemens Förster
Rosalia Johann
Gerti Ullrich
Falk Ritter
Wilhelm Tlustek
Arnd Jacobi Jäckel
Sevim Junitz
Mareen Mans
Ing. Lisette Kaul B.A.
Ingetraud Austermühle-Dowerg
Sami Linke B.A.
Ernst-August Oestrovsky-Kreusel
Wolfram Klingelhöfer B.Eng.
Ulrike Albers
Prof. Folker Budig
Dipl.-Ing. Dragica Neureuther
Hans-Martin Drewes
Elfriede Gnatz
Traudel Wilmsen B.A.
Dipl.-Ing. Wilfried Ortmann
Kirstin Kusch-Meister
Elena Gotthard
Prof. Amir Reising MBA.
Univ.Prof. Tina Rose
Fernando Neuschäfer
Ing. Mattias Boucsein
Valerie Losekann
Franz Josef Nette-Werner
Helene Ullrich
Prof. Ines Kuhl
Adolfine Dippel
Franziska Hörle B.Sc.
Heidelore Stolze
Dipl.-Ing. Igor Henck B.A.
Alexej Wagner
Aldo Kusch-Klemm
Gisa Atzler
Herr Andrej Rose
Gislinde Wagenknecht
Marlen Gute-Hauffer
Sigrid Jockel
Annett Sorgatz B.Eng.
Janette Kraushaar
Fanny Bolnbach B.Sc.
Gerd Süßebier
Margaretha Kohl B.Sc.
Anne-Katrin Seip
Ing. Tillmann Geisel
Mohammad Finke
Reinhardt Pärtzelt
Walli Gnatz
Natalie Werner
Pamela Mies B.Eng.
Frau Almuth Kostolzin B.A.
Ellinor Kraus
Flora Mühle B.Sc.
Karl-Dieter Süßebier
Johann Oestrovsky
Fredy Hiller
Gordana Hertrampf-Speer
Stephanie Dörr-Bärer
Oxana Schmidtke
Hasso Zahn
Domenico Reichmann
Reinhold Hellwig-Mülichen
Ludwina Fritsch
Hansjürgen Säuberlich
Reinhild Pergande
Ing. Wencke Speer
Thoralf Geisel
Prof. Patrik Scheel
Heinrich Ackermann
Miriam Haering
Ing. Käthe Plath B.Eng.
Klaas Eckbauer
Bruni Meister B.Sc.
Ing. Irmtraud Wiek MBA.
Karlheinz Martin
Dominik Spieß
Janine Müller-Steckel
Karoline Hübel
Dipl.-Ing. Gülten Hoffmann B.Eng.
Albrecht Metz B.A.
Veli Junitz
Niklas Scholtz
Luzie Renner B.A.
Krista Putz
Prof. Timo Schleich MBA.
Dr. Gerold Dörschner
Dr. Myriam Pieper B.Eng.
Univ.Prof. Siegrun Klingelhöfer MBA.
Dipl.-Ing. Alf Graf
Bianka Schmidt
Sina Mende
Ing. Alla Schottin B.A.
Silvio Weimer
Zdravko Müller-Fritsch
Kunigunda Reising
Natascha Eigenwillig
Bertha Ritter-Drubin
Stanislav Hoffmann
Annekatrin Trupp
Dr. Francisco Hänel
Undine Lindner
Siegmar Keudel-Gude
Antonina Christoph MBA.
Ronny Dippel
Bekir Bonbach
Cornelia Radisch
Wieland Linke
Roswita Hofmann MBA.
Ildiko Mitschke B.Sc.
Dipl.-Ing. Ilse Heß B.Sc.
Clara Ruppersberger
Ing. Roy Dippel B.A.
Prof. Marion Martin
Augusta Beer
Svenja Hartmann
Regina Fliegner
Franz Josef Flantz
Dipl.-Ing. Jost Bruder B.Eng.
Luise Gertz-Fliegner
Dr. Jens-Uwe Ruppert
Heide-Marie Zirme
Hannchen Zahn
Isa Knappe-Biggen
Andre Schönland B.Sc.
Constance Rogge
Dr. Dora Fischer
Univ.Prof. Jürgen Weiß
Kristina Wernecke
Dr. Jane Kostolzin
Dajana Gehringer
Aenne Hübel-Mühle
Amalia Wulf
Silvester Scheibe
Catherine Huhn
Dr. Fedor Plath B.Sc.
Frau Eleni Ziegert B.Sc.
Tino Wagenknecht B.Eng.
Dagobert Bohnbach
Prof. Magda Textor
Univ.Prof. Gottfried Süßebier
Mark Gute-Faust
Jörgen Lorch
Heide-Marie Koch II
Christos Sölzer
Faruk Schomber
Anna-Marie Zorbach
Klaudia Löffler-Zorbach
Josef Butte-Lindau
Hedwig Briemer
Ing. Silja Heser
Dr. Tony Ditschlerin
Roland Putz
Diethard Trommler
Dipl.-Ing. Jozef Hartmann
Canan auch Schlauchin-Dussen van
Prof. Sahin Kreusel
Linda Ziegert-Junken
Ariane Roskoth
Romuald Hartmann
Annemarie Häring
Nuray Aumann
Agathe Söding
Uli Wohlgemut-Stadelmann
Edelgard Gnatz-Dobes
Prof. Olga Steckel B.A.
Isa Weihmann
Frauke Stadelmann
Hans-Herbert Walter
Dipl.-Ing. Dunja Hoffmann
Heinz-Günter Boucsein
Almuth Rosenow-Schönland
Hermann Josef Junck
Karl-Ernst Drewes-Drubin
Francis Rohleder
Rochus Gude
Ing. Gerold Gotthard
Hans-Jörg Trupp-Säuberlich
Ing. Leopold Beier B.Sc.
Dr. Sigrun Schönland B.A.
Frau Katarina Bolander B.Sc.
Ralph Jacobi Jäckel
Ing. Selim Tintzmann B.A.
Therese Neureuther
Rouven Ziegert
Jaroslav Benthin
Dr. Mariusz Beckmann
David Faust-Holsten
Dr. Jurij Nohlmans B.A.
Ole Schmidtke
Dipl.-Ing. Halina Bender B.A.
Mareile Oderwald-Hiller
Gertrude Gumprich
Nadeshda Schenk
Janusz Trub-Mühle
Britt Bolander B.A.
Marleen Heser
Frau Evelyne Süßebier B.Eng.
Wiltrud Ladeck MBA.
Annette Ullmann
Gülay Werner
Jerzy Hermighausen-Lübs
Eugenia Sorgatz
Magarete Beyer B.Eng.
Franz Lange
Karlfried Franke
Marlen Schenk-Schuchhardt
Univ.Prof. Karen Etzold B.A.
Dr. Gerhart Käster
Emmy Trub MBA.
Jorge Weitzel
Klothilde Blümel B.A.
Hans-Günther Kohl B.Eng.
Agnes Ullmann
Annekatrin Schleich
Ing. Stella Wagner
Zofia Roht
Milos Trüb
Geza Beckmann
Ing. Rotraud Schmidt
Sofia Austermühle
Stephen Trommler
Eberhardt Warmer
Oxana Ortmann MBA.
Drago Täsche
Victor Seifert
Karl-Heinz Buchholz
Evangelia Stumpf-Ruppersberger
Ing. Ronny Metz B.A.
Anastasios Karge
Prof. Niels Barkholz
Ing. Nikolai Niemeier B.A.
Darko Wilms
Lene Hermann-Kaul
Kreszentia Bohlander
Ing. Gundi Boucsein B.Sc.
Bertha Barkholz
Prof. Mathilde Segebahn MBA.
Fatih Zirme
Tomasz Bolnbach
Heinz-Joachim Stiebitz
Herr Karl-Heinrich Eberth B.Sc.
Jadwiga Karge
Frau Mia Kaul MBA.
Melitta Drewes
Cecilia Eigenwillig
Univ.Prof. Gustav Sölzer
