Student
Ing. Ben Lindau MBA.
Univ.Prof. Luisa Scholz B.Eng.
Theodoros Vollbrecht-Gutknecht
Otmar Schmidtke
Lissi Rust-Metz
Roman Hauffer
Hans-Ulrich Liebelt-Hauffer
Univ.Prof. Damian Sorgatz B.Eng.
Dogan Ruppersberger
Stefanie Pruschke
Dr. Agathe Jähn B.A.
Herr Hermann-Josef Hauffer
Katharina Krause-Hornig
Annett Mies-Hellwig
Detlev Wilmsen
Monika Mühle-Hiller
Lothar Beckmann
Julia Pärtzelt
Ekkehart Binner
Edgar Rohleder-Fröhlich
Ingelore Kobelt MBA.
Univ.Prof. Hiltrud Löwer
Ahmad Preiß
Hans-Theo Kuhl
Silvio Weimer
Dorle Dörschner
Gerolf auch Schlauchin
Karolina Hartmann
Lidwina Karz MBA.
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Ulf Kensy MBA.
Univ.Prof. Ferenc Knappe B.Sc.
Katherina Ruppert
Univ.Prof. Hinrich Eberth
Dr. Carsten Steinberg
Madlen Geißler
Georg Misicher
Constantin Kraus
Hellmut Lindner
Univ.Prof. Ioannis Lübs B.Eng.
Jan Linke MBA.
Johannes Schuchhardt-Junitz
Univ.Prof. Siegrun Klingelhöfer MBA.
Anneli Neuschäfer
Dr. Harald Ritter
Thorben Kitzmann
Univ.Prof. Halina Hamann MBA.
Hermann-Josef Loos
Tomas Gröttner
Regina Hamann B.Sc.
Frithjof Gertz
Tilo Hande
Carolin Holt
Jessica Gotthard
Irmengard Röhrdanz
Pascale Bruder
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Gülsen Junck
H.-Dieter Mülichen B.A.
Antonietta Lindner MBA.
Nick Jockel B.A.
Kristian Anders B.Sc.
Ing. Zdenka Neuschäfer
Wiltrud Gröttner-Klapp
Slobodan Seip
Irmtrud Röhrdanz
Friedrich-Wilhelm Höfig-Johann
Daniele Heintze B.Eng.
Nancy Karz-Bolzmann
Kordula Kambs B.Eng.
Prof. Walter Pechel
Univ.Prof. Friedlinde Bien MBA.
Aribert Putz
Liane Fechner
George Weimer
Prof. Urs Salz
Kriemhild Warmer
Marie Henk B.Sc.
Mariusz Stadelmann B.Sc.
Reinhild Pergande
Nurettin Bärer B.Eng.
Asta Hesse
Filippo Jungfer-Kabus
Herr Gotthard Wilms
Elsa Preiß
Univ.Prof. Anneke Gunpf
Clemens Thanel
Frau Marie-Therese Mielcarek
Heiner Pieper
Kunibert Hahn-Lindau
Friederike Geisler
Herr Gordon Meister
Fernando Gieß
Frau Rosemarie Stiffel
Wulf Caspar
Daniel Stiebitz
Karl-Wilhelm Meyer
Prof. Emine Beer
Dr. Jacqueline Trubin B.Sc.
Hans-Erich Preiß
Dr. Zeljko Pruschke
Karl-Dieter Süßebier
Ignatz Börner
Uwe Rosenow
Hans-Eberhard Blümel
Marlen Hesse
Maurice Hübel
Ing. Josip Ruppert
Ing. Dörte Freudenberger
Ing. Guenther Scholtz B.A.
Louis Geisel
Hakan Kitzmann-Scholl
Linus Schuchhardt
