Student
Susanna Schaaf
Florence Schulz
Peer Nohlmans B.Sc.
Cindy Rogge-Dippel
Christina Schlosser
Univ.Prof. Jürgen Weiß
Gino Hartung
Mechtild Niemeier
Wilma Röhrdanz
Mijo Jessel B.A.
Dipl.-Ing. Marieluise Löchel
Dipl.-Ing. Lilly Trüb
James Ebert
Patric Stahr-Ebert
Hans-Hinrich Bohlander
Univ.Prof. Gisa Meister
Wolf-Dieter Sölzer-Putz
Dipl.-Ing. Geert Holsten B.Sc.
Bodo Kranz-Striebitz
Erdmute Mosemann
Philip Renner
Frau Kordula Geisler MBA.
Annamaria Baum MBA.
Arzu Wieloch-Röhrdanz
Ildiko Mitschke B.Sc.
Prof. Hans-Gerhard Reinhardt B.Eng.
Ing. Lucie Karz
Dr. Luisa Anders B.A.
Paolo Klotz-Hein
Almut Trupp
Ingeburg Radisch-Steckel
Stanislaus Davids MBA.
Lissi Rust-Metz
Wencke Riehl-Stoll
Fatma Hein
Hermann Josef Schmiedecke
Heimo Bauer
Prof. Juan Hamann
Herr Bastian Hübel B.A.
Thomas Weinhold B.Eng.
Sebastian Aumann
Gerhild Gude
Mikhail Bauer
Ernst Koch II-Graf
Ing. Tillmann Geisel
Hanife Ullrich
Gunther Tschentscher
Annaliese Heser B.Sc.
Dipl.-Ing. Till Schenk
Guido Junck
Karl-Peter Häring-Kruschwitz
Frau Bianka Henk B.Sc.
Nuran Schottin B.Eng.
Andre Mülichen-Scholz
Margarete Kabus
Wally Fliegner
Margaret Kramer B.A.
Henny Stey
Dipl.-Ing. Utz Adler B.A.
Hans-Georg Anders
Reimund Kraushaar
Greta Hermighausen
Friedemann Klingelhöfer
Grzegorz Mende B.A.
Manja Stadelmann
Kaspar Aumann
Dipl.-Ing. Meral Beyer
Siegfried Kreusel
Adeline Hahn
Karl-Friedrich Nerger
Rabea Weiß MBA.
Ing. Pauline Linke
Siegbert Bachmann-Hövel
Salvatore Ruppersberger
Marko Renner
Heinz-Joachim Trüb B.Sc.
Luis Oderwald
Gotthard Christoph
Bruni Vogt MBA.
Frau Monique Wesack B.Eng.
Gerta Hartmann
Joerg Fritsch-Pieper
Lydia Wirth
Gerda Eberhardt B.Sc.
Univ.Prof. Ilja Hentschel MBA.
Guenter Kohl-Nette
Irmgard Weinhage-Wieloch
Ing. Lisette Kaul B.A.
Heide-Marie Gunpf B.A.
Curt Schönland
Ferdinand Junck-Hölzenbecher
Inna Schulz
Wojciech Losekann-Seidel
Gerda Kitzmann
Liliane Koch II
Hanni Scholz-Weitzel
Traude Kuhl
Karen Hendriks
Danilo Ehlert
Osman Liebelt
Falk Höfig
Rosa Tintzmann
Edelbert Stey-Scholz
Irina Hahn
Vinko Reuter
Brigitte Geisler
Kai-Uwe Mitschke
