Student
Vesna Wähner
Ing. Marga Lehmann MBA.
Hans Dieter Kallert
Herr Karlheinz Mans
Dr. Semra Schulz
Frederik Bohlander
Bruno Hesse
Ing. Christa-Maria Liebelt
Frank-Michael Sontag
Theres Beer
Ehrenfried Seidel MBA.
Hans-Otto Trubin B.Eng.
Anselm Dowerg
Ing. Valentina Börner
Ibrahim Ditschlerin
Dr. Elmar Junk
Roswita Atzler
Dagobert Eberhardt B.A.
Ing. Rosina Kabus MBA.
Reinhard Beckmann
Sibylla Klingelhöfer B.Sc.
Herr Ignatz Boucsein MBA.
Engelbert Carsten-Hiller
Ing. Petar Hänel MBA.
Tobias Wirth
Slawomir Drub-Gute
Univ.Prof. Till Vogt MBA.
Cilli Heintze
Marietta Heinrich
Thies Rose
Ing. Karl-Dieter Stroh
Stefano Wagenknecht
Justine Kade
Hans-Herbert Eckbauer
Nikolas Heß
Dr. Uta Gumprich
Massimo Dörschner
Kay-Uwe Dippel
Lidija Trapp
Vitus Pruschke B.A.
Oxana Lübs
Ottfried Peukert-Schulz
Univ.Prof. Isabel Ladeck
Ing. Birgid Möchlichen B.A.
Prof. Bela Noack
Leonardo Klingelhöfer B.Sc.
Dragan Trub
Dr. Amir Jäkel
Dipl.-Ing. Sandro Bärer B.A.
Antonia Mohaupt
Heidelore Pärtzelt MBA.
Berthold Haase-Trub
Markus Albers
Ing. Vitali Hentschel MBA.
Erwin Etzold
Univ.Prof. Norbert Röhrdanz B.Sc.
Frau Hildegund Vogt B.A.
Bruni Freudenberger
Ing. Justina Fiebig
Rosa-Maria Knappe
Cornelius Scheuermann
Pascal Freudenberger
Serge Kade
Hans-H. Naser
Kai-Uwe Oderwald
Univ.Prof. Resi Kobelt
Fabienne Birnbaum
Mercedes Sauer
Ekrem Zänker
Hanna Jäntsch MBA.
Zofia Roht
Dipl.-Ing. Angelique Ortmann
Maximilian Juncken
Gert Juncken
Univ.Prof. Luisa Scholz B.Eng.
Prof. Sylvio Gumprich
Frank-Peter Ullmann
Anne-Kathrin Geisler
Univ.Prof. Dorina Lange
Antonino Klingelhöfer
Denis Etzold
Edwin Förster-Albers
Marcel Fechner
Dr. Edelgard Sauer B.Sc.
Liane Hermann MBA.
Ehrhard Bohnbach B.Eng.
Sibylle Löchel
Univ.Prof. Gretchen Sontag B.A.
Univ.Prof. Gislinde Rohleder
Carla Gnatz
Annita Lorch
Wladimir Möchlichen MBA.
Ali Schmidt-Knappe
Ing. Jo Caspar
Prof. Mohammad Reinhardt
Reingard Cichorius
Henryk Plath-Jopich
Ortwin Scholl
Sigismund Junitz
Bernhard Fischer
Dipl.-Ing. Dajana Beer
Frau Renate Geisler
Hermine Eberhardt
Ulrike Hiller
Prof. Alma Gumprich
