Student
Ottokar Fliegner
Ann Spieß MBA.
Ing. Alberto Werner
Gitta Römer
Günther Bähr
Sandor Riehl
Hellmut Siering
Oxana Ortmann MBA.
Ricarda Fröhlich B.A.
Victoria Binner
Susanna Schaaf
Wolf-Dieter Schmiedt
Eveline Birnbaum
Benita Hahn-Wieloch
Univ.Prof. Franz-Josef Zänker
Emin van der Dussen
Witold Heintze
Lili Birnbaum
Dr. Natascha Trüb
Stanislav Stey
Ingried Stiffel B.A.
Klaas Eckbauer
Hans-Karl Christoph-Schleich
Henryk Bauer
Univ.Prof. Erhard Heuser MBA.
Albin Fischer B.Eng.
Hannah Jacobi Jäckel
Prof. Lotti Löffler
Carmine Hauffer
Prof. Horst Mälzer B.Sc.
Herr Alois Thanel B.Sc.
Dominic Schönland
Prof. Sonia Blümel
Frau Minna Steinberg B.Sc.
Attila Atzler
Dorle Dörschner
Arnulf Kusch
Frau Belinda Plath B.A.
Kuno Kreusel
Gülten Henschel
Florian Weimer
George Hörle
Francis Rohleder
Annemarie Wieloch
Otmar Gierschner
Dipl.-Ing. Ante Rust
Isolde Seifert
Galina Kraus-Hermighausen
Justus Lorch
Mike Röhricht-Hauffer
Gerta Stey-Klemm
Hans-J. Neureuther
Herr Ruben Schüler B.Eng.
Dipl.-Ing. Betty Niemeier MBA.
Karl-Heinz Rohleder
Ing. Anna-Maria Stey
Yvette Süßebier
Dr. Lea Kraushaar B.Eng.
Egon Paffrath
Herr Anthony Caspar
Marisa Wagenknecht
Victoria Hornig
Krista Hofmann
Ronald Börner-Hentschel
Jasmina Rudolph
Irmi Jüttner
Inge Dietz B.A.
Canan Berger-Hellwig
Sebastian Karge
Franco Radisch
Ernst Henschel
Dr. Krista Wirth
Marian Hande
Gülsen Davids-Heinz
Dipl.-Ing. Detlef Schacht
Mariola Heinrich
Eveline Wagenknecht
Fabienne Conradi B.Eng.
Dogan Bolander
Maria Döring B.Sc.
Katalin Butte
Agnieszka Steckel
Nadeschda Pölitz
Dr. Erdogan Fröhlich
Deborah Scholtz B.A.
Melitta Steinberg
Arnd Jacobi Jäckel
Dr. Almut Peukert MBA.
Damian Dörr
Dipl.-Ing. Bodo Junk B.Eng.
Ing. Anneliese Döring
Michel Kuhl
Gerald Hendriks
Hans Dieter Fiebig B.Eng.
Nikolaos Reichmann
Hans-Albert Preiß-Scheel
Andrea Wulf
Gabriele Schmidt
Hanife Täsche-Stiffel
Evelyn Stolze
Gertrude Lehmann-Kostolzin
Käthi Löffler
Theo Neuschäfer
Kazim Rohleder
Philip Fritsch
Univ.Prof. Hardy Hartung
Mato Trubin
Alexej Kohl
Cäcilie Roht-Misicher
Frederik Rust
Elizabeth Stahr
Svetlana Schenk-Barth
Oxana Stumpf
Irmtraut Wende
Patrick Anders-Stolze
Mara Roht
Hartmuth Gude B.Eng.
Friedrich-Wilhelm Holsten
Gerald Albers-Jähn
Rose-Marie Jäkel
Lea Heuser
Henrik Hein B.A.
Rosalia Johann
Dipl.-Ing. Kristine Klapp MBA.
Konrad Schuster
Sofia Mielcarek B.A.
Gabor Dobes
Ayse Thies B.Eng.
Ing. Eugenie Kreusel MBA.
Kuno Mälzer B.Eng.
Anni Dietz-Blümel
Ing. Gabriella Bähr
Adelheid Hecker
Micha Eckbauer B.Sc.
Theodor Bolnbach-Kroker
Micha Röhricht B.A.
Branka Mentzel
Dr. Lisa Stroh B.Sc.
Ulrike Hiller
Alina Hoffmann
Kunibert Trommler-Renner
Ivo Börner
Roman Jäntsch
Stilla Klotz
Rosa-Maria Knappe
Cordula Mangold
Gabriela Gierschner
Astrid Dehmel
Frau Gudrun Huhn B.Sc.
Regine Sorgatz
Dipl.-Ing. Kevin Henk B.A.
Angelo Schmidtke
Marcel Stumpf
Dipl.-Ing. Liliana Hartmann
Gerwin Textor
Elena Pruschke
Zeki Hartung
Ingetraud Caspar
Burghard Davids
Johanna Stumpf
Domenico Gerlach-Kramer
Dusan Conradi-Rogner
Gabi Heinz
Gino Ernst
Karl Meister B.Eng.
Hasan Klemm
Burkhard Holt-Schleich
Maximilian Juncken
Gülten Röhrdanz
Hans-Georg Anders
Geza Hertrampf B.A.
Hans-Bernd Zorbach
Magret Oderwald
Josip Kuhl
Clemens Barth
Paolo Wernecke
Gereon Weitzel
Annaliese Hettner B.A.
Thorsten Adler B.Sc.
Emil Preiß-Hecker
Dorota Mude
Frau Mirja Jüttner B.Eng.
Klaus-Peter Schüler-Schaaf
Ismail Steinberg
Frank-Michael Klemt
Anatolij Peukert
Oskar Löwer B.Eng.
Hans-Martin Bärer
Gerhart Schenk MBA.
Birgid Schüler
Zdravko Jacob
Ignatz Börner
Ing. August Hellwig B.Eng.
Hartmut Biggen-Trapp
Mina Segebahn B.A.
Dorit Ebert
Prof. Klaas Geißler B.A.
Dr. Renate Mende
Joachim Steuer
Tülay Fiebig
Zofia Schulz
Sonja Barkholz
Valeri Mielcarek
Yasmin Reising
Luka Binner
Elli Täsche B.Eng.
Dipl.-Ing. Henriette Lindau
Bayram Kostolzin-Rosenow
Ingried Bähr
Helmut Renner
Frau Kirsten Geißler
Antonios Zimmer
Eva-Maria Zänker
Dipl.-Ing. Grete Stiebitz
Univ.Prof. Sigurd Fischer B.Eng.
Luzia Eckbauer
Ladislaus Killer
Robert Etzold
Dr. Muzaffer Sauer B.Eng.
Dr. Almut Nohlmans B.A.
Mia Paffrath-Ortmann
Margareta Losekann
Volkmar Hentschel
Berndt Grein Groth B.Sc.
Univ.Prof. Eugen Karz
Ansgar Tlustek MBA.
Reimar Kabus
Zita Butte
Olav Thies
Theodor Niemeier
Irmi Biggen
Brunhilde Scholz
Constanze Lange
Evangelia Gierschner
Denny Lachmann
Sami Mitschke
Manuel Stolze MBA.
Dr. Gerda Butte MBA.
Ismail Koch
Univ.Prof. Heinz-Dieter Schuster
Klaus Dieter Stoll-Wilms
Mariele Stiffel B.Sc.
Kreszentia Pölitz-Karge
Annette Ullmann
Miguel Dussen van B.Eng.
Cetin Heidrich
Sedat Gude
Marie-Luise Rogner
Herma Geisler-Beckmann
Prof. Sylvester Bender
Ronald Rädel
Prof. Jelena Krebs B.Sc.
Heide-Marie Zirme
Lena Wende
Antonietta Putz B.Eng.
Dr. Tim Hornig B.Sc.
Ignaz Warmer
Luigi Wähner
Meta Eigenwillig
Valeska Zimmer-Schleich
Dipl.-Ing. Geert Holsten B.Sc.
Willibald Boucsein B.Sc.
Eileen Geißler
Frau Herlinde Schleich B.Sc.
Susana Schaaf
Ulrich Segebahn
Dipl.-Ing. Cristina Vogt
Univ.Prof. Cecilia Scholl MBA.
Wolfhard Jäkel MBA.
Dagobert Rogge
Gerdi Neureuther-Mälzer
Univ.Prof. Josefine Gerlach
Dr. Philip Siering B.A.
Ria Koch II
Hermine Franke B.Eng.
Vera Losekann
Günter Rudolph B.Eng.
Claire Rogner-Scheel
Ing. Rose-Marie Hölzenbecher
Prof. Orhan Ladeck MBA.
Antje Etzold
Knud Zimmer
Lilli Meyer-Reuter
Ing. Jens Henck B.Eng.
Adelinde Kensy B.Eng.
Patrizia Spieß
Ottilie Trüb
Emmerich Killer
Carmen Textor-Krebs
Augustin Wende
Prof. Sandra Klapp
Tillmann Stolze
Ignaz Beer-Eckbauer
Jozef Bohlander
Beata Lübs
Julian Dussen van B.Eng.
Birgid Drewes-Seifert
Herr Darius Heuser
Mareen Mans
Kathi Christoph
Gloria Schulz-Huhn
Hans-J. Trapp-Koch II
Lieschen Walter
Gordon Klemt-Rörricht
Anneke Jähn
Paul-Gerhard Jungfer B.Eng.
Jacek Bärer
Prof. Patrik Scheel
Herr Wilhelm Schuchhardt B.A.
Brita Schwital
Prof. Rudolph Linke
Dominic Möchlichen
Annemarie Häring
Felix Müller
Priska Rädel
Dr. Joseph Bien
Henny Rose
Janett Patberg
Ing. Alban Mohaupt
Karl-Peter Grein Groth B.Eng.
Milan Weiß-Schuchhardt
Miroslaw Holt
Meryem Hänel-Jungfer
Sigurd Lange-Seifert
Dominik Spieß
Anne-Katrin Seip
Univ.Prof. Ludwig Jähn B.A.
Ruthild Juncken B.Sc.
Prof. Natalija Weinhold
Jens-Uwe Schlosser
Dr. Peer Schwital MBA.
Enver Börner MBA.
Prof. Hannah Hölzenbecher MBA.
Dr. Deborah Kade
Halina Austermühle-Bender
Wibke Tschentscher-Wulf
Ing. Wladimir Karz MBA.
Ing. Antonius Jacobi Jäckel MBA.
Jiri Kambs
Herr Simon Fliegner MBA.
Theda Klotz
Klaus-Jürgen Jockel
Dipl.-Ing. Nuray Mude B.Sc.
Helma Schaaf B.A.
Clara Mans
Wulf Fiebig B.A.
Univ.Prof. Resi Knappe
Herr Jacek Budig B.Eng.
Isabelle Förster-Beyer
Hildegunde Geißler-Klemm
Wiltrud Geißler
Sylvie Neuschäfer
Goran Benthin
Norman Wulf
Prof. Dirk Biggen B.Eng.
Ilija Kohl
Prof. Liliana Klemm MBA.
Dr. Francisco Hänel
Martina Salz-Sorgatz
Margita Meister
Czeslaw Siering
Sina Mende
Reni Putz-Tintzmann
Irmengard Eckbauer
Stavros Zirme
Ing. Helmtrud Dussen van
Emine Tlustek B.Sc.
Prof. Andrzej Gorlitz
André Kraushaar-Henck
Jonas Adler
Daniel Zänker
Univ.Prof. Michaele Heser MBA.
Wera Schmidt
Slawomir Drub-Gute
Karl-Heinrich Sölzer
Doreen Hornig
Gudula Niemeier
Janusz Eberhardt MBA.
Ing. Pamela Gerlach
Susann Hartung-Schmiedecke
Emil Grein Groth
Ladislaus Hande
Robin Sölzer
Verena Höfig
Dorina Fiebig
Dipl.-Ing. Henriette Schmidtke MBA.
Marijan Killer
Julian Schuchhardt-Dippel
Ing. Gertraude Holsten B.Sc.
Alois Werner
Zeljko Hiller-Misicher
Geraldine Eckbauer
Zbigniew Höfig B.Eng.
Friedericke Roht
Gundel Bien MBA.
Prof. Monique Budig B.Eng.
Dipl.-Ing. Nathalie Radisch
Romy Zahn-Bien
Johann Seidel
Dipl.-Ing. Marisa Scholl
Dipl.-Ing. Ingbert Krebs B.Eng.
Miroslav Krein
Romy Etzold
August Weihmann
Theodora Aumann
Zoran Oestrovsky
Asta Mielcarek-Blümel
Julia Hecker-Krebs
Jenny Scholtz
Orhan Dörr-Salz
Rebecca Geißler
Bärbel auch Schlauchin
Ing. Muharrem Paffrath B.Sc.
Susanne Etzold
Sigmund Herrmann MBA.
Wilhelm Klemm B.A.
Irmtraut Ortmann MBA.
Jonas Albers
Elfi Roht
Herr Hellmuth Birnbaum B.A.
Burckhard Caspar
Justus Schleich-Drewes
Fatih Zirme
Burckhard Mende
Heinz-Gerd Gorlitz B.Eng.
Frank-Peter Haase
Klaus-Dieter van der Dussen
Herr Janus Matthäi B.Sc.
Herr Vito Roskoth B.Sc.
Ing. Massimo Losekann
Ing. Margarete auch Schlauchin MBA.
Herr Frieder Wulff B.Sc.
Lothar Ladeck
Samuel Ackermann
Frau Annett Tlustek B.Eng.
Mercedes Sauer
Birte Jüttner
Petar Bauer
Ibrahim Lehmann B.Eng.
Kreszenz Beier
Friedemann Stoll
Necati Koch
Claudio Bolnbach
Bertha Köhler
Roswita Sauer
Veit Beckmann
Priska Wende
Dr. Elzbieta Mitschke B.Eng.
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Prof. Tillmann Holt B.A.
Uli Stolze MBA.
Herr Frank Bolnbach
Antonia Mohaupt
Wilfriede Ziegert
Camilla Wiek
Hartwig Sorgatz B.Eng.
Rosita Wesack B.Sc.
Tomislav Girschner
Herr Darko Gutknecht MBA.
Thorben Kitzmann
Elif Röhricht
Siegbert Seifert
Ing. Dietlind Gieß
Ing. Jonas Schaaf
Raisa Scholtz
Alena Seip
Herr Hans Rogge
Dipl.-Ing. Astrid Kade
Helma Fliegner
Sonia Säuberlich-Langern
Univ.Prof. Hans D. Ullrich
Hans Misicher
Rene Lindau-Jäkel
Marten Röhricht B.Sc.
Korbinian Bolander
Sara Heuser
Gabriele Stahr
Heinz-Willi Holt
Urban Klemt
Mina Beyer
Amir Reuter
Hans-Ulrich Plath B.A.
Elmar Fröhlich
Mike Sölzer
Dorit Zimmer-Krein
Necati Lindner
Johanna Fischer
Herr Hans Peter Jacob
Eva-Maria Eberth B.A.
Univ.Prof. Czeslaw Heuser
Irmtrud Mohaupt-Etzler
Lars Eckbauer-Möchlichen
Inka Trub
Sergej Hauffer MBA.
Helena Franke
Karen Rädel
Eggert Rörricht-Schwital
Edgar Rohleder-Fröhlich
Arne Dobes
Ralph Stahr
Lilija Kensy
Augusta Flantz
Stephan Warmer B.Eng.
Piotr Speer-Seifert
Dr. Annelene Hamann
Stilla Köhler
Kathleen Hahn B.A.
Guenther Metz
Irmi Schacht
Marion Drewes
Franz Josef Flantz
Hans-Erich Mende
Thorsten Ruppersberger
Jonas Budig
Univ.Prof. Francisco Tröst B.Eng.
Constanze Schleich
Cläre Mohaupt
Janine Dehmel B.Eng.
Prof. Hans-Hinrich Schmidt
H.-Dieter Gerlach
Swetlana Jessel
Heribert Ring B.A.
Heinz-Peter Biggen
Diethelm Hübel MBA.
Michael Mies B.Sc.
Egbert Jüttner
Prof. Marten Söding B.A.
Heinz-Georg Rosemann-Bohnbach
Minna Wernecke-Gumprich
Gerhart Hentschel
