Student
Marie-Theres Trupp
Adalbert Schmidtke
Meike Berger
Brunhild Briemer B.Sc.
Ludwina Mohaupt
Edeltraud Kaul
Ing. Carolin Matthäi
Bertram Rädel
Gaetano Paffrath
Ing. Kay-Uwe Flantz
Mirjam Stumpf
Traudel Wilmsen B.A.
Herr Karlheinz Mans
Alfred Rose
Stanislav Hoffmann
Karl-Otto Kostolzin
Herr Jacek Budig B.Eng.
Hanspeter Benthin
Imke Austermühle-Löwer
Evangelia Röhricht
Univ.Prof. Roman Misicher
Clarissa Buchholz
Paulo Trommler
Ursel Conradi
Dr. Cäcilia Henk B.Eng.
Nikolai Stiebitz
Regine Meyer
Prof. Heinz-Josef Radisch B.A.
Emilie Scholz
Constance Drubin
Siegbert Conradi
Matthäus Striebitz-Zirme
Herta Hendriks
Insa Jacobi Jäckel
Hiltraud Köster MBA.
Cemal Trapp
Dr. Hans-Peter Adolph MBA.
Marleen Langern-Oderwald
Carmen Weinhold
Lilo Hartung
Karl-Georg Römer B.A.
Vitali Ortmann
Johann Rust
Ingried Sauer
Utz Christoph-Henck
Ibrahim Ditschlerin
Birte Gröttner MBA.
Nelly Buchholz
Wilfriede Ziegert
Calogero Mude-Etzold
Marietta Geißler
Dr. Elzbieta Mitschke B.Eng.
Cora Stumpf-Gunpf
Theda Klotz
Concetta Dehmel
Edda Junck-Eimer
Gabriel Kreusel
Benno Kraushaar
Hatice Killer-Löwer
Anne-Rose Klemm
Heinz-Josef Meister
Ing. Ernest Rogge B.A.
Dr. Rita Kallert
Geert Rust
Enrico Drewes
Angelina Noack-Wagenknecht
Gundel Dietz
Margaretha Kohl B.Sc.
Nada Girschner
Univ.Prof. Luisa Scholz B.Eng.
Mechthilde Lindau B.A.
Ing. Siegrid Birnbaum
Melitta Steinberg
Verena Höfig
Dr. Annette Linke MBA.
Dipl.-Ing. Regine Renner
Valerij Weller-Barkholz
Vito Roht
Moritz Schönland
Luigi Wähner
Ilija Kohl
Bettina Schlosser
Aleksander Scheuermann
Mohamed Heydrich
Herr Ronny Tröst B.Sc.
Caren Neureuther
Dipl.-Ing. Gudula Margraf B.Sc.
Doris Kraushaar
Dr. Alma Warmer MBA.
Sebastian Vogt
Wilfriede Ehlert
Frau Dana Röhrdanz
Roman Bloch
Liesbeth Schlosser
Rolf-Dieter Jacobi Jäckel-Nerger
Mike Hofmann
Folkert Barth B.Sc.
Bernhardine Mangold
Andrea Ziegert
Timm Oderwald
Kreszentia Pölitz-Karge
Ing. Giuseppe van der Dussen B.A.
Marcella Sölzer
Ernest Müller
Dogan Kranz
Alban Dippel
Sibille Liebelt
Theresa Schüler
Eduard Kühnert
Stephan Hauffer
Renate Mies
Zbigniew Weinhage
Heimo Karge-Freudenberger
Bertha Gotthard
Hilmar Faust
Recep Weihmann
Ilonka Noack
Edmund Caspar B.Sc.
Elisa Steinberg
Herr Darko Gutknecht MBA.
Hans-Wilhelm Weller
Heinz-Georg Hornich
Olaf Weinhage
Jadwiga Gotthard
Gregor Jungfer
Rose Henschel
Dr. Wencke Junken B.Eng.
Frau Angelina Martin
Univ.Prof. Änne Finke B.Sc.
Irmtrud Klingelhöfer
Klaus-Peter Gieß-Winkler
Birgitta Schleich
Gotthold Krause
Prof. Sarina Hartmann
Prof. Hermann Bohlander B.Eng.
Geert Zänker
Frau Brit Stoll
Stjepan Langern
Maurizio Eckbauer
Waltrud Scholl
Alexander Beckmann MBA.
Kasimir Albers-Stiebitz
Dr. Natascha Schmidtke B.Eng.
Hans-Willi Benthin
Geert Rudolph
Isa Kramer-Matthäi
Oxana Stumpf
Slavica Ernst-Schmidtke
Faruk Döhn
Rosmarie Kambs MBA.
Nina Putz-Ritter
Dolores Conradi
Dipl.-Ing. Edmund Franke
Mathias Matthäi
Prof. Karl-Heinz Ruppersberger
Rene Rohleder
Dr. Krista Jäkel B.A.
Karl-Dieter Süßebier
Klaus-D. Zänker-Hein
Margaret Kraus
Woldemar Heinz
Ehrentraud Kroker
Severin Barkholz B.Eng.
Julia Heinrich
Roy Schmidt B.Eng.
Nora Klapp-Finke
Dr. Anatoli Bonbach
Dipl.-Ing. Nina Boucsein MBA.
Sofie Schmiedecke
Patrick Pärtzelt-Henck
Joachim Kramer
Brunhilde Heinz MBA.
Geraldine Wagner
Carla Hecker
Heinz-Josef Jähn MBA.
Prof. Ricardo Kensy
Janus Oderwald-auch Schlauchin
Franz-Josef Schmidtke
Lisette Stoll B.Eng.
Inge Dehmel
Hannes Meyer
Ing. Klaus-Michael Bolzmann
Immo Koch II
Univ.Prof. Ignatz Baum
Anna-Luise Kraushaar
Willy Hornig
Antonina Christoph MBA.
Giorgio Trüb
Recep Röhricht B.Sc.
Friedrich-Karl Jopich B.Eng.
Anto Niemeier
Ottilie Scheel
Aneta Schlosser-Köster
Stavros Zirme
Karlfried Zahn B.A.
Univ.Prof. Romuald Hermighausen
Lucie Gutknecht
Nikolas Heß
Ing. Natalie Oderwald B.Sc.
Hans-J. Hahn-Süßebier
Arnfried Scheuermann
Pasquale Karge
Kriemhild Warmer
Hanni Dippel-Heser
Hans-Bernd Kabus
Alois Römer-Becker
Wolf-Dietrich Gotthard-Dussen van
Mona Wiek B.Eng.
Jonathan Birnbaum-Stiebitz
Heimo Ziegert
Valentin Rädel
Alena Hänel
Frau Inken Zimmer B.Eng.
Ben Bonbach B.A.
Maria-Luise Schaaf
Alfons Schleich B.A.
Adem Schleich
Miodrag Dörr-Austermühle
Ingelore Heinz
Dr. Songül Tlustek MBA.
Faruk Birnbaum
Irmengard Jüttner B.Eng.
Felicitas Ruppersberger
Geraldine Gutknecht
Natalja Seidel
Dr. Patrizia Dörschner B.A.
Evangelia Misicher
Hedda Haase
Bozena Carsten B.Sc.
Dr. Ingelore Winkler
Prof. Sandy Butte
Freia Kraushaar B.A.
Hans-Helmut Binner B.Sc.
Frau Ingelore Gertz
Luisa Hecker
Dietrich Kruschwitz
Ida Hendriks B.A.
Kathrin Beckmann-Heinz
Josip Hiller-Hauffer
Sylvester Zirme
Jacqueline Hofmann
Salvatore Tlustek
Angelo Schmidtke
Jozef Kostolzin
Lieschen Röhrdanz
Cord Mende B.Eng.
Agathe Weinhage B.A.
Antonios Zimmer
Dipl.-Ing. Tina Wagenknecht MBA.
Rosa Kobelt
Dr. Gert Trapp MBA.
Dagmar Franke-Schleich
Andrei Hertrampf-Trommler
Philomena Salz
Gabriele Käster
Jens-Uwe Schlosser
Ing. Silke Kambs
Frau Caren Schmidt MBA.
Elvira Mälzer
Senta Weihmann
Dr. Ottfried Lachmann B.Sc.
Herr Augustin Thies B.A.
Univ.Prof. Samira Drewes
Änne Schweitzer-Putz
Prof. Mahmut Barth B.A.
Dorle Knappe
Lia Zänker
Fernando Gieß
Ewald Dussen van
Saskia Wagenknecht
Wilma Pärtzelt-Huhn
Wally Kreusel
Reimar Jacob-Loos
Dina Schmidtke
Dipl.-Ing. Karina Kambs MBA.
Rico Putz-Killer
Volkhard Köster-Jüttner
Univ.Prof. Ingelore Schulz MBA.
Dipl.-Ing. Claas Ladeck
Anatolij Junk
Catharina Jacob
Francisco Trupp
Ing. Selim Tintzmann B.A.
Ernestine Trommler
Prof. Tina Ullrich
Pedro Bärer
Karl Heß
Heinz Krebs B.Eng.
Lars Eckbauer-Möchlichen
Othmar Weinhage MBA.
Hans-Karl Bauer B.Eng.
Ahmet Pärtzelt
Karlfried Sorgatz
Prof. Lene Oestrovsky B.Sc.
Melita Schacht
Prof. Clarissa Barth
Editha Jacob
Lene Sauer
Ing. Alf Lachmann
Kazim Junken
Margarete Mohaupt B.Sc.
Dipl.-Ing. Milos Klemt
Sylvester Bender-Boucsein
Dipl.-Ing. Alan Schacht B.Eng.
Valerij Schulz B.A.
Josefa Hauffer
Univ.Prof. Hans-Rudolf Wohlgemut
Prof. Bernward Wulf B.Eng.
Murat Förster
Fredi Huhn
Univ.Prof. Gustav Sölzer
Friedericke Lange
Univ.Prof. Mahmoud Liebelt
Aysel Bruder MBA.
Dipl.-Ing. Elly Davids B.Sc.
Klothilde Zänker
