Student
Kenan Wulff-Plath
Pius Jopich B.Eng.
Helma Fliegner
Yvette Margraf-Wernecke
Philipp Killer B.A.
Herr Vinzenz Jäntsch B.A.
Marianne Heser
Nikolas Ebert
Franz-Xaver Carsten
Elenore Hofmann-Aumann
Anka Gieß
Amelie Pruschke MBA.
Slawomir Drub-Gute
Volker Hettner
Jann Cichorius
Louis Geisel
Dajana Meyer
Aloys Fechner
Fatima Heser B.Eng.
Adalbert Reising
Gönül Barth-Zobel
Virginia Kaul
Carolina Ditschlerin
Dr. Lea Kraushaar B.Eng.
Herr Muzaffer Schäfer
Dipl.-Ing. Herta Fliegner MBA.
Antonius Hermighausen
Kristin Bohlander B.Eng.
Jasmina Bolzmann
Kornelius Fröhlich B.Sc.
Ljubica Wohlgemut-Schmidt
Patrik Ditschlerin
Dr. Hildegund Gnatz B.Eng.
Prof. Patrik Scheel
Prof. Axel Davids MBA.
Ing. Henrike Kramer
Karl-Heinz Rohleder
Jochen Naser
Ahmed Lange MBA.
Univ.Prof. Beatrix Roskoth
Annemie Herrmann
Lutz Röhricht B.A.
Guido Junck
Nicolas Tschentscher
Bernhard Becker
Dagobert Hornig
Elena Pruschke
Frau Renate Geisler
Roman Jäntsch
Wiltrud Geißler
Wladimir Karge
Gertraud Mende
Pauline Mosemann
Piotr Ruppersberger
H.-Dieter Gerlach
Traudl Röhrdanz-Spieß
Thorben Rosenow
Marek Adler
Dr. Sükrü Hettner
Frau Francesca Blümel
Ismail Geisler
Phillip Hermann
Dipl.-Ing. Wanda Dussen van
Romuald Kambs MBA.
Bertha Ritter-Drubin
Sybilla Hornig
Knut Jacob
Dipl.-Ing. Giuseppina Etzler B.Sc.
Roman Bloch
Helga Gerlach-Seifert
Stanislaus Davids MBA.
Herr Darius Heuser
Alida Tröst
Nico Drewes
Ignatz Wähner-Hänel
Waltraut Gehringer
Bernd Blümel
Helge Schuchhardt
Evi Oestrovsky
Miroslawa Gude B.Sc.
Geert Rust
Milan Weiß-Schuchhardt
Rose Henschel
Helga Franke
Friedl Hänel
John Bauer
Univ.Prof. Charlotte Lindner MBA.
Univ.Prof. Giovanna Bachmann B.Eng.
Gitta Berger
Ditmar Trub
Tino Wagenknecht B.Eng.
Dipl.-Ing. Svea Neureuther
Marie Sorgatz MBA.
Anthony Patberg
Lambert Gehringer
Josefa Stolze
Kathi Häring
Apollonia Trüb B.A.
Gertraud Tröst
Herr Karl-Heinrich Eberth B.Sc.
Univ.Prof. Undine Jungfer
Ing. Anika Jüttner
Wenke Patberg
Traudel Loos
Siegmar Keudel-Gude
Rahel Stey
Bruno Hethur
Frau Myriam Walter B.Sc.
Mariusz Baum
Univ.Prof. Inga Hermighausen B.Eng.
Herr Sigismund Gieß MBA.
Drago Gierschner B.Eng.
Stefano Huhn
Prof. Arnold Caspar B.A.
Monica Drub-Davids
Therese Rohleder
Herr Torsten Hermighausen B.Sc.
Iris Kraushaar B.Sc.
Prof. Vadim Rogner
Dipl.-Ing. Jozef Hartmann
Gerhart Karz
Hellmuth Drubin-Tschentscher
Ing. Konstantin Gerlach B.A.
Univ.Prof. Marc Schmiedt
Ing. Diedrich Gotthard MBA.
Prof. Nikolaos Steinberg B.Sc.
Hans-Werner Mohaupt
Dipl.-Ing. Till Schenk
