Student
Hanne-Lore Johann
Benjamin Stoll
Univ.Prof. Gregor Gieß MBA.
Dr. Ruben Wernecke
Imke Austermühle-Löwer
Esther Hoffmann-Hermighausen
Adem Schleich
Ing. Ivo Weinhold
Magarete Krause
Vesna Wähner
Julia Heinrich
Oxana Stumpf
José Tschentscher-Textor
Ing. Nicolai Textor B.A.
Josephine Rogge
Aleksej Fröhlich
Henrik Heidrich
Bertha Ritter-Drubin
Karl-Heinrich Schüler
Angelique Kruschwitz
Ada Ullmann-Hermann
Ernst Henschel
Dr. Elmar Junk
Cemal Klingelhöfer-Otto
Frau Clarissa Rosenow B.A.
Karen Grein Groth-Dörschner
Theresa Killer
Pascal Freudenberger
Meike Trupp
Gabor Pechel-Junken
Carl-Heinz Steinberg
Ahmet Pärtzelt
Univ.Prof. Clara Heidrich B.Sc.
Silvia Eberth
Sophie Rädel
Walther Hofmann
Miroslav Paffrath
Ditmar Dehmel
Magdalene Fröhlich
Prof. Wilma Mangold
Ernestine Trommler
Anne-Marie Sontag
Nelly Buchholz
Alessandro Caspar
Laura Wilms
Univ.Prof. Monja Staude MBA.
Recep Hecker
Eugenia Sorgatz
Jurij Zahn B.Sc.
Ing. Meinhard Schweitzer
Miroslav Krein
Tilman Killer B.A.
Prof. Carina Eimer
Urban Klemt
Philippe Wähner
Annaliese Gute
Hans D. Schenk
Frau Svenja Hövel B.Sc.
Heribert Römer-Lindau
Georgios Neuschäfer
Magdalena Warmer MBA.
Leo Gunpf-Bolzmann
Ing. Steffen Röhrdanz B.A.
Wolfhard Vogt
Carsten Junken
Fedor Roskoth B.A.
Lea Heuser
Gisela Paffrath
Hans-Herbert Harloff
Ulla Hamann
Nico Drewes
Edit Dowerg
Leszek Hentschel
Dipl.-Ing. Regine Renner
Bogdan Zirme
Oxana Linke B.Eng.
Gerd Beckmann-Gnatz
Ottmar Beier
Hanni Dippel-Heser
Aleksander Wagner-Barth
Prof. Lene Oestrovsky B.Sc.
Marlies Seifert-Roht
Emma Sauer B.Eng.
Jacob Bähr
Dipl.-Ing. Marc Stroh
Wilma Paffrath
Susann Mielcarek
Gilbert Bolnbach
Michelle Pohl
Frau Zdenka Zimmer
Herwig Krebs
Dipl.-Ing. Marek Jockel
Kasimir Lindau
Dipl.-Ing. Augusta Lachmann B.A.
Bianca Mans
Adolfine Dippel
Friedbert Sorgatz
Engelbert Sauer MBA.
Mona Thies
Monika Hornich MBA.
Rolf-Dieter Kensy
Angelika Roskoth
Marion Kuhl
Hans D. Haering
Elsbeth Schmiedecke-Wulf
Celal Pohl
Traudl Gierschner
Engelbert Carsten-Hiller
Franca Harloff-Döring
Hans Jürgen Lange
Alwine Wirth-Klemm
Carola Kusch
Prof. Diether Neureuther
Thomas Kraushaar
Herr Aleksandr Wiek B.Sc.
Mohamed Stiebitz-Pärtzelt
Canan Heinrich
Ing. Gregor Lindau
Heinz-Joachim Spieß
Anatolij Kroker B.Eng.
Tilly Pergande
Reni auch Schlauchin
Traugott Ruppert
Herr Bertold Löffler
Frau Edeltraud Radisch B.A.
Dr. Bernfried Schomber
Piotr Schaaf
Klemens Thies
Univ.Prof. Romana Hiller
Branka Mentzel
Univ.Prof. Ewald Rogner B.Sc.
Ing. Meik Eberhardt B.A.
Susanna Weitzel
Imke Keudel B.Sc.
Arno Lindner
Mina Beyer
Dipl.-Ing. Elisabeth Wiek
Friedrich-Karl Sorgatz-Schmiedt
Gerda Gröttner B.Sc.
Sylvio Stiffel
Leonardo Vogt
Sigrun Weinhold
Urs Bähr
Prof. Clarissa Barth
Univ.Prof. Franz-Xaver Girschner B.Sc.
Eileen Etzler
Ana Klapp MBA.
Ing. Krzysztof Kambs B.Eng.
Rosina Klotz B.A.
Guiseppe Tschentscher
Joanna Christoph
Bertram Eigenwillig
Brigitte Knappe
Ing. Friedhelm Löchel B.Eng.
Hanspeter Juncken
Istvan Patberg-Anders
Julius Kraushaar
Ehrhard Pruschke
Dr. Jan-Peter Martin B.Eng.
Gundi Schwital
Emma Blümel
Hansjürgen Lindner
Melitta Steinberg
Anni Kraus
Herr Rigo Krebs B.Eng.
Leonardo Lehmann
Raissa Gehringer-Putz
Wolf-Dieter Rudolph-Bruder
Jens-Uwe Neureuther
Ing. Giuseppe van der Dussen B.A.
Frau Annita Beckmann
Ottilie Blümel
Cristina Salz B.Sc.
Senol Heintze-Gerlach
Ria Stroh
Dipl.-Ing. Sarina Dörr
Herta Hoffmann
Herr Ilja Kroker
Univ.Prof. Dorle Röhrdanz B.A.
Gisa Atzler
Aurelia Sorgatz
Ing. Willi Warmer B.Eng.
Univ.Prof. Jann Schleich
Hedy Loos
Frau Natalija Stey
Rabea Weiß MBA.
Prof. Olga Steckel B.A.
Claus-Dieter Krause
Laila Trüb
Dipl.-Ing. Wolfram Johann B.Eng.
Kristian Rosemann B.Sc.
Ruth Wiek-Bloch
Cosimo Zimmer
Gisela Girschner
Zbigniew Schleich-Huhn
Dipl.-Ing. Gabi Scholtz
Ing. Swen Sorgatz B.Eng.
George Käster-Eberth
Bettina Schlosser
Martin Pechel-Freudenberger
Erkan Beier
Herr Imre Kohl
Hilde Walter
Friederike Sölzer-Hentschel
Louis Kostolzin
Lisbeth Hentschel
Rosa-Maria Knappe
Alena Holzapfel
Marie-Louise Killer-Etzler
Dietrich Kruschwitz
Frau Ivanka Killer MBA.
Gernot Kobelt
Enver Dehmel
Raisa Stey-Sauer
Oxana Lübs
Jiri Hoffmann B.Sc.
Jörg Speer
Giorgio Trüb
Dusan Zahn B.A.
Univ.Prof. Marita Pohl
Theo Döring
Dagmar Franke-Schleich
Ing. Alberto Werner
Ottfried Peukert-Schulz
Peter Mitschke
