Student
Klothilde Blümel B.A.
Manuel Hering-Jäntsch
Univ.Prof. Diedrich Köhler B.A.
Rolf-Dieter Jacobi Jäckel-Nerger
Franz Josef Haase
Anne-Marie Stumpf
Prof. Ulla Dussen van B.Sc.
Fredi Wilmsen
Conrad Paffrath
Frau Nuray Mangold MBA.
Stilla Hornig B.A.
Dipl.-Ing. Edda Barth MBA.
Ria Dietz
Irmi Jüttner
Zeljko Baum
Dana Ebert B.A.
Edgar Rohleder-Fröhlich
Ing. Sina Johann MBA.
Univ.Prof. Willfried Werner B.Sc.
Roswita Atzler
Ivanka Rogge
Bela Naser-Löwer
Nikolai Haase B.Sc.
Milka Scholl
Knud Trommler
Ronald Stiebitz
Gordana Bolnbach
Rupert Kallert
Dr. Hans-Hermann Rosemann B.A.
Dipl.-Ing. Heinz-Otto Jähn
Heinz-Walter Juncken
Eitel Ernst
Dr. Adriane Bärer B.Eng.
Dipl.-Ing. Margaretha Köhler B.Eng.
Prof. Lieschen Bohlander
Bogdan Römer B.Eng.
Dr. Songül Tlustek MBA.
Kai-Uwe Rogner
Max Fiebig
Mehmet Beckmann-Geisel
Isa Tlustek
Jerzy Hermighausen-Lübs
Ulla Hamann
Steven Seifert
Karl Heinz Eigenwillig
Vesna Döhn
Zehra Ernst-Bohnbach
Dipl.-Ing. Charles Täsche
Karl-Hans Hande-Schuster
Ing. Edeltraud Zirme
Dipl.-Ing. Mareike Noack B.Sc.
Ismail Koch
Hans-Hinrich Linke
Cordula Hornig
Christos Ruppert B.A.
Leon Rust
Dr. Diedrich Gerlach B.A.
Wolf Martin
Klaus Peter Weller
Dipl.-Ing. Friedrich Hiller B.Eng.
Prof. Helga Hesse
Reza Mielcarek
Marina Wilmsen
Rosa Hübel
Hiltrud Klemm
Steven Trub
Elfi Roht
Gerwin Textor
Malgorzata Pieper
Marcella Holzapfel
Frau Maria Jopich
Maria Mans B.Eng.
Johann Reuter
Karlfried Franke
Ilias Seip
Evangelos Hartmann B.A.
Isidor Atzler
Matthäus Eckbauer
Cindy Stahr
Heimo Ziegert
Corina Pergande
Antonina Neureuther
Marlis Rogge B.Sc.
Magda Geißler
Otmar Ditschlerin
Jolanda Rose
Dr. Eberhardt Adolph B.Eng.
Milica Reichmann
Marlis Wiek
Agata Hertrampf
Hedy Kobelt
Claire Rogner-Scheel
Gunhild Nohlmans
Friedericke Lehmann B.Sc.
Ing. Ignaz Rose
Augustin Wende
Wendelin Zorbach MBA.
Hans Jürgen Grein Groth-Rudolph
Univ.Prof. Margitta Wagenknecht B.Eng.
Hans-Detlef Schleich
Heinz-Otto Hermighausen
Madlen Salz
Mariusz Stadelmann B.Sc.
Sigmund Heydrich
Sami Mitschke
Dr. Ehrhard Gieß B.Sc.
Margareta Schmidt
Dierk Beier
Univ.Prof. Dolores Jäkel
Benita Hahn-Wieloch
David Faust-Holsten
Katrin Oestrovsky-Fechner
Stanislav Hoffmann
Prof. Svea Putz MBA.
Prof. Alexei Krebs
Selma Girschner B.Sc.
Ing. Wolf-Rüdiger Dietz B.Sc.
Mohamed Stiebitz-Pärtzelt
Zofia Schulz
Ing. Bianka Bärer MBA.
Slavko Schüler B.Eng.
Cornelius Jacobi Jäckel
Prof. Linus Kambs B.A.
Reza Kusch
Götz Budig
Hermann Josef Schmiedecke
Dipl.-Ing. Grete Stiebitz
