Student
Gottlob Römer
Dipl.-Ing. Bernhardine Heß
Harry Lange
Philipp Reising-Harloff
Birgitt Seip-Klemm
Gina Stolze
Prof. Hansjürgen Langern
Mareike Wilmsen
Friedemann Stoll
Oxana Schmidtke
Liesa Wilms B.A.
Vassilios Kramer
Adriana Vogt
Johanna Fischer
Gino Heß
Daniela van der Dussen B.Eng.
Reimar Klemm MBA.
Anika Tschentscher
Dr. Baldur Johann B.Eng.
Maja Jungfer
Achim Etzold MBA.
Gerta Klemt
Caroline Linke
Daniele Finke
Gerwin Salz
Thea Nette
Amir Reuter
Lilija Kensy
Regina Becker
Prof. Siegrun Langern
Matthäus Eckbauer
Ing. Emanuel Tintzmann
Reni Cichorius
Ilias Seip
Reinhilde Hesse B.Sc.
Univ.Prof. Petra Scheel
Ing. Marga Lehmann MBA.
Veit Etzler
Dipl.-Ing. Henriette Schmidtke MBA.
Lidwina Jockel
Uwe Dussen van
Sara Heuser
Birgid Schüler
Antonino Rogge-Meyer
Frau Mirja Jüttner B.Eng.
Cilli Röhricht
Diethelm Hofmann
Univ.Prof. Vinko Tschentscher
Dr. Frederik Dobes MBA.
Nora Klapp-Finke
Victor Häring
Hanna Knappe
Dipl.-Ing. Daniele Geißler
Siegrid Segebahn
Hartwig Zirme
Frau Eugenia Matthäi
Dipl.-Ing. Friedrich Hiller B.Eng.
Uwe Sorgatz
Frau Cordula Anders B.Eng.
Leonardo Trub B.A.
Ing. Cord Hermighausen B.Eng.
Adeline Hein-Metz
Eugenia Stey
Sophie Rädel
Univ.Prof. Mira Heser B.Sc.
Ottmar Hölzenbecher
Eleni Matthäi
Traudl Gierschner
Janus Jessel-Hermann
Angelique Adler
Zita Ullmann-Heydrich
Gunnar Weimer
Willibald Boucsein B.Sc.
Renate Mies
Florentine Sölzer-Siering
Xenia Hermann
Burckhard Heuser
Aribert Schulz B.Eng.
Juergen Beier B.A.
Prof. Anna Kühnert B.Sc.
Roderich Scholtz
Joseph Gorlitz-Bloch
Jaroslaw Seip
Prof. Miguel Dowerg B.A.
Susanna Weitzel
Aleksander Wagner-Barth
Notburga Weller MBA.
Univ.Prof. German Rörricht
Klaus-Dieter Hecker
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Desiree Köster
Ekaterina auch Schlauchin
Dipl.-Ing. Zenta Hornig B.Sc.
Herr Frank Bolnbach
Herr Burkhardt Bauer B.Eng.
Thies Birnbaum B.A.
Gereon Trapp
Herr Jens Becker MBA.
Karl-Hans Schuchhardt-Mohaupt
Karl-Hans Hande-Schuster
Käthi Löffler
Dr. Leila Gunpf B.Sc.
Ignaz Beer-Eckbauer
Alfons Klingelhöfer
Karl-Heinrich Karz
Hilmar Ziegert
Ing. Muharrem Paffrath B.Sc.
Marzena Mentzel
Prof. Heinz-Josef Radisch B.A.
Ing. Daria Lorch B.A.
Theresia Henck
Maxim Wilms-Meister
Wilfriede Blümel
Ing. Dietlind Gieß
Anika Trüb
Franz Lange
Tadeusz Hentschel
Univ.Prof. Rosl Pölitz
Timm Schleich
Jurij Zahn B.Sc.
Ing. Kay-Uwe Flantz
Dipl.-Ing. Willibert Süßebier
Inge Dietz B.A.
Hermine Eberhardt
Antonio Margraf
