Student
Lorenz Kohl
Käthi Naser-Tlustek
Phillip Salz B.Sc.
Irmtrud Pohl
Hertha Gieß
Aziz Anders
Dr. Sara Niemeier
Dr. Emin Dietz B.Sc.
Milos Kuhl B.Sc.
Miguel Briemer
Herr David Löchel B.A.
Lena Losekann
Swetlana Jessel
René Kruschwitz
Thorsten Kensy B.Eng.
Dipl.-Ing. Denise Beier
Tülay Gnatz-Sorgatz
Ria Walter
Guiseppe Rust
Karl-Dieter Speer
Mathilde Wähner-Bien
Janine Dehmel B.Eng.
Kordula Lange
Univ.Prof. Frieder Döhn MBA.
Dipl.-Ing. Slobodan Sölzer
Leni Wohlgemut-Ruppersberger
Eberhardt Fiebig
Univ.Prof. Edelgard Naser B.A.
Univ.Prof. Baptist Mende MBA.
Clarissa Adler
Bruno Hethur
Nikolai Stiebitz
Heribert Kensy
Berndt Bähr
Burckhard Margraf
Andrej Geißler-Beckmann
Eleni Krause B.A.
Zlatko Briemer-Karge
Reinhold Striebitz
Wladimir Möchlichen MBA.
Mareike Lübs
Dr. Danica Scheuermann B.Sc.
Prof. Hannah Hölzenbecher MBA.
Ing. Josip Ruppert
Dogan Bolander
Dipl.-Ing. Edda Barth MBA.
Stephan Warmer B.Eng.
Anne-Marie Stumpf
Melitta Drewes
Elzbieta Beier
Jaqueline Weitzel-Pölitz
Hans-J. Hahn-Süßebier
Heinz-Werner Briemer B.A.
Irmgard Täsche B.A.
Prof. Branko Weller MBA.
Stephan Stolze-Holt
Dipl.-Ing. Sandro Bärer B.A.
Marcus Finke
Frau Anja Haering
Gaetano Lübs
Freia Lübs
Marianne Hecker
Hildegunde Stiebitz-Mude
Denny Lachmann
Univ.Prof. Dragan Thies MBA.
Anne-Marie Sontag
Hartmuth Eberhardt
Margita Schleich-Becker
Albrecht Rust-Heinrich
Margareta Trub
Rotraut Ullrich
Dipl.-Ing. Ana Rosemann
Rene Bruder B.Eng.
Arndt Wernecke-Gertz
Dietlinde Söding
Hagen Girschner
Volkmar Hentschel
Ing. Diedrich Gotthard MBA.
Heinz-Günter Hesse
Dipl.-Ing. Tamara Seifert B.A.
Klara Blümel
Theresa Schüler
Karl-Peter Hofmann B.A.
Gebhard Kitzmann
Immo Koch II
Mesut Trommler
Marie-Louise Hauffer
Annika Lindner
Frederike Stoll
Hertha Stoll
Ing. Sebastian Killer B.A.
Paolo Weller-Heinrich
Berndt Riehl-Bohlander
Ortrun Krebs
Othmar Zänker
Helen Dehmel
Herr Tony Lindner
Annekatrin Wilms
Univ.Prof. Paulo Jähn
Julius Kraushaar
Anika Sager
Bernhard Becker
Annelise Jungfer
Ernest Schönland B.Eng.
Nadia Steckel
Univ.Prof. Josip Hartung
Matthias Dowerg
Canan Berger-Hellwig
Kriemhild Gude
Mariusz Hartung
Dominik Jungfer
Claus Juncken
Ing. Ralf Sölzer B.A.
Folkert Schwital
