Student
Justus Lorch
Gerhild Löffler
Dipl.-Ing. Anneliese Kühnert
Zdenka Weiß
Marika Zimmer
Gert Juncken
Beatrice Fechner
Eva-Marie Berger MBA.
Gretchen Pohl
Karl-Peter Heser
Ortwin Scholl
Philipp Walter-Löffler
Ditmar Pölitz B.A.
Anatolij Peukert
Berndt Bähr
José Gröttner B.Sc.
Catharina auch Schlauchin
Anne-Marie Drewes
Dipl.-Ing. Hans-Günther Schuster
Elke Huhn
Marek Walter MBA.
Mehdi Bähr B.A.
Alexandra Henk MBA.
Ing. Henrike Kramer
Siegrid Bachmann-Schaaf
Sibilla Mälzer
Dr. Bastian Christoph MBA.
Elfi Kranz
Astrid Nerger-Tröst
Amanda Heinz
Hannah Stiffel-Börner
Hildegunde Stiebitz-Mude
Hannes Patberg
Dipl.-Ing. Robert Köhler
Wolf Schottin-Gunpf
Maurizio Hartmann
Stephan Hauffer
Rüdiger Geisler
Alfredo Bolzmann B.A.
Cecilia Scholz-Barth
Pascal Freudenberger
Nils Hermighausen
Antonietta Kostolzin
Ljiljana Henk
Anneliese Gnatz
Mariusz Baum
Margita Hartung-Zänker
Juliane Mentzel-Ziegert
Thilo Tschentscher
Dr. Regine Gotthard
Malte Schäfer
Gretchen Eimer-Wilmsen
Ilja Krause
Bernd-Dieter Kostolzin B.A.
Christel Bärer-Zirme
Lia Zänker
Sarina Dobes
René Ehlert
Magret Oderwald
Mia Paffrath-Ortmann
Anika Biggen MBA.
Wiltrud Dietz
Ing. Marlene Wirth B.Sc.
Gunhild Holt-Rust
Frau Gertraude Wesack B.Eng.
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Imre Sauer
Ing. Hanne-Lore Ackermann
Mathilde Kreusel
Hanno Hölzenbecher B.Sc.
Zehra Putz
Margareta Dörschner B.Sc.
Marie-Louise Wulff
Ernest Müller
Herr Swen Kraushaar B.A.
Undine Eimer
Gilda Faust
Prof. Juliane Henck MBA.
Ferdinand Junck-Hölzenbecher
Ing. Marga Lehmann MBA.
Bodo Martin
Gerhardt Barkholz B.Eng.
Birgid Freudenberger
Frau Änne Gunpf B.Sc.
Beata Lübs
Julie Mentzel
Luisa Barkholz
