Student
Dipl.-Ing. Annelise Naser
Ibrahim Lehmann B.Eng.
Univ.Prof. Alois Jähn B.Eng.
Johanne Kusch
Jens-Uwe Neureuther
Dina Schmidtke
Gerolf Döring-Buchholz
Gaetano Söding
Philip Heß MBA.
Ronald Henschel
Hellmuth Hörle
Annamaria Scholtz
Frau Rosalinde Riehl
Frau Dana Röhrdanz
Ulla Süßebier
Priska Wende
Josefa Hauffer
Tabea Birnbaum
Gerda Gröttner B.Sc.
Sedat Gude
Ismail Junck-Trommler
Prof. Mirko Adolph B.A.
Siegbert Hartmann B.A.
Bärbel auch Schlauchin
Raymund Koch II-Margraf
Elke Huhn
Fadime Heidrich B.A.
Torsten Pergande
Maren Roht
Ing. Ernest Rogge B.A.
Damian Söding
Arne Ziegert B.Sc.
Elisa Noack-Seifert
Mesut Trommler
Antonios Schönland
Astrid Nerger-Tröst
Anastasia Gunpf
Desiree Köster
Gerwin Ortmann
Isa Knappe-Biggen
Theresa Caspar
Joseph Gorlitz-Bloch
Rita Käster B.A.
Victoria Hornig
Fredo Kühnert-Köhler
Fredy Birnbaum-Kensy
Anja Wagner-Hermann
Josephine Rogge
Reinhilde Metz
Cäcilie Haase
Fritz Schenk B.A.
Ruth Wiek-Bloch
Heimo Hübel MBA.
Andreas Trapp
Vitali Walter-Krein
Sebastian Stiffel B.A.
Tülay Trapp
Karl Heß
Magdalena Löwer B.Eng.
Janus Weitzel-Koch
Cordula Hornig
Erhard Otto
Dierk Gunpf B.A.
Carola Kusch
Harm Sontag-Wilms
Prof. Ruthild Nette B.A.
Nuran Schottin B.Eng.
Frau Wenke Klemt
Prof. Josefa Beier B.Sc.
Reinhold Hellwig-Mülichen
Ing. Lisbeth Fritsch
Univ.Prof. Alberto Steuer
Sigurd Süßebier
Wilfriede Misicher
Burkhard Schweitzer
Dipl.-Ing. Sebastiano Käster B.Eng.
Erkan Beier
Viviane Jopich
Karl-Heinrich Sölzer
Zeki Otto
Nicole Scheibe
Luisa Hecker
Christopher Fröhlich
Elias Gierschner
Herr Edmund Hesse
Käthe Hande
Frau Melita Scholz B.A.
Vitus Pruschke B.A.
Ing. Jenny Oestrovsky
Ralf-Peter Ebert
Ottomar Hermann
Jörg-Peter Speer
Catrin Caspar
Herr Gordon Weihmann B.Eng.
Christiane Blümel
Ing. Edeltraud Zirme
Anatolij Trub
Ruthild Juncken B.Sc.
Univ.Prof. Ron Rörricht
Immo Koch II
Zdravko Jacob
Guntram Warmer
Annegrete Jüttner
Marika Zimmer
Gina Wulff B.A.
Univ.Prof. Nadine Gnatz
Kuno Kreusel
Carla Ruppersberger
Jakob Döring
Ekaterina Schmiedecke
Irmtrud Textor B.Eng.
Ing. Stanislaw Weihmann B.A.
Ron Beer
Karl Ruppersberger
Sören Pechel
Wera Hauffer B.A.
Univ.Prof. Karl-Otto Dowerg MBA.
Salvatore Eberhardt-Ring
Vera Heydrich
Sina Patberg
Vlado Lindner
Dr. Heinz-Georg Aumann MBA.
Ewa Bolnbach-Textor
Moritz Holzapfel
Franziska Wernecke
Carmelo Weinhold
Dipl.-Ing. Melanie Kreusel B.A.
Ulrich Segebahn
Herr Imre Kohl
Marie-Luise Staude-Käster
Kordula Lange
Leopoldine Butte
Metin Klemt
Veli Rädel
Freia Hamann-Eckbauer
Eberhardt Gute
Univ.Prof. Liliana Drub
Cilli Siering
Waltrud Jockel B.Eng.
Ing. Boris Junck MBA.
Britt Schwital-Seip
Rose-Marie Schüler
Gitta Römer
Ortrun Siering
Felix Freudenberger
Herr Gundolf Barth
Attila Atzler
Prof. Svea Putz MBA.
Ernestine Trommler
Raissa Gehringer-Putz
Hanns Ehlert MBA.
Hans-Michael Rudolph
Giuseppe Trupp
Iwan Renner-Dussen van
Aleksej Lehmann
Annett Ullrich
Enrico Hellwig
Dariusz Wirth
Mijo Karge-Löchel
Adriane Gröttner
Teresa Ladeck-Rädel
Brita Roht MBA.
Emine Lübs
Lidwina Karz MBA.
Anthony Heintze
Dr. Robert Neuschäfer
Gundi Sager
Peter Rohleder
Eugenia Anders B.A.
Zeki Henk B.A.
Imre Mülichen
Alena Holzapfel
Hilda Metz-Dehmel
Dipl.-Ing. Marc Stroh
Frau Valentine Benthin
Oskar Beyer
Frau Ingried Rogner B.Sc.
Prof. Gertrude Renner B.A.
Herr Jonathan Beckmann B.A.
Monique Ullmann MBA.
Gülsen Gutknecht
Anne-Katrin Rogge
Olivia Schleich
Julian Dussen van B.Eng.
Gebhard Kitzmann
Ditmar Dehmel
Cengiz Dehmel
Frau Mirjana Baum B.Sc.
Catrin Hamann
Gerta Stey-Klemm
Dr. Jeanette Schuchhardt B.Eng.
Irmhild Lorch
Roberto Ritter-Fritsch
Lotte Kusch
Gabriela Gierschner
August Weihmann
Reingard Jungfer
Nick Jockel B.A.
Dominik Huhn
Micha Röhricht B.A.
Ludwig Reinhardt
Dr. Senol Beier MBA.
Friedhold Löwer-Ebert
Theodoros Vollbrecht-Gutknecht
Univ.Prof. Cynthia Löwer
Harro Vogt-Gieß
Frau Hella Stumpf
Prof. Beatrix Döring MBA.
Viola Ackermann
Hüseyin Wulf-Schmidt
Sigrid Jockel
Frau Brigitta Bohlander MBA.
Ingeborg Wesack
Ing. Rico Hoffmann
Franka Peukert
Frau Swantje Heinrich B.A.
Univ.Prof. Luka Mende
Utz Staude
Prof. Gerd Schenk
Dorothea Weihmann
Kay-Uwe Jähn-Schwital
Herr Oliver Pechel
Geert Zänker
Hertha Butte B.Eng.
Phillip Hermann
Univ.Prof. Fatima Faust B.A.
Heinz-Otto Geisler B.Sc.
Dr. Aziz Adolph MBA.
Carin Binner
Dr. Gaby Sontag MBA.
Ing. Siegmar Meyer B.A.
Univ.Prof. Hanspeter Gorlitz
Dr. Mohammed Höfig
Ivanka Rogge
Dipl.-Ing. Jörgen Rose B.Eng.
Josip Hiller-Hauffer
Frau Nurten Huhn
Dipl.-Ing. Jose Löchel
Lars Eckbauer-Möchlichen
Conrad Killer
Zbigniew Weinhage
Eberhardt Warmer
Karin Beckmann
Hedy Loos
Ada Heser B.Sc.
Dajana Gehringer
Adam Krein-Karge
Univ.Prof. Claus-Dieter Dippel B.Eng.
Karoline Römer
Rosemarie Schmiedecke
Univ.Prof. Monja Staude MBA.
Willfried Kostolzin
Natalia Stroh
Marcel Oestrovsky
Ing. Torsten Hartung B.Eng.
Anne-Marie Drewes
Dipl.-Ing. Augusta Lachmann B.A.
Dr. Jost Hiller B.Sc.
Käte Ditschlerin-Roht
Prof. Mohammad Reinhardt
Ben Zahn
Heidelore Zirme
Anni Seidel B.Eng.
Kordula Dobes-Buchholz
Alwine Bien
Maxim Wilms-Meister
Augustin Ernst
Nicolaus Seifert
Ing. Alexandros Vogt MBA.
Frau Anna-Luise Sontag
Ing. Helmuth Bachmann B.Sc.
Arndt Bachmann B.Eng.
Fredo Paffrath-Kohl
Gino Ernst
Karlheinz Martin
Heide Schottin
Carin Atzler
Ing. Tanja Scheibe B.Eng.
Edgar Karge
Sevim Schmiedt-Döhn
Hildegunde Staude
Dipl.-Ing. Friedrich Hiller B.Eng.
Abdul Trüb MBA.
Heino Lindau B.Eng.
Elfie Otto
Waltraud Wernecke
Anneli Wernecke
Gotthilf Bohnbach-Seip
Dipl.-Ing. Jozef Hartmann
Mariusz Stadelmann-Jähn
Bernadette Sorgatz
Rosita Peukert-Scheibe
Dr. Joseph Bien
Thekla Schäfer
Sevim Textor-Schinke
Gerald Albers-Jähn
Nuray Aumann
Ing. Diedrich Gotthard MBA.
Gülsen Benthin
Marie Sorgatz MBA.
Ludwig Zimmer MBA.
Hellmut Siering
Frederike Stoll
Iris Ullrich
Lothar Beckmann
Dipl.-Ing. Lioba Plath
Denny Lachmann
Alexandros Ernst
Marta Sontag
Ottmar Hölzenbecher
Ulrike Schleich-Süßebier
Thorben Kitzmann
Philip Weller B.A.
Jiri Kambs
Mia Roskoth
Geert Rudolph
Astrid Dehmel
Hans-Karl Bauer B.Eng.
Ilse Nette
Wolfhard Vogt
Dr. Heiderose Kallert B.Eng.
Stephen Tintzmann
Zlatko Ritter B.Eng.
Univ.Prof. Gustav Sölzer
Univ.Prof. Milka Bähr
Tilman Eberhardt
Prof. Alida Mangold MBA.
Dr. Alberto Kabus B.Sc.
Franz Löwer
Anton Drubin
Nadia Thanel
Dr. Theresia Mende
Hans-Rudolf Huhn
Annegrete Pergande
Michaele Klotz B.Eng.
Gerd Süßebier
Ilja Preiß
Heinrich Putz B.Sc.
Sandy Dietz
Alexandre Geisel
Dr. Bastian Christoph MBA.
Frau Hildegunde Koch II
Brunhild Briemer B.Sc.
Jeannine Lehmann
Brunhilde Scholz
Zoltan Wilms
Univ.Prof. Dorit Pechel B.A.
Herta Weitzel
Tilmann Geisler
Tanja Henk
Gilbert Bolnbach
Herr Ronald Reising B.Sc.
Karl-Jürgen Ziegert
Eugenie Pieper
Dipl.-Ing. Tim Jäntsch B.Eng.
Hellmut Bruder
Harro Trapp B.Eng.
Ilja Freudenberger B.A.
Micha Schottin
Maya Haering-Becker
Wenzel Drubin
Wieslaw Löchel
Prof. Marko Rohleder B.A.
Andre Schlosser
Urszula Fliegner
Hildegunde Geißler-Klemm
Reni Cichorius
Josefine Rosemann
Dr. Nadeschda Wulf
Arnulf Ullmann
Dietlind Drubin
Vitali Ortmann
Anette Anders
Kornelius Sontag
Timm Schönland
Prof. Goran Sölzer MBA.
Jasmina Bolzmann-Hövel
Gabriella Schuster
Eckhard Lindau B.A.
Dan Scheuermann
Hans-Martin Kambs
Prof. Sahin Kreusel
Frau Margit Gehringer MBA.
Ing. Anneliese Döring
Dr. Gabriel Freudenberger MBA.
Heinrich Bohlander-Ullrich
Ilija Eckbauer-Steinberg
Kunigunda Zimmer
Dorota Wilms
Peter-Michael Spieß
Marie-Therese Wagner
Artur Berger
Klaus Peter Weller
Dr. Uta Gumprich
Frau Conny Klemt
Marlies Beckmann
Roderich Weitzel
Prof. Denis Segebahn MBA.
Annelore Juncken
Heiner Pieper
Ing. Marie-Therese Schleich
Francoise Vollbrecht B.Sc.
Claus Juncken
Alfons Klingelhöfer
Univ.Prof. Niklas Mohaupt MBA.
Frau Margrit Beckmann
Gereon Wende MBA.
Marco Kostolzin-Bruder
Johan Baum
Maren Bachmann-Stumpf
