Student
Hermine Wohlgemut
Mehmet Löwer-Trupp
Aloys Trupp
Theo Trubin
Käthi Lübs
Ingetraud Austermühle-Dowerg
Nuran Schottin B.Eng.
Henriette Bruder
Dipl.-Ing. Leo Sager
Käte Ditschlerin-Roht
Tibor Schleich
Univ.Prof. Nadeshda Oestrovsky
Nikolai Rädel-Klemt
Gerhild Stiffel
Hugo Keudel B.A.
Solveig Scheibe
Marie-Louise Hendriks-Dörschner
Prof. Sepp Blümel
Frau Bianka Henk B.Sc.
Tassilo Beckmann
Ekrem Spieß
Dr. Leonie Köster
Delia Hande-Koch
Diethelm Hofmann
Cemal Budig-Holt
Muharrem Rosemann-Heidrich
Jasmina Zorbach
Hasso Mans-Buchholz
Anne-Katrin Seip
Lili Weimer
Dipl.-Ing. Utz Henschel MBA.
Janet Johann B.A.
Anna-Lena Bloch
Anne-Katrin Höfig
Francesca Wieloch
Rahel Kreusel
Karsten Wohlgemut
Dr. Gero Röhricht B.Eng.
Univ.Prof. Markus Finke B.Sc.
Adelgunde Thanel
Univ.Prof. Lara Hoffmann MBA.
Andree Budig B.Eng.
Siegward Hertrampf
Prof. Lieschen Mälzer B.Sc.
Kati Koch II
Mary Reuter B.Sc.
Heinz Dieter Zirme
Annegret Holt-Heuser
Anneliese Gnatz
Sylke Ehlert
Giuseppina Keudel
Folkert Barth B.Sc.
Clemens Thanel
Veli Rädel
Mark Röhricht
Emine Lübs
Swetlana Binner
Ron Dobes-Weihmann
Luciano Klotz
Torben Schweitzer
Enrico Reising MBA.
Ullrich Preiß
Marleen Heser
Monika Haering
Frau Annegrete Junk B.A.
Calogero Hoffmann B.Eng.
Henning Scholl
Hubertus Dörschner
Rene Berger-Jäkel
Gerard Förster
Katrin Ortmann
Anto Tröst-Schäfer
Janina Seifert
Karoline Carsten
Prof. Petar Köhler
Melitta Fliegner
Constantin Kostolzin
Herr Leonid Fröhlich B.Eng.
Mia Paffrath-Ortmann
Prof. Karl-Heinz Ruppersberger
Frau Stefani Hendriks B.A.
