Student
Dr. Nadja Wulf
Prof. Klaus Peter Hellwig B.Sc.
Mariusz Adler
Alma Kaul
Herr Muzaffer Klotz B.Sc.
Benno Klemt
Flora Gotthard
Frieda Tintzmann-Löchel
Frau Evelyn Tlustek B.Sc.
Anatol Hübel
Patricia Wiek
Francesca Wieloch
Gerd Becker
Karl-Georg Dörschner
Ruthild Hoffmann
Kristin Kabus
Prof. Marion Martin
Prof. Ingeborg Noack
Joerg Döhn
Vitus Schmidt
Stephen Kensy
Irmtraut Noack
Benno Gehringer-Wohlgemut
Eleni Matthäi
Malte Bohlander
Dipl.-Ing. Corina Fischer
Thies Blümel
Univ.Prof. Rafael Pruschke B.A.
Carmelo Stiebitz
Dipl.-Ing. Wilfried Ortmann
Magrit Lange
Jacek Klemt
Dr. Sandra Mangold B.Sc.
Stephan Haase MBA.
Niko Bähr B.Sc.
Heiko Metz
Iwan Schleich
Prof. Emine Beer
Urszula Spieß
Hilmar Ziegert
Klaus-Ulrich Gude
Daria Liebelt
Desiree Klotz
Hans Jörg Koch
Thomas Weinhold B.Eng.
Frau Edeltraud Radisch B.A.
Adele Boucsein B.Sc.
Ilias Weiß MBA.
Hans Jürgen Lange
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Leszek Hentschel
Frau Rosemarie Stiffel
Julie Radisch MBA.
Kornelius Winkler
Univ.Prof. Horst Scholtz
Concetta Seifert
Klaus-D. Segebahn
Milica Huhn
Prof. Hermann Josef Söding
Gertrude Kostolzin MBA.
Reinhardt Pärtzelt
Hans-Gerhard Döhn
Hanno Salz
Nico Möchlichen
Univ.Prof. Hartwig Holsten B.Sc.
Aziz Hornich
Birgid Graf
Luciano Wirth
Dr. Jan-Peter Martin B.Eng.
Margareta Schmidt
Andrej van der Dussen B.A.
Prof. Alina Ziegert
Ing. Zoran Tintzmann
Dr. Tony Ditschlerin
Ronald Rädel
Dipl.-Ing. Aloys Hentschel
Hans Kraus
Ing. Roman Tröst
Gusti Schleich
Mira Bender
Annika Pieper B.A.
Marco Conradi
Dipl.-Ing. Detlef Schacht
Tibor Bolzmann MBA.
Friedrich-Wilhelm Höfig-Johann
Marlies Mude
Ing. Elisabet Jopich B.Sc.
Anna-Maria Holzapfel
Gert Kensy B.A.
Nelly Buchholz
Heinz-Gerd Söding
Regina Ring
Hans-Georg Anders
Dr. Francisco Hänel
Marleen Heser
Frau Josefa Henschel B.A.
Angelika Roskoth
