Student
Univ.Prof. Undine Junken MBA.
Johanne Kusch
Valentin Rädel
Klaus-D. Zänker-Hein
Patric Stahr-Ebert
Prof. Oswald Ehlert MBA.
Ing. Justina Beckmann
Inna Weinhage
Dr. Krista Wirth
Ditmar Dehmel
Klaus-Ulrich Tlustek-Förster
Anton Stey
Benita Holzapfel-Hecker
Hertha Caspar MBA.
Melita Hein
Susanna Jäntsch
Jacek Bärer
Gundi Schwital
Käthi Lübs
Leonardo Rogge
Dipl.-Ing. Jörgen Rose B.Eng.
Frau Käte Zahn
Ing. Hermine Warmer B.A.
Immo Koch II
Paul Hettner
Frau Danica Davids B.A.
Dr. Egbert Kraus
Luise Gertz-Fliegner
Dusan Eigenwillig
Svea Krebs-Scheibe
Dipl.-Ing. Bodo Junk B.Eng.
Ingbert Birnbaum-Ring
Gert Nette
Traudel Wilmsen B.A.
Irmtraut Ortmann MBA.
Ramon Salz
Ingried Sauer
Carl Jockel
Franz Lange
Annelene Möchlichen-Weiß
Jakob Pohl
Dipl.-Ing. Janet Ruppersberger
Dina Koch
Ingolf Ruppersberger-Berger
Hanne-Lore Kraus
Hanno Hölzenbecher B.Sc.
Ernst-Dieter Geisler B.Eng.
Trudi Radisch
Thaddäus Kraushaar-Ruppert
Frau Mira Klemm
Stefania Möchlichen
Gretchen Eimer-Wilmsen
Heiner Rörricht
Ing. Luisa Oestrovsky
Dr. Sedat Schäfer
Roberto Jockel
Heidrun Lindner-Bolnbach
Kornelius Winkler
Sandy Dietz
Roy Holt
Yusuf Schacht
Adelinde Ackermann-Knappe
Calogero Staude B.A.
Domenico Gerlach-Kramer
Dr. Jeanette Schuchhardt B.Eng.
Jasmina Bolzmann
Hans-Herbert Flantz
Prof. Marika Junken B.Eng.
Charlotte Hecker B.Eng.
Edelbert Bruder
Konrad Henschel
Heinz-Gerd Söding
Diethelm Hübel MBA.
Siegfried Schuster
Rico Putz-Killer
Jonas Löchel
Bertha Köhler
Nicolaus Seifert
Prof. Henryk Kitzmann
Ditmar Briemer
Wulf Eberhardt
Agathe Söding
Prof. Lieschen Bohlander
Janett Zorbach
Heinz-Josef Jähn MBA.
Evangelos Beyer
