Student
Dr. Edelbert Wieloch MBA.
Dipl.-Ing. Jerzy Stolze B.Sc.
Karl-Ernst Drewes-Drubin
Stavros Zirme
Dipl.-Ing. Mara Otto B.Sc.
Regina Ring
Anka Jäkel-Ackermann
Klaus-Dieter Koch II B.A.
Heinz Dieter Barkholz
Jiri Kambs
Denis Ruppersberger
Oliver Bien
Stefania Möchlichen
Rahel Heidrich-Jüttner
Angelika Rosemann
Erkan Kuhl-Oestrovsky
Anica Ortmann B.A.
Viola Sager
Hans-Josef Butte-Dussen van
Oscar Fritsch
Inka Trub
Joana Zimmer B.A.
Ing. Josip Ruppert
Hartmuth Gude B.Eng.
Niklas Scholtz
Sigmund Herrmann MBA.
Hajo Kranz-Heser
Annaliese Gerlach
Hans-J. Atzler
Ing. Pauline Linke
Songül Tschentscher
Univ.Prof. Traudl Mentzel B.Eng.
Luis Ackermann
Sören Liebelt
Christos Beier
Gino Hartung
Sibilla Mälzer
Dr. Mariusz Beckmann
Herr Baptist Klotz
Gerd Beckmann-Gnatz
Univ.Prof. Isabel Ladeck
Mariola Heinrich
Manfred Juncken
Centa Bohlander-Stiebitz
Undine Scheibe-Stey
Univ.Prof. Emine Vogt B.Sc.
Univ.Prof. Gisa Meister
Bianka Holsten
Frau Anne-Kathrin Wagner
Univ.Prof. Nurten Neuschäfer MBA.
Marvin Kade-Ladeck
Wieslaw Oestrovsky MBA.
Tilman Henschel
Prof. Meral Jüttner MBA.
Monja Siering
Dr. Jonas Fechner
Prof. Almuth Dippel
Camilla Gunpf
Herr Karl-Heinrich Eberth B.Sc.
Frau Rosemarie Stiffel
Karla Etzler-Metz
Dr. Ottfried Lachmann B.Sc.
Engin Schenk
Alida Trupp
Univ.Prof. Amelie Gröttner B.Eng.
Sofia Heinrich
Mohammed Geißler
Filippo Kostolzin
Ilias Freudenberger
Romuald Hartmann
Anneli Wernecke
Dipl.-Ing. Ingolf Krein
Gilda Rohleder
Univ.Prof. Josefine Gerlach
Maxim Wilms-Meister
Miroslaw Gieß
Eveline Birnbaum
Zeki Henk B.A.
Emmerich Killer
Univ.Prof. Sigurd Fischer B.Eng.
Univ.Prof. Dorit Pechel B.A.
Andreas Birnbaum-Kallert
Damian auch Schlauchin B.Eng.
Alexandre Caspar
Gerwin Rust MBA.
Saban Hendriks
Klaus-D. Hövel
Susann Haering
Ignaz Stoll
Mirco Barth
Reni Henk
Gotthilf Bohnbach-Seip
Undine Eimer
Norbert Eimer
Gundi Schwital
Reza Kusch
Dr. Diedrich Krebs B.A.
Jens Drubin
Alexej Liebelt
Dr. Matthias Niemeier
Univ.Prof. Pascal Schweitzer
Helmtrud Neureuther
Ing. Anton Gotthard MBA.
Margareta Dörschner B.Sc.
Danny auch Schlauchin
Fredi Wilmsen
Benita Hahn-Wieloch
Alena Holzapfel
Hans-Albert Wirth
Prof. Hans Dieter Kitzmann MBA.
Birgitta Loos
Athanasios Bloch
Patric Heinrich
Brian van der Dussen
Francis Rohleder
Annamaria Hänel-Zimmer
Stefani Caspar
Gabriela Gierschner
Sigmund Kensy
Janusz Killer
Marica Martin
Amir Reuter
Annett Dehmel MBA.
Univ.Prof. Ortwin Geisler MBA.
Ilias Weiß MBA.
Prof. Diether Neureuther
Prof. Götz Finke
Immo Koch II
Senol Harloff-Lindau
Dr. Rosalinde Stolze B.Eng.
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Stanislaus Geißler
Darius Loos
Baptist Gröttner B.Sc.
Dipl.-Ing. Agatha Pruschke
Dipl.-Ing. Berit Weinhage
Frau Evelyne Süßebier B.Eng.
Hellmut Siering
Marietta Heinrich
Ing. Thomas Drewes B.A.
Roselinde Ebert
Prof. Auguste Scholz
Joachim Steuer
Rolf-Peter Rosenow MBA.
Jutta Franke-Rosenow
Sören Trommler
Siglinde Kambs-Geißler
Herr Kurt Weitzel B.Sc.
Dipl.-Ing. Helmut Hauffer
Timm Oderwald
Nick Hermighausen-Krein
Dipl.-Ing. Ana Rosemann
Dipl.-Ing. Wenzel Hellwig B.Sc.
Elke Scholl MBA.
Univ.Prof. Ismet Bloch B.Eng.
Hans-Michael Krein-Wernecke
Renato Bolnbach
Juergen Beier B.A.
Melissa Gehringer
Piotr Schaaf
Theo Döring
Suse Hornich
Folkert Schwital
Henni Mälzer-Tlustek
Margita Meister
Gunther Tschentscher
Kornelius Hornig MBA.
Reni Cichorius
Prof. Patrik Scheel
Notburga Pechel B.Eng.
Hans-H. Pergande
Ismail Geisler
Ing. Kläre Radisch
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Univ.Prof. Arne Hoffmann
Vito Gorlitz
Univ.Prof. Alexandre Schottin
Bekir Cichorius-Döring
Daniel Stiebitz
Dr. Ljiljana Henck MBA.
Ditmar Bien
Wibke Reuter
Cosimo Girschner
Kilian Austermühle B.A.
Karla Gunpf
Carin Huhn
Herr Gerold Kreusel
Prof. Robert Heintze
Margit Müller
Jorge Killer
Siegrid Bachmann-Schaaf
Prof. Ralf-Peter Schlosser B.Eng.
Stefanie Dippel
Janette Wiek
Dipl.-Ing. Ildiko Löffler B.A.
Dietlinde Binner
Orhan Mude
Jacek Bärer
Undine Dehmel
Cosimo Löffler B.Sc.
Andres Sager
Anni Seidel B.Eng.
Dr. Friedhilde Adler MBA.
Wieland Hethur
Hanns Stiffel
Univ.Prof. Liliana Niemeier B.Eng.
Amanda Heinz
Eitel Ernst
Prof. Pedro Schmidt B.Eng.
Dipl.-Ing. Harm Ruppert MBA.
Diethelm Hofmann
Kirsten Stey B.A.
Dipl.-Ing. Gudula Margraf B.Sc.
Herwig Jäntsch B.Sc.
Thomas Weinhold B.Eng.
Hans-Jörg Lachmann
Valentin Rädel
Joachim Höfig
Evangelos Hartmann B.A.
Phillip Rosemann-Bachmann
Marek Hesse B.Eng.
Lotte Kusch
Alois Werner
Dr. Athanasios Noack MBA.
Betty Steinberg
Wladimir Rogge
Leon Bauer
Dana Köster
Giorgio Trüb
Hugo Junken
Rene Henck
Dipl.-Ing. Ladislaus Weinhold
Zeljko Gieß
Prof. Irmhild Fritsch
Univ.Prof. Karin Beier
Frau Florence Ditschlerin B.Eng.
Cindy Stahr
Conrad Paffrath
Catrin Hamann
Anatolij Peukert
Maximilian Jockel
Edwin Förster-Albers
Jasmina Cichorius-Barth
Marcel Schlosser
Oda Barkholz
Anthony Heintze
David Warmer
