Student
Alida Trupp
Dr. Jochen Schäfer
Dipl.-Ing. Randolf Martin B.A.
Marita Berger B.A.
Ingbert Binner-Heidrich
Fatma Seidel B.A.
Klaus Dieter Rädel
Alan Eigenwillig
Marlies Seifert-Roht
Leonore Hettner-Staude
Cecilia Gertz
Krista Putz
Peer Bärer
Ing. Dirk Paffrath
Sylke Ehlert
Dimitrios Kraushaar-Adolph
Elzbieta Hartung
Irmtrud Textor B.Eng.
Camilla Jäntsch
Gesine Graf
Ibrahim Wirth-Schuster
Dennis Beer-Striebitz
Ilija Kohl
Dr. Daniel Trommler
Birthe Trommler
Dr. Ursel Gute
Monika Haering
Tillmann Dobes-Trupp
Univ.Prof. Fatima Faust B.A.
Gabriela Girschner
Klaus-D. Sölzer
Ilija Eckbauer-Steinberg
Luigi Wähner
Dipl.-Ing. Harm van der Dussen
Ing. Ralf Sölzer B.A.
Gisa Gerlach
Dr. Amir Jäkel
Dipl.-Ing. Alf Graf
Sonia Säuberlich-Langern
Friedericke Roht
Doreen Hornig
Dr. Edda Hecker B.Eng.
Janos Winkler B.A.
Beatrice Fechner
Dr. Antonia Schomber B.Sc.
Änne Schweitzer-Putz
Dr. Stefania Gnatz
Josef Berger
Ahmad Jacobi Jäckel
Annie Schlosser
Siegrun Schomber
René Ullrich
Oskar Beyer
Hilmar Ziegert
Clara Gehringer
Univ.Prof. Alexa Junitz B.Eng.
Nikolaus Rosenow
Olivia Jäkel
Carina Kusch
Ilias Weiß MBA.
Mirko Eckbauer
Carmela Lindau
Frau Gertraude Wesack B.Eng.
Dr. Diedrich Gerlach B.A.
Rosita Wesack B.Sc.
Janko Neureuther
Rahel Dörschner
Herr Louis Hövel
Ing. Louis Eckbauer B.Eng.
Dipl.-Ing. Utz Adler B.A.
Wenzel Drubin
Marius Klotz
Guido Wagenknecht-Kallert
Burkhardt Holt
Angelica Klemt
Aloys Ruppert
Hans-Rudolf Dehmel
Univ.Prof. Fatima Hölzenbecher
Claus-Peter Flantz
Franjo Junitz-Hahn
Florentine Bärer B.A.
Univ.Prof. Paul-Gerhard Lübs MBA.
Alois Jungfer B.Eng.
Hans-Günther Wilmsen
Nina Putz-Ritter
Emmy Bohnbach
Heimo Karge-Freudenberger
Hans Dieter Stahr
Irma Atzler-Herrmann
Augusta Flantz
Gereon Weitzel
Rochus Gude
Aneta Kambs
Willibald Holsten
Richard Kostolzin
Ing. Arthur Schwital B.Eng.
Gerta Klemt
Ingried Stiffel B.A.
Bruni Meister B.Sc.
Amelie Pruschke MBA.
Adelinde Ackermann-Knappe
Malte Herrmann-Zänker
Cornelius Scheuermann
Alexej Röhrdanz
Bertram Caspar
Evelyne Beyer
Kai-Uwe Köhler
Ing. Knut Christoph
Ilse Henschel
Tülay Hettner-Ebert
Eckehard Nette
Freddy Nette-Hendriks
Hans-Adolf Junken
Herr Rüdiger Ruppersberger
Rosalia Johann
Prof. Irena Höfig
Olaf Weinhage
Toni Schottin B.A.
Felicitas Ruppersberger
Margarete Kabus
Rose-Marie Schüler
Sigrun Mälzer
Tomas Gröttner
Kreszentia Pölitz-Karge
Lisbeth Mielcarek
Marek Ackermann
Leni Heß
Vlado Hübel B.Eng.
Frau Mirja Jüttner B.Eng.
Inge Dehmel
Mandy Loos
Univ.Prof. Marleen Kabus
Klaus-D. Dippel MBA.
Ben Zahn
Eberhard Dobes
Lidwina Karz MBA.
Willi Heinz
Hildegunde Staude
Regina Reuter
Ortrun Siering
Ivana Wilmsen-Gumprich
Sandor Riehl
Caroline Harloff
Birgid Drewes-Seifert
Elisa Mälzer
Egon Haase
Dr. Gerd Fechner
Prof. Dorit Käster B.Sc.
Viviane Fritsch-Martin
Luzie Sager-Gierschner
Elfie Kreusel
Julie Radisch MBA.
Miroslaw Holt
Conrad Paffrath
Gabor Dobes
Karl-Dieter Süßebier
Gülay Weinhold
Brunhilde Tröst
Wilma Röhrdanz
Patric Hermighausen MBA.
Reinhild Pergande
Constanze Fechner-Dörr
Herr Otto Vollbrecht
Vera Losekann
Hans Jürgen Grein Groth-Rudolph
Alwina Neureuther
Mechtild Hering
Agnes Ullmann
Erich Klotz B.Sc.
Birgit Pergande
Volkmar Mosemann
Korbinian Werner
Prof. Urs Flantz
Univ.Prof. Franca Ritter B.Eng.
Melitta Drewes
Hans-Detlef auch Schlauchin-Fischer
Angela Weimer B.A.
Marie-Therese Schleich
Celal Hettner MBA.
Silvia Eberth
Herr Christopher Speer
Andrei Bolander-Jäkel
Nurettin Bärer B.Eng.
Dipl.-Ing. Lilly Junken MBA.
Maya Haering-Becker
Nicolaus Jessel
Milica Huhn
Michaela Sontag-Dörr
Anika Sager
Meta Wagenknecht
Ing. Ramazan Kallert MBA.
Ing. Engelbert Bauer
Dr. Theodor Sager
Marzena Neuschäfer
Sibylla Klingelhöfer B.Sc.
Urban Peukert
Wilhelmine Knappe
Emin van der Dussen
Giuseppe Trupp
Elena Linke-Wohlgemut
Ann-Kathrin Davids
Univ.Prof. Betty Conradi B.A.
Prof. John Jessel
Prof. Katrin Mülichen B.Eng.
Kunigunda Fischer
Silja Jüttner
Falk Ritter
Ing. Tillmann Geisel
Zdravko Niemeier
Ortrun Eckbauer-Kohl
Univ.Prof. Clara Heidrich B.Sc.
Anatolij Keudel
Dipl.-Ing. Manuel Kade
Nurettin Börner
Prof. Rolf-Dieter Fiebig MBA.
Kordula Kambs B.Eng.
Henrik Heidrich
Magdalena Gude
Univ.Prof. Irene Budig
Ivana Mans-Bruder
Hertha Gieß
Marianna Geisler
Patrick Wohlgemut
Robin Flantz
Marlene Steckel B.A.
Ignaz Schottin
Karla Freudenberger MBA.
Ing. Britt Trupp B.Eng.
Antonie Ladeck
Matthäus Hübel
Andre Schlosser
Siegmar Pergande B.Eng.
Marlen Jacobi Jäckel B.Eng.
Ignaz Warmer
Gereon Trapp
Rolf-Peter Reising B.Sc.
Henryk Bauer
