Student
Paul-Gerhard Gunpf
Jana Langern
Ing. Cosimo Steinberg
Hugo Ruppert-Kade
Michaele Schwital
Mariusz Adler
Maritta Bien
Patrizia Bender-Reuter
Jens-Peter Graf-Schmidt
Univ.Prof. Johan Lange
Anthony Heintze
Karl-Ludwig Hoffmann
Stjepan Schmidtke
Univ.Prof. Romana Hiller
Miodrag Fliegner B.A.
Frau Herlinde Segebahn
Dipl.-Ing. Augusta Lachmann B.A.
Univ.Prof. Adelbert Zimmer
Ing. Hans-Heinrich Reichmann B.Sc.
Detlev Wilmsen
Ing. Josip Ruppert
Klaus-Dieter van der Dussen
Hannchen Drewes B.Sc.
Rolf-Peter Rosenow MBA.
Herr Jens Becker MBA.
Moritz Schönland
Monja Weiß
Dipl.-Ing. Theda Weinhold B.Eng.
Herr Bruno Kreusel
Dr. Elmar Junk
Sandra Scholtz
Annelies Beer
Silvia Lübs
Rosita Möchlichen-Stumpf
Ortrun Siering
Emilie Bolander
James Nohlmans
Burkhardt Holt
Enrico Hornig
Frau Camilla Kruschwitz
Univ.Prof. Erhard Heuser MBA.
Lisbeth Mielcarek
Veronique Eimer
Prof. Ana Textor
Prof. Balthasar Hecker B.Eng.
Hedwig Briemer
Janine Dehmel B.Eng.
Ing. Erwin Kobelt B.A.
Marina Wilmsen
Gunnar Hentschel
Ing. Gerold Gotthard
Dörte Warmer
Harro Keudel
Silja Eberhardt-Boucsein
Aleksander Dowerg
Imelda Geißler
Sergej Hauffer MBA.
Univ.Prof. Luisa Scholz B.Eng.
Friedrich-Karl Eberth
Willy Kallert
Ibrahim Eberth
Marcella Ehlert
Univ.Prof. Trudel Gierschner MBA.
Ing. Justus Binner
Frederike Stoll
Heimo Ziegert
Univ.Prof. Luka Mende
Ingried Sauer
Dorina Fiebig
Annelore auch Schlauchin-Lorch
Faruk Meister
Prof. Hubert Heß
Hannelore Weinhold B.Sc.
Heimo Förster
Lisette Schönland B.Eng.
Ing. Hulda Schaaf
Veli Rädel
Gabi Löwer MBA.
Ing. Erica Schottin
Ann-Kathrin Davids
Claire Römer-Hornich
Dipl.-Ing. Maik Mende B.Sc.
Bernt Conradi
Aleksander Scheuermann
Moritz Roht
Ottmar Beier
Univ.Prof. Simona Holzapfel MBA.
Antonie Fischer-Margraf
Prof. Liane Jungfer
Maurizio Tschentscher
Dipl.-Ing. Harm Ruppert MBA.
Adelinde Zimmer
Hans Kostolzin-Ditschlerin
Herr Jens Ritter B.Eng.
Herr Erich Rosenow
Tomas Gröttner
Heide-Marie Zirme
Maria-Luise Schaaf
Stephan Hauffer
Pavel Ehlert
Maren Drub
Ing. Wladimir Karz MBA.
Cäcilie Patberg
Christl Wähner
Harriet Ullmann
Czeslaw Jacob B.Eng.
Heidemarie Junitz
Univ.Prof. Bela Kraus
Annika Lindner
Nadeschda Hande
Frau Clarissa Rosenow B.A.
Katerina Barkholz
Caren Neureuther
Sylke Ehlert
Fredo Paffrath-Kohl
Veli Junitz
Daniele Seip
Janusz Kruschwitz B.Eng.
Ilias Weiß MBA.
Sven Walter
Ing. Jessica Mende
Hildegunde Dörr
Frau Anja Haering
Inka Meyer
Pedro Bärer
Ivana Wilmsen-Gumprich
Mareike Lübs
Heinrich Ackermann
Gerhild Gude
Ing. Gotthard Reuter B.A.
Ortwin Scholl
Constantin Beckmann
Hans-Joachim Häring
Ernestine Stumpf
Niko Gutknecht B.Sc.
Helmuth Langern-Steinberg
Ing. Igor Barth
Inken Ziegert
René Säuberlich B.Eng.
Dr. Ibrahim Dobes B.Eng.
Lisbeth Karge
Univ.Prof. Pamela Kambs MBA.
Nuran Schäfer B.A.
Jörn Trupp MBA.
Flora Gotthard
Svenja Langern
Nicole Hoffmann
Roderich Scholtz
Krista Gertz B.Eng.
Ing. Tanja Scheibe B.Eng.
Ing. Dorothee Harloff B.Sc.
Gerda Kitzmann
Meinrad Barkholz B.Eng.
Ulf Dörschner
Ing. August Hellwig B.Eng.
Dipl.-Ing. Slobodan Sölzer
Notburga Huhn
Traugott Ruppert
Anneli Wernecke
Miroslaw auch Schlauchin
Frau Gertraude Wesack B.Eng.
Dipl.-Ing. Agatha Pruschke
Flora Etzold
Heinz-Günter Hesse
Ing. Jo Caspar
Doreen Hornig
Carina Kusch
Sandor Riehl
Cathrin Weitzel MBA.
Ing. Wolf-Rüdiger Weihmann B.Eng.
Dr. Hans-Herbert Losekann B.A.
Anna-Luise Kraushaar
Annelore Juncken
Thorsten Ruppersberger
Gunda Knappe
Abraham Junken-Beckmann
Renate Austermühle B.Eng.
Jane Reuter
Sibylle Jäntsch
