Student
Herr Karl Dippel B.A.
Ing. Bernard Schleich B.Sc.
Ing. Willi Warmer B.Eng.
Gislinde Lehmann
Rosalinde Trommler
Daria Liebelt
Salvatore Eberhardt-Ring
Prof. Balthasar Hecker B.Eng.
Frank-Peter Kambs
Dr. Lidia Flantz B.Sc.
Viktor Kusch
Univ.Prof. Philip Kranz B.Sc.
Irmgard Pieper B.Eng.
Rosina Otto
Frau Anna Mangold B.A.
Heinz-Wilhelm Steuer-Mende
Dagmar Jungfer
Dr. Sükrü Hettner
Margareta Trub
Herr Edmund Hesse
Aenne Hübel-Mühle
Astrid Schweitzer
Dr. Fredy Niemeier
Ralf-Dieter Sauer-Hermighausen
Hans-Friedrich Heydrich
Augustin Hoffmann MBA.
Ing. Toralf Wiek
Adolfine Dippel
Klara Löchel-Bien
Rolf-Dieter Preiß
Jasmina Heuser
Annemie Herrmann
Felicitas Ruppersberger
Rosa Kobelt
Hanno Löffler
Dipl.-Ing. Salvatore Zänker MBA.
Sofia Mielcarek B.A.
Prof. Guiseppe Gröttner B.Sc.
Insa Karz-Mangold
Dominic Schönland
Evamaria Berger
Katy Täsche
Olav Gumprich-Täsche
Guiseppe Bien
Miguel Briemer
Natalie Werner
Rosita Budig
Svenja Salz
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Dipl.-Ing. Theda Weinhold B.Eng.
Jadwiga Gierschner-Schulz
Vladimir Kruschwitz
Rosemarie Hethur
Celal Pohl
Annemie Margraf
Frau Chantal Ebert B.Eng.
Stella Barth
Dipl.-Ing. Traudel Eigenwillig
Andy Mangold
Univ.Prof. Florentine Schomber B.Eng.
Franziska Beer
Dipl.-Ing. Rigo van der Dussen B.Eng.
Ing. Catrin Dippel MBA.
Maren Scholz-Bohlander
Nora Dehmel B.Eng.
Domenico Gerlach-Kramer
Mira Bender
Helmtrud Neureuther
Timm Oderwald
Isidor Zobel-Ritter
Univ.Prof. Ortwin Geisler MBA.
Dr. Ibrahim Dobes B.Eng.
Josephine Schweitzer
Elena Fiebig
Laurenz Siering-Kallert
Ann Werner-Wilms
Guenter Wende
Franka Peukert
Klaus-D. Segebahn
Konstantin Ladeck
Ulrike Ackermann B.Sc.
Augusta Flantz
Nico Möchlichen
Ing. Valentina Börner
Univ.Prof. Regina Salz B.Eng.
Nicolaus Franke-Paffrath
Joseph Reuter
Prof. Wolf-Dietrich Schweitzer MBA.
Claire Rogner-Scheel
Gunhild Ullmann
Prof. Fabian Scholl MBA.
Sigmund Hentschel MBA.
Erica Lachmann
Matteo Krein-Müller
Kerstin Eigenwillig B.Eng.
Ilias Wagner
Inge Dehmel
Herr Ilhan Tröst B.A.
Erdmute Mosemann
Vincenzo Haering
Dipl.-Ing. Augusta Lachmann B.A.
Lene Sauer
Thekla Schäfer
Marit Weller
Rouven Bloch B.A.
Gabriela Girschner
Frau Trude Walter B.A.
Insa Bloch B.A.
Ing. Horst-Dieter Seip
Ing. Fredi Löffler
Univ.Prof. Anika Jockel MBA.
Hans-Adolf Römer-Jäntsch
Prof. Attila Werner B.A.
Dorothe Renner
Dipl.-Ing. Henriette Schmidtke MBA.
Michael Scholz
Dipl.-Ing. Marieluise Löchel
Julie Radisch MBA.
Apollonia Heß B.A.
Toni Schottin B.A.
Amalie Gotthard-Beckmann
Danuta Lachmann-Dussen van
Angelika Rosemann
Undine Scheibe-Stey
Fredi Lindner
Cordula Wohlgemut
Kurt Thanel
Abram Gunpf
Heinz-Josef Jähn MBA.
Philippe Wähner
Prof. Mohammad Reinhardt
Josip Stey
Evangelia Schlosser-Boucsein
Prof. Berend Käster B.A.
Ekkehard Holzapfel
Univ.Prof. Lissi Schomber
Ilonka Lange
Regina Becker
Blanka Birnbaum
Francesco Nerger
Gert Naser
Univ.Prof. Antonina Becker
Armin Scholz
Hanns Zänker B.A.
Dipl.-Ing. Tomislav Dowerg B.Eng.
Dr. Anastasia Gude
Kuno Mälzer B.Eng.
Univ.Prof. Leszek Gieß B.Eng.
Felicia Flantz-Lehmann
Gregor Buchholz
Leon Linke
Dennis Beer-Striebitz
Piotr Schaaf
Herr Emin Trubin
Dipl.-Ing. Ildiko Löffler B.A.
Prof. Heide Krebs
Dr. Hans-Willi Hertrampf MBA.
Roswita Henck
Ilja Krause
Evangelia Stumpf-Ruppersberger
Rosalinde Losekann
Martin Pechel-Freudenberger
Helmtrud Atzler
Danilo Hein-Scheibe
Anneke Jähn
Hans-Bernd Zorbach
Nico Ehlert-Ackermann
Ing. Alberto Werner
Kazim Hörle
Ralph Jessel B.A.
Oscar Nerger
Ignaz Löwer
Emmerich Wilmsen
Univ.Prof. Fatima Hölzenbecher
Achim Mülichen-Schleich
Arnfried Scheuermann
Ing. Hans Peter Schenk B.A.
Univ.Prof. Nadeshda Oestrovsky
Elias Hethur
Dr. Songül Tlustek MBA.
Friedericke Lange
Prof. Wolfgang Mohaupt
Prof. Necati Stey B.A.
Johanna Stumpf
Johann Beer
Kaspar Aumann
Till Karz
Ing. Gundi Boucsein B.Sc.
Cecilia Scholz-Barth
Ing. Wieslaw Kobelt B.Sc.
Janet Johann B.A.
Elli Kohl
Monja Siering
Mirja Bähr
Siegbert Henschel
Univ.Prof. Jaroslav Seifert B.Eng.
Thilo Tschentscher
Dipl.-Ing. Slavica Mälzer
Hannelore Heser-Boucsein
Theda Stumpf B.Eng.
Sigmund Heydrich
Josefa Stolze
Kenneth Kramer
Eggert Rörricht-Schwital
Friedhelm Schleich
Gerhardt Barkholz B.Eng.
Henny Herrmann
Benita Neuschäfer
Dr. Gabriela Geißler
Herr Knud Pölitz B.A.
Isa Rose
Irmi Schacht
Attila Losekann B.Sc.
Tilman Eberhardt
Magdalena Warmer MBA.
Viktor Bauer
Hassan Sager
Robert Herrmann
Marit Söding
Univ.Prof. Mirella Peukert
Gundi Sager
Herr Hendrik Fritsch B.Eng.
Ditmar Pölitz B.A.
Rotraud Fiebig
Isolde Seifert
Monja Weiß
Christel Bärer-Zirme
Valeska Geisler B.Eng.
Rüdiger Buchholz-Kuhl
Franz Josef Nette-Werner
Univ.Prof. Amelie Gröttner B.Eng.
Andrei Wulff
Rosa-Maria Reising
Ing. Helen Gumprich B.Sc.
Herr Gustav Noack
Conrad Lindau
Univ.Prof. Mira Mende B.Eng.
Lilli Harloff
Prof. Ruthild Nette B.A.
Prof. Gertraude Wohlgemut B.Eng.
Alma Flantz MBA.
Paulina Oderwald
Lukas Zirme
Dajana Gehringer
Carmine Hauffer
Ing. Arndt Schäfer
Ralf-Dieter Rörricht B.Eng.
Reimar Hahn-Neureuther
Ellen Jessel-Walter
Yvette Margraf-Wernecke
Ilja Wende
Gudrun Heß B.Sc.
Prof. Niko Atzler B.Sc.
Ole Schmidtke
Emmerich Killer
Marion Drewes
Alexandra Butte
Dr. Halina Haase
Tülay Hettner-Ebert
Dipl.-Ing. Wenzel Hellwig B.Sc.
Alwina Neureuther
Reni Roht-Binner
Ekkehart Bruder
Marie Hoffmann B.Sc.
Prof. Karl-Heinz Ruppersberger
Univ.Prof. Nikola Graf MBA.
Lisbeth Hentschel
Eberhardt Fiebig
Prof. Monique Budig B.Eng.
Prof. Dietlind Ullrich B.Sc.
Johan Buchholz
Gabi Neuschäfer-Oestrovsky
Ing. Steffen Röhrdanz B.A.
Univ.Prof. Fredy Barth MBA.
Kazim Junken
Dipl.-Ing. Baldur Oderwald B.Sc.
Prof. Gülay Birnbaum
Antonios Klemm B.Sc.
Stanislav Stey
Reimar Klemm MBA.
Suse Hornich
Elise Ackermann
Ekkehart Niemeier
Yasmin Wiek
Karl-August Reichmann B.Sc.
Univ.Prof. Undine Junken MBA.
Damian Dörr
Kriemhild Gude
Heinz-Josef Meister
Catrin Weller
Maurizio Mans-Ullmann
Sibylla Pohl
Antonie Fischer-Margraf
Ellen Liebelt
Cosimo Löffler B.Sc.
Karl-Ernst Drewes-Drubin
Henry Austermühle
Univ.Prof. Andrea Gieß B.Eng.
Univ.Prof. Greta Trapp
Dipl.-Ing. Dörte Häring MBA.
Gundula Weitzel-Liebelt
Julia Heinrich
Dr. Rosalinde Stolze B.Eng.
Björn Rädel-Rohleder
Theodoros Grein Groth
Sandy Römer-Bien
Harro Gunpf
Klaus-Peter Häring
Prof. Urs Täsche
Herr Bastian Ritter B.Sc.
Friedrich-Wilhelm Roht-Wiek
Wladimir Karge
Christos Gumprich
Franz-Xaver Carsten
Olivia Jäkel
Adeline Hein-Metz
Ing. Annekatrin Heß
Reinhart Winkler B.Eng.
Malgorzata Rohleder
Klaus-Werner Koch II B.Sc.
Prof. Marika Junken B.Eng.
Willy Reichmann
Gabi Harloff
Herr Günther Krein MBA.
Irmtraud Hauffer-Matthäi
Klaus-Dieter Hecker
Sibille Kallert
Baldur Knappe
Hanna Speer
Fabian Lübs
Alf Jacobi Jäckel-Fritsch
Falk Ritter
Judith Meyer
Hans-Bernd Eimer-Pechel
Sigurd Höfig B.Sc.
Vesna Wähner
Sigmund Mosemann
Klaus-Ulrich Blümel B.A.
Thomas Hänel
Aysel van der Dussen-Jäntsch
Dorothee Seidel
Gerard Förster
Freia Kraushaar B.A.
Frau Anne-Katrin Rädel
Marieluise Schulz
Nevenka Fritsch
Marek Walter MBA.
Victor Butte
Univ.Prof. Liliana Drub
Univ.Prof. Franz-Josef Zänker
Herr Jan Kobelt
Dr. Jasmina Ruppert
Geza Hertrampf B.A.
Ruthild Schüler B.Eng.
Edmund Caspar B.Sc.
Ing. Kay-Uwe Flantz
Alexej Wagner
Ing. Engelbert Bauer
Dr. Agathe Jähn B.A.
Univ.Prof. Bert Gieß
Ellen Trub
Sinaida Roskoth B.A.
Oda Henschel
Trude Ruppersberger
Hubertus Dörschner
Dipl.-Ing. Gunar Kuhl
Univ.Prof. Horst Scholtz
Rafael Blümel
Patrizia Biggen
Christiana Bauer
Ignatz Franke
Egbert Heintze
Siegbert Bachmann-Hövel
Adriane Stroh
Margarete Linke
Tadeusz Weller
Horst Reising
Eckehard Steckel
Mariana Steckel
Traugott Ruppert
Dipl.-Ing. Cläre Geißler
Jeannine Heinz-Tlustek
Reinhard Beckmann
Hans-J. Neureuther
Dagobert Rogge
Berit Pärtzelt
Cäcilie Roht-Misicher
Gitta Römer
Elena Linke-Wohlgemut
Jerzy Mende-Wagenknecht
Paolo Zänker MBA.
Inga Wieloch
Franz Schweitzer
Vera Heydrich
Simon Hahn
Mijo Seidel B.Sc.
Dipl.-Ing. Edda Barth MBA.
Ing. Serpil Rudolph MBA.
Knut Gorlitz
Edit Rädel
Gina Pieper
Zeljko Kobelt B.Eng.
Prof. Hubert Heß
Ottilie auch Schlauchin B.Eng.
Frau Gertrud Jüttner
Mariana Kranz
Witold Wulf
Ing. Vitali Hentschel MBA.
Claudius Rust-Mans
Hertha Gieß
Sylvio Stiffel
Miguel Lehmann
Prof. Gunther Klingelhöfer
Marica Martin
Johann Seidel
Herr Dimitri Mohaupt B.A.
Dominic Möchlichen
Constanze Fechner-Dörr
Univ.Prof. Giovanna Bachmann B.Eng.
Ljubica Wohlgemut-Schmidt
Kristian Anders B.Sc.
Rene Henck
Herr Wieslaw Trupp
Herr Swen Kraushaar B.A.
Marjan Segebahn B.Eng.
Fred Wende
Ing. Stanislaw Weihmann B.A.
Annika Wirth
Herr Karlheinz Mans
Dr. Mario Lorch
Gottfried Keudel MBA.
Veit Etzler
Ljudmila Nerger
Gabriela Freudenberger B.A.
Carla Gnatz
Rocco Rosemann B.A.
Loni Trubin
Lydia Wirth
Univ.Prof. Hedwig Krein
Wally Bien-Kraushaar
Rosi Spieß
Agatha Sager-Geisler
Maxim Roht
Janna Kambs
Jerzy Wagenknecht B.A.
Magarete Klingelhöfer-Mans
Riza Römer
Reingard Klingelhöfer
Evangelia Gierschner
Albina Stadelmann
Heinz-Walter Juncken
Kevin Etzler
Margita Hentschel
Hendrik Herrmann
Dr. Markus Roskoth B.Sc.
Siegmar Keudel-Gude
Heinz Dieter Zirme
Andres Sager
Undine Eimer
Abdul Klapp-Hethur
Univ.Prof. Dogan Mielcarek
Dr. Aldo Fritsch
Kathi Christoph
Joseph Gorlitz-Bloch
Eberhard Dobes
Stilla Klotz
Gunnar Weimer
Sieghard Hahn
Dr. Rita Kallert
Ing. Alwine Scholz
Univ.Prof. Robby Vollbrecht
Ing. Therese Rust
Maya Lindner-Zimmer
Martha Wilmsen
Harold Bohlander B.Sc.
Dr. Lilija Dowerg MBA.
Dipl.-Ing. Ladislaus Weinhold
Emine Vollbrecht B.Eng.
Carmine Bruder-Rörricht
Sandra Scholtz
Ing. Philipp Textor
Dipl.-Ing. Konrad Schenk
Dipl.-Ing. Marisa Scholl
Thorben Henk-Mende
Ignatz Börner
Johannes Bärer
Sybilla Herrmann-Pärtzelt
Markus Albers
Marliese Drubin
Hartmuth Koch II
Herr Bartholomäus Adolph MBA.
Giuseppe Trupp
Carola Kusch
Anni Dietz-Blümel
Meryem Hänel-Jungfer
Ottmar Beier
Nicolas Tschentscher
Malgorzata Tlustek
Jo Reising
Damian Söding
Kunigunda Fischer
Anne-Marie Sontag
Kemal Butte-Tintzmann
Marina Wilmsen
Claire Holt
Elzbieta Beier
Kay-Uwe Dippel
Dr. Jurij Nohlmans B.A.
Ing. Erwin Kobelt B.A.
Wally Wähner
Irmtrud Bolzmann
Leokadia Herrmann
Dr. Uli Segebahn
Peer Nohlmans B.Sc.
Hans-Albert Preiß-Scheel
Hanspeter Benthin
Silvester Sorgatz MBA.
Ulrike Schleich-Süßebier
Stilla Hornig B.A.
Senol Hölzenbecher
Ing. Ivonne Nerger
Herr Burkhardt Bauer B.Eng.
Uta Karz
Karl-Wilhelm Geisel
Wolf Schottin-Gunpf
Elwira Wirth
Annamaria Scholtz
Ing. Rose-Marie Hölzenbecher
Ruth Wiek-Bloch
Dipl.-Ing. Bodo Junk B.Eng.
Dorota Mude
Aleksandra Stey MBA.
Hans-Gerd Gnatz
Alban Butte
Ingetraut Köster
Frau Francesca Blümel
Giuseppe Stahr
Hermann Josef Junck
Vlado Hübel B.Eng.
Dipl.-Ing. Sibylle Kensy
Patrik Ditschlerin
Berthold Rudolph
Ilias Weiß MBA.
Constantin Beckmann
Kai-Uwe Schäfer
Miodrag Fliegner B.A.
Univ.Prof. Norbert Röhrdanz B.Sc.
Alwine Sager
Anton Drubin
Dr. Mirko Langern MBA.
Rolf-Dieter Kensy
