Student
Natalie Neureuther
Edward Dippel
Univ.Prof. Evelyn Seifert B.A.
Geert Rudolph
Gabor Steuer
Sieglinde Stahr
Roderich Scholtz
Dipl.-Ing. Jens-Uwe Dobes
Marina Radisch
Friedhelm Schleich
Ing. Siglinde Speer MBA.
Hans-Hermann Haering
Univ.Prof. Nevenka Döhn B.Eng.
Ursel Juncken-Buchholz
Dipl.-Ing. Lilly Junken MBA.
Prof. Sandy Butte
Cord Mende B.Eng.
Dipl.-Ing. Rüdiger Otto B.A.
René Hölzenbecher-Berger
Konstanze Mohaupt
Prof. Guiseppe Gröttner B.Sc.
Cilli Gorlitz
Eva-Maria Geisler
Hans-Eberhard Lübs
Alida Tröst
Adelinde Kensy B.Eng.
Matteo Krein-Müller
Regine Meyer
Janusz Kruschwitz B.Eng.
Hans Dieter Fiebig B.Eng.
Francoise Zänker-Knappe
Sabine Gude
Yasemin Hande
Daniel Zänker
Slawomir Drub-Gute
Prof. Irmela Hellwig B.Sc.
Reza Mielcarek
Univ.Prof. Heinz-Dieter Schuster
Lorenz Kohl
Prof. Julia Möchlichen B.A.
Dipl.-Ing. Arthur Ziegert
Univ.Prof. Niklas Mohaupt MBA.
Karlheinz Martin
Sybilla Hornig
Anne-Rose Klemm
Amanda Fechner-Weinhage
Gundi Schwital
Miodrag Fliegner B.A.
Univ.Prof. Undine Becker MBA.
Anne-Rose Sorgatz
Karl-Heinrich Karz
Vitus Schmidt
Gitte Buchholz
Käthi Lübs
Dr. Annett Siering
Prof. Aziz Stumpf
Klaus-Michael Fiebig
Leonardo Klingelhöfer B.Sc.
Edit Rädel
Edmund Gnatz-Rogner
Minna Lindner
Aenne Mende B.Eng.
Raphael Barth
Katarina Knappe
Univ.Prof. Meta Rädel
Gino Ernst
Adriana Vogt
Bogdan Zirme
Dr. Anika auch Schlauchin B.Sc.
Bernadette Löffler
Ing. Eckehard Bloch MBA.
Edeltraud Mülichen
Dr. Almut Peukert MBA.
Prof. Alina Barth
Ilse Nette
Knud Trommler
Enrico Drewes
Marjan Segebahn B.Eng.
Mandy Huhn B.A.
Lieschen Kusch-Pechel
Eberhard Rust B.A.
Nikolai Mohaupt
Luzia Kranz
Dr. Sigfried Seip B.Eng.
Theodora Wilmsen
Hannes Patberg
Frau Zdenka Zimmer
Hans-Martin Kohl
Kriemhild Junk MBA.
Harri Heuser
Kristian Meyer
Irmgard Weinhage-Wieloch
Manuela Linke B.Eng.
Gunther Tschentscher
Jasmina Heuser
Heinz-Werner Schleich-Mies
Milos Kuhl B.Sc.
Ilija Lindner
Roberto Jockel
Marek Ackermann
Engelbert Margraf-Trommler
Ing. Chantal Schleich B.Eng.
Therese Rohleder
Harro Söding
Lilo Scholz
Frieda Gröttner
Harold Bähr B.A.
Univ.Prof. Bert Gieß
Cynthia Linke
Hellmuth Heidrich
Dr. Jan-Peter Döhn B.A.
Karolina Hartmann
Norman Ditschlerin MBA.
Dipl.-Ing. Liliana Hartmann
Dr. Herbert Jockel B.Eng.
Hans Jörg Köhler
Günther Mude B.A.
Aleksej Fröhlich
Falk Wagenknecht B.Eng.
Gabi Klapp
Prof. Necati Stey B.A.
Ivana Eimer
Danuta Kensy
Hendrik Bolzmann-Henschel
Alexandros Heintze
Dipl.-Ing. Amanda Striebitz
Carin Rohleder
Janos Winkler B.A.
Verena Höfig
Prof. Folker Budig
Carlos Klotz
Mareile Birnbaum
Jan Linke MBA.
Julius Kraushaar
Hülya Scheibe
Bekir Gumprich-Kabus
Nadin Radisch
Conrad Lindau
Patrizia Biggen
Olga Krein
Prof. Marie Plath
Elzbieta Beier
Frank-Peter Ullmann
Guenther Steinberg MBA.
Irmengard Röhrdanz
Hans-Martin Bärer
Caroline Haering MBA.
Gertraud Tröst
Nevenka Fritsch
Dipl.-Ing. Frederik Rörricht B.Sc.
Prof. Ildiko Adler MBA.
Jochen Naser
Hellmuth Söding-Bonbach
Amalie Gotthard
Reinhold Schönland
Ing. Katarzyna Noack
Margita Schleich-Becker
Cilli Lindau B.A.
Ing. Gregor Lindau
Prof. Sonia Blümel
Annelene Zänker
Wally Krein-Bien
Recep Hecker
Anette Anders
Mike Röhricht-Hauffer
Urs Ebert
Brian Preiß
Marga Vogt
Walentina Hesse
Moritz Schönland
Franz-Peter Preiß B.A.
Herr Erich Rosenow
Burghard Albers-Berger
Eleni Matthäi
Dipl.-Ing. Hans-Günther Bien
Wolf-Dieter Schmiedt
Ortrun Pohl B.Eng.
Heinz-Wilhelm Säuberlich MBA.
Annamaria Kade-Fischer
Univ.Prof. Traudl Mentzel B.Eng.
Gero Gumprich B.Sc.
Alexej Hornig-Radisch
Eckhard Sölzer
Gülay Werner
Jost Briemer
Klaus-Ulrich Blümel B.A.
Eggert Rörricht-Schwital
Dipl.-Ing. Matteo Baum
Herr Vincenzo Liebelt
Hellmut Hein-Gnatz
Prof. Natalija Weinhold
Stephan Hauffer
Nicolaus Franke-Paffrath
Prof. Bela Noack
Dr. Mohammed Höfig
Felicia Löffler
Klaus-Dieter Knappe
Herr Mike Schuchhardt B.A.
Ayse Scheuermann-Sölzer
Ernest Müller
Johannes Schuchhardt-Junitz
Svea Hartung B.Eng.
Klaus-Peter Zorbach
Frau Käthi Hamann B.Eng.
Diedrich Jäntsch B.A.
Änne Boucsein B.Sc.
Prof. Cathrin Misicher
Folkert Schwital
Alena Seip
Herr Günther Krein MBA.
Francoise Freudenberger-Stey
Univ.Prof. Rosi Gorlitz B.A.
Heide-Marie Gunpf B.A.
Bernhardine Ruppersberger
Geza Beckmann
Sara Johann
Wally Wähner
Abram Vogt MBA.
Enno Jockel MBA.
Edda Klemt
Nikolai Stiebitz
Guenter Lachmann
Hans-Hinrich Trub
Frau Reinhilde Wirth MBA.
Margret Hentschel-Davids
Detlef Köster
Andre Mülichen-Scholz
Eberhardt Mielcarek
Waldtraut Hoffmann
Dr. Marianne Reising
Hans-Erich Preiß
Immo Koch II
Prof. Gaetano Weiß
Ing. Wieslaw Kobelt B.Sc.
Roswita Döhn
Prof. Susanne Heidrich B.Eng.
Agnes Vollbrecht
Adolfine Lange
Sylvester Bender-Boucsein
Univ.Prof. Ismet Bloch B.Eng.
Univ.Prof. Adelbert Zimmer
Ing. Gerlinde Junken
Tomislav Jopich-van der Dussen
Wencke Salz
Theda Stumpf B.Eng.
Eckart Klotz
Zbigniew Hahn MBA.
Beata Lübs
Heide-Marie Heß B.A.
Jaroslav Benthin
Dr. Evangelia Killer B.Sc.
Swetlana Jessel
Suzanne Holzapfel
Rosemarie Schmiedecke
Gottfried Martin-Martin
Univ.Prof. Brigitte Rogner
Siegrun Ring
Friedericke Bolzmann
Herr Louis Hövel
Yvette Dietz
Elfie Otto
Rudi Schacht
Stella Mülichen
Enver Conradi-Hecker
Steven Seifert
Frau Ivanka Killer MBA.
Ing. Cynthia Weihmann B.Eng.
Mike Krein
Niels Faust
Dorle Knappe
Miroslawa Jäkel-Bohnbach
Ron Sorgatz-Eimer
Till Bolander
Ekkehart Bruder
Dr. Ehrhard Gieß B.Sc.
Anni Hänel B.Eng.
Toni Dehmel-Striebitz
Wolf Häring-Kallert
Univ.Prof. Lara Hoffmann MBA.
Liesa Gröttner
Prof. Heinz-Willi Lindau MBA.
Conny Geißler-Karge
Rosina Ortmann
Inken Juncken
Lia Heydrich
Ing. Josip Ruppert
Simon Meyer
Slawomir Ortmann
John Roskoth-Rädel
Dipl.-Ing. Fred Meister
Oskar Weitzel
Jörg-Peter Klemt MBA.
Helma Fliegner
Guiseppe Tschentscher
