Student
Dr. Silvester Krein B.Sc.
Prof. Walter Pechel
Dipl.-Ing. Friedhilde Hauffer B.A.
Univ.Prof. Marcella Trüb
Kriemhild Junk MBA.
Arnd Jacobi Jäckel
Cäcilie Roht-Misicher
Ralph Rogge
Irina Hahn
Polina Ladeck B.A.
Annamaria Baum MBA.
Jann Geisler
Ing. Henrike Kramer
Ing. Torsten Hartung B.Eng.
Herr Yusuf Kabus B.A.
Frau Annita Beckmann
Dr. Annekatrin Striebitz
Felix Müller
Ing. Georg Lübs
Marcel Oestrovsky
Michaela Sontag-Dörr
Luitgard Weiß-Rörricht
Aleksander Klapp-Sauer
Arzu Stiffel-Drubin
Frau Mechtild Fliegner
Mahmut Rose B.A.
Milan Holzapfel
Elena Gotthard
Thea Schmiedecke
Ing. Rose-Marie Hölzenbecher
Leander Dobes-Schlosser
Claire Faust B.A.
Mattias Kensy
Dr. Franco Stumpf B.Eng.
Ing. Kläre Radisch
Dr. Lina Hiller
Dipl.-Ing. Karsten Fechner
Anne-Katrin Höfig
Radmila Kraus-Schacht
Lena Wende
Univ.Prof. Nicole Höfig B.Sc.
Eleonora Gehringer
Univ.Prof. Nadja Jacob B.Eng.
Dietlinde Söding
Gertrude Lehmann-Kostolzin
Ann Stumpf
Isabell Buchholz
Karl-Wilhelm Rogner
Jörg Pechel
Domenico Gertz
Annelies Seifert
Univ.Prof. Hugo Martin
Ann Mielcarek
Krystyna Rust-Baum
Darius Klotz
Regine Wende B.A.
Kläre Mohaupt-Salz
Vitus Pruschke B.A.
Horst Hauffer B.Eng.
Annie Gnatz B.A.
Adina Finke
Dora Jockel
Herta Weitzel
Nadia Herrmann
Valentin Gute
Hermann Josef Börner
Gretel Stroh
Florentine Bärer B.A.
Ing. Gerold Mende
Univ.Prof. Walter Barkholz
Agnes Tröst
Ramon Salz
Leopold Jungfer
Enrico Oderwald
Heinz-Günter Schuster
Andree Budig B.Eng.
Theodor Bolnbach-Kroker
Edmund Siering
Kai-Uwe Oderwald
Karl-Josef Barth
Hans-Adolf Römer-Jäntsch
Nicolai Röhricht-Spieß
Univ.Prof. Annegrete Henck B.A.
Robert Weimer
Stavros Hoffmann
Katherina Klapp
Stavros Ortmann
Rosita Möchlichen-Stumpf
Konrad Schuster
Kazim Hörle
Bekir Fechner
Christiana Bauer
Dipl.-Ing. Slobodan Sölzer
Luzia Eckbauer
Sandra Scholtz
Freia Lübs
Annelise Schwital
Gerhart Beier
Dr. Mechthilde Hellwig
Imre Sauer
Inga Wieloch
Prof. Wolf-Dietrich Schweitzer MBA.
Dipl.-Ing. Mariola Lange B.Sc.
Cilli Röhricht
Dipl.-Ing. Hülya Nerger
Tilman Eberhardt
Patrick Pärtzelt-Henck
Angelo Röhrdanz
Jasmina Cichorius-Barth
Regina Ring
Karl-Friedrich Kitzmann
Karl-Georg Zahn
Elfi Herrmann MBA.
Ayse Scheuermann-Sölzer
Nadja Schleich MBA.
Juliana Möchlichen
Folker Fischer
Walfried Wohlgemut B.Eng.
Marica Hamann-Koch
Univ.Prof. Dorit Pechel B.A.
Gertraud Mentzel
Brian van der Dussen
Patrizia Schleich
Gesa Keudel-Bauer
Concetta Dehmel
Frau Ellinor Tintzmann
Herr Tony Lindner
Kornelia Kade
Kristina Scheibe
Siegmund Schleich MBA.
Prof. Katrin Mülichen B.Eng.
Univ.Prof. Aloisia Fröhlich B.A.
Univ.Prof. Ayten Lorch
Tatjana Käster-Schüler
Stephanie Kranz B.A.
Giuseppina Linke
Donald Schönland
Chantal Kramer
Dipl.-Ing. Stefano Ditschlerin
Prof. Hansjürgen Langern
Falk Sorgatz-Ortmann
Thorben Ruppert
Woldemar Heinz
Valentine Tschentscher
Ilias Freudenberger
Sandy Zimmer
Cosimo Girschner
Nikolaus Rosenow
Anneli Butte
Mariola Gnatz
Univ.Prof. Michaele Heser MBA.
Elias Gierschner
Egon Paffrath
Hans-Helmut Wesack
Adelheid Schmidtke
Mareile Tschentscher B.A.
Traudl Gierschner
Herr Karl-Heinrich Eberth B.Sc.
Hans-Bernd Rose
Univ.Prof. Kathi Noack B.Eng.
Univ.Prof. Lisbeth Köhler
Marijan Kruschwitz
Dr. Bernfried Schomber
Caroline Haering MBA.
Falko Klemm B.Sc.
Apollonia Trüb B.A.
Dr. Frieda Metz
Darius Trupp
Dr. Annette Linke MBA.
Werner Heydrich-Schmidtke
Nurettin Bärer B.Eng.
Cosimo Bender
Mato Patberg-Heintze
Dirk Graf-Stiffel
Ing. Alf Lachmann
Dipl.-Ing. Marisa Scholl
Dipl.-Ing. Henrike Hörle B.A.
Doreen Striebitz
Mark Gute-Faust
Ing. Gerlinde Junken
Dipl.-Ing. Wanda Dussen van
Gerd Beckmann-Gnatz
Ellinor Kraus
Waldemar Ladeck
Ansgar Seidel
Ing. Zoran Tintzmann
Corinna Täsche B.A.
Helen Hahn
Frau Anne-Katrin Rädel
Patric Geisler-Becker
Ercan Kühnert
Hans-Karl Bauer B.Eng.
Annekatrin Neureuther
Eberhard Junitz
Cordula Schmiedecke-Wilms
Notburga Pechel B.Eng.
Oskar Beyer
Miroslaw Holt
Elsa Beer
Univ.Prof. Andrea Gieß B.Eng.
Carl Schmiedt
Frau Bruni Krein B.A.
Univ.Prof. Gislinde Rohleder
Ing. Jeanette Rosemann B.Eng.
Malte Herrmann-Zänker
Conrad Lindau
Rosa-Maria Losekann-Schulz
Mary Reuter B.Sc.
Ing. Pauline Linke
Antonie Fischer-Margraf
Rosita Köster B.A.
Heide-Marie Zirme
Univ.Prof. Dorle Fröhlich
Gertrude Kostolzin MBA.
Anton Gute
Karen Rädel
Undine Scheibe-Stey
Rosa-Maria Knappe
Lina Hörle
Dr. Gundolf Römer MBA.
Ekaterina Liebelt
Ing. Igor Barth
Dr. Walburga Kobelt B.Eng.
Ingelore Kobelt MBA.
Univ.Prof. Zofia Rust
Beate Nette
Ing. Arthur Schwital B.Eng.
Prof. Sergei Heser
Kenan Wulff-Plath
Katja Kruschwitz-Roskoth
Jadwiga Koch
Fredi Meyer-Weiß
Sigmar Zobel
Dipl.-Ing. Kristine Klapp MBA.
Sofia Mielcarek B.A.
Frau Jane Sauer
Mona Wiek B.Eng.
Anne-Rose Krause
Walli Jopich
Univ.Prof. Anny Stolze
Mina Segebahn B.A.
Lene Hermann-Kaul
Dipl.-Ing. Slavica Mälzer
Univ.Prof. Milka Bähr
Hulda Junk
Hans-Martin Junk-Kuhl
Kaspar Hänel
Elvira Scholtz
Elsa Preiß
Tillmann Dobes-Trupp
Augustin Hoffmann MBA.
Marietta Geißler
Jorge Killer
Stephen Tintzmann
Wolf Häring-Kallert
Prof. Lene Oestrovsky B.Sc.
Prof. Klaas Geißler B.A.
Dipl.-Ing. Werner Scholl B.Eng.
Magdalena Gude
Univ.Prof. Suzanne Paffrath
Notburga Weller MBA.
Nikolai Stiebitz
Dr. Myriam Häring
Urszula Fliegner
Karl-Georg Römer B.A.
Prof. Ursula Eigenwillig
Ronald Stiebitz
Bertha Heser MBA.
Nadin Stiebitz B.Eng.
Charles Heinz
Mirjana Drub
Hilma Kuhl
Silvia Henschel
Univ.Prof. Olivia Gnatz MBA.
Ria Dietz
Janet Jüttner
Edwin Förster-Albers
Ibrahim Eberth
Christel Bärer-Zirme
Dr. Margarethe Ernst
Nancy Karz-Bolzmann
Ludmila Patberg
Uwe Dussen van
Emmerich Wilmsen
Herr Thorben Jacob
Erdmute Mosemann
Franziska Beer
Ing. Ben Lindau MBA.
Fabian Pechel-Dippel
Hannes Meyer
Emmy Koch
Folkert Barth B.Sc.
Dipl.-Ing. Dunja Hoffmann
Dajana Trapp-Kreusel
Univ.Prof. Pascal Schweitzer
Ing. Engelbert Bauer
Prof. Marika Davids B.A.
Prof. Irmhild Fritsch
Caren Neureuther
Dipl.-Ing. Regine Renner
Frau Margrit Beckmann
Nadia Wirth
Hans-Henning Heydrich MBA.
Franca Harloff-Döring
Univ.Prof. Heinz-Dieter Schuster
Irina Birnbaum
Stephanie Weller
Halina Römer-Hartung
Reimar Jacob-Loos
Erna Schmiedt
Dipl.-Ing. Gerold Kusch B.Eng.
Henny Wulff
Jutta Franke-Rosenow
Franca Buchholz
Univ.Prof. Jörg Jessel MBA.
Pascale Bruder
Stephanie Krause
Guntram Scholz MBA.
Mareike Wilmsen
Guenter Lachmann
Georgia Trub
Käthi Faust-Gorlitz
Suse Pergande-Gröttner
Dietlind Anders B.A.
Dr. Annika Gude MBA.
Heide Schottin
Mareile Meister
Beatrix Rädel MBA.
Antonie Heser B.Sc.
Amalia Schmidtke-Radisch
Kenan Pieper
Heinrich Kramer
Dusan Dussen van
Hans-Theo Vogt-Beckmann
Vassilios Davids
Herr Edmund Hesse
Prof. Folker Trupp B.Sc.
Ellen Röhrdanz
Francisco Harloff
Karla Wirth
Gitte Buchholz
Univ.Prof. Etta Bohnbach
René Ehlert
Karlheinz Stahr
Prof. Urs Täsche
Herr Evangelos Schacht
Prof. Erwin Albers B.Sc.
Ignaz Schottin
Vladimir Wulf B.A.
Balthasar Klemm
Dagmar Franke-Schleich
Kurt Thanel
Francisco Budig-Geisler
Iwan Käster
Dipl.-Ing. Babette Bauer B.Sc.
Janus Jessel-Hermann
Sevim Textor-Schinke
Frau Wenke Riehl
Dipl.-Ing. Jiri Walter
Siegmar Kramer
Cornelia Radisch
Christina Geisel-Hesse
Gerhild Löffler
Vadim Jacobi Jäckel
Viviane Fritsch-Martin
Univ.Prof. Charlotte Lindner MBA.
Waltraut Gehringer
Manja Koch II-Heuser
Benno Gehringer-Wohlgemut
Gertraude Pärtzelt MBA.
Dipl.-Ing. Patric Johann
Ilija Rosenow
Adolfine Dippel
Horst-Peter Faust
Prof. Marion Scholz
Univ.Prof. Alexandros Junk
Herr Mike Schuchhardt B.A.
Ing. Petar Hänel MBA.
Manuela Sauer
Philippe Geisler
Prof. Tania Grein Groth
Univ.Prof. Tilmann Pieper B.Eng.
Ing. Hans Peter Schenk B.A.
Dipl.-Ing. Magrit Junck
Tülay Gnatz-Sorgatz
Ljiljana Ruppert
Steffi Schmiedt B.Sc.
Prof. Marija Seidel
Ekkehart Bruder
Hilda Stey B.Eng.
Maurizio Hermann
Albrecht Rust-Heinrich
Miguel Briemer
Urte Caspar
Ludmila Dobes B.A.
Diedrich Scheel-Hübel
Maxim Wilms-Meister
Ruben Trubin
Dr. Myriam Pieper B.Eng.
Kevin Trubin
Leon Aumann
Uli Renner
Calogero Mude-Etzold
Marie-Theres Trupp
Melita Schleich
Viviane Girschner
Frau Brigitta Bohlander MBA.
Erkan Beier
Madeleine Hermann B.Sc.
Liesel Ziegert
Kevin Tlustek-Heinz
Priska Rädel
Prof. Mohammad Reinhardt
Ing. Andrew Nerger
Jennifer Hoffmann
Univ.Prof. Fatima Faust B.A.
Annemie Herrmann
Jelena Meyer MBA.
Eberhardt Warmer
Natali Löffler
Frau Zdenka Zimmer
Joachim Steuer
Jan Gumprich
Liesa Sauer
Alois Römer-Becker
Hildegunde Staude
Friedrich-Wilhelm Holsten
Agathe Jäntsch-Käster
Tabea Schomber
Ingolf Ruppersberger-Berger
Christl Eigenwillig
Ing. Catrin Dippel MBA.
Herrmann Holt-Lindner
Ehrhard Pruschke
Hans-J. Tröst MBA.
Univ.Prof. Philip Kranz B.Sc.
Arne Knappe
Joachim Süßebier
Hans-Ulrich Plath B.A.
Dorota Wilms
Lisette Stoll B.Eng.
Prof. Friedo Reuter
Irmingard Meyer MBA.
Dipl.-Ing. Undine Warmer
Frau Yvonne Trupp B.A.
Herr Jörgen Kruschwitz
Dörte Dobes-Bonbach
Klaus-Michael Fiebig
Ilonka Rose
Univ.Prof. Dana Seifert
Prof. Joanna Kreusel
Cengiz Dehmel
Univ.Prof. Damian Sorgatz B.Eng.
Gebhard Sorgatz
Gundula Vollbrecht
Rebecca Geißler
Univ.Prof. Francesco Schulz B.Eng.
Univ.Prof. Pius Kühnert
Univ.Prof. Birger Weihmann MBA.
Mirco Girschner
Anna-Marie Zorbach
Helena Hettner
