Student
Anastasios Kuhl
Svetlana Schenk-Barth
Iwan Renner-Dussen van
Eva Mosemann
Käthi Naser-Tlustek
Jakob Döring
Marcus Langern
Prof. Hansjürgen Langern
Dr. Mirko Langern MBA.
Mareen Krebs-Hofmann
Viviane Fritsch-Martin
Hans-Gerd Gnatz
Janusz Trub-Mühle
Meral Stroh-Henschel
Dipl.-Ing. Johanna Henck
Bozena Meyer
Adalbert Boucsein
Dr. Zehra Etzler
Reinhardt Pärtzelt
Agathe Gertz-Butte
Fatima Heser B.Eng.
Dr. Krista Wirth
Eileen Etzler
Matteo Krein-Müller
Henri Wirth
Helmtrud Neureuther
Zeki Hartung
Bogdan Pohl
Ditmar Trub
Judith Meyer
Traugott Hövel
Prof. Cathrin Misicher
Cemal Budig-Holt
Kreszentia Bloch-Steckel
Mariele Stiffel B.Sc.
Ing. Hanna Killer
Frau Kordula Geisler MBA.
Prof. Linda Beier
Marita Berger B.A.
Anika Trüb
Frau Svenja Hövel B.Sc.
Nurettin Dippel
Ing. Steffen Röhrdanz B.A.
Danuta Kensy
Jane Reuter
Karoline Carsten
Amanda Fechner-Weinhage
Oscar Junitz
Theo Neuschäfer
Lambert Röhricht-Johann
Reimar Kabus
Karl-Wilhelm Rogner
Gerwin Ortmann
Orhan Wieloch
Karl-Wilhelm Meyer
Ing. Cläre Dowerg
Hüseyin Johann
Univ.Prof. Wibke Reinhardt B.Eng.
Univ.Prof. Waldemar Döring
Georgios Knappe-Mälzer
Canan Heinrich
Univ.Prof. Gislinde Rohleder
Hans-Christian Finke
Anni Seidel B.Eng.
Mara Vollbrecht B.A.
Prof. Urs Flantz
Geert Rudolph
Fatma Hesse
Univ.Prof. Birger Weihmann MBA.
Ing. Dirk Paffrath
Gloria Lachmann MBA.
Prof. Dietlind Ullrich B.Sc.
Univ.Prof. Tilmann Pieper B.Eng.
Ing. Cord Hermighausen B.Eng.
Augustin Hoffmann MBA.
Mariola Tlustek MBA.
Manja Koch II-Heuser
Ferdi Hoffmann
Friedrich-Karl Weimer
Univ.Prof. Mirella Peukert
Katrin Oestrovsky-Fechner
Alla Weihmann
Ludwina Haase
Damian Hentschel
Dina Koch
Ellen Gutknecht
Ing. Friedhelm Löchel B.Eng.
Karl-Jürgen Ziegert
Roberto Jockel
Dogan Bolander
Birgitta Loos
Edelgard Neureuther-Vollbrecht
Magret Oderwald
Ansgar Möchlichen-Höfig
Adalbert Hande B.Eng.
Kati Radisch
Cordula Hornig
Elzbieta Hartung
Achim Mülichen-Schleich
Frau Herlinde Kade B.A.
Ing. Tillmann Geisel
Birgid Freudenberger
Änne Möchlichen
Dr. Krista Jäkel B.A.
Bernt Huhn
Piotr Speer-Seifert
Constantin Ziegert
Gunter Grein Groth B.Eng.
Sybilla Eigenwillig
Imelda Söding
Tomasz Bolnbach
Edeltrud Kambs
Francisco Schmidtke-Albers
Frauke Söding
Evi Oestrovsky
Dipl.-Ing. Peer Kuhl
Drago Täsche
Kai-Uwe Köhler
Baptist Gröttner B.Sc.
Vadim Bender B.A.
Prof. Mathias Kambs
Helen Hahn
Ing. Anton Gotthard MBA.
Prof. Ingetraud Seidel B.Sc.
Robert Weimer
Rene Albers
Ing. Edeltraud Zirme
Dr. Friedbert Bauer B.Eng.
Annelore Juncken
Traugott Ruppert
Adelgunde Beer
Liesel Klapp
Irina Täsche
Ottilie Gute
Hildegunde Stiebitz-Mude
Emil Preiß-Hecker
Ing. Kläre Radisch
Prof. Gaby Ernst MBA.
Volkhard Köster-Jüttner
Prof. Guenther Margraf B.Eng.
Damian Dörr
Franca Mentzel
Holger Röhricht
Agatha Kostolzin
Eitel Hethur
Eberhardt Schäfer
Uwe Sorgatz
Sandy Römer-Bien
Susi Seifert
Prof. Niko Atzler B.Sc.
Frau Gudrun Huhn B.Sc.
Madlen Lübs
Teresa Schomber B.A.
Bernhardine Bender MBA.
Alfred Weinhage-Stiffel
Josefine Rosenow-Hertrampf
Lissi Kohl
Werner Heydrich-Schmidtke
Mark Sauer B.A.
Oliver Bien
Werner Kramer B.A.
Mercedes Christoph
Olga Stahr
Benita Heser
Prof. Marika Junken B.Eng.
Prof. Amir Reising MBA.
Ing. Eleonora Holzapfel
Marie Hoffmann B.Sc.
Kristin Kabus
Gunter Beyer
Univ.Prof. Matthäus Gude
Maritta Bien
Lene Sauer
Ing. Hartmuth Gute B.A.
Aleksandra Benthin
Anastasia Gunpf
Irmtrud Klingelhöfer
Walentina auch Schlauchin-Albers
Friedericke Killer B.Eng.
Mehdi Neureuther
Herr Rudi Neuschäfer
Giesela Börner B.Eng.
Yvonne Kroker
Univ.Prof. Marjan Graf B.Sc.
Albin Schuchhardt
Klaus-Jürgen Jockel
Sylwia Wilmsen-Ullmann
Agnes Vollbrecht
Ellen Röhrdanz
Ing. Heide Winkler
Univ.Prof. Undine Junken MBA.
