Student
Jan-Peter Grein Groth
Janko Neureuther
Raymond Ruppersberger
Melitta Drewes
Gesa Jäntsch
Erwin Weimer-Bohlander
Fabienne Conradi B.Eng.
Arzu Ullrich
Univ.Prof. Edit Ehlert B.Eng.
Prof. Cäcilia Gertz B.Eng.
Danilo Ehlert
Aenne Hübel-Mühle
Herr Augustin Karge B.Eng.
Gotthilf Bohnbach-Seip
Christiana Pohl
Helmuth Jäntsch
Hülya Conradi
Sergio Schleich
Klemens Förster
Dipl.-Ing. Valeria Kühnert MBA.
Gülten Henschel
Patric Heinrich
Ing. Mahmoud Becker
Faruk Hoffmann
Miriam Hentschel
Karla Wirth
Ralph Hellwig-Lachmann
Herr Rüdiger Ruppersberger
Irmengard Röhrdanz
Kristin Kabus
Diether Dussen van-Rohleder
Melitta Fliegner
Dagmar Dussen van
Ronald Hofmann
Caroline Wende
Carmine Schacht
Paulina Bender-Liebelt
Franca Börner
Steven Eimer
Univ.Prof. Resi Kobelt
Univ.Prof. Tabea Dörschner MBA.
Meinrad Barkholz B.Eng.
Patrizia Biggen
Anne-Marie Drewes
Univ.Prof. Nadeshda Oestrovsky
Prof. Meral Jüttner MBA.
Evi Heuser
Maren Anders
Torben Schweitzer
Lidia Franke
Dietlind Anders B.A.
Ing. Mohammed Geißler B.Eng.
Jolanda Henck
Ljudmila Krebs
Univ.Prof. Robby Vollbrecht
Ulrike Ackermann B.Sc.
Univ.Prof. Sybilla Gehringer
Heribert Ring B.A.
Heribert Kensy
Maurice Steckel
Thorsten Bolzmann-Hesse
Dr. Lidija Weihmann
Ewald Hethur
Dr. Ibrahim Dobes B.Eng.
Heino Schönland-Hermann
Rene Henck
Attila Rogner
Wilma Drub B.Eng.
Nikolai Stiebitz
Almut Trupp
Dipl.-Ing. Eberhardt Fechner
Irmingard Meyer MBA.
Annekatrin Schleich
Wilfriede Ehlert
Arndt Bachmann B.Eng.
Saskia Wagenknecht
Folker Fischer
Damaris Eigenwillig
Karla Freudenberger MBA.
Frau Aleksandra Bähr B.Eng.
Bernward Fröhlich
Ing. Elsa Liebelt
Corinna Täsche B.A.
Dr. Frank Oderwald MBA.
Monika Krein B.Eng.
Eleni Matthäi
Berend Gertz B.Eng.
Kai-Uwe Köhler
Mariele Peukert
Svenja Hartmann
Meryem Graf-Lange
Milica Reichmann
Dr. Karl-Ludwig Stoll MBA.
Gislinde Wagenknecht
Frau Camilla Kruschwitz
Univ.Prof. Vesna Hering
Mehdi Bähr B.A.
Cecilia Stoll
Anke Bähr
Ilja Wende
Dennis Beer-Striebitz
Dagmar Koch
Franz Josef Flantz
Vitus Schmidt
Gülay Haase
Univ.Prof. Jens Weinhage
Ing. Adalbert Heser
Elfi Bolander
Josephine Rogge
Anika Trüb
Branka Speer B.A.
Milena Weitzel-Steinberg
Hanni Wieloch
Hanno Salz
Ing. Zlatko Gerlach
Birgitta Hettner
Nadin Stiebitz B.Eng.
Ing. Bernard Schleich B.Sc.
Herr Recep Junk B.A.
Abbas Täsche
Irmingard Reising
Robin Flantz
Dolores Conradi
Prof. Ines Kuhl
Slavko Fliegner B.Sc.
Ing. Heinz-Josef Hoffmann
Bertha Rose
Francesco Drub
Frau Evamaria Geißler
Gunda Knappe
Dr. Amir Jäkel
Sylvester Hamann
Prof. Anka Schulz
Jasmina Heuser
Frau Kunigunda Schaaf B.A.
Vlado Lindner
Ing. Valentina Börner
Filippo Kostolzin
Ing. Elisabet Jopich B.Sc.
Univ.Prof. Amalie Warmer B.Eng.
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Dr. Tim Hornig B.Sc.
Dipl.-Ing. Hans-Ludwig Meyer
Christa Kabus
Annelene Zänker
Anneli Heintze
Verena Höfig
Helge Wilmsen-Hein
Nicolas Möchlichen MBA.
Herr Janus Matthäi B.Sc.
Dr. Marie-Louise Wohlgemut B.Sc.
Hansgeorg Heuser
Gerlind Trüb-Losekann
Klaus-Michael Hahn
Adolfine Fischer
Horst-Peter Faust
Gislinde Lehmann
Zeljko Hiller-Misicher
Leon Linke
Joachim Höfig
Monica Blümel
Marina Hofmann
Milos Wiek
Rosita Peukert-Scheibe
Friedhilde Hornig B.A.
Felicia Hamann
Dipl.-Ing. Dorina Lindau B.Sc.
Benita Holzapfel-Hecker
Ernst-Dieter Geisler B.Eng.
Ing. Felicia Dörschner B.Sc.
Frau Eleni Ziegert B.Sc.
Marjan Pölitz B.Eng.
Ditmar Briemer
Krista Putz
Remo Köhler
Prof. Magdalena Bohlander B.Sc.
Timm Wende
Margareta Dörschner B.Sc.
Ronald Stiebitz
Sina Patberg
Dr. Jane Kostolzin
Inna Weinhage
Augustin Jopich
Dr. Renate Mende
Miroslawa Haase
Domenico Nohlmans-Eberhardt
Senol Langern
Oliver Schwital
Reinhard Beckmann
Dipl.-Ing. Eckhard Kallert B.Sc.
Herr Vincenzo Liebelt
Hartwig Zirme
Dr. Aribert Sontag
Dusan Conradi-Rogner
Dr. Zeljko Pruschke
Rainer Gunpf B.Eng.
Laila Trüb
Nils Hering-Loos
Benno Ritter
Andrei Bolander-Jäkel
Tina Radisch
Frau Ilka Pärtzelt B.Eng.
Karl-Peter Kramer
Ulrike Schleich-Süßebier
Emma Blümel
Herr Frieder Wulff B.Sc.
Julie Schweitzer
Gino Häring
Joerg Zimmer-Kusch
Anke Hettner
Karl-Hans Hande-Schuster
Ing. Corinne Steckel B.A.
Inka Meyer
Heinz-Wilhelm Kuhl
Friedl Briemer-Austermühle
Enrico Hornig
Agnes Ullmann
Stanislaw Misicher
Ing. Boris Junck MBA.
Gordana Budig B.A.
Robin Sölzer
Ing. Ralf Sölzer B.A.
Ing. Alwine Scholz
Kati Süßebier
Dorothee Koch II
Hans-Hinrich Stiffel
Herr Jonathan Beckmann B.A.
Gunnar Ernst
Prof. Helga Hesse
Ing. Alla Schottin B.A.
Oxana Linke B.Eng.
Maren Bruder
Andreas Metz
Heide-Marie Gunpf B.A.
Prof. Sofie Gröttner
Kreszenz Beier
Dr. Aldo Fritsch
Jörgen Paffrath B.Sc.
