Student
Carina Bruder
Roy Gumprich-Klemm
Karl-Hans Schuchhardt-Mohaupt
Dajana Ruppert
Sören Spieß
Theodora Aumann
Dipl.-Ing. Ingolf Krein
Rüdiger Geisler
Univ.Prof. Roman Misicher
Giovanna Zobel-Liebelt
Dr. Daniela Linke MBA.
Ida Hendriks B.A.
Dipl.-Ing. Violetta Briemer B.A.
Herma Bender-Scholtz
Ernst Koch II-Graf
Juan Noack
Pius Jopich B.Eng.
Frau Florence Ditschlerin B.Eng.
Rosa Hübel
Ing. Konstanze Geisel
Gertraude Hahn
Dr. Adriane Bärer B.Eng.
Milos Seifert
Dr. Mariusz Beckmann
Evangelia Harloff B.A.
Bernadette Sorgatz
Jasmina Cichorius-Barth
Ing. Cosimo Steinberg
Andre Schönland B.Sc.
Rotraud Fiebig
Esther Ehlert
Prof. Tania Grein Groth
Ben Schomber
Annett Ullrich
Herr Tony Lindner
Marianna Karge
Heimo Kuhl
Nadeschda Rädel
Giuseppe Trupp
Janos Winkler B.A.
Nils Stey
Carmine Hauffer
Violetta Beyer
Univ.Prof. Claus-Dieter Meister B.Eng.
Dipl.-Ing. Rolf Tröst B.Sc.
Gaetano Lübs
Heidemarie Kreusel
Marie-Theres Jäkel
Alois Knappe
Herr Gerold Kreusel
Inna Weinhage
Katharina Etzler
Henni Mälzer-Tlustek
Prof. Meinrad Wiek
Gülten Henschel
Frau Ellinor Tintzmann
Dr. Peer Schwital MBA.
Heinrich Kramer
Zeljko Hiller-Misicher
Siegbert Bachmann-Hövel
Henri Wirth
Bernt Jessel
Wieslaw Löchel
Heinz-Werner Briemer B.A.
Anastasios Heinz
Sofia Etzler B.Eng.
Verena Hornich
Dipl.-Ing. Korinna Pärtzelt
Mirko Ehlert
Ernest Müller
Zita Klemt
Andrej van der Dussen B.A.
Dr. Leo Schlosser MBA.
Ing. Konstantin Gerlach B.A.
Veronique Oestrovsky
Liliana Zorbach MBA.
Till Karz
Heinz-Georg Hornich
Prof. Wolf-Dieter Killer B.Sc.
Mattias Henk
Ing. Dirk Paffrath
Notburga Pölitz
Cathrin Weitzel MBA.
Frau Julia Fliegner
Emanuel Schinke B.Sc.
Gabriel Klotz
Univ.Prof. Arne Hoffmann
Christa Säuberlich
Teresa Schomber B.A.
Jacek Klemt
Fabian Lübs
Hans-Wilhelm Weller
Helga Salz
Herr Gordon Meister
Dipl.-Ing. Sieglinde Fischer B.Eng.
Frau Belinda Plath B.A.
Herr Jens Becker MBA.
Henning Fechner
Dipl.-Ing. Laurenz Gerlach MBA.
Hajo Kranz-Heser
Sylvester Hamann
Dr. Mario Lorch
Isabell Eberth-Pechel
Heimo Bauer
Judith Boucsein-Aumann
Prof. Katarzyna Gehringer B.Eng.
Annemarie Seidel
Damaris Bien
Dominic Möchlichen
Prof. Gesine Lange
Danilo Hande MBA.
Prof. Sibel Mälzer MBA.
Univ.Prof. Irene Budig
Sylvio Karge
Univ.Prof. Giovanna Bachmann B.Eng.
Else Heß MBA.
Tomas Tlustek
Ekaterina auch Schlauchin
Domenico Gertz
Ing. Pius Börner
Sebastian Karge
Christos Ruppert B.A.
Ivonne Hahn
Fatih Ladeck-Weihmann
Hansjörg Müller B.Sc.
Ing. Rosina Kabus MBA.
Hans-Ulrich Liebelt-Hauffer
Kunigunda Fischer
Michaele Schwital
Marko Trupp
Verena Gute-Trüb
Bodo Kranz-Striebitz
Sylvester Neuschäfer-Schacht
Carmine Schacht
Igor Dörschner
Martine Trupp
Aneta Heydrich
Loni Trubin
Sara Rogge
Nadia Wirth
Heinz-Josef Jähn MBA.
Hedy Kobelt
Luzia Kranz
Erkan Kuhl-Oestrovsky
Orhan Hecker-Heuser
Nikolai Mohaupt
Dusan Zahn B.A.
Lisette Stoll B.Eng.
Franz Josef Nette-Werner
Ernst-August Gutknecht
Silvester Sorgatz MBA.
Dr. Ellen Schlosser B.A.
Univ.Prof. Hans-Rudolf Wohlgemut
Eric Briemer
Kriemhild Jähn
Lothar Fischer
Prof. Wolfram Binner B.Eng.
Dipl.-Ing. Tamara Seifert B.A.
Ing. Pavel Weller B.Eng.
Micha Röhricht B.A.
Wolf-Dietrich Gotthard-Dussen van
Hans Kraus
Ismail Junck-Trommler
Ing. Carolin Anders
Ortrun Eckbauer-Kohl
Hans-Hermann Haering
Dr. Uta Gumprich
Dr. Lilly Conradi B.Sc.
Slavko Weitzel B.Sc.
Dipl.-Ing. Eberhardt Fechner
Diedrich Scheel-Hübel
Daniel Zänker
Ruth Hartung
Mariele Stiffel B.Sc.
Regina Hamann B.Sc.
Mariechen Nohlmans
Ing. Baldur Blümel MBA.
Christos Bolander
Ing. Dietlind Gieß
Ing. Maren Schenk
Univ.Prof. Blanka Linke B.Eng.
Janko Neureuther
Eileen Geißler
Augusta Beer
Hannes Patberg
Timo Huhn
Katharina Krause-Hornig
Lilly Beckmann B.Sc.
Madeleine Thanel MBA.
Resi Ullmann
Dr. Siegfried Heinz B.Eng.
Prof. Riza Niemeier
Greta Baum
Josephine Schweitzer
Pawel Peukert-Rörricht
Friedrich-Wilhelm Roht-Wiek
Maritta Boucsein
Cornelius Jacobi Jäckel
Ladislaus Stadelmann
Ehrhard Förster
Ing. Alberto Schlosser
Hanne-Lore Berger
Ing. Bianca Paffrath
Herr Andrej Rose
Ernst-Dieter Geisler B.Eng.
Gino Hartung
Univ.Prof. Janos Rörricht MBA.
Teresa Ladeck-Rädel
Marcel Stumpf
Dipl.-Ing. Erwin Hamann
Kreszentia Bloch-Steckel
Ing. Anna-Maria Stey
Anne-Marie Drewes
Curt Jopich
Philipp Reising-Harloff
Recep Hecker
Herr Ilja Kroker
Herr Eberhardt Gierschner
Frau Reinhilde Wirth MBA.
Mahmut Hänel
Eveline Wagenknecht
Justina Neureuther
Ioannis Klemt
Ana Klapp MBA.
Swetlana Jessel
Karl-August Döhn B.A.
Rosi Renner-Graf
Lili Weimer
Liesbeth Koch II
Dipl.-Ing. Dörte Häring MBA.
Falko Schüler
Iwan Schleich
Irina Mielcarek
Tabea Kaul
Irmtraud Ladeck
Nancy Karz-Bolzmann
Herr Ignatz Boucsein MBA.
Frederik Bohlander
Salih Köster
Aysel Bruder MBA.
Janus Weitzel-Koch
Lotti Rosemann
Giesela Börner B.Eng.
Diedrich Lachmann-Oestrovsky
Joerg Fritsch-Pieper
Dipl.-Ing. Svea Neureuther
Maurizio Eckbauer
Frau Franziska Trupp B.Sc.
Dipl.-Ing. Bernhardine Heß
Lisbeth Karge
Prof. Cora Bolander
Pia Fliegner
Arnulf Heidrich
Ahmad Fechner-Wulff
Mia Ullmann
Walfried Siering
Univ.Prof. Nurten Neuschäfer MBA.
Ing. Galina Hahn
Dr. Tim Hornig B.Sc.
Marzena Hein
Prof. Götz Finke
Daniela Schweitzer
Elvira Cichorius
Czeslaw Bohnbach B.Eng.
Dipl.-Ing. Hermann-Josef Jüttner
Dipl.-Ing. Traudel Eigenwillig
Laurenz Siering-Kallert
Friedrich-Karl Weimer
Elke Hiller
Franka Weinhold
Maya Conradi
Janusz Rädel B.Sc.
Rena Rohleder
Erol Lindner
Margarete Linke
Veronique Hartung-Haering
Ing. Luisa Oestrovsky
Prof. Mathias Kambs
Gerhart Karz
Concetta Dehmel
Dr. Elly Junk
Kriemhild Junk MBA.
Ing. Fredi Löffler
Susanna Schaaf
Annaliese Lübs
Anneli Wernecke
Heinz-Josef Conradi-Klapp
Corinna Täsche B.A.
Univ.Prof. Tilmann Pieper B.Eng.
Dr. Ella Warmer
Olaf Hethur
Frau Margrit Beckmann
Darko Wilms
Univ.Prof. Isabel Ladeck
Dr. Philip Siering B.A.
Irmtrud Röhrdanz
Hilmar Spieß
Piotr Schaaf
Senta Hiller
Dr. Damian Scheel
Kreszentia Bohlander
Heinz-Werner Schleich-Mies
Gert Fischer
Guido Wagenknecht-Kallert
Magdalene Patberg-Mosemann
Ing. Sibel Mies
Dr. Caroline Ortmann
Lieschen Rörricht
Sigismund Junitz
Anna-Lena Sontag-Köhler
Lieschen Steckel
Uli Stolze MBA.
Lydia Wirth
Univ.Prof. Resi Kobelt
Tillmann Matthäi B.Eng.
Justus Schleich-Drewes
Stanislav Hoffmann
Philomena Bloch
Sibille Liebelt
Henriette Pohl
Hermine Wohlgemut
Mariana Steckel
Anica Ortmann B.A.
Hildegunde Staude
Dr. Ursel Gute
Anna-Lena Wohlgemut
Frau Edeltraud Radisch B.A.
Ing. Hans-Walter Ackermann
Univ.Prof. Metin Martin B.Sc.
Osman Salz MBA.
Prof. Hansjürgen Langern
Fatma Löffler B.Sc.
Dr. Eleni Heser
Andrea Hamann
Meral Stroh-Henschel
Dipl.-Ing. Daniele Geißler
Ilka Zimmer-Wesack
Leonardo Birnbaum
Timm Freudenberger-Henschel
Hans-Albert Wirth
Hans-Gerd Dietz B.A.
Urs Matthäi
Justina Zirme
Elmar Förster
Jochen Säuberlich
Maxim Roht
Dr. Annekatrin Striebitz
Ernestine Karz
Prof. Emine Beer
Eveline Putz
Dr. Iris auch Schlauchin
Janusz Beckmann
Kemal Butte-Tintzmann
Carl Jockel
Angelo Röhrdanz
Leander Dobes-Schlosser
Karl-Wilhelm Anders-Gude
Maximilian Steinberg
Georgia Liebelt
Lia Zänker
Silvio Weimer
Zdravko Niemeier
Karla Wirth
Manfred Juncken
Hulda Junk
Ilse Nette
Inge Dehmel
Vassilios Birnbaum
Inken Ziegert
José Gröttner B.Sc.
Herr Vladimir Zimmer MBA.
Klaus Peter Adler
Univ.Prof. Pamela Kambs MBA.
Anneke Jähn
Hannchen Löwer B.Eng.
Carola Köhler MBA.
Ing. Adam Klemt MBA.
Felizitas Jungfer
Ingmar Beckmann
Dipl.-Ing. Gloria Heidrich
Stefano Wagenknecht
Denis Weimer
Guenter Wende
Kornelia Bachmann
Juan Schweitzer
Mirco Barth
Anatolij Steinberg
Prof. Nuran Sauer B.Sc.
Hartmuth Vollbrecht
Stanislaus Davids MBA.
Margitta Hethur MBA.
Svetlana Bonbach B.A.
Prof. Sofie Gröttner
Zeki Hartung
Toni Dehmel-Striebitz
Dr. Wilfriede Reuter
Annemarie Häring
Arnd Jacobi Jäckel
Tadeusz Hentschel
Pierre Köster
Martina Salz-Sorgatz
Uschi Trüb
Dipl.-Ing. Gertraut Stolze
Gunter Misicher
Berndt Bähr
Achim Etzold MBA.
Roswita Döhn
Marvin Gröttner MBA.
Rosa-Maria Losekann-Schulz
Eduard Kühnert
Sonia Gorlitz-Mude
Elias Gierschner
Gaetano Söding
Univ.Prof. Meta Rädel
Johanne Kusch
Alma Rörricht
Rene Henck
Hans-Detlef Matthäi
Univ.Prof. Michail Tintzmann B.Eng.
Prof. Jolanthe Gude
Univ.Prof. Dorle Röhrdanz B.A.
Torben Säuberlich-Linke
Judith Hering B.A.
Zeljko Baum
Ehrhard Häring B.A.
Karl Ruppersberger
Karsten Kraushaar B.A.
Hans-Jochen Stolze
Ivo Lorch
Piotr Hande
Jens-Uwe Geisler
Univ.Prof. Albin Bärer
Dr. Diedrich Krebs B.A.
Ing. Justina Fiebig
Ing. Hans-Heinrich Reichmann B.Sc.
Frau Else Röhrdanz B.Sc.
Albert Butte
Folkert Schwital
Tülay Fiebig
Bernhard Rogner B.Eng.
Franz-Peter Preiß B.A.
Dipl.-Ing. Denise Beier
Univ.Prof. Undine Jungfer
Nikolaos Ebert-Grein Groth
Elfi Herrmann MBA.
Zbigniew Schleich-Huhn
Tülay Gnatz-Sorgatz
Hans Dieter Junk
Dipl.-Ing. Betty Niemeier MBA.
Krista Gertz B.Eng.
Sara Johann
Natalia Hauffer
Marie-Theres Trupp
Calogero Staude B.A.
Jens-Peter Graf-Schmidt
Michaela Sontag-Dörr
Heinz-Joachim Trüb B.Sc.
Laila Trüb
Julius Kraushaar
Ursula Jacobi Jäckel
Falk Wagenknecht B.Eng.
Alwine Riehl
Lena Holzapfel
Dr. Theresia Mende
Guenter Lachmann
Susann Henk
Oliver Kohl
Inna Schulz
Univ.Prof. Tina Rose
Conny Geißler-Karge
Gino Heß
Ing. Hüseyin Gutknecht B.Sc.
Manuel Krause MBA.
Ing. Rico Hoffmann
Univ.Prof. Sonja Hande MBA.
Wolfhard Vogt
Univ.Prof. Gundel Atzler B.Eng.
Nadia Herrmann
Geza Hertrampf B.A.
Erika Pruschke
Christel Bärer-Zirme
Ing. Tanja Scheibe B.Eng.
Sergej Dippel
Michelle Klingelhöfer B.Eng.
Artur Kreusel
Dipl.-Ing. Sergio Hövel B.Eng.
Dr. Edelbert Wieloch MBA.
Teresa Möchlichen
Dr. Samuel Tröst
Dipl.-Ing. Roland Bien B.Sc.
Gero Gierschner
Slawomir Ehlert-Reising
Sibylle Stey
Sinaida Adolph
Marek Schenk B.A.
Herr Siegmar Geisler
Dr. Leonhard Otto
Pedro Hande B.Sc.
Ulrike Misicher MBA.
Bruno Hethur
Dipl.-Ing. Sigrun Bärer
Ing. Leonore Haering MBA.
Rosalinde Trommler
Friedhold Löwer-Ebert
Irmi Döhn
Frauke Wilms
Eva-Marie Berger MBA.
Dipl.-Ing. Gottfried Scholtz
Dr. Kristine Tschentscher
Annegrete Pohl-Sölzer
Marisa Hartmann-Kusch
Michael Mies B.Sc.
Heinz-Otto Linke
Prof. Gertrude Renner B.A.
Univ.Prof. Kreszenz Wulf B.A.
Necati Koch
Hatice Jessel
Burghard Wohlgemut
Valeska Zimmer-Schleich
Clemens Kabus
Dr. Wencke Junken B.Eng.
Univ.Prof. Charlotte Lindner MBA.
Lena Wende
Henrik Hein B.A.
Tadeusz Kruschwitz B.Sc.
Melitta Salz
Elizabeth Stahr
Almuth Rosenow-Schönland
Gisa Budig-Löwer
