Student
Tabea Kaul
Edeltraut Klemt
Marzena Mentzel
Angelique Adler
Gernot Dörr
Herr Kurt Weitzel B.Sc.
Theodor Niemeier
Bertram Caspar
Prof. Lotti Löffler
Kevin Etzler
Sandy Zimmer
Eugen Schottin
Julia Graf
Prof. Liliana Klemm MBA.
Ilija Fischer
Irmengard Eckbauer
Lilli Meyer-Reuter
Antonie Fischer-Margraf
Lene Sauer
Sigfried Franke B.Sc.
Adele Boucsein B.Sc.
Harri Heuser
Ing. Georgia Rogner
Leon Bauer
Ernst-Dieter Geisler B.Eng.
Prof. Petar Köhler
Marion Kuhl
Herr Ignatz Boucsein MBA.
Konrad Henschel
Urban Geißler B.A.
Prof. Johannes Holzapfel MBA.
Susanna Söding
Samir Wähner-Butte
Zehra Conradi-Heinrich
Ralph Stahr
Ronald Rädel
Prof. Trude Schäfer MBA.
Natalija Haering
Cora Scholtz
Prof. Karl-Friedrich Geisler B.A.
Samuel Ackermann
Desiree Klotz
Ing. Toralf Wiek
Herr Steven Eberhardt
Prof. Branko Weller MBA.
Dr. Miguel Jungfer
Hans-Dieter Scholl
Bianka Schmidt
Margareta Schmidt
Georgia Bärer
Zbigniew Schleich-Huhn
Susan Riehl B.Sc.
Ing. Hatice Gehringer
Ing. Adalbert Heser
Cora Reichmann B.A.
Abram Gunpf
Henri Wirth
Senta Wernecke B.Sc.
Jens-Peter Graf-Schmidt
Ruthild Schüler B.Eng.
Rabea Weiß MBA.
Liesbeth Huhn
Dr. Änne Radisch
Dr. Hans-Herbert Losekann B.A.
Ing. Arndt Schäfer
Dr. Gabriel Freudenberger MBA.
Daniele Heintze B.Eng.
Marie-Theres Jäkel
Stilla Heuser
Gislinde Lehmann
Heinz-Georg Hornich
Metin Hande
Jakob Döring
Johanna Stumpf
Ing. August Hellwig B.Eng.
Kornelia Kade
Centa Bohlander-Stiebitz
Ilija Rosenow
Stanislav Hoffmann
Brit Anders
Dr. Regine Gotthard
Dipl.-Ing. Beatrix Henk B.Eng.
Dierk Gunpf B.A.
Hans-Herbert Flantz
Rosina Klotz B.A.
Dörte Schlosser
Prof. Siegbert Scheuermann B.A.
Dipl.-Ing. Gottfried Scholtz
Inken Ziegert
Geert Etzold
Mara Vollbrecht B.A.
Semra Fiebig
Dr. Pius Säuberlich B.Sc.
Ottmar Kruschwitz
Helmtrud Neureuther
Dipl.-Ing. Jozef Hartmann
Gerhart Stumpf
Ditmar Dehmel
Dipl.-Ing. Utz Henschel MBA.
Thorben Henk-Mende
Aziz Anders
Ben Bonbach B.A.
Univ.Prof. Gretl Langern B.A.
Kornelia Bachmann
Alicja Stiffel
Ryszard Lehmann
