Student
Hiltrud Klemm
Univ.Prof. Franz-Xaver Girschner B.Sc.
Dr. Trude Girschner
Horst-Dieter Gude
Ing. Marie-Therese Schleich
Achim Etzold MBA.
Dipl.-Ing. Georgine Adolph B.Eng.
Ivanka Berger-Kraus
Prof. Sylvester Bender
Lorenz Schüler B.A.
Laura Wilms
Dr. Steven Wohlgemut
Sevim Ackermann
Peer Hölzenbecher
Ing. Birgid Möchlichen B.A.
Stanislav Stey
Gordana Budig B.A.
Edeltraut Klemt
Eva Wende B.Eng.
Gusti Schleich
Ing. Ignaz Rose
Frau Evelin Löffler
Angelika Roskoth
Jakob Seifert
Dr. Zenta Holsten
Brian Ditschlerin
Friedo Ritter
Brigitta Walter
Annita Lorch
Bernard Losekann
Felicia Löffler
Melissa Stey
Prof. Kathy Warmer MBA.
Dr. Aziz Adolph MBA.
Gebhard Krein
Liane Kambs
Viviane Kensy
Dipl.-Ing. Frederik Rörricht B.Sc.
Siegried Caspar B.A.
Ilias Freudenberger
Ing. Herwig Drub MBA.
Dariusz Wirth
Prof. Tobias Börner
Gunhild Zimmer
Toralf Pieper
Nada Butte
Hans-Hermann Hande
Gabi Gertz
Dipl.-Ing. Lilly Boucsein B.Sc.
Irmtraut Haase-Hendriks
Miroslawa Rose
Frau Renate Geisler
Frau Dorothe Mielcarek
Johannes Bärer
Univ.Prof. Heinz-Werner Renner B.A.
Günter Rudolph B.Eng.
Herr Louis Hövel
Faruk Birnbaum
Tony Hecker
Marius Klotz
Mariola Gnatz
Vitus Pruschke B.A.
Wulf Fiebig B.A.
Univ.Prof. Dorle Fröhlich
Franz Löwer
Nico Hartung-Linke
Gerard Förster
Luka Stiffel
Kai-Uwe Hartung
Rocco Rosemann B.A.
Prof. Jolanthe Gude
Bernward Losekann MBA.
Steffen Schlosser
Heidelore Zirme
Josef Rädel
Angelo Pärtzelt
Frau Jane Sauer
Ing. Imke Eigenwillig B.A.
Ing. Muharrem Paffrath B.Sc.
Monica Drub-Davids
Dr. Mohamed Kroker B.Eng.
Telse Rudolph
Gerhart Staude
Anto Kostolzin
Yasemin Hande
Univ.Prof. Walfried Hövel
Sigmund Mosemann
Michaele Klotz B.Eng.
Daniele Pieper-Käster
Leszek Hentschel
Johan Heydrich
Bernhardine Schuchhardt
Hermann Josef Drubin
Emilie Schmidt-Gröttner
Ditmar Dehmel
Ekrem Pruschke-Jäkel
Nada Hänel
René Gude B.A.
Jost Roskoth
Emmy Koch
Olaf Hethur
Ludger Stiffel
Arzu Kuhl
Kunigunda Hamann-Hermighausen
Pierre Ortmann
Mareile Löwer
Annelore Täsche
Alina Finke
Dipl.-Ing. Till Schenk
Ralf-Peter Schacht
Gisa Gerlach
Katy Täsche
Cathrin Weitzel MBA.
Prof. Amir Reising MBA.
Ilhan Hoffmann-Karz
Manuela Sauer
Dr. Deborah Kade
Freia Hamann
Frau Herlinde Kade B.A.
Uta Karz
Tino Paffrath B.Eng.
Uschi Trüb
Serge Grein Groth
Otto Lindner
Lambert Wilmsen
Brunhilde Scholz
Univ.Prof. Alexa Junitz B.Eng.
Alexei Meister
Eveline Wagenknecht
Angelique Adler
Jessika Thies
Ing. Karl-Dieter Stroh
Helen Hein B.A.
Dr. Rolf Walter
Wladimir Rogge
Heinz-Joachim Stiebitz
Frau Xenia Blümel
Vitali Junken
Erol Kreusel B.Sc.
Robert Weimer
Ferdinand Junitz B.Eng.
Hugo Keudel B.A.
Antonius Kraus
Dörte Nette
Dipl.-Ing. Gisa Jüttner B.Sc.
Justus Aumann
Egbert Tschentscher
Klaus-Werner Bohlander
Dipl.-Ing. Henriette Lindau
Pius Gierschner-Weitzel
Malte Bohlander
Mara Vollbrecht B.A.
Stephanie Heintze
Ing. Melanie Hamann
Herta Hoffmann
Canan Beyer
Heinz-Otto Wende
Ing. Dietlind Gieß
Canan Heinrich
Ahmed Freudenberger B.Sc.
Karl Ruppersberger
Lara Stroh
Erica Schlosser
Mattias Wieloch
Hans-Theo Vogt-Beckmann
Helmar Klapp
Ignatz Budig
Henrik Hein B.A.
Felizitas Werner
Enver Börner MBA.
Univ.Prof. Hans-Albert Ruppert
Ing. Hans Jürgen Häring
Prof. Mechtild Steuer
Siegrid Segebahn
Dr. Marie-Theres Möchlichen B.A.
Martina Salz-Sorgatz
Louise Jessel
Herr Erich Rosenow
Ali Schmidt-Knappe
Univ.Prof. Heinz-Dieter Schuster
Gabriela Gierschner
Anika Holsten
Isa Koch
Horst-Peter Löchel
Lili Kaul
Peer Bärer
Univ.Prof. Andrea Gieß B.Eng.
Dominik Naser B.A.
Dr. Laila Peukert
Paul-Gerhard Jungfer B.Eng.
Margitta Wulf-Nerger
Mehdi Niemeier-Noack
Univ.Prof. Dolores Jäkel
Jasmina Heuser
Viktor Bauer
Prof. Beatrix Döring MBA.
Ing. Heinz Ehlert
Birthe Graf
Mahmut Hänel
Thaddäus Geißler
Jonas Walter
Lars Walter
Wiebke Hölzenbecher
Stephanie Beer
Joerg Fritsch-Pieper
Magda Berger B.A.
Andrei Wulff
Cosimo Girschner
Aleksej Lehmann
Dipl.-Ing. Mariola Lange B.Sc.
Frau Kordula Geisler MBA.
Jörg-Peter Jüttner-Winkler
Ludmila Stadelmann
Univ.Prof. Heinrich Knappe B.A.
Prof. Ralph Patberg
Mariele Bolander
Damaris Holsten-Schleich
Xenia Christoph
Jana Drubin-Heß
Friedemann Klingelhöfer
Ing. Hellmuth Scholl
Hülya Scheibe
Lina Hein-Gotthard
Marc Heintze B.A.
Anna-Maria Holzapfel
Edward Hering MBA.
Hans-Martin Junk-Kuhl
Carin Mohaupt-Heser
Ing. Petar Wilmsen
Univ.Prof. Ingelore Schulz MBA.
Ahmad Preiß
Heinz-Otto Hermighausen
Dipl.-Ing. Korinna Pärtzelt
Gabriel Roskoth
Svetlana Boucsein
Evelin Stumpf
Fanny Bolnbach B.Sc.
Ariane Löchel
Raymond Löchel-Ziegert
Helge Wilmsen-Hein
Fredo Kühnert-Köhler
Gertraude Ruppersberger
Prof. Cäcilie Staude B.A.
Prof. Oswald Ehlert MBA.
Marco Stey
Urszula Rudolph
Svetlana Bohlander B.Sc.
Roy Holt
Prof. Angelique Seidel MBA.
Kay-Uwe Jähn-Schwital
Adalbert Ullmann
Dittmar Graf
Samir Wähner-Butte
Heidemarie Kreusel
Burckhard Caspar
Rena Rohleder
Wencke Heinrich
Nuran Schottin B.Eng.
Ian Briemer B.Eng.
Ariane Tintzmann
Nicolaus Franke-Paffrath
Hans-J. Hahn-Süßebier
Augusta Rosemann
Georg Misicher
Gino Ernst
Dr. Gert Trapp MBA.
Otmar Schmidtke
Reimar Kabus
Gerhart Davids B.A.
Ditmar Niemeier
Madlen Trupp B.Eng.
Berend Gertz B.Eng.
Ing. Anneliese Döring
Irina Gröttner
Dipl.-Ing. Stefano Wernecke B.A.
Halil Warmer B.Sc.
Univ.Prof. Heidelinde Jopich B.Sc.
Hubertus Dörschner
Marie-Louise Killer-Etzler
Jolanta Kühnert
Univ.Prof. Eugen Karz
Hans-H. Schönland
Heimo Bauer
Karl-Peter Häring-Kruschwitz
Liesel Ziegert
Valentin Döring
Sigmar Briemer
Hanne-Lore Berger
Daniele Hering
Zoran Oestrovsky
Brunhilde Heinz MBA.
Adelbert Austermühle
Ing. Jo Caspar
Elena Pruschke
Edda Salz
Nurettin Bärer B.Eng.
Ing. Ortrun Weimer
Dr. Mato Geisel
Henny Stey
Andre Metz B.A.
Johanna Fischer
Alexandra Henk MBA.
Leonard Kostolzin
Dogan Rogge
Dr. Annekatrin Striebitz
Dorothe Adler-Trubin
Univ.Prof. Ahmet Birnbaum MBA.
Prof. Folker Trupp B.Sc.
Elif Röhricht
Dr. Lina Hiller
Kriemhild Jähn
Lambert Gehringer
Johan Buchholz
Karl Heinz Eigenwillig
Immo Ring
Univ.Prof. Elfriede Rohleder
Kunigunda Fischer
Nadja Schleich MBA.
Guiseppe Kranz
Nathalie Langern
Kordula Drub B.Sc.
H.-Dieter Mülichen B.A.
Pedro Beer
Univ.Prof. Nadine Gnatz
Bernhardine Wilmsen
Dr. Tim Hornig B.Sc.
Ing. August Hellwig B.Eng.
Zofia Schönland B.Sc.
Hans-Hinrich Bohlander
Gislinde Wagenknecht
Univ.Prof. Nurten Neuschäfer MBA.
Gundel Dietz
Tobias Mühle
Elisabet Schuster B.A.
Zofia Gutknecht
Simone Jacobi Jäckel B.A.
Peggy Holt
Horst Hauffer B.Eng.
Antonietta Lindner MBA.
Edeltraud Mülichen
Hans-J. Wohlgemut
Gundi Hiller
Frau Mirja Jüttner B.Eng.
Kristian Rosemann B.Sc.
Robin Junk-Henk
Florentine Eimer
Reza Mielcarek
Janett Patberg
Birgid Drewes-Seifert
Frau Kirsten Geißler
Tilly Pergande
Justine Dippel-Rosemann
Dipl.-Ing. Margarita Stey
Dusan Zahn B.A.
Univ.Prof. Sybilla Gehringer
Ulf Kensy MBA.
Ole Ritter MBA.
Marion Wohlgemut B.A.
Alexej Wagner
Mia Ullmann
Olaf Weinhage
Prof. Niko Hethur B.Eng.
Frau Notburga Pergande
Hildegunde Stiebitz-Mude
Jorge Weitzel
Gerold Jacob
Helmuth Zirme
Ing. Annelise Nette B.Eng.
Athanasios Jacobi Jäckel
André Röhrdanz B.A.
Ing. Ahmet Häring
Justina Neureuther
Andre Schlosser
Hildegart Scheel B.A.
Ioannis Junck
Dr. Erdogan Fröhlich
Angelica Lorch B.Eng.
Ing. Wladimir Karz MBA.
Antonios Schönland
Ferenc Bolzmann-Girschner
Gloria Lachmann MBA.
Hendrik Gehringer
Horst-Günter Zirme
Edelbert Bruder
Anne-Katrin Lorch
Peer Nohlmans B.Sc.
Univ.Prof. Vinko Tschentscher
Carin Binner
Marzena Hein
Kay-Uwe Bruder MBA.
Gotthilf Gehringer B.A.
Herr Ruben Schüler B.Eng.
Heino Zahn-Bähr
Heinz-Werner Briemer B.A.
Prof. Conny Klingelhöfer B.Eng.
Edeltraud Bärer
Ramona Sontag
Fernando Gieß
Univ.Prof. Sönke Schomber
Pero Römer
Armin Scholz
Roselinde Kusch-Röhrdanz
Dipl.-Ing. Jose Löchel
Catrin Hamann
Luciano Biggen
Stjepan Langern
Ewa Kade
Wally Anders B.Eng.
Kamil Hendriks
Univ.Prof. Matthäus Gude
Annelie Metz
Geert Rust
Hertha Stoll
Herr Frieder Wulff B.Sc.
Friedrich-Karl Sorgatz-Schmiedt
Alma Kaul
Hassan Kroker-Girschner
Frau Hella Stumpf
Pero Scheuermann
Lene Sauer
Paul-Gerhard Hein
Gerlind Trüb-Losekann
Univ.Prof. Reinhilde Cichorius B.A.
Klemens Thies
Ing. Zbigniew Warmer MBA.
Rainer Gude-Kaul
Freia Kraushaar B.A.
Jurij Eimer
Mirko Bolander
Jörgen Lorch
Hans Dieter Junk
Hasso Renner
Frau Emilia Pruschke B.A.
Hans D. Schenk
Dr. Lidia Flantz B.Sc.
Mato Trubin
Dr. Annedore Wulff B.Sc.
Edmund Gnatz-Rogner
Trude Ruppersberger
Geza Weller
Henriette Pohl
Elzbieta Putz B.Eng.
Georgia Trub
Ing. Czeslaw Geisel
Herr Steven Eberhardt
Prof. Gertraude Wohlgemut B.Eng.
Hans-Wolfgang Harloff
Gilbert Peukert B.Eng.
Maren Heser-Kreusel
Dr. Jacqueline Trubin B.Sc.
Anna-Luise Segebahn
Antonia Köster B.A.
Isabelle Förster-Beyer
Friederike Sölzer-Hentschel
Karl-Heinrich Kraus B.A.
Prof. Julia Möchlichen B.A.
Hans-Friedrich Ruppert-Ullrich
Hans-Georg Dörschner
Bianka Schmidt
Artur Budig
Vlado Lindner
Frau Franziska Trupp B.Sc.
Kreszenz Drubin
Janusz Beckmann
Tomislav Steckel
Olga Krein
Henny Wulff
Frau Edda Hornig B.Eng.
Teresa Schomber B.A.
Hanne Ackermann
Gundula Adler-Bien
Katherina Bien
Frau Melita Huhn
Rolf-Peter Reising B.Sc.
Roland Ring
Hans-Detlef Kobelt
Lili Döhn-Margraf
Annegrete Jäkel
Sonia Gorlitz-Mude
Prof. Katrin Mülichen B.Eng.
Jasmina Cichorius-Barth
Anatolij Junk
Gerd Beckmann-Gnatz
Marina Wilmsen
Frank-Michael Klemt
Lilo Hartung
Heimo Gorlitz B.A.
Vitali Faust B.Eng.
Ernestine Trommler
Pascal Freudenberger
Marija Stahr
Evangelos Beyer
Carl-Heinz Steinberg
Ing. Augustin Budig B.Eng.
Ulrike Schleich-Süßebier
