Student
Franziska Beer
Alma Eimer-Seip
Dipl.-Ing. Lieselotte Trüb B.A.
Sinaida Adolph
Thorben Henk-Mende
Carl Scheibe
Adolfine Wilms
Frau Danica Davids B.A.
Jochen Säuberlich
Leif Wulff
Herr Dursun Hentschel B.Eng.
Waltraud Wernecke
Herr Vito Roskoth B.Sc.
Reni auch Schlauchin
Frau Evelyn Tlustek B.Sc.
Eckart Klotz
Univ.Prof. Jann Schleich
Prof. Emil Kruschwitz
Celal Hettner MBA.
Tomasz Niemeier
Senta Hiller
Annaliese Hettner B.A.
Alfred Weinhage-Stiffel
Tamara Nette-Ladeck
Hanife Täsche-Stiffel
Adolfine Dippel
Abram Peukert MBA.
Alexej Röhrdanz
Univ.Prof. Suzanne Paffrath
Kati Koch II
Fedor Roskoth B.A.
Georgia Ruppersberger
Emma Sorgatz-Radisch
Dr. Jann Wesack B.A.
Gabriela Girschner
Virginia Gieß
Univ.Prof. Alexandros Junk
Ing. Hanny Schlosser MBA.
Prof. Sergei Heser
Anastasios Karge
Kriemhild Junk MBA.
Ekaterina auch Schlauchin
Siegrun Reinhardt
Celal Seifert
Anne-Marie Sontag
Hartwig Keudel B.Eng.
Friedhilde Dobes
Manuel Wagenknecht
Frau Katarina Lindner
Univ.Prof. Milan Hande
Patrick Pärtzelt-Henck
Heinrich Döring
Sigmund Kensy
Dr. Daniel Trommler
Ljiljana Kostolzin
Harriet Rohleder
Valerij Schulz B.A.
Hans-Michael Krein-Wernecke
Marica Martin
Univ.Prof. Vadim Vollbrecht B.A.
Aleksander Klapp-Sauer
Miriam Hentschel
Antonina Christoph MBA.
Frau Raissa Radisch B.Eng.
Dr. Semra Wagenknecht
Eveline Putz
Hildegunde Geißler-Klemm
Sigrid Schleich
Michelle Klingelhöfer B.Eng.
Guenter Kohl-Nette
Raymond Misicher
Dipl.-Ing. Margarethe Holt MBA.
Gudrun Geisler
Geza Hertrampf B.A.
Natalie Bender MBA.
Frau Therese Henk B.A.
Vera Losekann
Irmtrud Klingelhöfer
Jens-Uwe Käster
Wieslaw Löchel
Ernest Müller
Ing. Dorothee Harloff B.Sc.
Ing. Konstantin Gerlach B.A.
Eva-Maria Zänker
Isa Weihmann
Annekatrin Trupp
Carmelo Klapp-Berger
Dipl.-Ing. Mirella Franke MBA.
Ing. Hanna Killer
Valeri Tschentscher
Thomas Kraushaar
Guido Wagenknecht-Kallert
Gilda Faust
Margarethe Steckel
Hanna Knappe
Frank-Peter Bien
Reinhild Patberg
Eggert Rörricht-Schwital
Erwin Jopich
Nikolai Haase B.Sc.
Dipl.-Ing. Christel Beer B.Eng.
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Zlatko Kraus
Michaela Kade
Ellinor Schmidtke B.Sc.
Hans-Georg Schmidt
Jose Tlustek B.Sc.
Burkard Schlosser
Mattias Henk
Maya Conradi
Univ.Prof. Amelie Gröttner B.Eng.
Dr. Mariusz Beckmann
Delia Hande-Koch
Bernhardine Ruppersberger
Heinz-Joachim Kobelt
Herr Ronald Reising B.Sc.
Marica Walter
Ing. Jonas Schaaf
Aurelia Sorgatz
Marcel Stumpf
Hanni Scholz-Weitzel
Nadeshda Hänel-Kaul
Dipl.-Ing. Dunja Hoffmann
Liesbeth Junck-Benthin
Mia Ullmann
Dimitrios Fiebig
Michel Kuhl
Massimo Ernst
Arno Lindner
Dorina Dippel
Gottlob Seip
Ing. Cläre Dowerg
Ing. Knut Christoph
Bernd Blümel
Sibel Hörle
Swantje Heinz
Beatrice Fechner
Marie-Therese Wagner
Ann Spieß MBA.
Gesa Keudel-Bauer
Rosmarie Ullmann
Theresa Killer
Hilmar Graf
Heidelore Stolze
Luigi Junitz
Concetta Karge
Inna Weinhage
Hannelore Rädel-Keudel
Hilmar Hörle
Herr Mirko Häring B.Sc.
Joachim Steuer
Magdalene Fröhlich
Adelgunde Thanel
Ing. Pavel Weller B.Eng.
Alexandra Henk MBA.
Gunnar Ernst
Herr Wieslaw Trupp
Prof. Auguste Scholz
Dipl.-Ing. Valeria Kühnert MBA.
Sebastian Warmer
Martine Zobel
Uwe Sorgatz
Annelies Beer
Univ.Prof. Lisbeth Köhler
Dipl.-Ing. Franz Reising
Mathilde Kreusel
Leokadia Bloch
Ingried Ullmann
Univ.Prof. Claus-Dieter Meister B.Eng.
Herr Götz Süßebier
Mirko Ehlert
Regina Reuter
Ben Eimer-Loos
Amalia Schmidtke-Radisch
Carola Köhler MBA.
Janus Walter
Prof. Guenther Margraf B.Eng.
Dorle Knappe
Bertha Reuter
Heinz-Josef Meister
Antonia Mohaupt
Berthold Rohleder
Antonietta Lindner MBA.
Lidija Trapp
Univ.Prof. Jörg Jessel MBA.
Herr Karl-Heinrich Eberth B.Sc.
Ing. Siglinde Speer MBA.
Sylvio Karge
Bertold Schenk
Robin Flantz
Dipl.-Ing. John Ortmann MBA.
Eugenie Benthin-Ziegert
Halil Löwer
Hansjürgen Schlosser
Resi Ullmann
Helge Wilmsen-Hein
George Käster-Eberth
Dolores Stey-Matthäi
Prof. Clarissa Barth
Eckehard Mude
Donald Schönland
Hans-Bernd Trupp
Hellmuth Drubin-Tschentscher
Theodoros Vollbrecht-Gutknecht
Ing. Vitali Hentschel MBA.
Dorota Wilms
Sylvester Hamann
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Zehra Ernst-Bohnbach
Herr Hartwig Henk B.A.
Dr. Leo Schlosser MBA.
Xenia Margraf
Franz-Peter Benthin-Reichmann
Vincenzo Lübs
Nikola Riehl
Dipl.-Ing. Alan Schacht B.Eng.
Dipl.-Ing. Betti Löffler MBA.
Sybilla Herrmann-Pärtzelt
Herr Rudi Neuschäfer
Ing. Gabriella Bähr
Frau Karolina Hörle
Helene Kuhl-Austermühle
Prof. Emine Wulf B.Eng.
Ing. Gerti Franke
Marta Roht B.Sc.
Ahmet Eckbauer-Sölzer
Dipl.-Ing. Traudel Eigenwillig
Dipl.-Ing. Hanns Killer B.Sc.
Marita Berger B.A.
Linus Schuchhardt
Florentine Bärer B.A.
Marlen Hesse
Sophie Scheibe
Joseph Harloff
Nadine Schleich
Immo Ring
Irmtrud Johann
Slawomir Bohnbach
Guido Pieper
Gerta Hartmann
Walburga Junk
Ladislaus Stadelmann
Ottilie Hartung
Urban Geißler B.A.
Helma Schaaf B.A.
Rotraud Fiebig
Ria Walter
Ing. Eleonora Holzapfel
Janette Wiek
Helmtrud Atzler
Dr. Fatma Jacob MBA.
Wulf Kusch
Univ.Prof. Monja Staude MBA.
Irmtrud Röhrdanz
Elizabeth Wulf
Prof. Knud Salz
Judith Hering B.A.
Gitta Römer
Ron Beer
Rebecca Geißler
Ing. Monika Ullrich
Brian Lehmann B.Eng.
Prof. Pedro Schmidt B.Eng.
Hans-Willi Benthin
Ing. Herbert Mühle B.Sc.
Rudolph Etzold
Geraldine Wagner
Amalie Gotthard-Beckmann
Dipl.-Ing. Bertram Gieß MBA.
Dr. Kristine Tschentscher
Stephen Ackermann B.A.
Eckart Cichorius
Roderich Scholtz
Isa Kramer-Matthäi
Armin Scholz
Antonie Ladeck
Brigitte Geisler
Herr Winfried Vollbrecht B.Eng.
Gabi Harloff
Ortrun Pohl B.Eng.
Josef Butte-Lindau
Ing. Valentina Börner
Rainer Henk-Gotthard
Freddy Hande
Univ.Prof. Damian Sorgatz B.Eng.
Klaudia Vollbrecht B.A.
Nikolas Hethur MBA.
Frau Inken Seip B.Eng.
Ing. Eugenie Kreusel MBA.
Bruno Hesse
Veronica Benthin
Fabienne Holt MBA.
Peer Hölzenbecher
Mercedes Christoph
Gabi Löwer MBA.
Univ.Prof. Amalia Köhler
Reimer Scheel B.Eng.
Prof. Erwin Albers B.Sc.
Zofia Schulz
Heidelore Heinrich
Prof. Constance Austermühle B.Sc.
Steffen Cichorius B.Eng.
Ortrun Eckbauer-Kohl
Dipl.-Ing. Jerzy Stolze B.Sc.
Valeska Blümel B.A.
Dr. Gerti Scheel
Marlen Weihmann-Trub
Adolfine Lange
Karl-Josef Barth
Wulf Steckel-Lachmann
Ing. Alban Mohaupt
Alan Eigenwillig
Karl-Dieter Segebahn-Köster
Prof. Meral Jüttner MBA.
Ing. Erica Schottin
Herr Rupert Jüttner MBA.
Caterina Ullrich
Dipl.-Ing. Ingbert Krebs B.Eng.
Desiree Wulf-Jüttner
Prof. Arnold Caspar B.A.
Prof. Mathias Schmiedt
Ronald Börner-Hentschel
Boris Kruschwitz
Herr Imre Kohl
Klaus-D. Sölzer
Ingrid Eigenwillig
Ing. Hans-Joachim Ullrich
Dr. Achim Barth
Dr. Sandra Mangold B.Sc.
Klaus-Dieter Knappe
Vito Roht
Abbas Täsche
Leonardo Klingelhöfer B.Sc.
Bela Naser-Löwer
Ing. Siegmund Hertrampf MBA.
Ing. Abraham Thanel B.Eng.
Magarete Krause
Dorit Dowerg
Annelie Bloch
Univ.Prof. Karin Beier
Prof. Monica Beer MBA.
Pamela Mies B.Eng.
Hans Misicher
Klaus-Günter Kreusel
Willy Trub-Freudenberger
Hans-Jochen Mude
Emil Grein Groth
Dariusz Wirth
Univ.Prof. Cynthia Löwer
Friedbert Sorgatz
Nadia Wirth
Urszula Fliegner
Andreas Metz
Henry Hofmann B.Eng.
Karl-August Reichmann B.Sc.
Esther Ehlert
Sieghard Stoll-Harloff
Prof. Sibel Mälzer MBA.
Dipl.-Ing. Ingolf Krein
Xenia Christoph
Max Fiebig
Antonie Heser B.Sc.
Lars Kallert
Leon Rust
Dursun Mies
Univ.Prof. Bert Gieß
Hans-Otto Trubin B.Eng.
Gebhard Seidel
Gotthard Löwer
Emma Trub-Scheuermann
Irmtrud Mohaupt-Etzler
Johann Liebelt MBA.
Gunther Tschentscher
Ahmet Stumpf
Ingrid Rudolph
Heinrich Bohlander-Ullrich
Malte Herrmann-Zänker
Karl-Hans Hande-Schuster
Univ.Prof. Edelgard Naser B.A.
Michaela Sontag-Dörr
Annegret Holt-Heuser
Gunhild Meister
Prof. Marko Rohleder B.A.
Ing. Alfred Söding
Sibilla Mälzer
Gisela Weinhold B.Sc.
Dina Koch
