Student
Herr Vincenzo Liebelt
Gislinde Müller
Ing. Leopold Hoffmann
Jeannine Lehmann
Aline Steinberg-Klingelhöfer
Hans-Georg Scholz
Ekkehart Niemeier
Frau Clarissa Rosenow B.A.
Dina Johann
Mahmoud Ditschlerin-Trüb
Roy Schmidt B.Eng.
Dipl.-Ing. Betty Niemeier MBA.
Mandy Rädel
Janusz Kruschwitz B.Eng.
Franz-Xaver Scholtz
Gordon Klemt-Rörricht
Reinhard Eigenwillig
Univ.Prof. Beatrix Roskoth
Ing. Roman Tröst
Marie-Louise Hauffer
Aloys Barkholz
Anne-Kathrin Ortmann
Heide-Marie Zirme
Solveig Scheibe
Ehrhard Klotz
Anne-Marie Sontag
Frau Ingried Rogner B.Sc.
Georgios Neuschäfer
Kilian Patberg
Marieluise Schulz
Kunigunda Hänel-Briemer
Marie-Louise Killer-Etzler
Siegrun Ring
Giuseppe Trupp
Univ.Prof. Vesna Hering
Rosalia Johann
Sibilla Hofmann
Dr. Aysel Kohl
Gerda Kitzmann
Mandy Scholl-Bohnbach
Ing. Rosalinde Käster MBA.
Gilda Segebahn
Gudrun Reichmann MBA.
Priska Wende
Harm Nette
Marek Hesse B.Eng.
Rosa Gnatz
Milos Kuhl B.Sc.
Justina Zirme
Wolfhard Rosemann B.Eng.
Prof. Mario Butte
Petar Bauer
Univ.Prof. Virginia Pechel
Bernhard Becker
Branka Hering
Mike Matthäi
Univ.Prof. Otto Kruschwitz MBA.
Klara Löchel-Bien
Prof. Arnold Caspar B.A.
Irmi Biggen
Hans-Karl Rust MBA.
Prof. Marie Plath
Hildegard Roht B.Sc.
Alexandre Caspar
Lina Hein-Gotthard
Zlatko Lehmann
Marta Herrmann
Univ.Prof. Hiltrud Löwer
Enver Dehmel
Univ.Prof. Ralf-Dieter Kabus MBA.
Edeltraut Anders-Rohleder
Inka Trub
Rosalinde Trommler
Fatma Hein
Hermann Josef Börner
Imke Gieß B.Sc.
Elmar Fröhlich
Carola Kusch
Jörn Hörle B.Sc.
Ing. Hedi Wulf
Dipl.-Ing. Ana Rosemann
Wilhelm Tlustek
Bruno Henschel
Frank-Michael Löwer-Ring
Theres Heser
Fatma Löffler B.Sc.
Enrico Oderwald
Prof. Olga Steckel B.A.
Prof. Wolfgang Mohaupt
Hilmar Spieß
Jasmina Bolzmann
Nevenka Hörle MBA.
Sören Pechel
Dr. Valentin Eigenwillig
Sigmund Heydrich
Jens-Peter Bolzmann
Dipl.-Ing. Ante Rust
Ing. Mattias Boucsein
Egbert Tschentscher
Saban Etzler B.Eng.
Anatolij Junk
Angelo Schmidtke
Roselinde Kusch-Röhrdanz
Mariola Heinrich
Univ.Prof. Regina Salz B.Eng.
Malgorzata Pieper
Dr. Alma Warmer MBA.
Agnes Ullmann
Willi Birnbaum
Gabriele Käster
Ing. Frederic Christoph B.Eng.
Janos Ehlert
Mehmet Löwer-Trupp
Julie Mentzel
Ing. Sina Johann MBA.
Tino Niemeier
Theo Döring
Prof. Jonas Scholtz
Ing. Hanny Noack MBA.
Gregor Loos-Gehringer
Frauke Staude
Wolf-Dietrich Berger
Mercedes Kobelt MBA.
Dipl.-Ing. Gottfried Scholtz
Antje Etzold
Lissi Kohl
Mathilde Wähner-Bien
Herr Rigo Krebs B.Eng.
Manuel Krause MBA.
Birger Klapp
Prof. Niko Atzler B.Sc.
Patrizia Wirth
Eric Briemer
Prof. Cora Bolander
Univ.Prof. Erhard Heuser MBA.
Ulrike Misicher MBA.
Ing. Cilli Gertz B.A.
René Kruschwitz
Prof. Sergei Heser
Birgit Pergande
Dipl.-Ing. Leo Sager
Remo Köhler
Ing. Pawel Rörricht
Marie-Theres Pechel
Melissa Stey
Virginia Eigenwillig
Christos Gumprich
Univ.Prof. Gerhardt Dowerg B.Eng.
Aenne Mende B.Eng.
Gina Killer
Maximilian Pohl B.A.
Jan Linke MBA.
