Student
Mina auch Schlauchin
René Matthäi
Sören Etzler
Czeslaw Jäkel-Röhrdanz
Dr. Sonia Hornich B.Eng.
Annegret Atzler
Recep Hecker
Aribert Putz
Damian Holsten
Zbigniew Hahn MBA.
Vitus Pruschke B.A.
Urs Matthäi
Gottfried Hettner-Reising
Michaele Schwital
Univ.Prof. Traude Gertz
Sylvio Karge
Mira Sontag
Dana Jäntsch
Dr. Elfie Tintzmann
Thorsten Adler B.Sc.
Dörthe Mitschke-Holt
Carmelo Klapp-Berger
Philip Renner
Dipl.-Ing. Rabea Sorgatz MBA.
Julia Conradi-Mentzel
Mato Patberg-Heintze
Christl Wähner
Laura Mühle
Dipl.-Ing. Katarina Schmidtke
Cord Haase
Katharina Etzler
Julia Hecker-Krebs
Alma Kaul
Igor Zobel B.A.
Dursun Atzler B.A.
Madlen Trupp B.Eng.
Dana Löwer MBA.
Leonhard Patberg
Henriette Pohl
Ilija Rosenow
Univ.Prof. Aleksander Wiek B.A.
Volkmar Hentschel
Janus Weitzel-Koch
Nurettin Bärer B.Eng.
Univ.Prof. Clara Heidrich B.Sc.
Burghard Wohlgemut
Herr Rupert Jüttner MBA.
Meryem Sager
Ignaz Löwer
Marcella Franke B.A.
Catharina Jacob
Jörn Trupp MBA.
Götz Budig
Gudula Holzapfel
Melita Schacht
Lili Weimer
Frau Valentine Benthin
Univ.Prof. Henryk Kostolzin
Ing. Ivonne Nerger
Dr. Gerard Dörr
Dipl.-Ing. Bekir Boucsein
Geert Zänker
Anatoli Caspar
Frau Monique Löchel
Dr. Marie-Luise Klingelhöfer B.Eng.
Dina Schmidtke
Therese Neureuther
Gitta Mohaupt
Undine Scheibe-Stey
Sonja Barkholz
Gusti Wagenknecht
Murat Linke
Dipl.-Ing. Kristine Klapp MBA.
Emilie Schmiedecke
Aleksander Drub
Brunhilde Mälzer-Warmer
Univ.Prof. Leszek Gieß B.Eng.
Dr. Peggy Beyer B.Sc.
Univ.Prof. Nadine Gnatz
Marisa Hartmann-Kusch
Gaetano Fröhlich
Rahel Stey
Prof. Dolores Butte
Frau Stefani Hendriks B.A.
Guiseppe Rust
Dipl.-Ing. Sandro Bärer B.A.
Gunnar Hornig
Georgine Schinke
Dietlinde Schönland
Peer Bärer
Juan Schweitzer
Paolo Wernecke
Lidija Pärtzelt
Timm Schleich
Marcel Schlosser
Dr. Annelies Stumpf
Frau Anka Hering
Ing. Brunhilde Albers
Fernando Reising
Isabel Rose
Dorothea Kroker-Misicher
Prof. Marian Gerlach
Prof. Gaetano Weiß
Pia Steuer
Nadja Schleich MBA.
Alexander Beckmann MBA.
Viviane Fritsch-Martin
Athanasios Jacobi Jäckel
Dipl.-Ing. Oskar Vogt B.A.
Gert Kensy B.A.
Stephan Haase MBA.
Heinz-Dieter Caspar-Hande
Trudel Wagner
Ursula Jacobi Jäckel
Brit Lindner
Massimo Hecker
Irmela Höfig B.Sc.
Ludmila Löffler
Ing. Sebastian Killer B.A.
Janet Johann B.A.
Nina Ladeck
Witold Heintze
Ing. Klothilde Hörle B.A.
Wilfried Steinberg
Herwig Krebs
Heinz-Joachim Kobelt
Lara Stroh
Giorgio Trüb
Ditmar Dehmel
Frau Delia Hellwig B.Sc.
Hanno Hölzenbecher B.Sc.
Hans-Hinrich Trub
Prof. Mario Butte
Herr Tony Lindner
Ing. Rico Hoffmann
Tillmann Dobes-Trupp
Benno Hofmann
Engelbert Margraf-Trommler
Ernst-August Oestrovsky-Kreusel
Maria-Luise Schaaf
Edeltrud Kambs
Urs Bähr
Vesna Bähr
Anny Wagenknecht
Justine Lindner
Günther Bähr
Gert Hölzenbecher B.Sc.
Carolin Siering
Herr Hinrich Mühle
Univ.Prof. Zita Löchel B.Sc.
Marc Henck B.Eng.
Valeska Geisler B.Eng.
Univ.Prof. Virginia Pechel
Gereon Jacob
Bianka Dobes-Seifert
Ing. Herbert Mühle B.Sc.
Dr. Marie-Theres Möchlichen B.A.
Gerhild Beyer
Daniele Heintze B.Eng.
Dr. Lidija Weihmann
Cosimo Löffler B.Sc.
Sylvester Hamann
Kirstin Kusch-Meister
Gernot Hornich B.A.
Dr. Luciano Ortmann
Rotraud Fiebig
Gerwin Rust MBA.
Ivonne Hahn
Dipl.-Ing. Bodo Junk B.Eng.
Teresa Schomber B.A.
Hans-Erich Preiß
Diana Haering
Prof. Ahmad Rörricht
Anne-Rose Krause
Ing. Maike Hölzenbecher B.A.
Eckard Dehmel MBA.
Alfred Holzapfel-Hamann
Robby Kramer
Annett Dehmel MBA.
Tina van der Dussen
Hülya Conradi
Dr. Friedbert Bauer B.Eng.
Felicia Löffler
Marit Mühle
Laura Wilms
Patrizia Biggen
Aline Atzler-Beckmann
Josefa Lange
Dana Schäfer
Leonid Mühle
Karl-Hermann Rädel-Müller
Friedl Hänel
Frau Käthi Hamann B.Eng.
Prof. Marion Scholz
Klaus-Michael Fiebig
Daniel Zänker
Patricia Trubin
Martha Dowerg
Dipl.-Ing. Rolf Tröst B.Sc.
Moritz Spieß
Claudius Rust-Mans
Tabea Schomber
Jonas Mühle
Faruk Döhn
Mahmut Hänel
Univ.Prof. Heidrun Hiller
Diethelm Hübel MBA.
Wendelin Schäfer B.Sc.
Prof. Monique Budig B.Eng.
Sabrina Kohl
Hans Josef Thanel
Isidor Zobel-Ritter
Dipl.-Ing. Emanuel Nette
Irmtraut Wende
Egbert Gertz
Dipl.-Ing. Undine Warmer
Rosa-Maria Seifert
Aziz Anders
Frau Stella Plath B.A.
Genoveva Hofmann
Inna Winkler
Frank-Peter Haase
Till Bolander
Dr. Inna Mude MBA.
Eugen Weitzel
Jana Wulf MBA.
Dipl.-Ing. Charles Täsche
Theresa Hethur-Kabus
Hansjürgen Faust
Brian Dussen van
Dr. Cäcilia Henk B.Eng.
Johann Reuter
Franco Loos B.Eng.
Sebastian Aumann
Ing. Karl-Dieter Stroh
Wibke Pärtzelt-Wieloch
Oskar Weitzel
Dipl.-Ing. Valeria Kühnert MBA.
Anna-Marie Zorbach
Anto Kostolzin
Ing. Peter Trubin B.Sc.
Dipl.-Ing. Ekrem Thanel
Hubertine Jäkel
Hagen Girschner
Dr. Jonas Anders B.Sc.
Reimund Kraushaar
Romuald Hartmann
Natali Patberg B.A.
Mehdi Kohl B.A.
Cilli Röhricht
Dr. Steven Wohlgemut
Sofia Etzler B.Eng.
Hans-Theo Bärer B.Eng.
Prof. Mathilde Segebahn MBA.
Dipl.-Ing. Fred Meister
Pedro Beer
Gundula Vollbrecht
Annelise Jungfer
Ing. Jürgen Jopich B.A.
Erich Putz
Dr. Trude Ziegert B.A.
Kay-Uwe Pölitz
Univ.Prof. Tina Rose
Karl-Peter Hering
Univ.Prof. Beatrix Roskoth
Berend Gertz B.Eng.
Maurizio Hartmann
Ing. Nuran Schaaf
Annemarie Wieloch
Dipl.-Ing. Leo Sager
Gerda Stey
Ricarda Fröhlich B.A.
Luka Stiffel
Faruk Birnbaum
Ing. Leni Rosenow B.Eng.
Univ.Prof. Frieder Döhn MBA.
Edith Binner
Gabi Harloff
Dipl.-Ing. Hans-Günther Schuster
Sarina Dörr
Prof. Vadim Rogner
Reingard Cichorius
Dipl.-Ing. Hans-Günther Bien
Matthias Dowerg
Ignatz Wähner-Hänel
Dipl.-Ing. Corina Fischer
Johanna Bohlander
Marie-Louise Killer-Etzler
Annie Harloff B.A.
Arnulf Zimmer-Seifert
Bertha Barkholz
Univ.Prof. Giovanna Siering MBA.
Prof. Ralph Patberg
Liane Gröttner
Johan Baum
Dipl.-Ing. Harm Ruppert MBA.
Prof. Mathias Schmiedt
Sebastian Stiffel B.A.
Dipl.-Ing. Traudel Eigenwillig
Henryk Jacobi Jäckel B.Sc.
Wolfhard Vogt
Maximilian Steinberg
Gesche Kühnert
Ing. Jens-Peter Tschentscher
Gregor Dippel
Ivana Eimer
Burckhard Caspar
Gundula Adler-Bien
Dipl.-Ing. Nina Boucsein MBA.
Sibilla Bachmann
Frauke Wilms
Hans Dieter Kallert
Univ.Prof. Hinrich Eberth
Rebecca Börner
Dipl.-Ing. Dorina Lindau B.Sc.
Univ.Prof. Josefine Gerlach
Univ.Prof. Leif Süßebier B.A.
Annett Sorgatz B.Eng.
Berthold Jäntsch-Jessel
Univ.Prof. Pia Schlosser MBA.
Torben Roskoth-Wilmsen
Herr Gisbert Langern
