Student
Helge Schuchhardt
Christiane Mentzel
Hans-Detlef Bender
Ing. Gerti Franke
Univ.Prof. Dorina Lange
Rosemarie Schmiedecke
Prof. Hannah Hölzenbecher MBA.
Anni Dietz-Blümel
Anneli Neuschäfer
Prof. Friedbert Tschentscher B.Eng.
Prof. Irmhild Fritsch
Heinz-Josef Meister
Sigrun Weinhold
Lilo Scholz
Joana Wähner
Univ.Prof. Herlinde Klotz
Minna Wernecke-Gumprich
Urte Caspar
Vito Gorlitz
Ing. Eckart Becker B.Sc.
Roger Hendriks-Ruppersberger
Reimund Bohlander
Ing. Swen Ehlert
Friedhilde Hornig B.A.
Cetin Heidrich
Frau Anne-Kathrin Wagner
Bodo Martin
Prof. Helmut Hellwig MBA.
Felicitas Kensy-Stey
Kornelia Bachmann
Wolfhard Ziegert
Stella Barth
Dino Martin
Frau Elsa Mälzer
Utz Staude
Korbinian Werner
Univ.Prof. Lydia Langern
Norman Fechner
Katerina Bolzmann B.Eng.
Mato Patberg-Heintze
Emilie Schmidt-Gröttner
Frau Cynthia Bähr B.Sc.
Irmingard Meyer MBA.
Univ.Prof. Margitta Wagenknecht B.Eng.
Jann Geisler
Prof. Dietlind Ullrich B.Sc.
Marie-Therese Steuer
Erdal Tintzmann
Tanja Plath
Diana Drubin-Walter
Alicja Faust B.Eng.
Dr. Hildegund Gnatz B.Eng.
Telse Rudolph
Prof. Apollonia Gerlach B.Sc.
Dipl.-Ing. Eckhard Kallert B.Sc.
Wieslaw Oestrovsky MBA.
Prof. Bertha Jacobi Jäckel MBA.
Berend Gertz B.Eng.
Gertrude Bärer
Wilhelmine Knappe
Marco Conradi
Frau Alwina Bohnbach B.Eng.
Dietlind Albers
Dorothea Etzler
Eckard Textor
Anna Linke
Dr. Alma Warmer MBA.
Hans-Bernd Zobel
Ing. Mariechen Nerger B.Eng.
Flora Etzold
Timm Oderwald
Ing. Selim Tintzmann B.A.
Regine Sorgatz
Jorge Killer
Zehra Conradi-Heinrich
Viola Sager
Prof. Dirk Biggen B.Eng.
Kunigunda Heser
Ivanka Berger-Kraus
Dorit Dowerg
Stephan Stolze-Holt
Alwina Hettner
Clara Rust
Tim Sorgatz
Wilfried Söding
Olaf Juncken
Dipl.-Ing. Slavica Mälzer
Univ.Prof. Baptist Mende MBA.
Sandy Zimmer
Herr Jonathan Hänel MBA.
Dr. Constance Römer
Zeki Otto
Univ.Prof. Virginia Pechel
Thies Pergande
Adelheid Schinke
Patrizia Wirth
Desiree Gierschner B.Eng.
Univ.Prof. Marjan Graf B.Sc.
Carla Ruppersberger
Siegmar Dowerg
Reinhard Zänker
Ing. Michel Harloff
Univ.Prof. Jeanette Girschner B.Sc.
Lucie Trüb-Schmiedt
Kazim Hörle
Liesbeth Junck-Benthin
Hendrik Herrmann
Pedro Hande B.Sc.
Hanno Trub
Karla Etzler-Metz
Rose Henschel
Annelie Schomber
Dr. Valeri Sölzer B.Sc.
Cemil Schweitzer
Henryk Plath-Jopich
Ilonka Buchholz-Köhler
Prof. Amir Reising MBA.
Suse Pergande-Gröttner
Prof. Emil Kruschwitz
Elena Gotthard
Gunter Misicher
Univ.Prof. Clara Heidrich B.Sc.
Jacob Süßebier
Helga Gerlach-Seifert
Alida Ehlert
Günther Mude B.A.
Leander Dobes-Schlosser
Frau Krista Rädel B.Sc.
Aleksej Lehmann
Czeslaw Bohnbach B.Eng.
Paul-Gerhard Gunpf
Isabell Buchholz
Kay-Uwe Jähn-Schwital
Nick Jockel B.A.
Dr. Regine Gotthard
Elisabeth Roskoth
Calogero Hoffmann B.Eng.
Annegret Holt-Heuser
Ing. Katarzyna Noack
Ing. Wulf Atzler
Mirjana Schlosser B.Eng.
Isa Rose
Wladimir Möchlichen MBA.
Sylvio Karge
Univ.Prof. Beate Eberth
Ludmila Karge B.A.
Gislinde Lehmann
Irmgard Liebelt
Ing. Karl-Peter Weinhold B.Sc.
Ing. Alla Schottin B.A.
Frau Käthi Hamann B.Eng.
Ferdi Hoffmann
Dr. Rosalinde Stolze B.Eng.
Jörg-Peter Dowerg
Bernhardine Pechel
Carmela Lindau
Ing. Carin Zorbach MBA.
Maximilian Steinberg
Zeljko Henck
Klaus-Ulrich Tlustek-Förster
Ing. Pamela Gerlach
Friedrich-Wilhelm Höfig-Johann
Heinz-Joachim Jähn
Annegret Atzler
Daniela Siering
Kristin Niemeier
Irmi Täsche B.A.
Zenon Pärtzelt
Marietta Geißler
Liesa Neureuther
Wojciech Losekann-Seidel
Canan Beyer
Nicole Scheibe
Gottlob Seip
Univ.Prof. Suse Lachmann B.Sc.
Hiltrud Adolph
Hans-Karl Bauer B.Eng.
Silva Plath
Prof. Henriette Killer
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Norma Jungfer
Anke Hettner
Franz Josef Haase
Beatrix Scheibe B.Sc.
Marianne Hecker
Willibald Ziegert-Siering
Dipl.-Ing. Betti Löffler MBA.
Stefanie Pruschke
Hans-Günther Kohl B.Eng.
Univ.Prof. Gregor Gieß MBA.
Ditmar Pölitz B.A.
Urszula Fliegner
Marijan Killer
Dipl.-Ing. Gisa Jüttner B.Sc.
Pasquale Karge
Dipl.-Ing. Matteo Baum
Frieda Gröttner
Timo Siering-Hübel
Dr. Achim Barth
Katalin Thanel-Kitzmann
Lidia Franke
Cemal Hamann
Ing. Marcel Gute
Herr Darko Gutknecht MBA.
Hans-Wilhelm Weller
Daria Jopich
Bruni Freudenberger
Prof. Wolf-Dietrich Schweitzer MBA.
Veronique Löwer
Jan Freudenberger
Dipl.-Ing. Hans-Ludwig Meyer
Univ.Prof. Fatima Hölzenbecher
Wiltrud Geißler
Kriemhild Junk MBA.
Roderich Ehlert-Henk
Dr. Rolf Walter
Hans Peter Beckmann
Othmar Täsche-Loos
Siegmund Hövel
Aloisia Faust
Miguel Briemer
Ing. Hanns Haase B.Eng.
Rainer Hänel
Univ.Prof. Gusti Schlosser
Inge Kabus
Jo Reising
Anatolij Kroker B.Eng.
Wibke Pärtzelt-Wieloch
Violetta Beyer
Ing. Ivonne Nerger
Alfons Schleich B.A.
Tillmann Matthäi B.Eng.
Dorothee Renner
Maria-Theresia Tschentscher
Elwira Pölitz B.Sc.
Karl-Friedrich Nerger
Raphael Bonbach MBA.
Tibor Bolzmann MBA.
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Dr. Trude Girschner
Bodo Finke
Hilma Kuhl
Petra Wagner
Ellen Vogt
Marcus Langern
