Student
Freia Kraushaar B.A.
Herr Ilhan Tröst B.A.
Jens-Uwe Käster
Ekaterina auch Schlauchin
Meta Wagenknecht
Traugott Textor-Wagenknecht
Dr. Nadeschda Wulf
Julie Radisch MBA.
Lothar Birnbaum
Ing. Erica Schottin
Käte Ditschlerin-Roht
Dagmar Schäfer
Gert Nette
Herma Bender-Scholtz
Stephanie Weller
Ivana Wilmsen-Gumprich
Massimo Dörschner
Hansjürgen Säuberlich
Zbigniew Weinhage
Hans-Detlef Kobelt
Aloys Ruppert
Geert Rust
Gülsen Davids-Heinz
Victoria Hiller
Marco Kostolzin-Bruder
Pius Römer MBA.
Ayse Scheuermann-Sölzer
Heribert Steuer
Frau Raissa Ruppersberger B.Eng.
Ariane Tintzmann
Heino Schönland-Hermann
Janin Hamann
Guntram Scholz MBA.
Frau Kordula Geisler MBA.
Annaliese Lübs
Albert Butte
Krzysztof Niemeier-Kostolzin
Louis Loos B.Eng.
Antonietta Barth
Susi Hendriks
Rene Rohleder
Gaetano Paffrath
Bianka Schuster-Ziegert
Senol Langern
Maurice Pieper-Loos
Brian Ditschlerin
Metin Peukert-Lindner
Knut Gorlitz
Marija Stahr
Univ.Prof. Leni Bonbach
Ing. Paolo Meister
Sebastian Karge
Ing. Igor Barth
Maurizio Mans-Ullmann
Willy Hornig
Harro Trapp B.Eng.
Bekir Cichorius-Döring
Geert Rudolph
Augustin Hoffmann MBA.
Fatima Rosemann-Schmidtke
Larissa Löffler
Josephine Schweitzer
Hans Jürgen Grein Groth-Rudolph
Gertraude Salz-Gnatz
Angelica Lindau-Heß
Nikolaj Scholz
Faruk Birnbaum
Gerwin Textor
Dipl.-Ing. Bertram Gieß MBA.
Giesela Dowerg
Ing. Helmuth Bruder
Evangelia Misicher
Lilly Naser
Benno Mohaupt
Gretel Stroh
Christopher Gertz-Kade
Univ.Prof. Anny Stolze
Ing. Jo Caspar
Ing. Ivonne Nerger
Dipl.-Ing. Klaus Geisler
Prof. Gertrude Renner B.A.
Otmar Wende
Carin Huhn
Univ.Prof. Dorle Röhrdanz B.A.
Univ.Prof. Isabel Ladeck
Edwin Wilms MBA.
Sarina Dörr
Dipl.-Ing. Woldemar Benthin B.A.
Raissa Gehringer-Putz
Irmengard Eckbauer
Univ.Prof. Giovanna Siering MBA.
Helen Hein B.A.
Renate Bärer
Annelore auch Schlauchin-Lorch
Tino Gnatz
Aenne Mende B.Eng.
Janna Kambs
Dr. Lina Hiller
Dina Rose
Prof. Jolanthe Gude
Univ.Prof. Klaus-Günter Renner B.A.
Zoltan Wilms
Wibke Cichorius
Univ.Prof. Undine Becker MBA.
Prof. Urs Flantz
Fatma Seidel B.A.
Horst-Dieter Gude
Heinrich Dippel
Dr. Edit Scheibe B.A.
Constantin Kraus
Zehra Conradi-Heinrich
Branka Mentzel
Carina Bruder
Camilla Gunpf
Frau Mirja Jüttner B.Eng.
Eugenie Pieper
Heinz-Wilhelm Werner
Prof. Almuth Dippel
Etta Hellwig
Heide Knappe
Ilse Krebs
Heinz-Günter Schuster
Elise Ackermann
Gertraut Koch II
Mattias Wieloch
Ing. Wulf Atzler
Irmengard Jüttner B.Eng.
Dipl.-Ing. Jaqueline Striebitz
Nikolai Rädel-Klemt
Dr. Gundolf Römer MBA.
Herr Wolfhard Hövel
Jonas Boucsein
Mariusz Baum
Marina Hofmann
Wenzel Ebert
Enrico Hellwig
Carin Atzler
Hannes Meyer
Lore Tröst
Dr. Oswin Junken
Henni Wagenknecht B.Sc.
Herr Juri Kitzmann
Dörthe Roht
Lisette Stoll B.Eng.
Prof. Clarissa Barth
Dipl.-Ing. Wilfried Ortmann
Univ.Prof. Matthäus Gude
Dipl.-Ing. Elif Hartmann B.A.
Dorit Zimmer-Krein
Torsten Trapp B.A.
Luciano Wirth
Antonius Bonbach-Juncken
Michelle Kitzmann
Liesbeth Huhn
Margarete Mohaupt B.Sc.
Danny Mälzer
Lisa Rädel-Bender
Tabea Rogge
Hakan Kühnert
Dipl.-Ing. Friedrich Hiller B.Eng.
Ilse Nette
Univ.Prof. Hedwig Krein
Dr. Krista Jäkel B.A.
Herr Arnulf Kohl
Dogan Sauer
Babett Süßebier B.A.
Marlen Gute-Hauffer
Mariana Jüttner
Dr. Samuel Dobes B.Sc.
Dr. Auguste Sager
Monja Riehl
Theo Trubin
Ing. Fredi Löffler
Eckehard Mude
Maren Drub
Calogero Seip
Rena Rohleder
Constance Lange
Phillip Rosemann-Bachmann
Gertraude Ruppersberger
Dipl.-Ing. Oskar Vogt B.A.
Sergej Pärtzelt
Kathi Wesack
Univ.Prof. Antonina Becker
Hanspeter Benthin
Hilma Berger
Luisa Seip B.Sc.
Eva Mosemann
Theres Heser
Herr Franz Geisler B.A.
Prof. Alois Jacob
Sigrun Weinhold
Prof. Julia Möchlichen B.A.
Univ.Prof. Undine Jungfer
Antonietta Lindner MBA.
Ladislaus Hande
Sükrü Walter B.Eng.
Ing. Torsten Hartung B.Eng.
Vadim Jacobi Jäckel
Annamaria Margraf
Dr. Ante Jüttner B.A.
Remo Köhler
Univ.Prof. Jens Weinhage
Inge Dietz B.A.
Marie-Therese Steuer
Fabienne Matthäi-Heß
Ing. Stanislaw Weihmann B.A.
Prof. Riza Niemeier
Lieschen Kusch-Pechel
Wigbert Ortmann
Vitus Schmidt
Silva Hiller MBA.
Catrin Weller
Prof. Sarina Hartmann
Ing. Leopold Hoffmann
Iwan Renner-Dussen van
Dipl.-Ing. Hanns Killer B.Sc.
Elena Fiebig
Henriette Pohl
Kornelia Kade
Konrad Schuster
Domenico Gertz
Miroslaw auch Schlauchin
Stjepan Wesack-Winkler
Rahel Stey
Chantal Kade
Agnes Vollbrecht
Ing. Konstanze Geisel
