Student
Hans-Bernd Trubin-Klemt
Anto Kobelt-Kobelt
Kenneth Kramer
Kirstin Boucsein B.Eng.
Else Gröttner
Annegret Atzler
Univ.Prof. Pauline Klemt
Lilija Kensy
Marita Henk
Harriet Rohleder
Tabea Rogge
Abdul Klapp-Hethur
Hartmuth Koch II
Gunter Beyer
Univ.Prof. Kirstin Killer B.Eng.
Isa Tlustek
Svenja Salz
Anika Holsten
Ramona Römer
Luka Weimer-Beyer
Sylvester Zirme
Ing. Swen Sorgatz B.Eng.
Antonia Stey
Marianna Geisler
Hilmar Graf
Christel Mangold
Alida Ehlert
Malte Kallert-Möchlichen
Univ.Prof. Oscar Lindau MBA.
Francesco Drub
Ingried Hänel
Volkhard Köster-Jüttner
Achim Budig
Prof. Irmgard Mühle
Diether Dussen van-Rohleder
Emil Grein Groth
André Kroker
Ing. Augustin Budig B.Eng.
Alice Hesse
Anna-Marie Zorbach
Maik Schottin
Gilda Faust
Irmela Krein-Bolzmann
Gebhard Seidel
Prof. Jelena Krebs B.Sc.
Gerhart Schenk MBA.
Timo Spieß
Manuel Pärtzelt
Ing. Galina Hahn
Adolfine Wilms
Eduard Kühnert
Heinz-Otto Wende
Margaret Kramer B.A.
Vincenzo Jopich
Adolfine Lange
Prof. Marian Gerlach
Julia Mosemann
Cindy Meyer
Ing. Fredi Löffler
Marica Hamann-Koch
Klaus-Dieter Hänel B.Sc.
Marie-Luise Staude-Käster
Dr. Edelbert Wieloch MBA.
Nadeschda Rädel
Marko Trupp
Michaela Sontag-Dörr
Lutz Mies-Hesse
Tomas Säuberlich B.A.
Janusz Eberhardt MBA.
Prof. Kordula Vollbrecht B.A.
Clara Ruppersberger
Janko Schulz-Becker
Johann Rust
Prof. Urs Salz
Frau Stella Plath B.A.
Diane Butte-Schleich
Gregor Buchholz
Fritz Nerger
Krista Gertz B.Eng.
Olga Stahr
Ing. Natalie Oderwald B.Sc.
Dipl.-Ing. Ekrem Thanel
Ernst-August Gunpf
Univ.Prof. Nevenka Döhn B.Eng.
Igor Dörschner
Aneta Heydrich
Dipl.-Ing. Marieluise Löchel
Gesine Graf
Dr. Alberto Kabus B.Sc.
Prof. Monica Beer MBA.
Constance Lange
Ing. Herwig Drub MBA.
Gereon Weitzel
Adem Hörle
Florentine Sölzer-Siering
