Student
Prof. Romy Bohnbach
Gunnar Hornig
Robert Budig-Ullmann
Dipl.-Ing. Hannelore Kostolzin
Brit Anders
Pia Fliegner
Hellmut Hein-Gnatz
Boris Stumpf
Univ.Prof. Alexandre Schottin
Saban Etzler B.Eng.
Patrik Ditschlerin
Ing. Romuald Kreusel B.A.
Liliane Koch II
Wendelin Zorbach MBA.
Prof. Sonia Blümel
Herr Sylvester Jopich B.Eng.
Dipl.-Ing. Elisabeth Wiek
Christin Hein B.Sc.
Ing. Hans-Heinrich Reichmann B.Sc.
Rosina Ditschlerin-Ortmann
Univ.Prof. Hans-Peter Schmidt MBA.
Wiebke Caspar B.A.
Bayram Gertz-Hendriks
Adelgunde Thanel
Lilli Atzler
Dipl.-Ing. Friedhilde Hauffer B.A.
Herr Roderich Hauffer
Dipl.-Ing. Margarita Stey
Fredo Kühnert-Köhler
Kristian Albers
Raymond Misicher
Rosl Trupp
Markus Albers
Celal Ortmann-Otto
Dipl.-Ing. Slavica Mälzer
Gerda Mans
Rolf-Dieter Flantz B.Eng.
Sandor Riehl
Berta Hörle-Börner
Canan Beyer
Nina Müller B.Eng.
Hans Jörg Koch
Edeltraut Klemt
Harri Heuser
Fabian Pechel-Dippel
Marita Henk
Uschi Keudel
Dieter Trupp
Adalbert Vollbrecht
Sami Mans-Ullrich
Alina Finke
Ing. Henning Drub
Hagen Girschner
Tomas Gröttner
Adeline Hein-Metz
Adam Hölzenbecher-Hettner
Silvester Etzold
Janin Hamann
Hedi Butte-Neuschäfer
Angelique Speer B.A.
Prof. Hans-H. Zimmer
Knud Trommler
Edeltraud Bärer
Traugott Textor-Wagenknecht
Prof. Fredy Hahn
Miriam Hentschel
Anne-Katrin Butte MBA.
Miodrag Dörr-Austermühle
Annie Langern
Dr. Gerti Scheel
Holger Gröttner B.Eng.
Benita Juncken
Mattias Kensy
Fritz Nerger
Victor Fritsch B.Eng.
Ing. Georg Lübs
Irmi Schacht
Verena Davids
Rainer Hänel
Annett Dehmel MBA.
Ilonka Wulf
Rena Radisch
Claudio Freudenberger
Janus Oderwald-auch Schlauchin
Ing. Tanja Scheibe B.Eng.
Univ.Prof. Philip Kranz B.Sc.
Constantin Kostolzin
Mohammed Geißler
Ludwina Fritsch
Annamaria Margraf
Donald Schönland
Saskia Roskoth B.Eng.
Ing. Käthi Schäfer
Klaus-Ulrich Tlustek-Förster
Adeline Hahn
Manuel Hering-Jäntsch
Dr. Mariusz Beckmann
Judith Boucsein-Aumann
Wieslaw Käster
Hans-Albert Lindau
Emmi Adolph
Marijan Huhn
Univ.Prof. Gunda Höfig
Helen Hahn
Dr. Erdogan Fröhlich
Deborah Becker
Andrej van der Dussen B.A.
Miriam van der Dussen
Thomas Weinhold B.Eng.
Dipl.-Ing. Adele Huhn MBA.
Fanny Zänker-Hein
Ulla Süßebier
Tina Henschel
Siegbert Bachmann-Hövel
Ing. Josip Ruppert
Vassilios Kuhl B.Sc.
Kevin Tlustek-Heinz
Bernt Jessel
Matteo Beyer B.A.
Frau Silvana Bolzmann B.Eng.
Nikolai Haase B.Sc.
Johann Oestrovsky
Antonina Pärtzelt-Gerlach
Giovanni Weller-Söding
Rahel Dörschner
Georgia Ruppersberger
Carl Scheibe
Gert Juncken
Imke Keudel B.Sc.
Freddy Nette-Hendriks
Brunhilde Nohlmans
Frithjof van der Dussen
Gunter Schenk B.Sc.
Babett Süßebier B.A.
Philipp Killer B.A.
Dr. Elif Peukert B.Eng.
Isabell Kroker B.Eng.
Ronald Henschel
Dipl.-Ing. Willibert Süßebier
Dipl.-Ing. Rabea Sorgatz MBA.
Gottfried Martin-Martin
Katerina Hauffer
Roswita Hofmann MBA.
Julia Heinrich
Heinz-Georg Döhn
Ruthild Hoffmann
Wulf Eberhardt
Elfie Preiß
Irmengard Sauer
Ing. Christel Margraf MBA.
Ing. Helmtrud Dussen van
Marie-Louise Girschner
Erdmute Mosemann
Heinrich Dippel
Krista Gertz B.Eng.
Undine Lindner
Herr Lukas Eimer
Iwan Schleich
Cosimo Bender
Antje Etzold
Siegward Hertrampf
Rosa Gnatz
Desiree Ruppert
Siegrid Schmiedt
Dorothe Renner
Dr. Alwina Lorch MBA.
Heribert Steuer
Muharrem Rosemann-Heidrich
Margot Sontag MBA.
Urban Pieper
Prof. Wolf-Dietrich Schweitzer MBA.
Prof. Bertha Jacobi Jäckel MBA.
Herr Osman Gerlach B.Sc.
Dr. Margarethe Ernst
Hanni Dippel-Heser
Boris Bachmann
Dipl.-Ing. Margarete Schmidt
Lidija Löchel B.A.
Arno Ullmann
Käthe Langern-Jacob
Lothar Birnbaum
Berit Pärtzelt
Arndt Weinhold MBA.
Marjan Pölitz B.Eng.
Walter Weller
Egon Ruppersberger B.Sc.
Gabriela Girschner
Frank-Michael Sontag
Traudl Gierschner
Romy Zahn-Bien
Trude Ruppersberger
Jeannette Schleich
Univ.Prof. Friedl Peukert B.Eng.
Dr. Thekla Lindau B.Sc.
Prof. Mario Butte
Cemal Klingelhöfer-Otto
Heinrich Döring
Eugen Weitzel
Henri Finke-Lehmann
Meta Harloff
Ing. Zoltan Dobes B.A.
Greta Baum
Lars Kallert
Hartwig Keudel B.Eng.
Anne-Katrin Höfig
Dipl.-Ing. Marica Sager
Ole Ritter MBA.
Antonios Schönland
Chantal Fröhlich
Marlis Wiek
Nermin Jopich
Lidia Butte
Dr. Anika auch Schlauchin B.Sc.
Dipl.-Ing. Astrid Kade
Dipl.-Ing. Eveline Jäkel MBA.
Ing. Gabriella Bähr
Edmund Siering
Univ.Prof. Valeria Putz
Dr. Diedrich Gerlach B.A.
Desiree Gierschner B.Eng.
Univ.Prof. Jeanette Girschner B.Sc.
Wiltrud Bolander
Catrin Weller
Aenne Beyer
Oskar Weitzel
Ingelore Heinz
Hans-Gerhard Staude
Prof. Wolfgang Mohaupt
Herr Imre Kohl
Laura Beier
Frau Friederike Albers
Frau Hildegart Etzler B.A.
Dr. Annedore Wulff B.Sc.
Konrad Henschel
Dorle Knappe
Tabea Schomber
Gertraude Hahn
Bogdan Pohl
Andy Jockel B.Eng.
Dietlinde Söding
Dr. Daniel Trommler
Dr. Melitta Mans B.Eng.
Gülten Röhrdanz
Korbinian Bolander
Dipl.-Ing. Sebastiano Käster B.Eng.
Silvester Scheibe
Dr. Elzbieta Mitschke B.Eng.
Frau Dorothe Mielcarek
Univ.Prof. Ilja Hentschel MBA.
Ioannis Klemt
Gotthold Krause
Herr Oliver Stahr
Ilka Zimmer-Wesack
Paolo Klotz-Hein
Veit Beckmann
Ing. Isolde Rosenow
Evelyne Beyer
Christoph Löchel B.Sc.
Anto Tröst-Schäfer
Lena Dowerg
Prof. Mechtild Steuer
Helen Dehmel
Dagobert Sorgatz
Aleksandra Stey MBA.
Dipl.-Ing. Danuta Stumpf B.Eng.
Heinz-Wilhelm Werner
Anja Wagner-Hermann
Gina Killer
Pamela Mies B.Eng.
Prof. Horst Mälzer B.Sc.
Kai-Uwe Köhler
Sandy Zimmer
Liliana Gehringer
Ing. Liesa Zirme
Elli Junck
Athanasios Jacobi Jäckel
Dipl.-Ing. Johanna Henck
Sibylla Pohl
Guiseppe Tschentscher
Gisa Mohaupt
Dursun Mies
Olaf Hethur
Halina Lachmann
Helfried Seifert-Schönland
Selma Fritsch B.Eng.
Hans-Günther Scheuermann B.Eng.
Dipl.-Ing. Gottfried Scholtz
Univ.Prof. Reinhilde Cichorius B.A.
Univ.Prof. Veli Etzler
Senta Wernecke B.Sc.
Baptist Vogt
Gordon Lehmann
Ellen Weinhold
Hildegunde Stiebitz-Mude
Christiane Roht
Dipl.-Ing. Frederik Rörricht B.Sc.
Wally Wähner
Danny Mälzer
Univ.Prof. Emine Vogt B.Sc.
Nurettin Börner
Balthasar Holsten
Friedlinde Meyer
Gretchen Jessel B.Sc.
Ida Weihmann
Uschi Trüb
Irmtrud Mohaupt-Etzler
Brita Kaul
Tomasz Bolnbach
Arzu Kuhl
Emma Briemer
Hildburg Tlustek
Anika Tschentscher
Univ.Prof. Frieder Döhn MBA.
Leszek Hentschel
Lisbeth Mielcarek
Erwin Weimer-Bohlander
Helma Häring
Cornelia Gehringer
Maria Döring B.Sc.
Dipl.-Ing. Roland Bien B.Sc.
Univ.Prof. Edelgard Naser B.A.
Thomas Kraushaar
Günter Fischer
Camilla Wiek
Yvette Süßebier
Gisela Paffrath
Carl Jockel
Friedericke Ring MBA.
Ing. Alexandros Vogt MBA.
Hildegard Roht B.Sc.
Augustin Ernst
Ingmar Hauffer
Milica Huhn
Dipl.-Ing. Anneliese Kühnert
Silvester Sorgatz MBA.
Ben Bonbach B.A.
Sybilla Striebitz
Prof. Katarzyna Gehringer B.Eng.
Stephan Stolze-Holt
Vittorio Hertrampf
Dr. Ellen Schlosser B.A.
Ing. Anneli Nerger
Anica Austermühle
Stephen Kensy
Leni Wohlgemut-Ruppersberger
Gusti Wagenknecht
Andrea Ziegert
Constanze Fechner-Dörr
Leonardo Vogt
Dr. Paulina Textor B.A.
Gülten Henschel
Heribert Austermühle-Trupp
Heidelinde Pruschke
Carin Binner
Elisabeth Käster
Thaddäus Geißler
Sigmund Kensy
Prof. Britt Drub B.Eng.
Hellmut Lindner
Hiltraud Klemm-Pärtzelt
Karl-Georg Lehmann
Torben Säuberlich-Linke
Emilia Wagenknecht-Riehl
Zita Wieloch-Scholtz
Karlfried Rörricht
Kai-Uwe Mitschke
Tobias Liebelt
Frau Katarina Bolander B.Sc.
Waldemar Hendriks
Ria Walter
Dr. Meral Thies B.Sc.
Henriette Ladeck
Mareike Scholl
Lorenzo Zänker
Ernst-August Gutknecht
Irmtrud Johann
Geza Weller
Adina Söding
Jutta Aumann
Inge Dietz B.A.
Gunar Börner
Zeljko Jessel
Centa Bohlander-Stiebitz
Univ.Prof. Cynthia Löwer
Carina Killer
Victoria Binner
Dina Schmiedt MBA.
Joseph Austermühle
Cordula Hornig
Stilla Dobes
Celal Mühle
Zenon Hahn MBA.
Annelie Schomber
Erol Kreusel B.Sc.
Marit Mühle
Patrizia Schleich
Dr. Klothilde Lachmann B.A.
Madlen Trupp B.Eng.
Detlev Heintze
Univ.Prof. Hiltrud Löwer
Anne Zorbach
Bogdan Römer B.Eng.
Marisa Hartmann-Kusch
Dr. Sonia Hornich B.Eng.
Miriam Juncken
Wera Klemt
Gottfried Hettner-Reising
Kriemhild Junk MBA.
Antonius Kraus
Thomas Hänel
Dorle Rädel
Arif Pergande-Wagenknecht
Salvatore Ruppersberger
Friedl Barth
Ing. Therese Rust
Ralf-Dieter Riehl B.Eng.
Frau Britt Heß
Pero Gutknecht
