Student
Burkhard Fröhlich-Dussen van
Cathleen Gude
Valentine Bähr B.A.
Karl-Georg Zahn
Olga Stahr
Sina Spieß
Bertha Barkholz
Gerlind Trüb-Losekann
Prof. Josefa Beier B.Sc.
Univ.Prof. Helmut Junitz B.Eng.
Flora Gotthard
Alina Spieß
Uta Karz
Simona Heidrich
Lars Ullrich
Heimo Gorlitz B.A.
Reinhild Patberg
Prof. Mechtild Steuer
Jennifer Trapp
Maik Schottin
Caroline Linke
Annie Langern
Hermann Josef Börner
Fredy Bachmann B.Eng.
Ing. Peter Trubin B.Sc.
Emmy Koch
Wolfhard Kensy
Veli Rädel
Dipl.-Ing. Aleksandra Wagner MBA.
Gertrude Gumprich
Friedlinde Warmer
Johan Heydrich
Prof. Ullrich Rosenow B.A.
Univ.Prof. Antonina Becker
Francesco Drub
Dr. Wilfriede Reuter
Prof. Ignaz Cichorius
Prof. Ivonne Boucsein B.Eng.
Dr. Zehra Etzler
Evelin Wagenknecht-Döhn
Agathe Trommler
Ing. Leonore Haering MBA.
Gislinde Junken
Leonore Schacht
Univ.Prof. Simona Holzapfel MBA.
Sebastian Warmer
Karl-Josef Barth
Ernst Koch II-Graf
Friedhilde Hornig B.A.
Elli Kuhl B.Eng.
Sigmar Zobel
Patric Stahr-Ebert
Kreszentia Pölitz-Karge
Henryk Bauer
Ing. Ayse Schacht
Ing. Eckart Becker B.Sc.
Rosita Köster B.A.
Irmtrud Bolzmann
Korbinian Werner
Herr Alexandre Eimer B.A.
Vitali Junken
Kurt Thanel
Dipl.-Ing. Klaus Geisler
Herr Mahmoud Schleich B.Sc.
Czeslaw Jäkel-Röhrdanz
Canan Heinrich
Herma Möchlichen
Herwig Jäntsch B.Sc.
Nevenka Hörle MBA.
Agnieszka Steckel
Uli Renner
Leokadia Karge
Friederike Geisler
Prof. Linus Kambs B.A.
Frau Notburga Pergande
Angelina Noack-Wagenknecht
Beata Lübs
Priska Rädel
Cläre Bruder-Hentschel
Franca Buchholz
Ingetraud Austermühle-Dowerg
Maurice Steckel
Dipl.-Ing. Christoph Jockel B.Sc.
Annie Harloff B.A.
Dipl.-Ing. Johanna Henck
Ilonka Döring-Schulz
Peter-Michael Kostolzin
Armin Scholz
Margaret Kramer B.A.
Evangelia Gierschner
Darius Kallert
Frederike Stoll
Dr. Heide Jockel B.Sc.
Prof. Mahmut Barth B.A.
Ing. Tina Schmiedt B.A.
Emine Lübs
Imre Sauer
Alexej Wagner
Danny auch Schlauchin
Margaretha Kohl B.Sc.
Ludmilla Pieper
Hansgeorg Beier-Freudenberger
Reni Rosemann MBA.
Cordula Schmiedecke-Wilms
Ramona Henk B.Sc.
Marie-Therese Steuer
Gabriel Klotz
Karen Rädel
Ira Scholz-Pohl
Zeynep Lehmann
Abraham Adler
Dipl.-Ing. Ekrem Thanel
Madlen Trupp B.Eng.
Prof. Magnus Dörr B.Eng.
Ing. Nicolai Textor B.A.
Herr Vito Roskoth B.Sc.
Wieslaw Löchel
Ing. Hans Jürgen Häring
Carmela Lindau
Michel Kuhl
Valerij Barth
Steffen Rust B.Eng.
Gero Gumprich B.Sc.
Vitali Faust B.Eng.
Annika Wirth
Univ.Prof. Anika Jockel MBA.
Gino Heß
Hansjörg Roht
Hugo Keudel B.A.
Ralf-Dieter Sauer-Hermighausen
Peter Sontag
Regina Wende
Maximilian Juncken
Ekrem Spieß
Karl-Friedrich Kitzmann
Ralf-Peter Ebert
Vladimir Wulf B.A.
Angelo Schmidtke
Milica Huhn
Prof. Catherine Knappe MBA.
Aline Atzler-Beckmann
Univ.Prof. Mira Riehl
Annaliese Gute
Enrico Reising MBA.
Gabi Meister
Wigbert Ortmann
Rosa Hübel
Natascha Eigenwillig
Julius Kraushaar
Prof. Sergei Heser
Leonid Hein B.Sc.
Dipl.-Ing. Stefano Ditschlerin
Niels Faust
Helga Gerlach-Seifert
Univ.Prof. Ignatz Baum
Univ.Prof. Arne Hoffmann
Ben Eimer-Loos
Dipl.-Ing. Christoph Schulz B.Sc.
Rocco Trub
Inken Juncken
Kathrin Dussen van
Dipl.-Ing. Birgitta Boucsein
Marie-Luise Ring
Gabriel Süßebier-Eigenwillig
Carl Jockel
Franjo Junitz-Hahn
Dipl.-Ing. Anneliese Kühnert
Frederike Dippel
Univ.Prof. Gislinde Rohleder
Ing. Hüseyin Gutknecht B.Sc.
Gisbert Christoph
Isidor Heinrich
Dipl.-Ing. Daniele Geißler
Marvin Kabus B.A.
Lorenzo Hornig
Reinhold Hellwig-Mülichen
Henriette Bruder
Gudula Holzapfel
Kenan Wulff-Plath
Ing. Cynthia Weihmann B.Eng.
Frau Minna Steinberg B.Sc.
Hans-Bernd Zobel
Oscar Reinhardt B.A.
Robert Etzold
Solveig Trapp MBA.
Dipl.-Ing. Walfried Rosemann B.Eng.
Marlen Jacobi Jäckel B.Eng.
Ing. Giorgio Warmer B.Eng.
Josef Berger
Irmingard Meyer MBA.
Jasmina Rädel
Heinz-Günter Weimer B.Sc.
Reinhart Winkler B.Eng.
Micha Röhricht B.A.
Ing. Heinz-Josef Hoffmann
Birte Gröttner MBA.
Jonathan Mohaupt
Eckart Cichorius
Annekatrin Wende
Heinz-Wilhelm Säuberlich MBA.
Karl Zirme
Gerolf Radisch
Dipl.-Ing. Beatrix Henk B.Eng.
Anatolij Junk
Dipl.-Ing. Helma Heuser B.Sc.
Hans-Bernd Trupp
Birgitta Hettner
Susanna Jäntsch
Isabell Eberth-Pechel
Zita Holt
Korinna Spieß MBA.
Hans Dieter Stahr
Hans-Erich Preiß
Wilhelmine Knappe
Dipl.-Ing. Josip Mies
Ivonne Hahn
Annelie Schomber
Burghard Albers-Berger
Prof. Hans-Hinrich Schmidt
Knut Jacob
Romy Zahn-Bien
Orhan Mude
Prof. Natalija Weinhold
Erol Lindner
Anneke Nohlmans
Birgid Freudenberger
Marko Renner
Utz Staude
Faruk Hoffmann
Univ.Prof. Gundi Koch B.A.
Senta Hiller
Prof. Magda Textor
Horst-Peter Faust
Ing. Roy Dippel B.A.
Heiderose Lange-Schüler
Luitgard Weiß-Rörricht
Hans-Gerd Jockel
Herr Wolfhard Hövel
Wilma Röhrdanz
Jiri Hoffmann B.Sc.
Dagmar Dussen van
Anne-Katrin Butte MBA.
Wilfriede Ziegert
Dr. Myriam Pieper B.Eng.
Vincent Kranz B.A.
Michail Pechel
Oda Barkholz
Herr Eberhardt Gierschner
Gebhard Kitzmann
Pawel Peukert-Rörricht
Alida Ehlert
Manuel Schenk
Henrik Heidrich
Claus Butte
Gerold Loos-Rogge
Adelinde Gutknecht-Beier
Edmund Schmidt-Fliegner
Frauke Dörschner
Cemal Budig-Holt
Dipl.-Ing. Dajana Beer
Ing. Isolde Rosenow
Ingried Hauffer-Lübs
Dietrich Kruschwitz
H.-Dieter Gerlach
Andrej van der Dussen B.A.
Hannelore Haase
Prof. Marko Rohleder B.A.
Waltrud Stroh
Urszula Trapp
Bruni Vogt MBA.
Faruk Döhn
Giovanni Weller-Söding
Delia Rust
Angelique Wesack B.Eng.
Univ.Prof. Milan Hande
Herr Peter-Michael Kensy B.Sc.
Univ.Prof. Marjan Graf B.Sc.
Nadja Häring B.Eng.
Gundula Ruppersberger
Curt Mühle
Dr. Samuel Tröst
Enrico Hornig
Slobodan Hauffer
Apollonia Heß B.A.
Ottfried Scheibe-Sauer
Aenne Hübel-Mühle
Dr. Hans-Willi Hertrampf MBA.
Gaetano Söding
Prof. Susanne Rose
Univ.Prof. Michaele Heser MBA.
Ronald Hofmann
Elisa Mälzer
Franca Mentzel
Frau Melita Scholz B.A.
Angelique Kruschwitz
Slavko Fliegner B.Sc.
Eveline Birnbaum
Dr. Hans-Heinrich Kaul B.Eng.
Kristiane Hermann
Martine Zobel
Ing. Anton Gotthard MBA.
Dorle Rädel
