Student
Univ.Prof. Nurten Neuschäfer MBA.
Lisbeth Karge
Rainer Henk-Gotthard
Ottfried Peukert-Schulz
Dogan Häring MBA.
Horst-Dieter Seifert
Hans-Georg Schmidt
Yvette Süßebier
Karla Freudenberger MBA.
Edith Binner
Herr Rupert Jüttner MBA.
Ing. Pavel Weller B.Eng.
Dipl.-Ing. Elly Davids B.Sc.
Damaris Holsten-Schleich
Mirjam Stumpf
Gerhart Stumpf
Meral Eberhardt B.A.
Dirk Graf-Stiffel
Alwina Koch
Hans Josef Thanel
Roberto Ritter-Fritsch
Prof. Woldemar Beier B.A.
Patrick Pärtzelt-Henck
Tassilo Beckmann
Univ.Prof. Beatrix Roskoth
Mikhail Bauer
Ing. Imke Eigenwillig B.A.
Thies Rose
Ing. Dietlind Gieß
Prof. Bianka Schacht
Brunhilde Heinz MBA.
Alfredo Bolzmann B.A.
José Tschentscher-Textor
Augustin Wende
Univ.Prof. Norma Schleich B.Sc.
Olaf Weinhage
Frau Annegrete Junk B.A.
Dipl.-Ing. Rouven Kallert MBA.
Kirsten Heydrich
Balthasar Müller-Drub
Remo Köhler
Frau Wenke Riehl
Eberhard Pechel
Jörg-Peter Klemt MBA.
Johannes Bärer
Prof. Julia Möchlichen B.A.
Sergio Schleich
Gloria Schulz-Huhn
Dorit Köster
Dörte Dobes-Bonbach
Frauke Wilms
Arif Pergande-Wagenknecht
Dr. Alma Warmer MBA.
Ing. Gabriela Dippel MBA.
Ing. Hannes Jähn B.Sc.
Ulf Kensy MBA.
Lissi Thanel MBA.
Trudi Radisch
Frau Mirja Jüttner B.Eng.
Liliane Gröttner-Albers
Anny Wagenknecht
Marie-Louise Wulff
Ditmar Bien
Gino Häring
Heinz-Josef Jähn MBA.
Liliana Davids
Massimo Ernst
Dipl.-Ing. Sandro Bärer B.A.
Jo Dussen van
Oxana Henschel
Wolf Stadelmann
Dipl.-Ing. Janus Roht B.Sc.
Angela Weimer B.A.
Rainer Scheel B.Eng.
Renato Bolnbach
Svea Hartung B.Eng.
Dr. Rosmarie Seip
Inken Gorlitz
Betti Zirme B.A.
Kenan Wulff-Plath
Nikolas Hövel
Maurice Möchlichen
Nicolaus Seifert B.A.
Amalie Gotthard-Beckmann
Benita Schleich
Dr. Gerard Reichmann MBA.
Dorit Zimmer-Krein
Adriane Gröttner
Adele Boucsein B.Sc.
Elise Hentschel
Dr. Lisa Kusch
Klaus-D. Sölzer
Yvonne Kroker
Klaus-D. Dippel MBA.
Adem Schleich
Luigi Junitz
Inna Schulz
Jeannine Lehmann
Gerhild Stiffel
Ellen Gutknecht
Camilla Jäntsch
Nadia Herrmann
Ioannis Klemt
Jost Roskoth
Leonhard Adolph
Karl-Heinrich Sölzer
Virginia Kaul
Univ.Prof. Dolores Rust
Univ.Prof. Zofia Rust
Natalie Werner
Hans-Eberhard Lübs
Hiltrud Adolph
James Kostolzin-Staude
Dipl.-Ing. Laila Scheuermann B.Sc.
Dietrich Kruschwitz
Dr. Jonas Fechner
Erhard Geisel
Dr. Heinz-Georg Aumann MBA.
Dorina Dowerg
