Student
Prof. Gesine Lange
Wulf Schuster
Ing. Torben Hande MBA.
Elizabeth Schlosser B.A.
Ing. Annekatrin Heß
Arzu Kuhl
Sandro Schmiedt
Annerose Kaul
Prof. Ada Wähner
Roselinde Metz MBA.
Bodo Ullrich
Liane Kambs
Jorge Killer
Tillmann Stolze
Ann Spieß MBA.
Prof. Martin Ullmann
Volkmar Trub
Pascal Freudenberger
Nermin Kranz-Austermühle
Dipl.-Ing. Gunnar Rohleder B.Sc.
Meinrad Barkholz B.Eng.
Irma Neureuther
Hans-Gerd Dietz B.A.
Joseph Gorlitz-Bloch
Janko Neureuther
Harriet Rohleder
Karl-Josef Thanel
Felicitas Biggen
Daniele Pieper-Käster
Marga Scholz
Leni Wohlgemut-Ruppersberger
Prof. Knud Salz
Anna-Marie Zorbach
Kristiane Zahn
Dr. Leonie Köster
Aenne Mende B.Eng.
Saskia Roskoth B.Eng.
Reinhild Pergande
Ahmad Preiß
Katerina Drubin
Gislinde Junken
Helga Mosemann-Hecker
Steven Käster B.Sc.
Rosi Renner-Graf
Hanni Wieloch
Hansjoachim Salz-Junk
Othmar Zänker
Raphaela Eckbauer
Liesa Wilms B.A.
Hannes Meyer
Maja Fischer B.A.
Antonius Stoll-Krebs
Rosina Ortmann
Monique Ullmann MBA.
Jonas Beyer
Ing. Dorothee Harloff B.Sc.
Marie-Therese Steuer
Konstanze Mohaupt
Frau Myriam Walter B.Sc.
Elly Hande
Ing. Alberto Werner
Frau Mia Kaul MBA.
Vassilios Kramer
Romy Baum
Christel Mangold
Miguel Gehringer-Reising
Univ.Prof. Heimo Dobes B.A.
Francisco Budig-Geisler
Hans Dieter Stahr
Friedericke Lehmann B.Sc.
Agathe Jäntsch-Käster
Prof. Balthasar Hecker B.Eng.
Roswita Döhn
Albert Butte
Dipl.-Ing. Till Schenk
Käthe Hande
Madlen Trupp B.Eng.
Herr Kurt Weitzel B.Sc.
Felix Wilms
Irmgard Weinhage-Wieloch
Swantje Binner B.A.
Prof. Hans-H. Zimmer
Judith Hering B.A.
Mahmut Hänel
Veronika Gröttner
Heinz-Joachim Stiebitz
Patrick Pärtzelt-Henck
Erhardt Heidrich
Luis Oderwald
Edgar Rohleder-Fröhlich
Ing. Denny Mende
Henni Wagenknecht B.Sc.
Magda Geißler
Prof. Dietlind Ullrich B.Sc.
Ilja Hartung
Eleonora Gehringer
Hajo Thies
Univ.Prof. Anatoli Ritter
Karl-Peter Kramer
Francis Rohleder
Peter-Michael Spieß
Hildegunde Aumann
Raymond Römer
Maren Bachmann-Stumpf
Marlene Heuser-Trub
Faruk Schomber
Prof. Guenter Mosemann
Dr. Cäcilia Henk B.Eng.
Ing. Sebastian Killer B.A.
Univ.Prof. Immo Mangold
Virginia Gieß
Hanne Junk
Jolanta Nohlmans-Tschentscher
Wolf-Dieter Sölzer-Putz
Marion Wohlgemut B.A.
Susi Seifert
Hülya Scheibe
Friedericke Killer B.Eng.
Hanns Ehlert MBA.
Erol Röhrdanz
Univ.Prof. Olivia Gnatz MBA.
Ortrun Krebs
Sylvie Neuschäfer
Margareta Zirme
Nurettin Mans-Klemt
Carsten Jüttner B.Eng.
Peggy Haering B.Sc.
Ing. Alfred Söding
Dr. Aysel Kohl
Prof. Timo Schleich MBA.
Baldur Käster B.A.
Bruni Freudenberger
Univ.Prof. Virginia Pechel
Gilbert Steuer-Rosemann
Dipl.-Ing. Helmut Hauffer
Stella Barth
Univ.Prof. Waldemar Döring
Kata Atzler
Krista Junken-Hövel
Dorit Dowerg
Prof. Denis Segebahn MBA.
Ralph Rogge
Muharrem Rosemann-Heidrich
Marit Thanel B.Sc.
Dipl.-Ing. Margarete Schmidt
Robert Budig-Ullmann
Dr. Ehrhard Gieß B.Sc.
Erica Lachmann
Mattias Sorgatz-Haase
Siegrun Christoph
Dietlinde Söding
Univ.Prof. Ralf-Dieter Kabus MBA.
Bernd Blümel
Gerhild Löffler
Arnd Jacobi Jäckel
Frau Almuth Kostolzin B.A.
Zdravko Jacob
Vesna Döhn
Georg Misicher
Cecilia Killer
Dora Jockel
Kai-Uwe Schäfer
Karl-Georg Zahn
Rosa Gnatz
Ursel Conradi
Grete Peukert
Marianne Hecker
Benita Heser
Dr. Marianne Reising
Wulf Eberhardt
Bertha Rose
Prof. Folkert Ernst MBA.
Rosalia Pruschke
Univ.Prof. Annekatrin Neureuther B.A.
Christiane Blümel
Christin Hein B.Sc.
Dipl.-Ing. Arthur Ziegert
Ahmet Pärtzelt
Dipl.-Ing. Nathalie Bender
Immo Ring
Stilla Köhler
Univ.Prof. Marko Schmiedecke MBA.
Dr. Elly Junk
Dipl.-Ing. Friedhilde Hauffer B.A.
Robert Weimer
Ferdinand Junck-Hölzenbecher
Bodo Martin
Ing. Ahmet Häring
Eric Briemer
Hüseyin Hethur
Verena Davids
Herr Rigo Krebs B.Eng.
Abdul Klapp-Hethur
Ralf-Peter Schacht
Emmerich Wilmsen
Milka Scholl
Hans-Georg Anders
Aenne Beyer
Edit Rädel
Kreszenz Beier
Albin Budig
Hiltrud Bolander-Ziegert
René Gude B.A.
Dr. Timo Ernst
Lothar Beckmann
Hanspeter Juncken
Vadim Jacobi Jäckel
Ing. Louis Eckbauer B.Eng.
Wally Wähner
Sara Johann
Rolf-Peter Reising B.Sc.
Trudel Wagner
Fatima Weinhage-Boucsein
Anneli Butte
Babett Adler
Liliana Zorbach MBA.
Viktor Bauer
Hans-Joachim Pohl
Herr Oliver Pechel
Mariana Wirth
Tamara Bender MBA.
Ing. Birte Heidrich B.Eng.
Univ.Prof. Nikolaus Sölzer B.A.
Marlen Jacobi Jäckel B.Eng.
Prof. Romy Bohnbach
Klaus Peter Weller
Reimar Pohl
Vinko Reuter
Gesa Bender
Anne-Katrin Höfig
Prof. Sonia Blümel
Cemal Trapp
Klaus-D. Dippel MBA.
Josephine Rogge
Detlev Heintze
Maurizio Hartmann
Karl Heß
Frau Anne-Kathrin Wagner
Univ.Prof. Jaroslav Seifert B.Eng.
Marie-Luise Staude-Käster
James Nohlmans
Cindy Stahr
Henny Herrmann
Dr. Ottfried Lachmann B.Sc.
Insa Jacobi Jäckel
Laszlo Nerger MBA.
Betty Steinberg
Elisabeth Roskoth
Wera Hauffer B.A.
Alexandre Geisel
Mijo Karge-Löchel
Frau Julie Wieloch
Regina Wende
Sylvester Bender-Boucsein
Gerolf auch Schlauchin
Zlatko Ritter B.Eng.
Elif Wohlgemut
Vitali Junken
Cristina Salz B.Sc.
Traudel Loos
Günter Löwer
Marie-Luise Rogner
Marie-Theres Trupp
Ruth Barkholz-Koch II
Anastasia Gunpf
Recep Hecker
Gilbert Schottin
Abbas Täsche
Salih Eckbauer-Renner
Anatol Hübel
Mehdi Neureuther
Roy Schmidt B.Eng.
Prof. Marion Martin
Heino Lindau B.Eng.
Ingelore Heinz
Birgitta Beckmann-Thanel
Philipp Killer B.A.
Elena Gotthard
Prof. Mohammed Kambs
Hardy Wende B.Sc.
Sigrid Jockel
Johan Heydrich
Änne Wagner
Ilonka Buchholz-Köhler
Prof. Concetta Mies B.Eng.
Ilona Roskoth-Bolander
Heinz-Otto Hermighausen
Viviane Kensy
Vitus Pruschke B.A.
Anto Kobelt-Kobelt
Edmund Scholtz B.Sc.
Dr. Rosalinde Stolze B.Eng.
Univ.Prof. Sigurd Fischer B.Eng.
Gundolf Schomber-Hellwig
Reni Römer
Ernest Schönland B.Eng.
Krzysztof Mülichen
Franz-Peter Benthin-Reichmann
Prof. Maya Peukert
Hiltraud Klemm-Pärtzelt
Ing. Hans Peter Schenk B.A.
Dr. Gudula Scheuermann
Edit Kitzmann
Leo Gunpf-Bolzmann
Herr Hilmar Stumpf
Gertraude Salz-Gnatz
Heinz-Wilhelm Steuer-Mende
Jan-Peter Grein Groth
Stephen Trommler
Prof. Helmut Hellwig MBA.
Reinhold Striebitz
Dr. Trude Girschner
Emine Vollbrecht B.Eng.
Frau Annegrete Junk B.A.
Alexandra Butte
Thies Pergande
Rolf-Peter Staude
Svea Krebs-Scheibe
Therese Neureuther
Philip Renner
Dipl.-Ing. Apollonia Steuer
Univ.Prof. Elfriede Rohleder
Liane Hermann MBA.
Daniela Schweitzer
Artur Budig
Annaliese Lübs
Ing. Rotraud Schmidt
Herr Ansgar Gnatz
Dipl.-Ing. Alan Schacht B.Eng.
Frau Monique Löchel
Friedrich Austermühle-Döring
Cecilia Gertz
Ing. Helen Gumprich B.Sc.
Vinko Schönland B.Eng.
Wolf-Dieter Schmiedt
Käthi Lübs
Eva-Maria Mies MBA.
Antonie Ladeck
Bertram Eigenwillig
Sieghard Hahn
Philippe Wähner
Dr. Samuel Dobes B.Sc.
Univ.Prof. Sybilla Gehringer
Univ.Prof. Franca Ritter B.Eng.
Herr Valerij Heydrich
Frau Theodora Hettner B.A.
Artur Berger
Carolin Stumpf B.Eng.
Michail Pechel
Bernard Losekann
Wiebke Hölzenbecher
Hedda Haase
Heino Römer
Karl-Wilhelm Anders-Gude
Ariane Roskoth
Friedl Hölzenbecher-Eberth
Florentine Bärer B.A.
Ing. Wulf Atzler
Dr. Luciano Ortmann
Lili Birnbaum
Ing. Elsa Liebelt
Prof. Liliana Klemm MBA.
Annamaria Hänel-Zimmer
Hans-Henning Scheel
Ing. Jürgen Jopich B.A.
Dipl.-Ing. Henrike Hörle B.A.
Prof. Dorit Käster B.Sc.
Joanna Weinhold-Förster
Maren Drub
Danny Gumprich
Dipl.-Ing. Giuseppina Etzler B.Sc.
Dr. Evangelia Killer B.Sc.
Concetta Seifert
Eugen Schottin
Blanka Ladeck
Frau Dana Röhrdanz
Carina Bruder
Ing. Gregor Lindau
Maximilian Hellwig
Ing. Justina Fiebig
Sophie Pruschke
Krista Gertz B.Eng.
Prof. Sibel Mälzer MBA.
Gert Hölzenbecher B.Sc.
Prof. Bianka Reinhardt
Geza Weller
Univ.Prof. Heinz-Werner Renner B.A.
Jurij Zimmer
Eugenia Riehl
Ing. Friedhelm Löchel B.Eng.
Prof. Kaspar Mosemann
Prof. Marika Davids B.A.
Dajana Ruppert
Univ.Prof. Dorle Fröhlich
Anett Wieloch
Dr. Damian Scheel
Ing. Hellmuth Scholl
Aleksander Klapp-Sauer
Herr Falk Holzapfel
Susan Riehl B.Sc.
Gerta Beer
Hannah Stiffel-Börner
Janin Haase
Stavros Hövel B.Eng.
Ingetraud Caspar
Margareta Losekann
Nelly Schlosser
Detlev Wilmsen
Vito Davids-Schwital
Anton Müller
Univ.Prof. Antoinette Wende B.A.
Klaas Vogt
Frank-Michael Köhler
Ute Hartmann
Walentina Hesse
Herta Weitzel
Alois Römer-Becker
Prof. Marko Rohleder B.A.
Peter Rohleder
Elsa Sontag
Madlen Steinberg
René Kruschwitz
Dr. Gabriel Freudenberger MBA.
Ing. Selim Tintzmann B.A.
Uwe Dussen van
Kristiane Steckel
Karl-Josef Barth
Irmtrud Klingelhöfer
Eleni Mühle MBA.
Mia Paffrath-Ortmann
Reingard Jungfer
Camilla Kühnert MBA.
Elma Junken
Marlis Rogge B.Sc.
Isabelle Förster-Beyer
Anatoli Anders
Matteo Beyer B.A.
Siegrid Paffrath
Prof. Gerd Schenk
Silja Eberhardt-Boucsein
Dr. Halina Haase
Ivana Mielcarek
Univ.Prof. Baptist Mende MBA.
Elwira Pölitz B.Sc.
Ing. Wilhelmine Adler B.Sc.
Hans-Jürgen Klemm
Kreszenz Ruppert-Dobes
Inka Meyer
Pawel Peukert-Rörricht
Guntram Scholz MBA.
Herr Sylvester Jopich B.Eng.
Siegmund Heidrich
Ing. Catrin Dippel MBA.
Ing. Hüseyin Gutknecht B.Sc.
Andrej Geißler-Beckmann
Univ.Prof. Roger Stadelmann B.Sc.
Prof. Horst Mälzer B.Sc.
Frau Wendelin Heinrich B.Eng.
Gina Stolze
Wilhelm Metz
Egon Paffrath
Mandy Loos
Wieslaw Käster
Antonino Klingelhöfer
Ing. Cosimo Steinberg
Benjamin Lübs
Henriette Sager
Liesa Sauer
Frau Magarete Mans B.Sc.
Enrico Kobelt-Klemt
Herr Wieland Hartmann MBA.
Paulo Trommler
Isidor Niemeier
Ernst-Dieter Rörricht B.Eng.
Marika Zänker B.A.
Heinz-Otto Wende
Lina Hein-Gotthard
Prof. Sandra Klapp
Geraldine Gutknecht
Dr. Annelene Hamann
Ole Schmidtke
Frau Evamaria Geißler
Gertraud Jüttner
Gerold Thanel
George Weimer
Univ.Prof. Sebastian Sontag
Andrei Wulff
Dipl.-Ing. Rouven Kallert MBA.
Dominik Jungfer
Zdravko Staude B.Sc.
Dr. Muzaffer Sauer B.Eng.
Univ.Prof. Bela Kraus
Wojciech Rogner
Geza Beckmann
Erna Kensy-Bähr
Bruno Martin-Kaul
Dr. Tony Ditschlerin
Hans Jürgen Grein Groth-Rudolph
Rainer Gunpf B.Eng.
Lothar Birnbaum
Hedi Bärer
Rosalinde Killer
Korinna Söding
Antonina Wagner
Frederik Rust
Torben Schweitzer
Ing. Wladimir Karz MBA.
Dr. Ayse Martin MBA.
Frau Ingelore Gertz
Gloria Bruder B.A.
Hertha Gieß
Sieglinde Stahr
Joana Mielcarek B.A.
Annemie Herrmann
Veit Beckmann
Prof. Lutz Adolph
Ing. Hans Jürgen Häring
Univ.Prof. Inga Hermighausen B.Eng.
Alicia van der Dussen-Patberg
Raymond Löchel-Ziegert
Dr. Rudolf Killer B.Sc.
Stanislaus Davids MBA.
Francesco Nerger
Prof. Reimar Reinhardt MBA.
Marius Klotz
Olaf Wesack
Univ.Prof. Hinrich Eberth
Margrit Schenk B.A.
Evelin Stumpf
Bernward Losekann MBA.
Abbas Segebahn
Mohamed Stiebitz-Pärtzelt
Angela Weimer B.A.
Gunter Schenk B.Sc.
Falk Wagenknecht B.Eng.
Univ.Prof. Lisbeth Köhler
Jochen Säuberlich
Annekatrin Schleich
Manuel Krause MBA.
Philip Mangold
Dr. Alma Warmer MBA.
Mercedes Christoph
Luisa Barkholz
Frau Lisbeth Girschner MBA.
Jolanta Kühnert
Senta Weihmann
Hans-Adolf Mosemann B.A.
Madlen Geißler
Herr Yilmaz Vollbrecht B.Eng.
Emmi Adolph
Fred Wende
Frau Francesca Blümel
Stephan Warmer B.Eng.
Mariola Tlustek MBA.
Wladimir Karge
Juan Noack
Ingeborg Wesack
Jo Reising
Rainer Hänel
Melanie Jungfer-Preiß
Reiner Conradi
Salvatore Tlustek
Annelene Reuter B.A.
Univ.Prof. Irene Budig
Nikolai Mohaupt
Dipl.-Ing. Rüdiger Otto B.A.
Nicolaus Franke-Paffrath
Annemarie Seidel
Frau Jane Sauer
Karl-Dieter Süßebier
Dipl.-Ing. Christel Beer B.Eng.
Berndt Barkholz
Judith Gerlach
Klaus-Michael Hahn
Eveline Birnbaum
Hans-Christian Finke
Hans-Hinrich Trub
Wilfried Steinberg
Herta Hoffmann
Notburga Pölitz
Jerzy Wagenknecht B.A.
Herr Günther Krein MBA.
Dr. Burkard Bolzmann B.A.
Dusan Conradi-Rogner
Anne-Rose Klemm
Claus Butte
Gudula Stroh-Bien
Bertram Höfig B.Sc.
Beatrice Käster
Herr Edmund Hesse
Univ.Prof. Edelgard Naser B.A.
Sina Mende
Anne-Katrin Seip
Prof. Volkmar Wirth B.Eng.
Dipl.-Ing. Ryszard Buchholz
Sigurd Höfig B.Sc.
Jasmina Bolzmann-Hövel
Ing. Bianka Bärer MBA.
Hildegunde Stiebitz-Mude
Arno Lindner
Friedrich-Wilhelm Holsten
Rosemarie Schmiedecke
Adelinde Putz
Univ.Prof. Janos Rörricht MBA.
Jacob Bähr
Marietta Geißler
Raymond Ruppersberger
Wulf Thanel-Scheibe
Andrea Ziegert
Natali Patberg B.A.
Volkmar Mosemann
Eckehard Steckel
Julia Mosemann
Giuseppina Linke
Heinz-Willi Jockel
Annaliese Hettner B.A.
Marita Berger B.A.
Harry Lange
Heinz Dieter Barkholz
Dipl.-Ing. Cristina Vogt
Woldemar Bolzmann B.A.
Irmtraud Ladeck
Stavros Zirme
Marina Radisch
Helmtrud Neureuther
Dipl.-Ing. Patric Fröhlich
Lisbeth Karge
Belinda Reinhardt B.A.
Saban Eimer
Benita Ullmann
Peter Mitschke
Janos Ehlert
Ellinor Schmidtke B.Sc.
Lothar Ladeck
Sabrina Kohl
Gerta Kallert-auch Schlauchin
Dr. Gerda Butte MBA.
Karl-Ernst Drewes-Drubin
Hildegart Scheel B.A.
Erol Jäntsch
Gereon Weitzel
Maik Tintzmann B.Sc.
Monique Schleich-Kroker
Gisela Schwital-Scheel
Jonathan Mohaupt
Florentine Eimer
Univ.Prof. Amelie Gröttner B.Eng.
Trude Ruppersberger
Mahmoud Ditschlerin-Trüb
Stella Mülichen
Juan Schweitzer
Pamela Mies B.Eng.
Eitel Ernst
Ryszard Junitz
Ahmad Fechner-Wulff
Hans-Martin Bärer
Univ.Prof. Fredy Barth MBA.
Maria-Theresia Tschentscher
Felizitas Jungfer
Achim Mülichen-Schleich
Ing. Isabell Hartmann MBA.
Frau Alexandra Beckmann B.A.
Helmuth Langern-Steinberg
Justina Neureuther
Benita Holzapfel-Hecker
Ivanka Berger-Kraus
Anna-Lena Wohlgemut
Ilonka Wulf
Friedl Hartmann
Jonas Budig
Arzu Ullrich
Prof. Wolfram Binner B.Eng.
Gerwin Salz
Univ.Prof. Pamela Kambs MBA.
Hans Jörg Koch
Agnes Ullmann
Ing. Hanns Haase B.Eng.
Raphael Bonbach MBA.
Herta Keudel
Antonios Zimmer
Univ.Prof. Czeslaw Tröst
Tomislav Steckel
Cynthia Langern
Dr. Jonas Anders B.Sc.
Britt Gorlitz
Nikolaj Scholz
Gereon Trapp
Dipl.-Ing. Rabea Sorgatz MBA.
Patricia Trubin
Ing. Marie-Therese Seifert
Luka Binner
Ron Beer
Kriemhild Junk MBA.
Hans-Jörg Trupp-Säuberlich
Gunnar Hentschel
Alexandros Ernst
Halina Austermühle-Bender
Dana Jäntsch
Marta Eigenwillig-Hörle
Pia Fliegner
Francisco Wirth
Engelbert Carsten-Hiller
Prof. Manuela Schleich B.Sc.
Victor Butte
Arnulf Süßebier
Viola Sager
Brunhild Müller
Herr Baptist Klotz
Stilla Heuser
Dipl.-Ing. Gunar Kuhl
Dipl.-Ing. Sigrun Bärer
Marcella Höfig
Torben Roskoth-Wilmsen
Stephanie Kranz B.A.
Ing. Jaqueline Wende B.A.
Augusta Rosemann
Liesel Ziegert
Kay-Uwe Trommler
Rosa Tintzmann
Birthe Schüler
Hans-Hermann Haering
Ignatz Börner
Imke Gieß B.Sc.
Ing. Marcel Gute
Hilda Metz-Dehmel
Philipp Ernst
Gerda Stey
Prof. Klaus Peter Hellwig B.Sc.
Prof. Frithjof Binner
Ulla Hamann
Anne-Kathrin Ortmann
Catrin Caspar
Dogan Kranz
Hans D. Kusch B.Sc.
Ing. Hatice Gehringer
Änne Ring MBA.
Nathalie Lehmann
Janet Kade
Hertha Caspar MBA.
Urban Klemt
Karl-Heinrich Jacob
Simon Hahn
Prof. Wolf-Dietrich Schweitzer MBA.
Univ.Prof. Nadeshda Oestrovsky
Detlev Weihmann-Schäfer
Hans-H. Schönland
Dorle Killer
Berthold Austermühle MBA.
Paulina Bender-Liebelt
Ansgar Tlustek MBA.
Guiseppe Rust
Hans D. Haering
Paul-Gerhard Hein
Ing. Nadeschda Bohlander
Johann Liebelt MBA.
Centa Krebs-Stadelmann
Dipl.-Ing. Dajana Beer
Marian Hande
Frauke Dörschner
Joachim Fischer
Kristin Kabus
Ekaterina Conradi
Kunigunda Heser
Lilija Kensy
Prof. Norbert Wilms B.A.
Frau Gertraude Wesack B.Eng.
Dipl.-Ing. Jiri Walter
Herr Evangelos Schacht
Janus Weitzel-Koch
Konstanze Zänker MBA.
Univ.Prof. Dragan Thies MBA.
Marie-Theres Pechel
Ing. Eckart Becker B.Sc.
Dimitrios Fiebig
Klaus-D. Hövel
Richard Drub
Miroslav Krein
Liesbeth Schlosser
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Dipl.-Ing. Harm Ruppert MBA.
Prof. Sylvester Bender
Univ.Prof. Belinda Henck
Univ.Prof. Margitta Wagenknecht B.Eng.
Gesine Graf
Hanspeter Davids
Prof. Trude Schäfer MBA.
Hannchen Drewes B.Sc.
Ing. Gislinde Ernst B.A.
Karl-Hans Fiebig
Dipl.-Ing. Agatha Pruschke
Ivonne Lachmann
Dr. Gundolf Römer MBA.
Gundi Schwital
Geert Zänker
Ing. Elisabet Jopich B.Sc.
Margrit Förster
Freddy Nette-Hendriks
Anneliese Gnatz
Gaetano Söding
Norbert Niemeier
Dr. Erkan Stroh
Hajo Ziegert-Noack
Joachim Kramer
Auguste Pruschke
Klaus-Werner Jäkel-Holsten
Univ.Prof. Antonina Becker
Heinz-Josef Meister
Kenneth Köhler-Kaul
Maurice Hübel
Ricarda Steuer
Univ.Prof. Greta Trapp
Mira Rohleder
Hannes Patberg
Malte Davids
Prof. Alina Ziegert
Prof. Marius Herrmann
Ruth Hartung
Kira Eckbauer
Gabriel Kreusel
Frau Florence Ditschlerin B.Eng.
Lutz Mies-Hesse
Gislinde Wagenknecht
Giovanna Zobel-Liebelt
Karl-Wilhelm Rogner
Kay-Uwe Jähn-Schwital
Johan Baum
Anneliese Wähner
Natalja Löchel-Beckmann
Marcel Hermighausen
Anneli Neuschäfer
Kay-Uwe Dippel
Nadia Steckel
Jessika Schacht
Dipl.-Ing. Gudula Margraf B.Sc.
Xenia Christoph
Oskar Rosemann
Dorothea Finke
Reimer Kitzmann
Ing. Bernfried Haering
Wolf-Dieter Eigenwillig
Margaret Kraus
Harri Mans
Frau Margitta Staude
Ing. Siegrid Birnbaum
Ira Scholz-Pohl
Guenther Metz
Paolo Wernecke
Alexej Hornig-Radisch
Herr Bastian Hübel B.A.
Sergio Kraushaar-Anders
Frau Ilka Pärtzelt B.Eng.
Valerie Kallert B.A.
Anja Meyer B.A.
Else Heß MBA.
Annelore Juncken
Nora Dehmel B.Eng.
Dipl.-Ing. Theda Weinhold B.Eng.
Laurenz Ritter
Hedda Schönland
Lisette Mühle
Ing. Kunigunde Wieloch
Marcella Ehlert
Ing. Kay-Uwe Flantz
Dipl.-Ing. Angelique Ortmann
