Student
Uli Renner
Heribert Ring B.A.
Gundula Ruppersberger
Hans-Henning Heydrich MBA.
Frau Katarina Lindner
Jörg-Peter Klemt MBA.
Rolf-Dieter Preiß
Rolf-Dieter Jacobi Jäckel-Nerger
Alla Rohleder
Ing. August Hellwig B.Eng.
Heiko Metz
Ismail Geisler
Ria Walter
Marianna Segebahn-Wernecke
Kunigunde Ziegert
Dipl.-Ing. Petar Wohlgemut
Lidwina Karz MBA.
Marit Söding
Herr Torsten Hermighausen B.Sc.
Heinz-Joachim Stiebitz
Karl-Otto Putz
Evangelia Stumpf-Ruppersberger
Viktor Bauer
Dr. Wanda Dippel
Kurt Thanel
Heinz-Otto Hermighausen
Anke Hettner
Notburga Weller MBA.
Larissa Ullmann
Irmengard Rudolph
Zenon Hahn MBA.
Agnes Vollbrecht
Dipl.-Ing. Pero Ruppersberger B.Sc.
Karl-Dieter Süßebier
Cecilia Scholz-Barth
Siegbert Seifert
Klaus-Dieter Meister
Magdalena Warmer MBA.
Helge Finke-Wähner
Dipl.-Ing. Ekrem Thanel
Ercan Kühnert
Curt Jopich
Gislinde Schlosser
John Gunpf B.Sc.
Liesbeth Schlosser
Dipl.-Ing. Ante Rust
Vesna Bähr
Philippe Wähner
Hans-Bernd Zobel
Janko Rose
Louis Loos B.Eng.
Edeltrud Margraf
Falk Ritter
Ilse Henschel
Lotte Kusch
Prof. Anica Haering B.A.
Ing. Gottfried Hoffmann
Milos Wiek
Frau Margitta Staude
Amalie Gotthard
Prof. Branko Weller MBA.
Ing. Nicolai Textor B.A.
Inge Dehmel
Adriane Stroh
Dipl.-Ing. Edda Barth MBA.
Dr. Heinz-Georg Aumann MBA.
Korinna Spieß MBA.
Willibald Boucsein B.Sc.
Louis Geisel
Fernando Tschentscher-Schacht
Tina Radisch
Silva Plath
Prof. Patrik Scheel
Fatma Hein
Gotthold Krause
Rosa-Maria Losekann-Schulz
Luis Jacob
Herr Dursun Hentschel B.Eng.
Ljiljana Stoll
Klaudia Reuter B.A.
Valerij Barth
Rocco Rosemann B.A.
Eckart Cichorius
Berthold Jäntsch-Jessel
Ing. Alfred Söding
Dipl.-Ing. Friedhilde Hauffer B.A.
Sigismund Junitz
Elias Gierschner
Marlies Seifert-Roht
Gönül Barth-Zobel
Prof. Mario Butte
Milica Huhn
Karlfried Müller
Prof. Urs Täsche
Rose Beer
Olivia Nerger B.Eng.
Liliana Gehringer
Ekkehart Kreusel
Prof. Torsten Geisel B.Sc.
Utz Christoph-Henck
Gino Häring
Ing. Nelli Hornig
Faruk Schomber
Branka Speer B.A.
Artur Briemer
Wiltrud Geißler
Fernando Schüler
Ludmila Stadelmann
Angelina Ruppert-Siering
Harri Heuser
Lena Holzapfel
Birger Klapp
Claus Heser B.Sc.
Karl-Wilhelm Geisel
Patrizia Biggen
Dominic Martin
Siegbert Henschel
Kordula Drub B.Sc.
Felicia Ritter
Stefanie Dippel
Emilia Scheel
Jakob Pohl
Luise Gertz-Fliegner
Belinda Reinhardt B.A.
Monja Weiß
Ernst-Otto Heß-Hartmann
Univ.Prof. Kevin Juncken B.Eng.
Ole Schmidtke
Urban Peukert
Antonietta Barth
Antje Drub
Kathi Häring
Karl-Peter Häring-Kruschwitz
Melissa Gehringer
Prof. Monica Beer MBA.
Carmine Hauffer
Emmy Bohnbach
Rouven Bloch B.A.
Burghard Wohlgemut
Jiri Förster
Stephen Kensy
Hertha Gieß
Nancy Hartmann-Schottin
Ilija Höfig
Hans-Otto Trubin B.Eng.
Erika Pruschke
Geert Rudolph
Carina Hövel
Juliane Mentzel-Ziegert
Hans-Bernd Rose
Eckard Textor
Ing. Kay-Uwe Flantz
Lars Kallert
Roswita Döhn
Berend Gertz B.Eng.
Liane Gröttner
