Student
André Segebahn
Prof. Georgia Zirme MBA.
Univ.Prof. Petra Scheel
Birgitt Seip-Klemm
Jurij Zahn B.Sc.
Dipl.-Ing. Milos Klemt
Harry Lange
Fredy Hiller
Irmgard Liebelt
Gabor Pechel-Junken
Frau Korinna Kranz
Ing. Marvin Renner MBA.
Mandy Loos
Carolin Etzler
Susanna Beyer B.Eng.
Dierk Beier
Hanns Stiffel
Prof. Kunigunda Pergande MBA.
Hans D. Schenk
Gerolf Döring-Buchholz
Tony Henk MBA.
Adolfine Fischer
Dr. Alois Kraushaar B.Sc.
Univ.Prof. Marcella Trüb
Ing. Sina Johann MBA.
Wally Fliegner
Annemarie Wieloch
Leonore Jäkel
Thorsten Adler B.Sc.
Raimund Hande
Wilma Matthäi
Peer Bärer
Meral Reinhardt
Hilma Kuhl
Hubertine Jäkel
Marian Hande
Mina auch Schlauchin
Günther Bähr
Heinz-Georg Rosemann-Bohnbach
Univ.Prof. Conny Wagner MBA.
Dipl.-Ing. Nuray Mude B.Sc.
Michaela Loos-Mentzel
Carl-Heinz Kraus
Filippo Jäntsch
Oliver Bien
Lilli Atzler
Leopold Rörricht
Gertrude Kostolzin MBA.
Theresia Henck
Marlene Drubin
Marion Wohlgemut B.A.
Dipl.-Ing. Willibert Süßebier
Tina Radisch
Adalbert Boucsein
Sofie Fiebig-Hermighausen
Dr. Lina Hiller
Änne Möchlichen
Dipl.-Ing. Jens-Peter Dippel MBA.
Paul Hettner
Frau Evamaria Geißler
Lidia Butte
Mira Bender
Moritz Schönland
Wanda Becker
Dipl.-Ing. Bernward Putz B.Eng.
Hajo Ziegert-Noack
Kati Koch II
Univ.Prof. Franz-Xaver Girschner B.Sc.
Dominic Gunpf MBA.
Katharine Renner
Irmi Zobel
Gretchen Eimer-Wilmsen
Anne-Rose Krause
Deborah Becker
Pasquale Karge
Dr. Semra Schulz
Gisa Mohaupt
Kira Tschentscher MBA.
Kristin Niemeier
Annika Wirth
Ing. Willfried Kostolzin
Enrico Reising MBA.
Faruk Schomber
Hanni Scholz-Weitzel
Hans-Willi Kruschwitz B.Sc.
Dr. Lidia Flantz B.Sc.
Kreszentia Bloch-Kohl
Justina Zirme
Adam Seifert
Othmar Weinhage MBA.
Dipl.-Ing. Claas Ladeck
Ing. Helmtrud Dussen van
Ronald Rädel
Valeria Bonbach
Ralph Rogge
Oscar Fritsch
Univ.Prof. Emine Vogt B.Sc.
Kläre Beier B.A.
Angelica Lindau-Heß
Alban Dippel
Madeleine Henk
Univ.Prof. Arno Kramer B.Eng.
Olav Margraf
Ljudmila Krebs
Univ.Prof. Francesco Schulz B.Eng.
Leonardo Lehmann
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Meta Wagenknecht
Heinz-Georg Hornich
Angelique Wesack B.Eng.
Sylvia Schenk
Erhardt Steinberg
Dr. Constance Römer
Dr. Ljiljana Henck MBA.
Klaus-Dieter Knappe
Univ.Prof. Simona Holzapfel MBA.
Prof. Katalin Heinrich
Ing. Gerold Mende
Ludwina Hölzenbecher
Wally Krein-Bien
Johan Buchholz
Ing. Paolo Meister
Ing. Henrike Kramer
Janett Zorbach
Hermann-Josef Zimmer
Danilo Hein-Scheibe
Felix Müller
Jennifer Berger
Tina Henschel
Hertha Caspar MBA.
Ramona Römer
Henry Schüler B.Eng.
Jonas Löchel
Meral Eberhardt B.A.
