Student
James Kostolzin-Haase
Verena Gute-Trüb
Vadim Bender B.A.
Nora Dehmel B.Eng.
Ludmila Patberg
Gabor Pechel-Junken
Hans-Rainer Rogner
Frau Annett Tlustek B.Eng.
Helmuth Jäntsch
David Faust-Holsten
Ing. Justina Fiebig
Ruth Mangold B.Sc.
Egbert Heintze
Gerti Trupp-Dowerg
Annerose Eckbauer
Dr. Marian Rust
Ing. Konstanze Schmidtke MBA.
Angelina Dörschner-Reichmann
Suse Hornich
Univ.Prof. Anika Pärtzelt MBA.
Francoise Vollbrecht B.Sc.
Eckhard Weitzel
Almuth Pieper
Bogdan Steckel B.Eng.
Enrico Hornig
Sylke Binner B.A.
Prof. Karl-Ernst Möchlichen
Regina Hamann B.Sc.
Ing. Alberto Schlosser
Maja Fischer B.A.
Bernhardine Bender MBA.
Wenzel Ebert
Meryem Graf-Lange
Günter Schottin
Nils Hermighausen
Kornelius Winkler
Prof. Rosa Kruschwitz B.Sc.
Jörg-Peter Dowerg
Albrecht Caspar
Bogdan Römer B.Eng.
Frau Monique Löchel
Dietlind Albers
Gönül Kallert
Annika Lindner
Manuel Schenk
Herr Thorsten Hartmann B.Eng.
Jorge Weitzel
Herr Jörgen Kruschwitz
Ing. Boris Junck MBA.
Elfi Wesack
Marianna Segebahn-Wernecke
Univ.Prof. Jörg Jessel MBA.
Urban Klemt
Marion Kuhl
Rotraut Ullrich
Claus Jähn B.Eng.
Prof. Arnold Caspar B.A.
Jenny Scholtz
Ing. Nikolai Niemeier B.A.
Luciano Biggen
Tomasz Bolnbach
Aline Steinberg-Klingelhöfer
Kriemhild Warmer
Herr Falk Holzapfel
Dipl.-Ing. Svea Neureuther
Adam Krein-Karge
Heinz-Wilhelm Steuer-Mende
Univ.Prof. Mira Heser B.Sc.
Matthäus Eckbauer
Heide Schottin
Dr. Helge Täsche MBA.
Ekaterina Schmiedecke
Anne-Kathrin Ortmann
Helmuth Wagner
Prof. Marijan Hoffmann
Fabian Lübs
Rebecca Börner
Bert Ortmann
Gina Stumpf
Hendrik Bolzmann-Henschel
Gordana Hertrampf-Speer
Friedrich-Wilhelm Stahr-Henck
Andrew Schlosser
Karl-Friedrich Kitzmann
Ignatz Budig
Ulrich Segebahn
Prof. Trude Schäfer MBA.
Alicja Pergande
Reinhilde Hesse B.Sc.
Margaretha Kohl B.Sc.
Mona Wiek B.Eng.
Semra Gorlitz
Herr Gordon Weihmann B.Eng.
Univ.Prof. Lisbeth Köhler
Heide-Marie Heß B.A.
Gloria Lachmann MBA.
Gebhard Eberth B.Eng.
Justus Aumann
Damian Bauer
Karl-Heinrich Sölzer
Frau Beatrix Bonbach B.A.
Edgar Rohleder-Fröhlich
Jörn Hörle B.Sc.
Univ.Prof. Reinhilde Cichorius B.A.
Cornelius Scheuermann
Gotthold Krause
Anna Linke
Egbert Jüttner
René Ullrich
Ehrhard Förster
Ing. Carla Ziegert B.Eng.
Alan Eigenwillig
Magdalene Patberg-Mosemann
Jost Gröttner-Mülichen
Torsten Trapp B.A.
Ole Schmidtke
José Tschentscher-Textor
Sinaida Adolph
Frau Eugenia Matthäi
Prof. Wolf-Dietrich Schweitzer MBA.
William Zirme
Witold Wulf
Tülay Trapp
Resi Margraf
Dorle Schmidtke MBA.
Lars Ullrich
Frau Annita Beckmann
Ing. Roy Dippel B.A.
Zofia Gumprich
Ing. Ivonne Nerger
Hertha Stoll
Silvio Weimer
Dr. Zeki Eberth
Lorenz Schüler B.A.
Wilfried Radisch
Diethelm Hübel MBA.
Marvin Kabus B.A.
Franz Ortmann B.Eng.
Hansjörg Roht
Ing. Gabriela Dippel MBA.
Marisa Wagenknecht
Heinz-Georg Hornich
Prof. Alma Gumprich
Karl-Dieter Seifert
Aenne Kraus
René Ehlert
Silvia Henschel
Prof. Achim Rose
Tibor Budig
Prof. Ludger Kohl MBA.
Michelle Kitzmann
Jan Döring B.A.
Jacob Süßebier
Ria Stroh
Emanuel Scholz B.Eng.
Karl-Otto Putz
Frau Krista Rädel B.Sc.
Wolfhard Ziegert
Liliane Steuer
Marco Conradi
Dr. Mohamed Kroker B.Eng.
Teresa Ladeck-Rädel
Lore Tröst
Philip Fritsch
Judith Meyer
Mareile Birnbaum
Cindy Meyer
Ing. Carolin Faust B.A.
Detlev Weihmann-Schäfer
Jeannine Gieß
Prof. Patrik Scheel
Kunigunda Hamann-Hermighausen
Centa Bohlander-Stiebitz
Natali Löffler
Hans-Willi Baum-Staude
Jutta Aumann
Philip Mangold
Ramona Henk B.Sc.
Ing. Mariechen Nerger B.Eng.
Anneke Jähn
Rainer Conradi
Wilhelm Tlustek
Janette Kallert
Albin Schuchhardt
Kasimir Lindau
Dipl.-Ing. Christoph Schulz B.Sc.
Margareta Losekann
Jost Lindau
Monja Riehl
Karlfried Müller
Ing. Aziz Hein
Herr Thorben Jacob
Enrico Drewes
Prof. Siegbert Scheuermann B.A.
Kirsten Stey B.A.
Helmtrud Atzler
Dr. Hildegund Gnatz B.Eng.
Tabea Rogge
Annekatrin Wende
Ottilie Blümel
Rolf-Dieter Kensy
Carola Kusch
Rosa Hübel
Camilla Kühnert MBA.
Hagen Girschner
Bernhard Becker
Lorenz Kohl
Luzie Schäfer
Dr. Ruth Dobes
Ismail Steinberg
Silva Hiller MBA.
Deborah Becker
Univ.Prof. Michail Tintzmann B.Eng.
Eva-Marie Berger MBA.
Felicitas Biggen
Herr Ronald Reising B.Sc.
Horst-Peter Riehl
Angelina Noack-Wagenknecht
Sören Pechel
Ing. Hans Jürgen Häring
Univ.Prof. Hardy Hartung
Dr. Helma Kohl B.A.
Christiane Blümel
Hildegard Roht B.Sc.
Hans-Günther Eimer
Dolores Conradi
Gerhart Beier
Prof. Kunigunda Pergande MBA.
Eleni Franke
Justus Lorch
Ing. Swen Sorgatz B.Eng.
Hermann Josef Börner
Kordula Dobes-Buchholz
Gundel Dietz
Alla Weihmann
Dr. Dora Fischer
Hanife Thies
Tony Hecker
Marleen Austermühle-Tintzmann
Flora Mühle B.Sc.
Adelbert Austermühle
Falko Kusch B.A.
Dipl.-Ing. Cristina Vogt
Ivonne Hahn
Carla Ruppersberger
Abbas Täsche
Dr. Ferdinand Pölitz
Madeleine Thanel MBA.
Raymund Thanel
Prof. Klaus Peter Bruder
Pius Römer MBA.
Yasmin Reising
Silke Heydrich-Albers
Ing. Marlene Wirth B.Sc.
Dr. Halina Haase
Krystyna Holsten B.A.
Cläre Mohaupt
Greta Hermighausen
Bertha Heser MBA.
Hartmuth Koch II
Fredy Ring
Frau Bianka Henk B.Sc.
Zdenka Heser
Herr Jonathan Beckmann B.A.
Marta Eigenwillig-Hörle
Svea Krebs-Scheibe
Ana Heinz B.A.
Frau Änne Gunpf B.Sc.
Alena Seip
Heinz-Dieter Caspar-Hande
Herr Klaus Peter Krause B.A.
Prof. Janin Dietz
Dr. Miguel Jungfer
Eva-Maria Eberth B.A.
Betty Steinberg
Univ.Prof. Franca Ritter B.Eng.
Linda Ziegert-Junken
Hartmuth Eberhardt
Gerta Hartmann
Heino Zahn-Bähr
Sieghard Sorgatz
Carmine Schacht
Sebastian Warmer
Lissy Dippel
Frederik Bohlander
Bekir Bonbach
Herr Leonid Fröhlich B.Eng.
Valentin Rädel
Ing. Therese Rust
Marleen Heser
Ronald Hofmann
Maurizio Hartmann
Siegrun Schomber
Zdravko Müller-Fritsch
Erol Kreusel B.Sc.
Univ.Prof. Arne Hoffmann
Dr. Jurij Nohlmans B.A.
Hans-Karl Bauer B.Eng.
Dr. Antonia Schomber B.Sc.
Prof. Balthasar Hecker B.Eng.
Hans-Bernd Trubin-Klemt
Margot Ullmann
Monja Siering
Hertha Gieß
Kasimir Albers-Stiebitz
Enrico Hellwig
Guiseppe Tschentscher
Prof. Svea Putz MBA.
Filippo Jäntsch
Hans-Bernd Zobel
Dr. Irmgard Plath B.A.
Reingard Jungfer
Madeleine Hermann B.Sc.
Wally Anders B.Eng.
Ing. Magda Jäntsch
Wolfhard Fiebig
Marlene Steckel B.A.
Herr Steven Eberhardt
Edeltraut Anders-Rohleder
Anka Rohleder
Victor Häring
Hanns Zänker B.A.
Annamaria Hesse
Frau Evelin Löffler
Faruk Hoffmann
Frau Anna Mangold B.A.
Dr. Valeri Sölzer B.Sc.
Vassilios Birnbaum
Ljudmila Nerger
Hans Peter Beckmann
Friedemann Kostolzin
Jiri Bärer
Eckehard Wernecke
Gretchen Eimer-Wilmsen
Ing. Elisabet Jopich B.Sc.
Hassan Sager
Bruno Siering MBA.
Danilo Hartmann
Agata Hertrampf
Irmgard Täsche B.A.
Bogdan Zirme
Marvin Kade-Ladeck
Rosalinde Killer
Dr. Adriane Bärer B.Eng.
Maik Schottin
Gunter Grein Groth B.Eng.
Frau Nuray Mangold MBA.
Sybilla Striebitz
