Student
Constance Drubin
Herr Francis Scholtz
Gertraud Mende
Nikolaos Ebert-Grein Groth
Annelise Schwital
Wendelin Pärtzelt
Arif Killer
Maurice Hübel
Janusz Trub-Mühle
Klaas Vogt
Margrit Förster
Elisa Steinberg
Imre Mülichen
Jonathan Schottin-Naser
Konstantin Eimer-Lehmann
Dörte Dobes-Bonbach
Brit Lindner
Emma Trub-Scheuermann
Madeleine Hartung
Vincenzo Lübs
Irmtraud Ladeck
Siegbert Bachmann-Hövel
Ulrich Segebahn
Rigo Conradi
Univ.Prof. Hans-Rudolf Wohlgemut
Dr. Bastian Christoph MBA.
Johanne Kusch
Gerhardt Barkholz B.Eng.
Alwine Wirth-Klemm
Dr. Aldo Fritsch
Prof. Mahmut Barth B.A.
Zlatko Lehmann
Gloria Mosemann
Eckhard Sölzer
Dipl.-Ing. Hans-Erich Klemm
Viviane Fritsch-Martin
Philipp Ernst
Karen Grein Groth-Dörschner
Frau Xenia Blümel
Dr. Elmar Junk
Franka Weinhold
Herr Dimitri Mohaupt B.A.
Bettina Schlosser
Constantin Beckmann
Tony Henk MBA.
Dörte Nette
Drago Täsche
Vitali Faust B.Eng.
Hans-Christian Finke
Ing. Willi Warmer B.Eng.
Carolina Ditschlerin
Karl-Georg Römer B.A.
Clara Mans
Janina Faust MBA.
Frau Dorothe Mielcarek
Mirja Bähr
Helen Tschentscher
Dipl.-Ing. Iris Stumpf MBA.
Gundi Tlustek
Christina Geisel-Hesse
Fabian Lübs
Bekir Gumprich-Kabus
Hans-Helmut Binner B.Sc.
Dorota Sorgatz B.A.
Murat Förster
Ing. Mike Stolze
Rose-Marie Schüler
Vassilios Trommler-Gieß
Zenta Gertz B.A.
Olivia Mies
Dierk Dörr
Pia Steuer
Gino Hövel B.Sc.
Frau Ayten Pärtzelt MBA.
Steven Eimer
Helene Ullrich
Ing. Fredi Löffler
Ing. Vitali Hentschel MBA.
Ingetraud Caspar
Frau Renate Geisler
Ellen Gutknecht
Trudel Wagner
Ilonka Rose
Willibald Ziegert-Siering
Dorina Dowerg
Birthe Trommler
Wencke Riehl-Stoll
Gabriella Rädel
Univ.Prof. Maria-Luise Trüb B.Sc.
Marina Radisch
Slavica Ernst-Schmidtke
Karsten Kraushaar B.A.
John Roskoth-Rädel
Herr Urban Christoph
Pascal Freudenberger
Maria-Theresia Scholl
Dierk Steinberg
Anton Gute
Mandy Scholl-Bohnbach
Gerold Jacob
Rebecca Börner
Katy Täsche
Dr. Annedore Wulff B.Sc.
Harm Nette
Dr. Lidwina Oestrovsky
Florian Finke
Margarete Kabus
Karl-Dieter Süßebier
Ing. Gotthard Reuter B.A.
Lothar Birnbaum
Ilija Lindner
Czeslaw Jäkel-Röhrdanz
Anatol Hübel
Ingelore Heinz
Hellmut Hein-Gnatz
Univ.Prof. Henry Wohlgemut B.Eng.
Ing. Margarete auch Schlauchin MBA.
Klaus-D. Dippel MBA.
Diethard Trommler
Frau Hildegart Etzler B.A.
Diana Jessel-Geißler
Hartmuth Koch II
Wolf-Rüdiger Börner
Dipl.-Ing. Burckhard Jäntsch
Corinna Täsche B.A.
Raissa Gehringer-Putz
Katerina Drubin
Thomas Kraushaar
Greta Hermighausen
Kilian Austermühle B.A.
Thea Nette
Justus Schleich-Drewes
Harro Gunpf
Ing. Rotraud Schmidt
Ing. Ahmet Häring
Carmelo Weinhold
Herr Valerij Heydrich
Marion Drewes
Zeljko Gieß
Erdmute Mosemann
Anne-Katrin Butte MBA.
Ekkehart Niemeier
Dierk Beier
Herma Möchlichen
Alois Jungfer B.Eng.
Emilie Bolander
Kay-Uwe Barkholz
Dr. Walburga Kobelt B.Eng.
Augustin Carsten
Steven Weinhold B.A.
Siegrid Misicher
Miodrag Fliegner B.A.
Prof. Sibel Wohlgemut B.Sc.
Olga Albers B.Sc.
Elfi Harloff
Telse Rudolph
Dorina Weinhold
Karl-Peter Hofmann B.A.
Ing. Meik Eberhardt B.A.
Aenne Sölzer B.A.
Günter Schottin
Gülay Weinhold
Helene Kuhl-Austermühle
Dipl.-Ing. Stefano Ditschlerin
Lisette Mühle
Astrid Dowerg-Stroh
Victor Seifert
Bozena Schuchhardt
Stephen Tintzmann
Geert Schuchhardt
Annelie Metz
Prof. Marijan Hoffmann
Univ.Prof. Vesna Hering
Frank-Peter Weimer
Marianna Hofmann
Prof. Karl-Hermann Pieper B.Eng.
Marion Weihmann
Isabell Eberth-Pechel
Auguste Pruschke
Agathe Trommler
Klaus Lorch-Graf
Herr Hendrik Fritsch B.Eng.
Ing. Zlatko Gerlach
Herr Vinzenz Jäntsch B.A.
Niko Bähr B.Sc.
Tino Gnatz
Athanasios Jacobi Jäckel
Helge Finke-Wähner
Dogan Rogge
Gerti Döring
Guido Junck
Herr Julian Gotthard B.Eng.
Manuel Hering-Jäntsch
Florentine Bärer B.A.
Egbert Heintze
Annaliese Gute
Univ.Prof. Jann Schleich
Henny Wulff
Herr Ronald Reising B.Sc.
Liliana Zorbach MBA.
Ignatz Börner
Frithjof Mielcarek MBA.
Dr. Agathe Jähn B.A.
Irmgard Hövel
Anto Kobelt-Kobelt
Annamaria Baum MBA.
Fatma Seidel B.A.
Milos Kuhl B.Sc.
Anneliese Wähner
Catharina Jacob
Dipl.-Ing. Mariechen Bonbach
Meta Eigenwillig
Dipl.-Ing. Georgine Adolph B.Eng.
Gertraut Koch II
Heinz-Willi Jockel
Eitel Ernst
Jana Drubin-Heß
Dr. Gundolf Römer MBA.
Dittmar Hövel
Annemie Herrmann
Lotte Kitzmann B.A.
Sara Rogge
Matthias Dowerg
Bekir Bonbach
Pawel Peukert-Rörricht
Uli Schönland-Trupp
Heinz-Otto Hermighausen
Jorge Weitzel
Carla Ruppersberger
Ing. Alla Schottin B.A.
Engelbert Sauer MBA.
Frau Stefani Hendriks B.A.
Nuran Schottin B.Eng.
Marie Hoffmann B.Sc.
Hans-Eberhard Lübs
Bernhardine Pechel
Dagobert Rogge
Lambert Misicher-Dörschner
Elenore Hofmann-Aumann
Emilia Scheel
Bianka Dobes-Seifert
Annegrete Pohl-Sölzer
Frau Herlinde Kade B.A.
Hanne-Lore Losekann B.Sc.
Edmund Caspar B.Sc.
Elias Hethur
Herta Keudel
Albert Hartmann-Lachmann
Anette Anders
Bert Ortmann
Dr. Daniela Linke MBA.
Gerda Eberhardt B.Sc.
Kathi Hering
Ing. Felicia Dörschner B.Sc.
Heimo Gorlitz B.A.
Irmtraut Ortmann MBA.
Dr. Diedrich Krebs B.A.
Dr. Luisa Anders B.A.
Univ.Prof. Virginia Pechel
Ekaterina Schmiedecke
Henner Schweitzer
Ing. Kay-Uwe Flantz
Anthony Heintze
Ing. Ayse Mangold MBA.
Gregor Loos-Gehringer
Herr Vincenzo Liebelt
Janet Ullrich
Cord Mende B.Eng.
Frau Dora Rosemann B.A.
Prof. Ursula Eigenwillig
Mikhail Bauer
Carsten Wieloch-Kranz
Dipl.-Ing. Mariana Mohaupt B.Sc.
Univ.Prof. Valeria Putz
Siegrid Bachmann-Schaaf
Claire Holt
Sarina Dörr
Hildegunde Wende-Spieß
Frau Siegried Margraf B.Sc.
Waltraut Gehringer
Heiderose Lange-Schüler
Dariusz Rädel
Teresa Schönland
Gert Nette
Friedrich-Karl Eberth
Edmund Schmidt-Fliegner
Univ.Prof. Edmund Mentzel B.Eng.
Florian Weimer
Serge Grein Groth
Kemal Butte-Tintzmann
Brunhild Karge B.A.
Aloys Ruppert
Cornelia Römer
Univ.Prof. Kirstin Killer B.Eng.
Siegmund Heidrich
Dr. Heide Jockel B.Sc.
Heimo Karge-Freudenberger
Kerstin Heidrich B.A.
Dr. Frederik Dobes MBA.
Lilli Meyer-Reuter
Dipl.-Ing. Gudula Margraf B.Sc.
Enrico Kobelt-Klemt
Maximilian Hellwig
Angelique Adler
Sebastian Vogt
Herr Steven Eberhardt
Dusan Dussen van
Liliane Steuer
Nils Hering-Loos
Gundula Klotz
Wulf Fiebig B.A.
Roswita Henck
Herr Hans-Detlef Grein Groth
Univ.Prof. Gesa Loos
Edmund Siering
Oliver Bien
Ursel Conradi
Prof. Mandy Heuser MBA.
Ing. Carin Zorbach MBA.
Samir Wähner-Butte
Univ.Prof. Oscar Lindau MBA.
Dr. Jens-Uwe Ruppert
Maren Anders
Alan Eigenwillig
Pius Röhrdanz
Theresa Caspar
Franz-Xaver Scholtz
Anni Seidel B.Eng.
Paul Hettner
Cemil Schweitzer
Ljudmila Nerger
Sofia Heinrich
Monika Haering
Univ.Prof. Anika Jockel MBA.
Meinhard Schuster
Dr. Senol Beier MBA.
Zita Klemt
Kunigunde Ziegert
Hans-Karl Bauer B.Eng.
Frau Rosemarie Stiffel
Uta Karz
Dr. Constance Römer
Andrea Hamann
Mara Roht
Patricia Schäfer
Ing. Dietlind Gieß
Wally Kreusel
Wilhelm Metz
Hilmar Hörle
Raymund Thanel
Ing. Justina Beckmann
Ing. Loni Gnatz MBA.
Herr Juri Kitzmann
Ignaz Stoll
Dr. Uli Segebahn
Irmi Gute
Magdalene Patberg-Mosemann
Univ.Prof. Ilka Jäntsch B.A.
Dr. Harald Ritter
Detlev Wilmsen
Edeltraud Bärer
Dr. Aysel Kohl
Dr. Wolf-Rüdiger Trüb
Univ.Prof. Nurten Neuschäfer MBA.
Rolf-Dieter Preiß
Sylvie Neuschäfer
Prof. Gundula Dörr B.Sc.
Mahmoud Ditschlerin-Trüb
Dipl.-Ing. Pero Ruppersberger B.Sc.
Dr. Heiderose Kallert B.Eng.
Ing. Amalia Walter
Hilmar Faust
Ernestine Tröst
Stjepan Schmidtke
Ing. Carolin Anders
Univ.Prof. Alexa Junitz B.Eng.
Bertram Segebahn
Gaetano Lübs
Klaus-Werner Bohlander
Mato Patberg-Heintze
Heinz-Joachim Trüb B.Sc.
Ismail Steinberg
Helmuth Jäntsch
Kathy Kitzmann
Vincenzo Jopich
Wolf Stadelmann
Daniela Weimer
Inge Kabus
Helmtrud Atzler
Arndt Wernecke-Gertz
Philipp Walter-Löffler
Birte Jüttner
Dr. Michel Pruschke B.Eng.
Friedlinde Warmer
Miroslawa Haase
Emilia Wagenknecht-Riehl
Friedericke Killer B.Eng.
Jessica Gotthard
Gilda Rohleder
Wolf Martin
Andrey Lorch
Mona Thies
Mirjam Stumpf
Siegmund Hövel
Karolina Hartmann
Krzysztof Mülichen
Dusan Zahn B.A.
Dolores Conradi
Prof. Natalia Junck B.Sc.
Prof. Gertraude Mangold B.Eng.
Guiseppe Rust
Prof. Alma Gumprich
Simon Meyer
Prof. Reza Ebert B.Eng.
Berndt Grein Groth B.Sc.
Diane Butte-Schleich
Marisa Hartmann-Kusch
Geert Rudolph
Luka Binner
Ing. Marcel Gute
Kristiane Zahn
Niko Geißler-Wirth
Alma Rörricht
Liane Hermann MBA.
Herr Arnulf Kohl
Dietrich Adolph MBA.
Prof. Ursula Niemeier B.Eng.
Christl Pölitz
Alois Werner
Jasmina Bolzmann
Hildegard Roht B.Sc.
Rahel Kreusel
Univ.Prof. Ioannis Lübs B.Eng.
Ditmar Briemer
Mary Reuter B.Sc.
Francoise Rust
Herr Mirko Häring B.Sc.
Prof. Diether Neureuther
Hildegart Weitzel
Bayram Cichorius-Zobel
Ing. Chantal Schleich B.Eng.
Branka Hering
Nelly Buchholz
Giesela Börner B.Eng.
