Student
Felix Hölzenbecher B.A.
Siegmund Heidrich
Dipl.-Ing. Enver Drubin
Herr Karl-Heinrich Eberth B.Sc.
Brunhilde Koch II
Pawel Peukert-Rörricht
Herr Muzaffer Klotz B.Sc.
Trude Scholtz B.A.
Francisco Trupp
Stefanie Hertrampf MBA.
Salvatore Ruppersberger
Ryszard Junitz
Karl-Jürgen Ziegert
Josef Butte-Lindau
Karl Meister B.Eng.
Sandy Römer-Bien
Anneke Jähn
Valeria Finke
Paula Stroh
Marijan Killer
Lidwina Jockel
Janin Haase
Mira Bender
Ing. Eugenie Kreusel MBA.
Gabi Meister
Felicia Ritter
Birgitt Seip-Klemm
Dipl.-Ing. Cläre Geißler
Patricia Wiek
Othmar Zänker
Jana Drubin-Heß
Univ.Prof. Florentine Schomber B.Eng.
Hajo Kranz-Heser
Dr. Jochem Trapp MBA.
Alwina Koch
Heribert Steuer
Ing. Swen Sorgatz B.Eng.
Sükrü Schüler MBA.
Ing. Irmtraud Wiek MBA.
Univ.Prof. Irene Budig
Woldemar Jacob B.A.
Gundula Otto-Kuhl
Waltrud Stroh
Justus Lorch
Marius Klotz
Alois Werner
Dipl.-Ing. Serge Nerger
Ing. Hannes Jähn B.Sc.
Kurt Thanel
Frau Nuray Mangold MBA.
Knut Gorlitz
Uli Oderwald-Freudenberger
Elias Langern
Sigrid Schleich
Caren Neureuther
Patrizia Schleich
Wencke Salz
Helfried Seifert-Schönland
Margot Sontag MBA.
Univ.Prof. Polina Schmidt B.Eng.
Bertha Reuter
Reinhart Jopich
Ilja Wende
Leon Aumann
Diana Weitzel
Frau Cynthia Bähr B.Sc.
Ing. Galina Hahn
Univ.Prof. Edit Ehlert B.Eng.
Stella Mülichen
Ing. Rosina Kabus MBA.
Frau Minna Steinberg B.Sc.
Gabriel Klotz
Dierk Steinberg
Auguste Gunpf
Julie Mentzel
Roy Holt
Wieland Linke
Margaret Kramer B.A.
Univ.Prof. Vadim Vollbrecht B.A.
Reimar Rädel
Univ.Prof. Ron Rörricht
Florentine Bärer B.A.
Ramon Jäntsch-Gertz
Edelbert Bruder
Olav Margraf
Hülya Stadelmann
Wiltrud Christoph
Wilma Matthäi
Rene Bruder B.Eng.
Gülsen Junck
Justina Zirme
Marlen Jacobi Jäckel B.Eng.
Marie-Therese Schleich
Herr Darius Heuser
Lothar Ladeck
Elfi Wesack
Senta Warmer
Herr Wilhelm Schuchhardt B.A.
Dr. Lidia Flantz B.Sc.
Josef Rädel
Burghard Albers-Berger
Gebhard Sorgatz
Friedrich Austermühle-Döring
Univ.Prof. Edelgard Naser B.A.
Mahmut Rose B.A.
Heinz-Werner Schleich-Mies
Christof Ditschlerin
Prof. Dietlind Ullrich B.Sc.
Sönke Gumprich
Rosalia Johann
Peggy Rogge-Lachmann
Iwan Käster
Jacqueline Hofmann
Gisa Hornig-Geißler
Alfred Tröst-Stahr
Heinrich Rogner
Gerhart Schenk MBA.
Goran Benthin
Dr. Gunther Jähn B.A.
Susann Mielcarek
Desiree Gierschner B.Eng.
Univ.Prof. Aleksander Wiek B.A.
Petar Hamann
Florian Weimer
Calogero Wagner
Sonia Gorlitz-Mude
Vadim Rose-Wulf
Brita Klemm
Thea Schmiedecke
Dr. Elwira Hiller
Univ.Prof. Vinko Tschentscher
Edith Binner
Prof. Marie-Theres Löffler B.Sc.
Prof. Wolfgang Mohaupt
Svetlana Bohlander B.Sc.
Univ.Prof. Cynthia Löwer
Liliana Zorbach MBA.
Betti Adolph
Dipl.-Ing. Slobodan Sölzer
Karl Heinz Kruschwitz-Reising
Heinrich Bohlander-Ullrich
Agnieszka Steckel
Enno Jockel MBA.
Doreen Hornig
Miroslaw auch Schlauchin
Emilie Bolander
Rotraut Ullrich
Gregor Loos-Gehringer
Waltrud Jockel B.Eng.
Joachim Steuer
Maren Drub
Claus Heser B.Sc.
Anett Bien-Schuster
Prof. Martin Ullmann
Nico Ehlert-Ackermann
Rico Cichorius
Tobias Mühle
Marisa Wagenknecht
Dr. Burkard Bolzmann B.A.
Ernest Schönland B.Eng.
Ludwig Reinhardt
Helen Dehmel
Abdul Klapp-Hethur
Friedlinde Meyer
Univ.Prof. Heidrun Hiller
Edda Jungfer
Dipl.-Ing. Gisa Jüttner B.Sc.
Karlfried Zahn B.A.
Ing. Stella Wagner
Univ.Prof. Belinda Henck
Cecilia Killer
Sybilla Striebitz
Tilman Killer B.A.
Urszula Spieß
Hans-Ulrich Liebelt-Hauffer
Emanuel Scholz B.Eng.
Herr Andrej Rose
Bruno Hethur
Gertraud Tröst
Jolanta Döring
Frau Anka Hering
Veronique Eimer
Dr. Melitta Mans B.Eng.
Prof. Knud Salz
Tina Henschel
Erol Eimer
Gotthard Christoph
Hans Josef Reinhardt B.A.
Dr. Änne Radisch
Univ.Prof. Antonina Becker
Franka Mitschke B.Sc.
Oxana Stumpf
Marlene Drubin
Dr. Wencke Junken B.Eng.
Ing. Zofia Ernst
Frau Inken Seip B.Eng.
Nikolai Haase B.Sc.
Delia Rust
Pietro Klingelhöfer
Ing. Tina Schmiedt B.A.
Dipl.-Ing. Leokadia Junk
Herr Urban Christoph
Roy Schmidt B.Eng.
Franz-Xaver Carsten
Ing. Thekla Beyer B.Sc.
Mechtild Winkler
Mathilde Kreusel
Ing. Carmen Birnbaum
Klothilde Blümel B.A.
Irmtraud Schönland
Sina Mende
Kriemhild Junk MBA.
Luigi Junitz
Uli Stolze MBA.
Dipl.-Ing. Walfried Rosemann B.Eng.
Herr Bastian Ritter B.Sc.
Ing. Galina Schenk
Britt Bolander B.A.
Halina Lachmann
Johann Baum
George Paffrath MBA.
Nadin Stiebitz B.Eng.
Dr. Ingelore Winkler
Olga Stahr
Jost Lindau
Sonia Säuberlich-Langern
Malte Kallert-Möchlichen
Hubert Hertrampf
Univ.Prof. Maxim Matthäi
Mona Thies
André Sauer
Melissa Dietz
Claire Junk
Manuela Sauer
Nadeschda Hande
Hans D. Schenk
Angela Stiffel
Dr. Katalin Knappe B.Eng.
Joseph Reuter
Adelbert Rörricht
Dipl.-Ing. Lioba Plath
Wenke Neureuther-Hermighausen
Frau Anne-Katrin Rädel
Dr. Zeki Eberth
Wiebke Gehringer
Franz-Josef Schmidtke
Edit Siering
Inna Winkler
Birgit Pergande
Dr. Amir Jäkel
Ing. Katarzyna Noack
Wolfhard Ziegert
Henrik Hein B.A.
Guiseppe Rust
Dr. Uta Gumprich
Elena Wilmsen
Dr. Stephanie Ladeck
Swen Schweitzer B.Sc.
Ing. Peter Trubin B.Sc.
Irina Hahn
Univ.Prof. Catharina Neureuther B.Sc.
Alena Neureuther
Dipl.-Ing. Alf Graf
Benita Hahn-Wieloch
Dr. Gudula Scheuermann
Henni Wagenknecht B.Sc.
Anita Mohaupt
Gebhard Sauer
Marcella Franke B.A.
Bogdan Steckel B.Eng.
Ulrike Gierschner-Koch II
Gunhild Zimmer
Stanislav Stey
Frau Ariane Weinhage MBA.
