Student
Zeljko Gieß
Dipl.-Ing. Mara Otto B.Sc.
Robin Flantz
Willibald Holsten
Jennifer Hoffmann
Cecilia Stoll
Frau Mia Kaul MBA.
Michaele Ruppert
Stefani Caspar
Sofie Fiebig-Hermighausen
Reni Römer
Antonina Wagner
Rosalinde Killer
Aleksander Dowerg
Dr. Oswin Junken
Ron Sorgatz-Eimer
Univ.Prof. Friederike Bender B.Eng.
Ing. Gertraude Holsten B.Sc.
Herr Tony Lindner
Gülay Werner
Aenne Mende B.Eng.
Dr. Cäcilia Henk B.Eng.
Prof. Meral Jüttner MBA.
Jens Trub
Jo Reising
Hiltraud Klemm-Pärtzelt
Teresa Jessel
Frau Conny Klemt
Daniele Heintze B.Eng.
Ing. Dorothee Harloff B.Sc.
Dr. Natascha Trüb
Steven Trub
Björn Rädel-Rohleder
Augusta Beer
Mohammad Karz MBA.
Alexej Kohl
Kriemhild Warmer
Fredi Lindner
Eleni Krause B.A.
Hansjürgen Faust
Ljudmila Nerger
Jens-Peter Graf-Schmidt
Semra Gorlitz
Ehrentraud Trubin
Klaus-Peter Häring
Klemens Thies
Sandra Scholtz
Friedericke Lange
Anneli Heintze
Danuta Kensy
Herr Gerolf Hermann B.Eng.
Gülsen Davids-Heinz
Concetta Dehmel
Heinz Dieter Barkholz
Edit Kitzmann
Bernward Fröhlich
Catherine Cichorius
Ronald Werner
Dagmar Koch
Karola Zorbach B.Eng.
Branka Mentzel
Darius Klotz
Friedlinde Sauer
Nevenka Hörle MBA.
Felicitas Kensy-Stey
Jurij Zimmer
Dr. Annaliese Lindner
Marko Kensy-Atzler
Ramona Sontag
Bertha Reuter
Annie Schlosser
Birgitta Hettner
Herr Thorben Jacob
Helge Schuchhardt
Univ.Prof. Markus Schottin
Gereon Jacob
Dr. Gundula Putz
Dr. Ruben Wernecke
Prof. Monica Beer MBA.
Necati Lindner
Miroslawa Jessel B.Sc.
Lissy Dippel
Dr. Harald Ritter
Bruni Vogt MBA.
Hajo Kranz-Heser
Ing. Jens-Peter Tschentscher
Frau Camilla Kruschwitz
Dr. Czeslaw Neureuther
Univ.Prof. Arno Kramer B.Eng.
Paul Hettner
Helena Hettner
Edelbert Stey-Scholz
Prof. Amir Reising MBA.
Ole Ritter MBA.
Adriane Gröttner
Marianne Heser
Ing. Ramazan Kallert MBA.
Ahmad Preiß
Hans-Detlef Matthäi
Tomislav Girschner
Helmar Klapp
Eugen Schottin
Herr Bodo Steckel
Ljudmila Krebs
Stjepan Hofmann-Hethur
Slavko Fliegner B.Sc.
Gitta Römer
Esther Ehlert
Juliane Mentzel-Ziegert
Ing. Annekatrin Heß
Ing. Hermine Warmer B.A.
Betty Steinberg
Gerwin Rust MBA.
Ian Briemer B.Eng.
Betti Zirme B.A.
Edward Hering MBA.
Gregor Buchholz
Prof. Wolf-Dieter Killer B.Sc.
Ing. Gordana Bruder MBA.
Jonas Mühle
Ing. Konstanze Geisel
Constantin Beckmann
Carolin Holt
Anne-Rose Sorgatz
Bettina Klapp
Sibille Liebelt
Prof. Bernward Wulf B.Eng.
Prof. Johan van der Dussen
Rosita Wiek
Andrei Wulff
Ria Walter
Dipl.-Ing. Nathalie Radisch
Ursula Jacobi Jäckel
Sigismund Junitz
Dr. Egbert Kraus
Prof. Wolfram Binner B.Eng.
Kristina Röhricht
Heinz-Georg Döhn
Univ.Prof. Franz-Josef Holt
Sigrun Mälzer
Dipl.-Ing. Zeljko Stumpf B.A.
Mariusz Stadelmann-Jähn
Remo Reinhardt
Karl-Peter Heser
Herr Salih Blümel
Zbigniew Höfig B.Eng.
Jakob Döring
Laura Beier
Kreszenz Beier
Paolo Weller-Heinrich
Katherina Hesse
Harro Keudel
Janine Söding
Günter Rudolph B.Eng.
Siegmund Schleich MBA.
Brian Ditschlerin
Marie-Louise Hendriks-Dörschner
Gerolf Döring-Buchholz
Jadwiga Karge
Ottfried Peukert-Schulz
Siegrid Misicher
Marleen Langern-Oderwald
Ricarda Warmer B.A.
Reimar Trüb
Bernhardine Ruppersberger
Herr Edmund Hesse
Britt Bolander B.A.
Univ.Prof. Friedl Tlustek
Uwe Schwital MBA.
Herlinde Birnbaum
Hans-Theo Bärer B.Eng.
Rosa Heuser
Univ.Prof. Clara Heidrich B.Sc.
Deborah Scholtz B.A.
Ing. Utz Klemt B.A.
Silva Plath
Frithjof Gertz
Anica Kade-Steuer
Dipl.-Ing. Lieselotte Trüb B.A.
Tülay Hettner-Ebert
Rotraud Fiebig
Sigurd Süßebier
Fabienne Holt MBA.
Herr Maik Klemt MBA.
Hedda Baum
Ing. Walli Bolander MBA.
Frau Almuth Kostolzin B.A.
Ing. Cord Hermighausen B.Eng.
Siegrid Schmiedt
Wolfgang Beier-Mohaupt
Stanislaw Misicher
Frau Zdenka Boucsein B.Eng.
Luka Weimer-Beyer
Oda Henschel
Hildburg Dowerg-Pergande
Willy Trub-Freudenberger
Vinko Schönland B.Eng.
Ortrun Siering
Burckhard Margraf
Prof. Marijan Hoffmann
Tatiana Kade-Rust
Mijo Karge-Löchel
Christl Pölitz
Herr Imre Kohl
Gertrude Lehmann-Kostolzin
Ekrem Pruschke-Jäkel
Svea Hartung B.Eng.
Erhardt Heidrich
Antonietta Hübel
Cindy Schleich
Rosa Gnatz
Romana Wulff
Niels Faust
Traude Kuhl
Karl-Heinrich Kraus B.A.
Prof. Uschi Fliegner B.A.
Jochem Hermighausen
Hartmuth Koch II
Ing. Margarethe Martin
Nikolaos Ebert-Grein Groth
Heinz-Wilhelm Werner
Gisa Dörr B.Eng.
Vanessa Hornig
Darius Loos
Prof. Dolores Butte
Dipl.-Ing. Petar Lübs
Meral Reinhardt
Univ.Prof. Waldtraut Riehl
Elli Meister
Mandy Rädel
Ing. Gundi Boucsein B.Sc.
Univ.Prof. Ismet Bloch B.Eng.
Dr. Hans Dieter Mude
Miroslaw Holt
Tilman Hövel
Edeltrud Margraf
Hildegund Gunpf
Joachim Steuer
Univ.Prof. Dana Seifert
Dr. Heide Jockel B.Sc.
Josip Stey
Eva Wende-Peukert
Reinald Zahn
Heinz-Dieter Caspar-Hande
Univ.Prof. Milka Bähr
Reinhart Jopich
Oda Barkholz
Dr. Caroline Ortmann
Anne-Kathrin Bachmann
Gerd Becker
Esther Eberth-Kensy
Malte Kallert-Möchlichen
Raphael Höfig
Dipl.-Ing. Lidija Pölitz
Günter Schottin
Erol Eimer
Univ.Prof. Ahmet Birnbaum MBA.
Zdravko Kroker
Tillmann Dobes-Trupp
Nico Drewes
Bayram Lübs B.Eng.
Frau Gülay Rogner B.A.
Annaliese Lübs
Jonas Budig
Istvan Patberg-Anders
Ing. Wolf-Rüdiger Dietz B.Sc.
Dipl.-Ing. Slobodan Sölzer
Hilde Lübs
Hans Dieter Stahr
Univ.Prof. Amalia Köhler
Toni Schottin B.A.
Joana Zimmer B.A.
Peter Mitschke
Dipl.-Ing. Werner Scholl B.Eng.
Eveline Birnbaum
Heinz-Werner Briemer B.A.
André Kraushaar-Henck
Adelgunde Thanel
Kornelius Fröhlich B.Sc.
Erica Holsten
Mattias Henk
Jerzy Mende-Wagenknecht
Annett Mies-Hellwig
Univ.Prof. Almuth Cichorius B.Eng.
Veronika Kruschwitz B.A.
Dipl.-Ing. Hans-Erich Klemm
Hans-Jürgen Klemm
Jost Lindau
Uwe Dussen van
Ing. Tanja Scheibe B.Eng.
Angelina Ruppert-Siering
Janet Ullrich
Irmtraud Hauffer-Matthäi
Lili Weimer
Herr Christopher Speer
Orhan Hecker-Heuser
Dipl.-Ing. Tina Wagenknecht MBA.
Ing. Rosalinde Rogner MBA.
Janusz Trub-Mühle
Siegried Caspar B.A.
Senta Warmer
Michel Kuhl
Herma Bender-Scholtz
Liesbeth Junck-Benthin
Bertram Caspar
Prof. Emine Beer
Univ.Prof. Gisa Meister
Heino Lindau B.Eng.
Ing. Georg Lübs
Dipl.-Ing. Lilly Trüb
Frau Stefani Hendriks B.A.
Almut Trupp
Marlen Hesse
Prof. Patrik Scheel
Madlen Lübs
Prof. Gunter Mentzel
Frau Chantal Ebert B.Eng.
Ing. Valentina Börner
Jann Schenk
Mona Söding
Jadwiga Gotthard
Univ.Prof. Ferenc Knappe B.Sc.
Gerold Thanel
Stephanie Heintze
Ing. Sebastian Killer B.A.
Marion Drewes
Knut Jacob
Kornelius Heintze-Baum
Imelda Söding
Dr. Selma Geisel B.Sc.
Brita Kaul
Insa Karz-Mangold
Leonardo Birnbaum
Frau Marie-Therese Mielcarek
Gretchen Pohl
Heidelore Pärtzelt MBA.
Nikolaos Reichmann
Paul Carsten
Ing. Tillmann Geisel
Herr Janus Matthäi B.Sc.
Loni Trubin
Prof. Gundula Dörr B.Sc.
Daniele Finke
Nils Hermighausen
Prof. Helmut Hellwig MBA.
Svenja Hartmann
Vinko Kraus-Schmiedt
Serge Trubin
Steven Steinberg B.Eng.
Inken Gute B.Eng.
Saban Eimer
Yvette Dietz
Andreas Birnbaum-Kallert
Hiltrud Klemm
Dr. Rolf Walter
Desiree Wulf-Jüttner
Dorina Dowerg
Gunnar Hornig
Hans-H. Naser
Monika Hornich MBA.
Anne-Katrin Rogge
Leni Wohlgemut-Ruppersberger
