Student
Gina Killer
Martha Dowerg
Burckhard Caspar
Dan Schönland MBA.
Monja Mülichen
Heinz-Willi Jockel
Denny Kusch
Folker Otto MBA.
Telse Rudolph
Alfred Rose
Marianne Ziegert-Werner
Hans-Detlef Bender
Cosimo Girschner
Joerg Döhn
Prof. Ildiko Adler MBA.
Svenja Hartmann
Falk Wagenknecht B.Eng.
Istvan Patberg-Anders
Albrecht Caspar
Andrei Wulff
Filippo Hermann
Janine Hendriks B.A.
Gerard Scholl
Herr Sylvester Jopich B.Eng.
Amalie Gotthard
Korbinian Werner
Gertraude Pärtzelt MBA.
Paolo Wernecke
Dr. Marianne Reising
Damian Bauer
Univ.Prof. Leni Bonbach
Fabian Lübs
Irmtraud Hauffer-Matthäi
Jochen Säuberlich
Univ.Prof. Amalia Köhler
Dr. Gunther Jähn B.A.
Josip Hiller-Hauffer
Valentina Weihmann-Zahn
Ralf-Dieter Kroker
Mathilde Kreusel
Prof. Irmhild Fritsch
Martin Dörr
Oliver Biggen
Ing. Annelise Nette B.Eng.
Bruni Meister B.Sc.
Anneliese Gnatz
Univ.Prof. August Schleich B.A.
Dietrich Kruschwitz
Dagobert Rogge
Eugenia Sorgatz
Käthi Löffler
Gerta Stey-Klemm
Patrik Ditschlerin
Univ.Prof. Almuth Cichorius B.Eng.
Karl-Peter Hering
Ludwina Fritsch
Dipl.-Ing. Theobald Knappe B.Eng.
Helge Wilmsen-Hein
Dietlinde Käster
Gerd Beckmann-Gnatz
Leokadia Oestrovsky
Prof. Linda Beier
Dipl.-Ing. Sigrun Bärer
Ralph Jessel B.A.
Ing. Ayse Mangold MBA.
Dipl.-Ing. Gisela Schuster B.A.
Ing. Gabriella Bähr
Maria-Theresia Tschentscher
Monja Weiß
Marika Sager
Stjepan Langern
Jadwiga Gotthard
Marika Zimmer
Vlado Kramer B.Eng.
Hilmar Hörle
Pius Gierschner-Weitzel
Gunnar Ernst
Stefano Atzler
Vlado Hübel B.Eng.
Jane Reuter
Dipl.-Ing. Rigo van der Dussen B.Eng.
Theo Neuschäfer
Daniela Wernecke-Hölzenbecher
Sophie Scheibe
Siegrid Bachmann-Schaaf
Dipl.-Ing. Marek Jockel
Judith Meyer
Herr Jens Becker MBA.
Dogan Ruppersberger
Micha Röhricht B.A.
Zdenka Weiß
Freia Hamann-Eckbauer
Cetin Schwital
Juan Briemer-Textor
Ignaz Schottin
Susann Mielcarek
Lieschen Rörricht
Jeanette Mälzer
Theres Beer
Heinz-Dieter Gute
Hans-Ulrich Dussen van
Ariane Roskoth
Adolfine Dippel
Prof. Heinz-Peter Sager
Gönül Barth-Zobel
Ivanka Rogge
Prof. Dirk Biggen B.Eng.
Marek Walter MBA.
Concetta Dehmel
Sören Trommler
Romy Etzold
Antoinette Schottin
Julia Heinrich
Dr. Klothilde Lachmann B.A.
Regine Sorgatz
Klaus-Peter Schüler-Schaaf
Dorina Dowerg
Marika Zänker B.A.
Carmine Schacht
Dr. Gabriel Junitz
Ekaterina Liebelt
Henry Schüler B.Eng.
Stella Mülichen
Gitta Berger
Erdal Bruder
Undine Jopich
Adelheid Salz
Herr Winfried Vollbrecht B.Eng.
Ing. Bernard Schleich B.Sc.
Hans-Bernd Knappe-Gröttner
Prof. Marion Martin
Sigmund Heydrich
Heide-Marie Heß B.A.
Prof. Dolores Butte
Prof. Kunigunda Pergande MBA.
Hans-Detlef Matthäi
Ing. Stanislaw Weihmann B.A.
Miguel Lehmann
Emmerich Wilmsen
Frederik Beyer
Gaetano Söding
Henryk Plath-Jopich
Ing. Ernst-August Häring
Rosa Heuser
Klemens Thies
Dipl.-Ing. Nathalie Bender
Sibilla Mälzer
Olivia Schleich
Dragica Rosenow
Prof. Gaetano Weiß
Dipl.-Ing. Jan-Peter Mende MBA.
Univ.Prof. Baptist Mende MBA.
Ing. Isabell Hartmann MBA.
Prof. Bianka Reinhardt
Alena Seip
Ingried Sauer
Eckhard Lindau B.A.
Insa Bloch B.A.
Prof. Karl-Hermann Pieper B.Eng.
Niklas Trubin
Gereon Textor
Gerolf auch Schlauchin
Kai-Uwe Oderwald
Prof. Miguel Dowerg B.A.
Univ.Prof. Czeslaw Tröst
Ursel Juncken-Buchholz
Frau Annett Tlustek B.Eng.
Herr Tomislav Ladeck
Ljiljana Roht
Prof. Falko Trapp B.Eng.
Ronald Börner-Hentschel
Florence Schulz
Dursun Gehringer
Blanka Ladeck
Burckhard Margraf
Adele Boucsein B.Sc.
Ludwina Mohaupt
Olaf Hethur
Jiri Förster
Univ.Prof. Alexei Mülichen MBA.
Sofia Roht MBA.
Hagen Girschner
Univ.Prof. Sergio Kreusel MBA.
Heribert Ring B.A.
Dr. Margita Stiebitz
Vincenzo Lübs
Dr. Karla Christoph
Frau Hilda Schweitzer B.Eng.
Ferdinand Junck-Hölzenbecher
Anna-Luise Seip-Hofmann
Prof. Tania Grein Groth
Dipl.-Ing. Franz Reising
Hartwig Sorgatz B.Eng.
Ditmar Bien
Prof. Liane Jungfer
Bianka Dobes-Seifert
Hans-Ulrich Plath B.A.
Ulrich Plath-Weihmann
Dipl.-Ing. Igor Henck B.A.
Samir Wähner-Butte
Heinz-Wilhelm Steuer-Mende
Roy Schmidt B.Eng.
Dipl.-Ing. Bekir Boucsein
Ing. Roman Tröst
Patrizia Bender-Reuter
Adriane Gröttner
Josefa Stolze
Prof. Marika Junken B.Eng.
Gerti Döring
Ottomar Kraus
Heimo Knappe
Eveline Wagenknecht
Grete Biggen-Kostolzin
Emil Grein Groth
Antonie Fischer-Margraf
Hüseyin Hethur
Klaus-Michael Mälzer
Anthony Bonbach
Dr. Egbert Kraus
Herr Vinzenz Jäntsch B.A.
Guido Pieper
Karolin Mitschke
Friedlinde Schenk-Wulff
Sibylla Koch MBA.
Susanna Beyer B.Eng.
Agnes Ullmann
Beata Lübs
Rudolph Metz-Mitschke
Danilo Hein-Scheibe
Apollonia Heß B.A.
Edelgard Finke B.Eng.
Justus Aumann
Guiseppe Bien
Victor Butte
Univ.Prof. Fatima Hölzenbecher
Nadia Herrmann
Gunar Dobes B.Sc.
Alexander Hörle
Miroslaw Holt
Prof. Gertraude Wohlgemut B.Eng.
Walli Gnatz
Helge Pohl
Waltrud Gumprich
Jonathan Mohaupt
Klaus-Peter Häring
Tilman Hövel
Ottmar Kruschwitz
Frau Annette Fiebig B.Eng.
Ernst-Dieter Geisler B.Eng.
Nadeschda Pölitz
Ellen Liebelt
Elise Hentschel
Osman Schmidtke
Gino Ernst
Univ.Prof. Vesna Hering
Kreszentia Bloch-Steckel
Fanny Bolnbach B.Sc.
Margot Sontag MBA.
Annelies Heidrich
Herr Hermann-Josef Lehmann B.A.
Irina Seip-Bolnbach
Reiner Conradi
Doris Karz
Alfred Holzapfel-Hamann
Nikolas Ebert
Univ.Prof. Ahmet Birnbaum MBA.
Tatjana Käster-Schüler
Antonios Klemm B.Sc.
Eva-Marie Hendriks
Herr Osman Gerlach B.Sc.
Harro Keudel
Prof. Niko Atzler B.Sc.
Camilla Kühnert MBA.
Jelena Jüttner
Franka Mitschke B.Sc.
Dr. Alwina Lorch MBA.
Kamil Hendriks
Günter Löwer
Gloria Lachmann MBA.
Benita Juncken
Frau Danielle Junk
Hannes Jäntsch
Jo Reising
Karl-Heinz Buchholz
Karla Etzler-Metz
Tino Niemeier
Karl-Heinrich Sölzer
Gretchen Jessel B.Sc.
Dr. Edith Ring B.Sc.
Faruk Schomber
Ing. Roy Dippel B.A.
Univ.Prof. Rosl Pölitz
Ing. Dörte Freudenberger
Josef Berger
Patric Stahr-Ebert
Hans-Adolf Mosemann B.A.
Oscar Nerger
Sonja Paffrath-Reichmann
Dennis Beer-Striebitz
Franz Josef Herrmann
Joana Mielcarek B.A.
Ing. Kay-Uwe Flantz
Mercedes Sauer
Philipp Lorch
Gitte Römer-Kroker
Susann Henk
Prof. Marika Davids B.A.
Giesela Dowerg
Dr. Mariusz Beckmann
Aenne Kraus
Natalie Werner
Mirjana Schlosser B.Eng.
Gerhart Hentschel
Erol Röhrdanz
Manfred Juncken
Robert Budig-Ullmann
Sami Mans-Ullrich
Emilia Wagenknecht-Riehl
Domenico Gerlach-Kramer
Kevin Trubin
Dr. Rotraud Gorlitz
Kreszentia Pölitz-Karge
Herr Rupert Jüttner MBA.
Tülay Fiebig
Alessandro Caspar
Veronique Oestrovsky
Annett Sorgatz B.Eng.
Abraham Adler
Jonas Löchel
Carolina Ditschlerin
Dr. Rita Kallert
Dr. Evangelia Killer B.Sc.
Maya Lindner-Zimmer
Dipl.-Ing. Sarina Dörr
Aurelia Dussen van MBA.
Inken Gorlitz
Linus Schuchhardt
Egbert Bender
Augustin Lachmann
Frau Ina Dietz MBA.
Prof. Juan Hamann
Ute Möchlichen
Selma Girschner B.Sc.
Canan auch Schlauchin-Dussen van
Prof. Dorit Käster B.Sc.
Elmar Fröhlich
Irmtraut Hahn-Walter
Gundula Otto-Kuhl
Wolfhard Vogt
Dipl.-Ing. Nikolaus Conradi MBA.
Marliese Roht
Jessika Käster
Gülten Henschel
Carl Schomber-Mälzer
Ing. Heinz Ehlert
Jost Roskoth
Utz Staude
Birthe Trommler
Burghard Albers-Berger
Clara Gehringer
Holger Gröttner B.Eng.
Dipl.-Ing. Daniele Geißler
Frau Antonina Kitzmann
Ignaz Löwer
Ahmad Jacobi Jäckel
Univ.Prof. Dorle Röhrdanz B.A.
Ingbert Hartung
Gerhart Beier
Sergio Schleich
Inga Wieloch
Aenne Mende B.Eng.
Univ.Prof. Babette Kitzmann
Notburga Huhn
Heinz-Dieter Caspar-Hande
Corina Pergande
Univ.Prof. Walter Barkholz
Ing. Alexandros Vogt MBA.
Joseph Austermühle
Christl Wähner
Henny Eberhardt
Prof. Kathy Warmer MBA.
Gilbert Schottin
Univ.Prof. Polina Schmidt B.Eng.
Heinrich Bohlander-Ullrich
Ernestine Stumpf
Jörn Trupp MBA.
Frau Elsa Mälzer
Baldur Käster B.A.
Kaspar Römer
Conrad Lindau
Univ.Prof. Till Vogt MBA.
Kristin Bohlander B.Eng.
Mehdi Bähr B.A.
Dr. Hildegund Söding B.A.
Gislinde Wagenknecht
Thilo Tschentscher
Dieter Trupp
Zofia Schulz
Carola Franke
Bernhardine Pechel
Abdul Ullmann
Karl-Peter Hofmann B.A.
Friedl Briemer-Austermühle
Univ.Prof. Hans-Martin Scholz
Nada Dowerg-Jähn
Anneliese Wähner
Holger Roskoth B.Sc.
Karl Heß
Francesca Wieloch
Kriemhild Gude
Adem Hörle
Univ.Prof. Pia Schlosser MBA.
Cilli Heintze
Adalbert Reising
Sven Walter
Frau Annegrete Junk B.A.
Wiltrud Gröttner-Klapp
Reinald Zahn
Frau Angelina Martin
Ing. Carolin Hoffmann
Pero Gutknecht
Sebastian Aumann
René Ullrich
Dipl.-Ing. Karina Kambs MBA.
Sieghard Hahn
Ing. Wolf-Rüdiger Herrmann B.Sc.
Zoltan Wilms
Philip Heß MBA.
Cläre Mohaupt
Prof. Mathilde Segebahn MBA.
Gabriel Süßebier-Eigenwillig
Maria Mans B.Eng.
Ing. Muharrem Paffrath B.Sc.
Ilonka Döring-Schulz
Manuel Pärtzelt
Horst-Peter Ritter
Hans-Bernd Trupp
Mary Hofmann B.A.
Marita Berger B.A.
Prof. Irmgard Mühle
Gotthard Löwer
Dipl.-Ing. Margaretha Köhler B.Eng.
Mareike Lübs
Phillip Rosemann-Bachmann
Brita Flantz-Knappe
Heide-Marie Beckmann B.Sc.
Edwin Förster-Albers
Malgorzata Rohleder
Ottilie Hartung
Timo Huhn
Pavel Ehlert
Yasemin Hande
Dipl.-Ing. Slawomir Ebert MBA.
Gunter Misicher
Janusz Beckmann
Larissa Löffler
Frau Ina Schwital B.Sc.
Ludmila Karge B.A.
Pawel Schlosser
Nico Drewes
Lidwina Karz MBA.
Zofia Roht
Senol Harloff-Lindau
Prof. Petar Köhler
Frau Gülay Rogner B.A.
Philip Mangold
Theresia Henck
Dr. Daniel Trommler
Hans D. Schenk
Erwin Jopich
Roger Gunpf-Paffrath
Mary Reuter B.Sc.
Jutta Franke-Rosenow
Oxana Linke B.Eng.
Jiri Kambs
Monique Ullmann MBA.
Carlo Pohl
Virginia Gieß
Timo Spieß
Friedhelm Schleich
Karl-Hans Hande-Schuster
Mandy Huhn B.A.
Fritz Schenk B.A.
Marie-Luise Rogner
Luzie Renner B.A.
Univ.Prof. Hinrich Eberth
Sylvester Zirme
Malte Bohlander
Marion Wohlgemut B.A.
Marlen Weihmann-Trub
Prof. Liliane Gehringer MBA.
Gunhild Meister
Patrizia Schüler
Werner Heydrich-Schmidtke
Franco Loos B.Eng.
Agnes Tröst
Herr Goran Paffrath
Angelique Adler
Robin Junk-Henk
Herr Roderich Hauffer
Dr. Auguste Sager
Konrad Henschel
Karl-Wilhelm Anders-Gude
Hartmuth Eberhardt
Kreszentia Bohlander
Tina van der Dussen
Kornelius Sontag
Stavros Hoffmann
Mike Röhricht-Hauffer
Elli Täsche B.Eng.
Diana Haering
Herr Andrej Rose
Hedwig Matthäi
Wilhelmine Knappe
Siegmar Pergande
Prof. Monique Budig B.Eng.
Tanja Rörricht-Haering
Ing. Pamela Gerlach
Ellinor Kraus
Tülay Trapp
Dipl.-Ing. Elisabeth Wiek
Hans-Herbert Harloff
Heinz-Otto Linke
Dr. Edelbert Wieloch MBA.
Tino Gnatz
