Student
Hannelore Haase
Univ.Prof. Ismet Bloch B.Eng.
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Herr Hans Rogge
Giesela Dowerg
Karlfried Karge-Wieloch
Valentine Tschentscher
Lotte Kitzmann B.A.
Friedemann Stoll
Pirmin Reising
Klaus-Dieter Knappe
Olav Margraf
Dr. Ellen Schlosser B.A.
James Kostolzin-Haase
Gerwin Schuster
Univ.Prof. Heinrich Reinhardt MBA.
Josefa Junk
Eggert Rörricht-Schwital
Cosimo Zimmer
Dr. Tim Hornig B.Sc.
Prof. Friedo Reuter
Univ.Prof. Roger Stadelmann B.Sc.
Edeltraut Klemt
Necati Lindner
Hanns Bender
Stephanie Beer
Fredo Kühnert-Köhler
Caroline Linke
Univ.Prof. Axel Dörschner B.Sc.
Dino Martin
Prof. Alma Gumprich
André Sauer
Oxana Ladeck
Nadin Radisch
Cindy Meyer
Dr. Erdogan Eigenwillig MBA.
Domenico Nohlmans-Eberhardt
Pietro Klingelhöfer
Prof. Knud Atzler B.Sc.
Gesa Keudel-Bauer
Theresia Paffrath
Orhan Dörr-Salz
Frau Lilli Möchlichen MBA.
Dipl.-Ing. Marieluise Löchel
Kurt Thanel
Dr. Harald Ritter
Prof. Gunther Klingelhöfer
Leonardo Vogt
Herr Roderich Hauffer
Elena Wilmsen
Gordon Klemt-Rörricht
Annegrete Jüttner
Dr. Alwina Lorch MBA.
Helmuth Langern-Steinberg
Ing. Mahmoud Becker
Milos Trüb
Kristin Kabus
Hans-Jochen Stolze
Dajana Ruppert
Karl-Peter Hofmann B.A.
Heiko Metz
Ing. Gerlinde Junken
Univ.Prof. Steffen Tröst
Univ.Prof. Evelyn Seifert B.A.
Siegrid Segebahn
George Käster-Eberth
Fernando Schüler
Hatice Killer-Löwer
Prof. Katarzyna Gehringer B.Eng.
Mirja Schottin
Siegrid Schmiedt
Margarete Mohaupt B.Sc.
Klaudia Seidel
Jonas Christoph B.Eng.
Lorenz Kohl
Zdravko Jacob
Diana Weitzel
Univ.Prof. Harro Weller
Elzbieta Putz B.Eng.
Prof. Annita Putz
Tibor Köhler-Schönland
Prof. Marius Herrmann
Karola Zorbach B.Eng.
Nelly Schlosser
Franz Josef Girschner
Frau Emilia Pruschke B.A.
Dunja Trub
Herr Thomas Baum
Prof. Achim Rose
Univ.Prof. Fatima Faust B.A.
Dietmar Lindau
Ilonka Lange
Valeria Conradi
Friedhold Löwer-Ebert
Ing. Alban Mohaupt
Birgitt Seip-Klemm
Eckart Klotz
Magdalena Gude
Prof. Götz Finke
Dipl.-Ing. Peer Kuhl
Fatima Heser B.Eng.
Rosa-Maria Losekann-Schulz
Dipl.-Ing. Dunja Hoffmann
Frau Florence Ditschlerin B.Eng.
Emilie Schmidt-Gröttner
Eugenie Benthin-Ziegert
Edgar Karge
Alicja Pergande
Monika Mühle-Hiller
Cäcilie Roht-Misicher
Rebekka Lindau MBA.
Hilma Berger
Karl-Otto Putz
Prof. Aribert Eberhardt B.Sc.
Jolanda Henck
Bayram Hering
Frau Kirsten Geißler
Gottfried Keudel MBA.
Canan Beyer
Dr. Rotraud Gorlitz
Annita Jähn
Annerose Eckbauer
Univ.Prof. Monja Staude MBA.
Caren Neureuther
Irmengard Eckbauer
Edwin Förster-Albers
Siegmund Schleich MBA.
Heiner Rörricht
Ing. Edeltraud Zirme
Utz Staude
Heinz-Georg Rosemann-Bohnbach
Diana Jessel-Geißler
Zita Klemt
Georgia Bärer
Dipl.-Ing. Hans-Peter Hertrampf
Irmtraud Hauffer-Matthäi
Univ.Prof. Cord Becker
Lorenz Hande-Hamann
Justus Lorch
Canan Heinrich
Siegrun Christoph
Dipl.-Ing. Patric Johann
Grete Rudolph
Annekatrin Wende
Kazim Junken
Detlef Köster
Johann Seidel
Songül Tschentscher
Dipl.-Ing. Amanda Striebitz
Myriam Schäfer-Tschentscher
Prof. Marie Plath
Hans-Günther Scheuermann B.Eng.
Ing. Cord Hermighausen B.Eng.
Clemens Barth
Natascha Gotthard
Dr. Senol Beier MBA.
Mijo Jessel B.A.
Dipl.-Ing. Jiri Walter
Theodor Striebitz
Ioannis Junck
Maik Tintzmann B.Sc.
Sigrid Jockel
Gunhild Kroker
Frau Hilda Schweitzer B.Eng.
Dr. Natascha Trüb
Gerhild Löffler
André Segebahn
Herlinde Schenk B.A.
Calogero Mude-Etzold
Dr. Wilfriede Reuter
Dipl.-Ing. Lioba Plath
Bernard Bien-Lübs
Aline Atzler-Beckmann
Edward Dippel
Vesna Döhn
Folkert Reinhardt B.Sc.
Eckard Dehmel MBA.
Ljudmila Nerger
Sandy Dietz
Leonardo Lehmann
Margrit Förster
Ing. Celal Textor
Zdravko Kroker
Johan Baum
Emin van der Dussen
Dipl.-Ing. Georgine Adolph B.Eng.
Ismet Kroker
Brita Schwital
Univ.Prof. Paul-Gerhard Lübs MBA.
Dipl.-Ing. Dajana Beer
Dipl.-Ing. Wolfram Johann B.Eng.
Dr. Friedhilde Adler MBA.
Karl-Heinrich Kraus B.A.
Dipl.-Ing. Halina Bender B.A.
Adele Stroh
Reimund Kraushaar
Danny Gumprich
Luigi Gude
Sabrina Kohl
Ines Anders
Annamaria Baum MBA.
Teresa Ladeck-Rädel
Robin Flantz
Dr. Frederik Dobes MBA.
Univ.Prof. Athanasios Drub B.Sc.
Ulrike Misicher MBA.
Kamil Hecker-Hahn
Hans-Gerd Preiß
Hellmuth Heidrich
Leonardo Birnbaum
Ing. Friedhold Hartung B.Sc.
Hildegunde Wende-Spieß
Geert Rudolph
Emanuel Holsten
Anni Dietz-Blümel
Luka Weimer-Beyer
Danica Atzler
Dörthe Mitschke-Holt
Herr Vincenzo Liebelt
Annegret Atzler
Univ.Prof. Nadine Gnatz
Hugo Ruppert-Kade
Traudel Loos
Veli Junitz
Herr Eberhardt Gierschner
Heinz-Walter Juncken
Henryk Jacobi Jäckel B.Sc.
Wieslaw Lachmann
Ing. Louis Eckbauer B.Eng.
Frank-Michael Löwer-Ring
Annelene Zänker
Bianka Dobes-Seifert
Prof. Karl-Friedrich Geisler B.A.
Käthi Lübs
Univ.Prof. Pauline Klemt
Konstantin Ladeck
Dipl.-Ing. Wanda Dussen van
Anika Trüb
Uschi Dobes
Sieghard Hahn
Dipl.-Ing. Geert Holsten B.Sc.
Michel Heß
Milos Kuhl B.Sc.
Helga Gerlach-Seifert
Raimund Hande
Oda Barkholz
Dipl.-Ing. Giuseppina Etzler B.Sc.
Gabriela Gierschner
Isabelle Förster-Beyer
Gina Stolze
Rosalinde Trupp
Annemarie Seidel
Univ.Prof. Regina Salz B.Eng.
Inge Kabus
Birgitta Hettner
Giuseppe Trupp
Jens-Uwe Neureuther
Victor Butte
Raphael Bonbach MBA.
Leif Christoph
Woldemar Bolzmann B.A.
Aloys Barkholz
Anica Austermühle
Ellen Hahn-Spieß
Ing. Jenny Oestrovsky
Grete Biggen-Kostolzin
Ben Zahn
Univ.Prof. Nurten Neuschäfer MBA.
Ing. Justus Binner
Eva Wende B.Eng.
Anthony Bonbach
Zehra Putz
Gert Fischer
Sebastian Warmer
Maximilian Steinberg
Univ.Prof. Kläre Oderwald B.Sc.
Raymond Misicher
Anny Zirme
Wanda Becker
Guntram Scholz MBA.
Kaspar Junken
Sofia Hethur
Prof. Hans-Gerhard Reinhardt B.Eng.
Burkhard Schweitzer
Marisa Hartmann-Kusch
Elli Kuhl B.Eng.
Brita Flantz-Knappe
Herr Filippo Rosemann B.A.
Lydia Wirth
Reza Mielcarek
Ing. Augustin Budig B.Eng.
Jiri Förster
Heinz-Otto Linke
Slavica Vollbrecht
Kati Süßebier
Alexej Hornig-Radisch
Dipl.-Ing. Berend Niemeier
Jaroslaw Eckbauer
Prof. Sandra Klapp
Dietlind Drubin
Konstanze Mühle
Daria Liebelt
Leopoldine Butte
Wladimir Karge
Ulrich Segebahn
Korbinian Werner
Marco Schinke B.Eng.
Herr Winfried Vollbrecht B.Eng.
Caroline Wende
Ron Sorgatz-Eimer
Gotthilf Bohnbach-Seip
Raymond Ruppersberger
Cetin Schwital
Univ.Prof. Jacqueline Faust
Dr. Lilija Dowerg MBA.
Semra Gorlitz
Dr. Nadja Wulf
Univ.Prof. Antoinette Wende B.A.
Univ.Prof. Hans-Albert Ruppert
Bertha Heser MBA.
Achim Etzold MBA.
Raymund Thanel
Prof. Karl-Hermann Pieper B.Eng.
Till Karz
Dr. Cäcilia Henk B.Eng.
Gisa Mohaupt
Pedro Hande B.Sc.
Arnulf Kusch
Danuta Löwer
Imre Mülichen
Prof. Alina Barth
Elise Trupp
Dennis Beer-Striebitz
Konrad Schuster
Josip Kuhl
Hermine Schüler
Univ.Prof. Michail Tintzmann B.Eng.
Johann Reuter
Ditmar Briemer
Gebhard Sorgatz
Alexej Röhrdanz
Dietlinde Käster
Mechtild Patberg
Ellen Weinhold
Anika Binner-Löffler
Manfred Juncken
Rolf-Peter Staude
Hans-Detlef Schäfer
Antonietta Hübel
Gerhart Hentschel
Christina Geisel-Hesse
Margaretha Heintze-Henk
Ing. Marlene Wirth B.Sc.
Annelore Bolander
Anatolij Junk
Claudius Mude
Univ.Prof. Natalie Noack MBA.
Ditmar Dehmel
Univ.Prof. Mira Mende B.Eng.
Dr. Ottfried Lachmann B.Sc.
Sina Patberg
Czeslaw Jacobi Jäckel-Zahn
Ing. Philipp Textor
Brunhilde Mälzer-Warmer
Falko Kusch B.A.
Peter-Michael Spieß
Fatma Möchlichen
Dr. Annika Gude MBA.
Sieglinde Stahr
Alwine Wulf
Erich Klotz B.Sc.
Jolanda Rose
Erkan Kuhl-Oestrovsky
Pero Gutknecht
Radmila Kraus-Schacht
Prof. Loretta Speer MBA.
Zbigniew Boucsein
Prof. Annita Wulff
Hans-Christian Trüb
Herr Herbert Dowerg
Heino Lindau B.Eng.
Ing. Christa-Maria Liebelt
Dr. Eleni Heser
Rainer Gude-Kaul
Ruthild Schüler B.Eng.
Gunhild Gorlitz-Heinrich
Kordula Lange
Andreas Gunpf
Dr. Stephanie Ladeck
Herr Klaus Peter Krause B.A.
Oda Henschel
Janus Ring
Dr. Annette Linke MBA.
Prof. Lotti Löffler
Tino Paffrath B.Eng.
Margit Müller
Theresa Caspar
Aenne Kraus
Ruthild Juncken B.Sc.
Alma Eimer-Seip
Larissa Käster
Yvette Schinke
Folker Otto MBA.
Ing. Klaus-Michael Bolzmann
Frau Therese Henk B.A.
Eva-Maria Mies MBA.
Viviane Jopich
Conrad Killer
Heide Schottin
Hans-H. Schönland
Elke Haase
Bekir Bonbach
Erhard Reinhardt
Luise Gertz-Fliegner
Ivanka Berger-Kraus
Walli Baum-Kohl
Guido Junck
Lina Hein-Gotthard
Zenon Hahn MBA.
Zeljko Jessel
Anna-Marie Ullrich
Ignaz Beer-Eckbauer
