Student
Sophie Rädel
Orhan Mude
Univ.Prof. Aloisia Fröhlich B.A.
Ing. Chantal Schleich B.Eng.
Ing. Margot Bonbach B.Eng.
Nicolas Tschentscher
Viktor Kusch
Traudel Loos
Univ.Prof. Albertine Köhler MBA.
Ekkehart Bruder
Erhard Otto
Hans-Albert Preiß-Scheel
Fatma Seidel B.A.
Waldemar Ladeck
Giuseppe Stahr
Manuela Sauer
Jessica Kohl
Ellinor Schmidtke B.Sc.
Gerta Beer
Dr. Angelica Trüb
Ing. Ayse Schacht
Senta Ruppersberger
Adeline Holsten
Nurettin Börner
Michael Mies B.Sc.
Sybilla Hornig
Univ.Prof. Heinrich Reinhardt MBA.
Flora Etzold
Hans-Detlef Schäfer
Klaus-Peter Zorbach
Mehmet Löwer-Trupp
Frau Valentine Benthin
Ildiko Mitschke B.Sc.
Brigitte Zirme B.Sc.
Ing. Tanja Scheibe B.Eng.
Gertraude Tintzmann
Ivana Wilmsen-Gumprich
Bruni Vogt MBA.
Edeltraut Anders-Rohleder
Dr. Franco Wilms
Ing. Alexander Mude
Edit Kitzmann
Detlef Köster
Lorenzo Hornig
Prof. Guiseppe Gröttner B.Sc.
Marisa Wagenknecht
Gernot Kobelt
Univ.Prof. Bert Gieß
Hansjoachim Salz-Junk
Herr Jonathan Hänel MBA.
Torsten Trapp B.A.
Inken Gorlitz
Friedrich-Wilhelm Holsten
Dipl.-Ing. Undine Warmer
Sibilla Hofmann
Franco Loos B.Eng.
Dipl.-Ing. Ante Rust
Adem Mühle-Ruppert
Wiltrud Jäkel
Prof. Rabea Hettner B.Eng.
Dr. Halina Haase
Dr. Myriam Häring
Ing. Nadeschda Tschentscher B.A.
Ing. Agnes Zobel
Judith Sorgatz
Ing. Bianka Bärer MBA.
Pero Gnatz
Ing. Marko Linke
Grete Peukert
Lilli Meyer-Reuter
Melitta Salz
Ivo Lorch
Anni Dietz-Blümel
Abraham Carsten
Irmingard Reising
Nikolai Stiebitz
Marie-Therese Steuer
Prof. Alina Barth
Katherina Klapp
Michaela Loos-Mentzel
Hasso Mans-Buchholz
Dipl.-Ing. Ehrenfried Kranz MBA.
Dr. Helma Kohl B.A.
Cilli Röhricht
Dr. Carmela Rudolph
Ing. Edward Salz
Frau Trudi Wähner B.A.
Hansjürgen Schlosser
Janos Kobelt-Henck
Prof. Antonia Mielcarek B.Eng.
Tino Niemeier
Ing. Christiana Seip
Univ.Prof. Christoph Beier B.A.
Irmtraud Ladeck
Dipl.-Ing. Jörgen Rose B.Eng.
Cäcilie Haase
Ivo Börner
Gerard Förster
Dr. Slawomir Hande
Lothar Beckmann
Danielle Ritter B.Eng.
Brigitte Geisler
Angela Stiffel
Cynthia Langern
Wilma Pärtzelt-Huhn
Dorle Knappe
Nina Putz-Ritter
Johann Oestrovsky
Louis Loos B.Eng.
Gitta Mohaupt
Hartwig Keudel B.Eng.
Prof. Trude Schäfer MBA.
Klaus Peter Weller
Dr. Hans-Herbert Losekann B.A.
Marie-Luise Zorbach MBA.
Ing. Justus Binner
Agathe Trommler
Gertraude Hahn
Julius Kraushaar
Daniela van der Dussen B.Eng.
Giuseppina Linke
Hannelore Haase
Romy Zahn-Bien
Wencke Bohlander
Danica Atzler
Wiltrud Christoph
Johannes Freudenberger
Marten Möchlichen
Ilija Hofmann
Berit Pärtzelt
Dr. Diedrich Gerlach B.A.
Fabian Pechel-Dippel
Univ.Prof. Markus Schottin
Joseph Austermühle
Leonardo Rogge
Ing. Rocco Reuter
Artur Berger
Roy Gumprich-Klemm
Helfried Langern
Patric Geisler-Becker
Justina Zirme
Univ.Prof. Gundel Atzler B.Eng.
Hans Peter Beckmann
Ilonka Wulf
Dr. Gerhart Käster
Istvan Patberg-Anders
George Käster-Eberth
Dipl.-Ing. Marc Stroh
Anneliese Wähner
Bernard Bien-Lübs
Univ.Prof. Lara Hoffmann MBA.
Karola Zorbach B.Eng.
Tülay Trapp
Silja Jüttner
Thies Birnbaum B.A.
Asta Hesse
Univ.Prof. Margitta Wagenknecht B.Eng.
Dr. Annedore Wulff B.Sc.
Ria Dietz
Rosalia Heydrich
Regina Becker
Stephen Tintzmann
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Marie-Louise Hauffer
Cathrin Weitzel MBA.
Hans-Ulrich Plath B.A.
Dipl.-Ing. Lilly Junken MBA.
Arnfried Scheuermann
Reinhilde Hesse B.Sc.
Ing. Elisabet Jopich B.Sc.
Thorsten Kensy B.Eng.
Steffi Schmiedt B.Sc.
Tatiana Kade-Rust
Muharrem Benthin
Anna-Lena Wohlgemut
Andre Schinke
Tillmann Matthäi B.Eng.
Univ.Prof. Walfried Hövel
Margarethe Steckel
Ing. Adam Klemt MBA.
Radmila Linke MBA.
Annelie Heuser
Prof. Natalja Käster MBA.
Sigrid Schleich
Dr. Sandra Mangold B.Sc.
Marcella Franke B.A.
Insa Peukert
Damian Bauer
Ida Buchholz B.Eng.
Anton Stey
Vitus Schmidt
Herr Karl-Heinrich Eberth B.Sc.
Meryem Sager
Nikolai Rädel-Klemt
Univ.Prof. Therese Hänel
Univ.Prof. Bela Kraus
Anette Bien
Marco Stey
Prof. Clarissa Barth
Gisela Paffrath
Victoria Hornig
Siegrun Christoph
Anatolij Kroker B.Eng.
Carina Bruder
Marie Sorgatz MBA.
Arndt Bachmann B.Eng.
Heiner Ruppersberger-Hentschel
Univ.Prof. Damian Sorgatz B.Eng.
Gülten Röhrdanz
Dr. Marian Rust
Prof. Knud Salz
Christa Säuberlich
Anka Jäkel-Ackermann
Hans-Herbert Gutknecht
Gönül Kallert
Frau Brit Stoll
Gina Schmidtke
Dr. Aribert Sontag
Helena Franke
Rosina Ortmann
Marta Eigenwillig-Hörle
Salvatore Eberhardt-Ring
Prof. Marius Herrmann
Rotraut Ullrich
Lioba Söding
Arzu Stiffel-Drubin
Ulrike Gierschner-Koch II
Ing. Ramazan Kabus B.Eng.
Vesna Bähr
Dr. Annaliese Lindner
Arnold Oderwald
Dr. Wilfriede Reuter
Antonina Neureuther
Karina Tschentscher-Butte
Gusti Schleich
Wojciech Rogner
Prof. Cäcilie Staude B.A.
Rosa Rosenow B.Eng.
Gudula Niemeier
Ing. Elenore Kostolzin
Theo Neuschäfer
Margaret Kramer B.A.
Ignaz Löwer
Brian Blümel B.Eng.
Ing. Petar Hänel MBA.
Anita Mohaupt
Edward Dippel
Dr. Ian Grein Groth
Frau Jane Sauer
Herr David Freudenberger B.Eng.
Gino Hartung
Irmtrud Textor B.Eng.
Constantin Beckmann
Adele Weimer B.Eng.
Elfi Roht
Anni Hänel B.Eng.
Niko Geißler-Wirth
Detlev Stadelmann
Wenke Stolze
Sylvio Stiffel
Siegward Hertrampf
Frieda Tintzmann-Löchel
Herr Karl Dippel B.A.
Justus Aumann
Torben Wiek-Ring
Univ.Prof. Heidelinde Jopich B.Sc.
Sören Pechel
Ing. Romy Gieß
Gerhild Gude
Hans-J. Atzler
Hans-Günther Etzold
Prof. Niko Hethur B.Eng.
Mary Reuter B.Sc.
Univ.Prof. Philippe Thies B.Eng.
Dipl.-Ing. Nathalie Bender
Henni Ullmann MBA.
Ernst Koch II-Graf
Univ.Prof. Ioannis Lübs B.Eng.
Ing. Corinne Steckel B.A.
Katharine Renner
Dipl.-Ing. Gisa Jüttner B.Sc.
Claire Rogner-Scheel
Dipl.-Ing. Eckhard Kallert B.Sc.
Jens-Peter Bolzmann
Theres Beer
Ing. Ortrun Weimer
Bernard Losekann
Antonino Rogge-Meyer
Frau Therese Henk B.A.
Kristina Scheibe
Erol Lindner
Serge Kraus B.Eng.
Sibylla Pohl
Univ.Prof. Leszek Gieß B.Eng.
Nadeshda Schenk
Maria Hellwig
Telse Steuer B.Eng.
Edit Dowerg
Prof. Liliane Gehringer MBA.
Prof. Walter Pechel
Jo Gnatz
Univ.Prof. Kreszenz Wulf B.A.
Maria Mans B.Eng.
Dr. Steven Wohlgemut
Valeria Conradi
Rüdiger Bien-Hübel
Irene Rogner
Maximilian Steinberg
Aysel Löchel
Moritz Holzapfel
Augustin Carsten
Almut Trupp
Lisette Stoll B.Eng.
Kay-Uwe Ziegert
Ernest Schönland B.Eng.
Regine Häring
Eva-Maria Geisler
Jens-Peter Heinrich
Mohammed Ritter
Dipl.-Ing. Jiri Walter
Ana Heinz B.A.
Susanna Schaaf
Dörte Warmer
Helge Finke-Wähner
Dipl.-Ing. Woldemar Benthin B.A.
Ing. Giuseppe van der Dussen B.A.
Michaela Kade
Hans-Uwe Sager
Benita Heser
Georg Nerger
Univ.Prof. Sigurd Fischer B.Eng.
Isidor Niemeier
Franziska Jüttner
Abram Vogt MBA.
Dr. Czeslaw Neureuther
