Student
Andrea Hamann
Celal Ortmann-Otto
Bertha Ritter-Drubin
Saskia Wagenknecht
Rudolf Weihmann
Zeki Otto
Heinz-Otto Hermighausen
Helmuth Jäntsch
Stanislaw Misicher
Gunnar Ernst
Antonius Käster
Sergej Dippel
Reimar Klemm MBA.
Immo Ring
Gesine Graf
Jan Linke MBA.
Alexej Kohl
Dunja Dörr B.Sc.
Frau Kordula Geisler MBA.
Univ.Prof. Gottfried Süßebier
Fatima Rörricht
Hanife Ackermann
Hans-Albert Preiß-Scheel
Kunibert Trommler-Renner
Dipl.-Ing. Christoph Schulz B.Sc.
Sigurd Lange-Seifert
Rosa Kobelt
Dipl.-Ing. Valeria Kühnert MBA.
Diethard Gude
Ing. Serpil Rudolph MBA.
Muharrem Rosemann-Heidrich
Ilija Fischer
Halil Löwer
Inge Dehmel
Andrei Säuberlich
Marcel Fechner
Herr Roman Schwital MBA.
Frau Ariane Weinhage MBA.
Dr. Zehra Etzler
Herta Weitzel
Dr. Hildegund Söding B.A.
Ottmar Kruschwitz
Marie-Theres Pechel
Diether Blümel
Hubertine Krein
Anto Kobelt-Kobelt
Maria-Luise Schaaf
Dorina Fiebig
Franz Lange
Ing. Karin Werner
Dr. Reimar Fiebig B.A.
Cora Steuer-Junken
Univ.Prof. Beate Gude
Lena Dowerg
Eckart Klotz
Marc Henck B.Eng.
Heinrich Köster
Henryk Plath-Jopich
Vera Heydrich
Prof. Emine Wulf B.Eng.
Ferenc Pergande B.Eng.
Dina Koch
Herr Simon Fliegner MBA.
Dipl.-Ing. Frederik Rörricht B.Sc.
Ingried Ullmann
Siglinde Zahn
Evelin Stumpf
Magda Berger B.A.
Dipl.-Ing. Grete Stiebitz
Irmgard Hövel
Ing. Aldo Radisch
Henry Schüler B.Eng.
Patrick Anders-Stolze
Wilma Pärtzelt-Huhn
Hartmut Hiller B.A.
Mehdi Bähr B.A.
Univ.Prof. Samira Drewes
Michaele Neureuther
Maximilian Juncken
Tobias Mühle
Rico Cichorius
Luis Ackermann
Univ.Prof. Gino Wagner B.Sc.
Prof. Heinz-Joachim Seidel
Gertraud Jüttner
Conrad Lindau
Prof. Marie Plath
Lena Holzapfel
Edgar Karge
Bernhardine Schuchhardt
Ing. Pamela Gerlach
Anette Bien
Prof. Lotti Löffler
Leonore Schacht
Dipl.-Ing. Annelise Naser
Hans-Theo Thies
Dipl.-Ing. Herta Fliegner MBA.
Univ.Prof. Cord Becker
Prof. Sandra Klapp
Dr. Carsten Steinberg
Andre Schlosser
Pius Jopich B.Eng.
Karl-Wilhelm Meyer
Irina Hahn
Swetlana Jessel
Univ.Prof. Norma Schleich B.Sc.
Dipl.-Ing. Bernward Putz B.Eng.
Vitus Pruschke B.A.
Stephen Reichmann
Vassilios Kramer
Gabriela Girschner
Falk Ritter
Gina Stumpf
Georgia Ruppersberger
Natalia Fröhlich-Kabus
Patrizia Spieß
Elvira Gute-Käster
Osman Salz MBA.
Brigitte Geisler
Inge Kabus
Marie-Louise Hauffer
Tim Sorgatz
Ilija Rosenow
Frau Francesca Blümel
Guenther Metz
Prof. Ralph Patberg
Therese Rohleder
Harro Gunpf
Cornelia Radisch
Frau Inken Zimmer B.Eng.
Dipl.-Ing. Marc Stroh
Univ.Prof. Hartwig Holsten B.Sc.
Oscar Fritsch
Heinz-Joachim Stiebitz
Prof. Gabriella Holt B.Eng.
Jaroslav Benthin
Heinz-Joachim Kobelt
