Student
Hans Josef Reinhardt B.A.
Jens-Uwe Geisler
Prof. Cäcilie Staude B.A.
Hagen Weimer
Adelbert Austermühle
Kai-Uwe Mitschke
Univ.Prof. Gottlieb Steuer B.A.
Dipl.-Ing. Tim Jäntsch B.Eng.
Annelore Täsche
Ivana Nerger
Marit Thanel B.Sc.
Isabell Eberth-Pechel
Dipl.-Ing. Till Schenk
Paolo Hentschel-Zobel
Dr. Frank Oderwald MBA.
Polina Hettner
Samir Wähner-Butte
Werner Kramer B.A.
Berthold Haase-Trub
Joana Zimmer B.A.
Dr. Anna-Maria Zahn B.Sc.
Marius Klotz
Claire Römer-Hornich
Marcel Schlosser
Dr. Arzu Martin B.Eng.
Meryem Sager
Ing. Herwig Drub MBA.
Augustin Hoffmann MBA.
Torben Wiek-Ring
Jelena Jüttner
Micha Röhricht B.A.
Aribert Kusch
Michaela Döhn
Hanife Ackermann
Rigo Conradi
Natalia Fröhlich-Kabus
Raymond Löchel-Ziegert
Ing. Ayse Mangold MBA.
Prof. Andrzej Gorlitz
Dr. Ursel Gute
Nikolaos Ebert-Grein Groth
Herta Hoffmann
Carmen Textor-Krebs
Siegried Caspar B.A.
Dr. Jeannine Schleich B.Sc.
Ira Scholz-Pohl
Univ.Prof. Simona Holzapfel MBA.
Miroslav Paffrath
Jennifer Trapp
Cornelia Römer
Carla Gnatz
Dr. Mario Lorch
Univ.Prof. Heinrich Knappe B.A.
Berend Rörricht
Alena Neureuther
Saskia Wagenknecht
Wilfriede Misicher
Louise Jessel
Siegmund Hövel
Agathe Jäntsch-Käster
Dr. Editha Rohleder
André Kroker
Ilonka Zimmer
Univ.Prof. August Gunpf B.A.
Ullrich Preiß
Reinhilde Hesse B.Sc.
Dipl.-Ing. Valeria Kühnert MBA.
Ingmar Hauffer
Dr. Ralf Hölzenbecher
Hans-J. Neureuther
Elfi Roht
Hiltrud Bolander-Ziegert
Dr. Ibrahim Dobes B.Eng.
Univ.Prof. Ilja Hentschel MBA.
Prof. Siegbert Scheuermann B.A.
Herr Erich Rosenow
Alfred Weinhage-Stiffel
Dr. Herbert Jockel B.Eng.
Hans-Bernd Kabus
Danuta Löwer
Juan Briemer-Textor
Guntram Scholz MBA.
Bertold Bloch-Beckmann
Jasmina Bolzmann
Margareta Klingelhöfer
Imre Sauer
Francesca Wieloch
Hermann-Josef Loos
Senol Harloff-Lindau
Geraldine Reising MBA.
Benita Neuschäfer
Frau Inken Zimmer B.Eng.
Adriane Gröttner
Prof. Friedbert Tschentscher B.Eng.
Dr. Mato Geisel
Eva Wende-Peukert
Heinrich Bohlander-Ullrich
Manuel Schenk
Rüdiger Hellwig B.A.
Silva Hiller MBA.
Dogan Häring MBA.
Jeanette Speer
Enver Börner MBA.
Herr Ekkehart Sorgatz
Heidemarie Junitz
Kevin Tlustek-Heinz
Thaddäus Kraushaar-Ruppert
Gunter Beyer
Oliver Bien
Adelinde Kensy B.Eng.
Dörthe Rädel
Krzysztof Niemeier-Kostolzin
Hans-Ulrich Dussen van
Recep Weihmann
Sonja Löchel
Karina Tschentscher-Butte
Siegrid Paffrath
Micha Albers-Wilms
Liesa Sauer
Vlado Hübel B.Eng.
Rico Putz-Killer
Joana Preiß
Univ.Prof. Almut Ehlert B.Sc.
Dogan Ruppersberger
Nikolai Stiebitz
Nicolas Tschentscher
Prof. Heinz-Peter Sager
Massimo Hecker
Dr. Reimar Fiebig B.A.
Hans-Helmut Eimer MBA.
Marie-Louise Girschner
Ing. Stella Wagner
Brit Anders
John Gunpf B.Sc.
Hans-Adolf Mosemann B.A.
Rahel Dörschner
Fanny Zänker-Hein
Brunhilde Mälzer-Warmer
Prof. Irmela Klemt B.Eng.
Dr. Stephanie Ladeck
Ing. Eugenie Kreusel MBA.
Adriana Vogt
Ian Briemer B.Eng.
Hella Pergande MBA.
Prof. Lieschen Bohlander
Rose Beer
Tibor Budig
Jutta Franke-Rosenow
Univ.Prof. Clara Heidrich B.Sc.
Dr. Theresia Mende
Mary Hofmann B.A.
Gerhart Karz
Dietlinde Binner
Jorge Killer
Faruk Köhler
Steven Weinhold B.A.
Damaris Zirme
Kornelia Dörr
Eleonora Gehringer
Janko Margraf MBA.
Ing. Aldo Pechel B.Eng.
Hansjürgen Weitzel
Fatih Bohlander
Veit Etzler
Uwe Sorgatz
Lidia Butte
Dr. Hildegund Söding B.A.
Brit Heidrich B.A.
Wladimir Karge
Romuald Hartmann
Helmtrud Gerlach
Gerti Döring
Univ.Prof. Gusti Schlosser
Drago Gierschner B.Eng.
Bela Naser-Löwer
Karl-Peter Grein Groth B.Eng.
Lili Döhn-Margraf
Severin Mende B.A.
Eckhard Sölzer
Willy Trub-Freudenberger
Thomas Hentschel
Frau Dorothe Mielcarek
Frau Yvonne Trupp B.A.
Eberhardt Schäfer
Prof. Carina Eimer
Johanne Kusch
Renate Franke B.A.
Sylvester Zirme
Asta Hesse
Burkard Schlosser
Toni Schottin B.A.
Ing. Friedhold Hartung B.Sc.
Charles Heinz
Gotthilf Gehringer B.A.
Malte Herrmann-Zänker
Arnulf Zimmer-Seifert
Dipl.-Ing. Roland Bien B.Sc.
Wolfram Klingelhöfer B.Eng.
Patrik Ditschlerin
Prof. Irmhild Fritsch
Mohamed Stiebitz-Pärtzelt
Frau Monique Löchel
Ing. Hellmuth Scholl
Ditmar Bien
Birthe Schüler
Elias Hethur
Zehra Conradi-Heinrich
Irmtrud Klingelhöfer
Mehdi Kohl B.A.
Ernst-August Beyer
Dr. Selma Geisel B.Sc.
Metin Peukert-Lindner
Univ.Prof. Sibylle Zirme B.Sc.
Mariola Tlustek MBA.
Belinda Reinhardt B.A.
Marleen Etzler
Marco Buchholz
Susana Schaaf
Ronald Hofmann
Prof. Irma Bien B.Eng.
Karl-Peter Kramer
Kai-Uwe Bohnbach
Larissa Käster
Robert Etzold
Senta Renner
Pietro Klingelhöfer
Dr. Patrizia Dörschner B.A.
Dipl.-Ing. Gisela Schuster B.A.
Inken Ziegert
Edgar Bauer
Gerwin Salz
Jens-Peter Heinrich
Asta Mielcarek-Blümel
Stephan Stolze-Holt
Marie-Theres Pechel
Hulda Junk
Gaby Bähr
Siegfried Schuster
Gundula Scheel-Döring
Wolf-Dietrich Berger
Aysel Löchel
Nils Hering-Loos
Ing. Leander Weimer B.Eng.
Dr. Daniel Trommler
Ing. Damaris Bonbach
Lucie Trüb-Schmiedt
Conny Zirme B.Sc.
Ing. Corinne Steckel B.A.
Dr. Carmela Rudolph
Robin Sölzer
Univ.Prof. Hedwig Krein
Bela Köster
Dr. Lina Hiller
Angelika Rosemann
Univ.Prof. Cynthia Löwer
Constance Lange
Ing. Helmtrud Dussen van
Rosa-Maria Seifert
Francoise Rust
Amir Reuter
Prof. Marko Rohleder B.A.
Insa Jacobi Jäckel
Fadime Reinhardt MBA.
Herr Ruben Schüler B.Eng.
Klemens Förster
Rouven Bloch B.A.
Karen Rädel
Dorina Rust
Detlev Stadelmann
Damian Söding
Hardy Weller
Karolin Mitschke
Reimar Müller
Hansjoachim Salz-Junk
Dr. Jacqueline Trubin B.Sc.
Annie Langern
Folker Fischer
Winfried Hermann
Cindy Rogge-Dippel
Dr. Änne Radisch
Gabriel Werner
Danuta Lachmann-Dussen van
Dörte Dobes-Bonbach
Prof. Gertraude Wohlgemut B.Eng.
Dipl.-Ing. Patric Fröhlich
Sebastian Karge
Lilija Ruppert
Geza Bloch-Mühle
Sören Liebelt
Janett Zorbach
Dr. Elly Junk
Kay-Uwe Pölitz
Ditmar Pölitz B.A.
Herr Dursun Hentschel B.Eng.
Franz Josef Girschner
Mattias Wieloch
Dr. Franco Stumpf B.Eng.
Dipl.-Ing. Gabi Scholtz
Marian Hande
Ewald Kreusel
Ing. Bernard Schleich B.Sc.
Sofie Reichmann
Prof. Constance Austermühle B.Sc.
Johan Buchholz
Gudula Stroh-Bien
Thilo Patberg
Philomena Salz
Sibylle Jäntsch
Artur Budig
Antonietta Barth
Brigitta Walter
Angela Weimer
Frau Rosalinde Riehl
Annerose Eckbauer
Damian Holsten
Tillmann Stolze
Dr. Margita Stiebitz
Ana Klapp MBA.
Hans-Christian Roht
Linus Lübs
Lili Birnbaum
Conrad Paffrath
Bianka Dobes-Seifert
Univ.Prof. Dorit Pechel B.A.
Marvin Gröttner MBA.
Rocco Trub
Prof. Karen Benthin B.Eng.
Lena Losekann
Gertrude Lehmann-Kostolzin
Gunda Knappe
Dipl.-Ing. Christel Beer B.Eng.
Hedi Gumprich
Henner Schmidt
Meta Harloff
Erdal Bruder
Susann Haering
Dipl.-Ing. Jozef Hartmann
Leszek Hentschel
Frau Ivanka Killer MBA.
Adina Söding
Patrizia Wirth
Fabienne Conradi B.Eng.
Alice Hesse
Herr Franz Geisler B.A.
Senta Weihmann
Susi Hendriks
Jeannette Heuser
Gülsen Davids-Heinz
Mark Röhricht
Maximilian Pohl B.A.
Frieda Gröttner
Hansjörg Holsten
Anny Wähner
Hansjürgen Lindner
Wiltrud Geißler
Nurettin Bärer B.Eng.
Urszula Spieß
Notburga Huhn
Ismail Koch
Irene Ditschlerin
Gotthard Scheuermann
Dominik Huhn
Serge Trubin
Nadeschda Hande
Marlene Heuser-Trub
Dipl.-Ing. Meral Beyer
Ulf Dörschner
Inken Juncken
Horst Hauffer B.Eng.
Frau Stella Plath B.A.
Adelinde Geisler
Hans-Uwe Sager
Waltraud Trapp-Pechel
Vitus Pruschke B.A.
Sandy Dietz
Dipl.-Ing. Danuta Stumpf B.Eng.
Annamaria Margraf
Prof. Amir Reising MBA.
Dipl.-Ing. Hans-Karl Dussen van B.A.
Albina Stadelmann
Univ.Prof. Arne Hoffmann
Dr. Otmar Linke MBA.
Hellmuth Söding-Bonbach
Hans Kraus
Dr. Jan-Peter Martin B.Eng.
Ulla Süßebier
Dipl.-Ing. Henriette Schmidtke MBA.
Frau Myriam Walter B.Sc.
Adem Schleich
Heinz-Joachim Spieß
Melissa Gehringer
Elzbieta Beier
Milos Wiek
Sonja Barkholz
Herr Tomislav Ladeck
Milos Biggen
Lars Eckbauer-Möchlichen
Ernst-August Oestrovsky-Kreusel
Zenta Mende
Ing. Magda Jäntsch
Hans-Theo Bärer B.Eng.
Deborah Becker
Sylvia Schenk
Hans-Jochen Mude
Tabea Schomber
Henry Hofmann B.Eng.
Dr. Caroline Ortmann
Arnold Oderwald
Detlev Heintze
Suse Pergande-Gröttner
Gönül Barth-Zobel
Sevim Vollbrecht B.A.
Isabell Buchholz
Ercan Oestrovsky B.Eng.
Diana Jessel-Geißler
Katja Kruschwitz-Roskoth
Dipl.-Ing. Christoph Schulz B.Sc.
Guido Pieper
Peggy Sauer
Ing. Fredi Löffler
Gusti Henschel
Bernard Karge
Falko Kusch B.A.
Augustin Ernst
Anni Seidel B.Eng.
Anne-Katrin Rogge
Mira Hoffmann
Dr. Marie-Luise Klingelhöfer B.Eng.
Caterina Weinhage
Herr Hans Peter Jacob
Univ.Prof. Pamela Kambs MBA.
Dr. Friedhilde Adler MBA.
Janusz Killer
Herr Hinrich Mühle
Heide Knappe
Ariane Roskoth
Gabriele Stahr
Stephen Trommler
Tanja Rörricht-Haering
Ljiljana Roht
Heinz-Georg Heidrich
Mira Bender
Eckhart Gutknecht
Iwan Renner-Dussen van
Doreen Hornig
Christian Jacobi Jäckel
Hannah Stiffel-Börner
Milica Huhn
Marianne Killer
Anneli Neuschäfer
Ursula Löffler
Prof. Heinz-Joachim Seidel
Prof. Lydia Siering
Theo Henschel
Eckard Dehmel MBA.
Mohamed Heydrich
Carlo Martin B.Eng.
Katherina Klapp
Nevenka Hörle MBA.
Nadeschda Barkholz
Hartmut Hiller B.A.
Heinz-Werner Buchholz
Katharine Mühle
Grete Biggen-Kostolzin
Kreszentia Pölitz-Karge
Kenan Wulff-Plath
Annette Ullmann
Univ.Prof. Nikola Graf MBA.
Margaret Kraus
Erik Wirth B.Eng.
Prof. Henryk Kitzmann
Benno Klemt
Elizabeth Wulf
Necati Lindner
Benita Holzapfel-Hecker
Willfried Kostolzin
Ing. Ahmet Häring
Herr Eberhardt Gierschner
Danny Mälzer
Prof. Magnus Dörr B.Eng.
Silvia Weiß
Univ.Prof. Ferenc Knappe B.Sc.
Erdal Bähr
Univ.Prof. Karin Beier
Carmine Hauffer
Heinz-Joachim Stiebitz
Prof. Hubert Heß
Dipl.-Ing. Jaroslav Henk
Dr. Trude Ziegert B.A.
Else Heß MBA.
Reinhard Christoph
Karl-Otto Putz
Evelyn Bien
Adolfine Lange
Marieluise Kruschwitz
Viktor Kusch
Lorenzo Zänker
Elzbieta Hartung
Prof. Clemens Söding
Lieschen Kusch-Pechel
Andre Schönland B.Sc.
Hinrich Römer
Ing. Cilli Gertz B.A.
Dorota Mude
Hendrik Gehringer
Roselinde Kusch-Röhrdanz
Käthi Faust-Gorlitz
Danny auch Schlauchin
Gretchen Pohl
Heidelore Zirme
Susan Warmer
Ing. Romuald Roht B.Sc.
Adem Hörle
Liane Reuter
Sylvana Holzapfel
Anatol Hübel
Miguel Gehringer-Reising
Dipl.-Ing. Claudia Häring
Zlatko Ritter B.Eng.
Frauke Dörschner
Vitali Junken
Gundula Ruppersberger
Mehdi Bähr B.A.
Edelgard Neureuther-Vollbrecht
Dr. Alois Kraushaar B.Sc.
Bruno Siering MBA.
Karen Grein Groth-Dörschner
Prof. Annita Wulff
Ing. Leni Rosenow B.Eng.
Miroslaw Holt
Charles Anders
Osman Schäfer
Karl-Heinz Hahn
Dr. Cäcilia Henk B.Eng.
Jeannette Schleich
Steven Steinberg B.Eng.
Christiane Roht
Sylvana Hornich MBA.
Dipl.-Ing. Nathalie Radisch
Wenke Patberg
Gerhart Staude
Benjamin Jäntsch B.Sc.
Marlies Mude
Univ.Prof. Guido Carsten MBA.
Ottmar Hölzenbecher
Uwe Schwital MBA.
Christof Ditschlerin
Adelgunde Thanel
Valeria Finke
Jörg Speer
Verena Höfig
Prof. Vadim Rogner
Gisela Carsten B.Sc.
Dipl.-Ing. Lidija Pölitz
Carmela Lindau
Hans Jürgen Winkler
Anatolij Peukert
Emma Briemer
Ilja Freudenberger B.A.
Mariusz Adler
Ehrhard Häring B.A.
Anastasios Kuhl
Antje Kambs
Irmengard Jüttner B.Eng.
Judith Sorgatz
Univ.Prof. Maxim Matthäi
Dipl.-Ing. Alla Karge
Margaretha Kohl B.Sc.
Jacob Süßebier
Janette Wiek
Gislinde Lehmann
Ing. Melanie Hamann
Sara Rogge
Dana Ebert B.A.
Notburga Pechel B.Eng.
Eckard Textor
Dipl.-Ing. Werner Scholl B.Eng.
Prof. Meral Jüttner MBA.
Boris Kruschwitz
Klaus-Dieter Meister
Wiltrud Wilmsen-Graf
Ing. Katarzyna Noack
Anica Austermühle
Ing. Jeanette Rosemann B.Eng.
Dipl.-Ing. Bodo Junk B.Eng.
Dr. Inna Mude MBA.
Prof. Ferdinand Gertz B.Sc.
Magdalena Sauer
Henny Stey
Kornelia Bachmann
Jann Fröhlich
Prof. Frithjof Adolph MBA.
Fernando Reising
Jens Trub
Ing. Cläre Dowerg
Leonardo Rogge
Patrizia Schleich
Ing. Jo Caspar
Adele Boucsein B.Sc.
Dr. Jeanette Schuchhardt B.Eng.
Prof. Vadim Stroh
Gitte Briemer
Kreszenz Ruppert-Dobes
Felizitas Werner
Stephan Hauffer
Pawel Peukert-Rörricht
Anika Biggen MBA.
Heide-Marie Heß B.A.
Sina Barkholz
Rebecca Börner
Amanda Weller
Eleni Mühle MBA.
Hulda Seidel-Carsten
Janine Dehmel B.Eng.
Lilija Döring
Herr Simon Fliegner MBA.
Ing. Siegmund Hertrampf MBA.
Alicja Stiffel
Maria-Theresia Scholl
Oscar Reinhardt B.A.
Hanne-Lore Johann
Hans-Jürgen Klemm
Ricarda Steuer
Edelbert Stey-Scholz
Hannchen Zahn
René Rose-Krebs
Ilija Fischer
Ekaterina Liebelt
Florian Finke
Magnus Heidrich
Desiree Köster
Ditmar Niemeier
Prof. Katrin Mülichen B.Eng.
Dipl.-Ing. Lilly Junken MBA.
Johann Liebelt MBA.
Daniel Stiebitz
Prof. Tina Nohlmans MBA.
Zita Butte
Geza Weller
Semra Gorlitz
Stilla Köhler
Roswita Sauer
Anastasios Drub
Rosina Ditschlerin-Ortmann
Karl-Heinz Rohleder
Sükrü Fiebig
Johann Reuter
Ing. Sibel Mies
Gerd Süßebier
Reinhard Rogge
Ing. Agnes Zobel
Necati Koch
Ing. Knut Christoph
Lisbeth Karge
Louis Geisel
Adalbert Hande B.Eng.
Konstanze Mühle
