Student
Prof. Marian Gerlach
Dipl.-Ing. Roland Bien B.Sc.
Orhan Dörr-Salz
Nadeschda Rädel
Janko Neureuther
Ing. Mike Stolze
Karlfried Rörricht
Friederike Geisler
Prof. Irmela Klemt B.Eng.
Evangelos Hartmann B.A.
Reinald Zahn
Gisela Carsten B.Sc.
Viktoria Trub-Budig
Heribert Römer-Lindau
Volkhard Köster-Jüttner
Anne-Kathrin Bachmann
Ralf-Dieter Kroker
Ilka Faust
Dipl.-Ing. Götz Bloch
Mareike Reichmann
Rolf-Peter Reising B.Sc.
Ahmet Stumpf
Giesela Wagner
Fernando Dobes
Jochem Hermighausen
Matthäus Striebitz-Zirme
Univ.Prof. Francesco Schulz B.Eng.
Univ.Prof. Alexandre Schottin
Nadia Wirth
Thaddäus Kraushaar-Ruppert
Marcella Holzapfel
Anica Austermühle
Heiner Ruppersberger-Hentschel
Korinna Koch II
Krystyna Rust-Baum
Susi Seifert
Rita Käster B.A.
Liesa Gröttner
Gerti Döring
Bogdan Rosemann
Herr Anton Mohaupt B.A.
Herr Oliver Stahr
Monica Blümel
Beata Stahr
Frau Francesca Blümel
Slavica Koch
Dr. Elzbieta Mitschke B.Eng.
Toni Dehmel-Striebitz
Dierk Beier
Karl Heß
Wally Wähner
Alfredo Oestrovsky
Annelore auch Schlauchin-Lorch
Bruno Wagenknecht
Dörthe Hiller
Patrik Ditschlerin
Dogan Kranz
Aneta Schlosser-Köster
Volker Hettner
Edgar Bauer
Kristiane Steckel
Florence Schulz
Susann Hartung-Schmiedecke
Herr Ekkehart Sorgatz
Ewald Hethur
Annelore Juncken
Patricia Trubin
Gotthilf Bohnbach-Seip
Harri Mans
Juan Fechner
Marietta Heinrich
Heimo Gorlitz B.A.
Univ.Prof. Almuth Cichorius B.Eng.
Ilja Freudenberger B.A.
Sebastian Warmer
Jiri Förster
Benjamin Stoll
Hans-Gerd Jockel
Kunigunda Fischer
Ing. Cynthia Weihmann B.Eng.
Univ.Prof. Immo Mangold
Ing. Gabriella Bähr
Rosa-Maria Losekann-Schulz
Dipl.-Ing. Manuel Kade
Dr. Gerold Dörschner
Nathalie Langern
Dörte Warmer
Richard Kostolzin
Dipl.-Ing. Henriette Lindau
Enver Conradi-Hecker
Magrit Lange
Hanspeter Davids
Ing. Siegmund Hertrampf MBA.
Branka Mentzel
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Ortwin Scholl
Ibrahim Lehmann B.Eng.
George Weimer
Mattias Sorgatz-Haase
Anatolij Trub
Heribert Austermühle-Trupp
Willibald Boucsein B.Sc.
Teresa Ladeck-Rädel
Jonas Mühle
Heidrun Stiebitz
Mohamed Schottin
Prof. Ingmar Bonbach
Dipl.-Ing. Rouven Kallert MBA.
Marleen Heser
Kay-Uwe Trapp
Ing. Hermine Warmer B.A.
Beatrix Scheibe B.Sc.
Univ.Prof. Gusti Schlosser
Jolanda Jopich
Prof. Emine Wulf B.Eng.
Silja Kraus-Schuster
Johannes Freudenberger
Zehra Putz
Ilka Heß
Ruth Wiek-Bloch
Ing. Jens-Peter Tschentscher
Ing. Henning Drub
Ioannis Junck
Prof. Gerda Barkholz MBA.
Ing. Rose-Marie Hölzenbecher
Ing. Alwine Scholz
Klaus-Dieter van der Dussen
Aysel Löchel
Roman Hauffer
Prof. Balthasar Hecker B.Eng.
Herr Knud Pölitz B.A.
Univ.Prof. Isabel Ladeck
Annamaria Baum MBA.
Ing. Magda Jäntsch
Heidemarie Köhler
Katherina Hesse
Univ.Prof. Claudio Schmiedt
Margaretha Kohl B.Sc.
Petar Hamann
Arnulf Heidrich
Prof. Felicitas Dörschner
Yasemin Hande
Kenan Pieper
Karolina Reuter-Freudenberger
Nicole Hoffmann
Milka Hahn
Prof. Beatrix Döring MBA.
Andre Schlosser
Wilfried Steinberg
Dipl.-Ing. Cora Baum
Brigitte Knappe
Bernard Bien-Lübs
Ing. Hulda Schaaf
Univ.Prof. Paul-Heinz Heinz
Gert Fischer
Emilie Schmidt-Gröttner
Prof. Tina Ullrich
Aleksandra Benthin
Reimar Pohl
Zita Klemt
Frau Mareile Birnbaum
Lotte Kusch
Nermin Martin
Tilman Killer B.A.
Athanasios Bloch
Klaus-Dieter Koch II B.A.
Frau Brigitta Bohlander MBA.
Abraham Adler
Mattias Henk
Catharina auch Schlauchin
Rochus Gude
Fernando Tschentscher-Schacht
Joerg Döhn
Prof. Tina Nohlmans MBA.
Ing. Pawel Rörricht
Knud Zimmer
Zeljko Gieß
Gebhard Sauer
Aysel van der Dussen-Jäntsch
Ariane Roskoth
Dr. Sybille Bärer B.Sc.
Inge Dehmel
Elena Gotthard
Prof. Falko Trapp B.Eng.
Dipl.-Ing. Valeria Kühnert MBA.
Patric Geisler-Becker
Andrew Misicher
Valeska Geisler B.Eng.
Herr Günther Krein MBA.
Univ.Prof. Ludwig Jähn B.A.
Engelbert Sauer MBA.
Ing. Gotthard Reuter B.A.
Miriam Hentschel
Steffen Cichorius B.Eng.
Wenke Stolze
Angelique Wesack B.Eng.
Klaus Dieter Rädel
Bianka Schmidt
Therese Neureuther
Franziska Jüttner
Ing. Augustin Budig B.Eng.
Hermann Josef Börner
Birgid Graf
Prof. Robert Heintze
Gabriel Roskoth
Günther Mude B.A.
Imre Sauer
Irmtrud Pohl
Ing. Zofia Ernst
Ronald Henschel
Natalia Fröhlich-Kabus
Monique Stroh
Horst-Dieter Seifert
Stjepan Schmidtke
Rolf Wirth
Peter-Michael Spieß
Juliana Möchlichen
Elizabeth Wulf
Abraham Junken-Beckmann
Dorothee Seidel
Frau Pascale Hettner B.Eng.
Gabor Dobes
Brian Hölzenbecher
Carmine Bruder-Rörricht
Romana Wulff
