Student
Hans Georg Gorlitz-Schäfer
Udo Grein Groth
Ing. Ivo Weinhold
Oscar Junitz
Dr. Elwira Hiller
Ehrenfried Drubin-Paffrath
German Speer
Prof. Ralph Patberg
Francoise Rust
Frau Annette Fiebig B.Eng.
John Roskoth-Rädel
Bayram Kostolzin-Rosenow
Dajana Meyer
Hans-Hermann Haering
Gisela Girschner
Nicolas Tschentscher
Frederike Dippel
Reinhilde Metz
Franz Steuer
Gudrun Reichmann MBA.
Hildegunde Stiebitz-Mude
Prof. Carina Eimer
Ing. Alexandros Vogt MBA.
Theodoros Grein Groth
Rosa-Maria Reising
Dr. Alois Kraushaar B.Sc.
Ulla Fliegner-Sölzer
Klothilde Zänker
Caroline Wende
Ing. Pawel Rörricht
Gero Gumprich B.Sc.
Frau Clarissa Rosenow B.A.
Patrik Ditschlerin
Yvette Süßebier
Herr Hendrik Fritsch B.Eng.
Ing. Kläre Radisch
Aenne Hübel-Mühle
Kati Süßebier
Siegrun Christoph
Michail Pechel
Dr. Reinhilde Thies B.Eng.
Myriam Aumann
Alida Trupp
Univ.Prof. Evelyn Seifert B.A.
Gretchen Eimer-Wilmsen
Klaus-Peter Gieß-Winkler
Eveline Birnbaum
Dipl.-Ing. Margarethe Holt MBA.
Gusti Schleich
Francisco Harloff
Ing. Ivonne Nerger
Ing. August Hellwig B.Eng.
Nevenka Fritsch
Roman Jäntsch
Hilmar Spieß
Alicja Gieß
Hans-Theo Thies
Catharina auch Schlauchin
Tibor Briemer
Prof. Guenther Margraf B.Eng.
Gino Heß
Karen Rädel
Hiltrud Bolander-Ziegert
Rene Rohleder
Theodor Niemeier
Ralf-Dieter Kroker
Siegbert Henschel
Gabriele Käster
Pascal Freudenberger
Sybilla Striebitz
Patrizia Schüler
Herr Thorben Jacob
Isidor Zobel-Ritter
Sigmund Hentschel MBA.
Frau Anne-Katrin Rädel
Univ.Prof. Albin Bärer
Else Heß MBA.
Univ.Prof. Heinz-Dieter Schuster
Josefa Lange
Dipl.-Ing. Karsten Fechner
Ing. Gerold Mende
Univ.Prof. Leszek Gieß B.Eng.
Sigrid Jockel
Ehrhard Förster
Wigbert Ortmann
Markus Albers
Hans Dieter Fiebig B.Eng.
Hildegard Roht B.Sc.
Karl-Peter Kramer
Sandy Zimmer
Lieschen Rörricht
Dr. Jane Kostolzin
Anatolij Steinberg
Irmtraud Hauffer-Matthäi
Flora Gotthard
Mirco Girschner
Dorit Zimmer-Krein
Dr. Lidia Flantz B.Sc.
Kathi Häring
Grit Karz
Univ.Prof. Resi Kobelt
Dominik Huhn
Jana Wulf MBA.
Margaretha Kohl B.Sc.
Manja Koch II-Heuser
Ignaz Löwer
Loni van der Dussen B.Sc.
Lydia Jopich
Antonia Stey
Jeannine Lehmann
Dipl.-Ing. Betty Niemeier MBA.
Korinna Koch II
Madlen Steinberg
Univ.Prof. Brigitte Rogner
Simone Harloff B.Eng.
Joerg Zimmer-Kusch
Sofie Reichmann
Ing. Dietlind Gieß
Svenja Hartmann
Janet Kade
Univ.Prof. Dana Seifert
Friedrich-Karl Weimer
