Student
Traudl Christoph
Heinz-Jürgen Adolph
Aurelia Sorgatz
Gertraud Mentzel
Prof. Irma Bien B.Eng.
Herwig Krebs
Detlev Stadelmann
Bettina Schlosser
Hannelore Haase
Bertha Köhler
Jan Freudenberger
Prof. Marten Söding B.A.
Stefano Huhn
Ann Werner-Wilms
Kordula Drub B.Sc.
Mandy Trüb
Dipl.-Ing. Elly Davids B.Sc.
Prof. Julia Möchlichen B.A.
Rosa Kobelt
Arnfried Lorch B.A.
Florian Weimer
Torsten Schwital-Gude
Miodrag Fliegner B.A.
Klaudia Vollbrecht B.A.
Dr. Tony Ditschlerin
Herr Wilhelm Schuchhardt B.A.
Irmtrud Textor B.Eng.
Ing. Wolf-Rüdiger Weihmann B.Eng.
Torben Säuberlich-Linke
Wibke Reuter
Kai-Uwe Sorgatz
Gottlieb Kade
Wanda Becker
Klaus-Peter Kitzmann
Hans-Willi Baum-Staude
Carola Köhler MBA.
Klaus-Günter Kreusel
Horst Hauffer B.Eng.
Herr Hermann-Josef Lehmann B.A.
Frau Anka Hering
Annamaria Kade-Fischer
Univ.Prof. Gottlieb Steuer B.A.
Henry Hofmann B.Eng.
Sebastian Aumann
Gerold Thanel
Hans-J. Wohlgemut
Dina Johann
Wencke Riehl-Stoll
Ryszard Anders B.Sc.
Heinz-Walter Juncken
Hildegunde Staude
Ralph Stahr
Ibrahim Wirth-Schuster
Maurizio Eckbauer
Kunigunda Hamann-Hermighausen
Hans-Martin Kohl
Käthi Lübs
Ria Koch II
Marliese Becker
Leon Aumann
Falk Höfig
Herr Knud Pölitz B.A.
Britta Nerger B.Eng.
Burghard Albers-Berger
Luciano Aumann
Uli Wohlgemut-Stadelmann
Steven Trub
Dipl.-Ing. Mahmoud Mühle B.Eng.
Prof. Ulla Dussen van B.Sc.
Klaus-D. Segebahn
Jana Langern
Felizitas Werner
Magda Berger B.A.
Bodo Ullrich
Änne Ring MBA.
Virginia Textor
Univ.Prof. Halina Hamann MBA.
Engelbert Sauer MBA.
Alena Hänel
Nikolaus Rosenow
Frau Stella Plath B.A.
Dr. Leopoldine Kostolzin
Karl-Friedrich Nerger
Micha Röhricht B.A.
Anto Kostolzin
Herr Thomas Baum
Ottilie Gute
Albrecht Metz B.A.
Bernard Karge
Ing. Zofia Ernst
Magdalene Fröhlich
Ivonne Hahn
Melitta Fliegner
Hannah Stiffel-Börner
Antonios Schönland
Mareike Reichmann
Regina Ring
Gönül Kallert
Alfred Tröst-Stahr
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Birthe Trommler
Nikolaos Ebert-Grein Groth
Denny Kusch
Beata Stahr
Arnulf Ullmann
Kreszentia Bloch-Kohl
Daniela Löwer
Jan-Peter Scheuermann-Jungfer
Friedericke Ring MBA.
Anny Wagenknecht
Ehrhard Bohnbach B.Eng.
Adele Boucsein B.Sc.
Karl Heinz Hörle
Vera Losekann
Prof. Bärbel Ladeck B.Eng.
Michaela Döhn
Rebecca Oderwald
Lukas Ditschlerin
Julia Conradi-Mentzel
Gunnar Ernst
Dimitrios Fiebig
Steven Weinhold B.A.
Dipl.-Ing. Fred Meister
Arnd Jacobi Jäckel
Nurettin Dippel
Trudi Radisch
Frau Rosa-Maria Sauer B.Sc.
Melita Schacht
Veronique Eimer
Hajo Ziegert-Noack
Dittmar Hövel
Ing. Bernfried Haering
Sigmund Mosemann
Fernando Gieß
