Student
Herr Eberhardt Gierschner
Ing. Vesna Kroker B.Eng.
Francesco Nerger
August Weihmann
Mijo Seidel B.Sc.
Guiseppe Kranz
Hansjörg Roht
Burkhardt Holt
Herr Muzaffer Schäfer
Carmine Schacht
Semra Fiebig
Marvin Kade-Ladeck
Fredi Meyer-Weiß
Rene Hofmann
Ignatz Gutknecht
Linda Kruschwitz
Thomas Kraushaar
Dr. Lidija Weihmann
Dr. Silvester Krein B.Sc.
Mia Ullmann
Sibylle Löchel
Frau Anne-Kathrin Wagner
Gotthilf Gertz
Ursel Juncken-Buchholz
Nadja Geisler
Erwin Jopich
Rouven Bloch B.A.
Gudula Niemeier
Ing. Ernst-August Häring
Sigmund Hentschel MBA.
Patric Geisler-Becker
Henryk Plath-Jopich
Meryem Hänel-Jungfer
Dipl.-Ing. Giorgio Drubin B.Eng.
Silke Biggen MBA.
Albina Heinz
Frau Aleksandra Bähr B.Eng.
Univ.Prof. Paulo Jähn
Ingbert Hartung
Prof. Gaby Ernst MBA.
Freia Hamann-Eckbauer
Herr Johann Kostolzin
Dorit Zimmer-Krein
Heinz-Peter Butte B.Eng.
Dusan Dussen van
Margitta Hethur MBA.
Käthi Lübs
Dipl.-Ing. Wilfriede Bruder
Arnulf Zimmer-Seifert
Kerstin Heidrich B.A.
Klaas Eckbauer
Elfi Kranz
Ditmar Pölitz B.A.
Hagen Weimer
Franz-Josef Kohl
Frau Annita Beckmann
Ing. Felicia Dörschner B.Sc.
Loni van der Dussen B.Sc.
Krista Hofmann
Ute Hartmann
Gertrude Ullmann
Jörn Trupp MBA.
Prof. Natalia Junck B.Sc.
Hans-Albert Wirth
Joana Preiß
Herr Falk Holzapfel
Agathe Söding
Heimo Bauer
Gundel Dietz
Kristin Jacob
Frau Zdenka Zimmer
Nina Müller B.Eng.
Dr. Marliese Junck B.Sc.
Holger Röhricht
Alwine Sager
Ron Sorgatz-Eimer
Marlies Beckmann
Swetlana Binner
Evi Heuser
Niko Geißler-Wirth
Dr. Rudolf Killer B.Sc.
Ludwina Haase
Thomas Drub
Alexandra Butte
Ing. Celal Textor
Gerda Kitzmann
Edeltrud Margraf
Prof. Torsten Geisel B.Sc.
Patric Heinrich
Denny Bohlander B.A.
Elli Täsche B.Eng.
Ing. Aldo Pechel B.Eng.
Kai-Uwe Bohnbach
Stavros Schinke
Julie Mentzel
Hertha Stoll
Univ.Prof. Fatima Faust B.A.
Mercedes Rädel-Drub
Jens Löchel
Carsten Wieloch-Kranz
Univ.Prof. Siegrun Klingelhöfer MBA.
Richard Mende-Hendriks
Thorben Ruppert
Dipl.-Ing. Johanna Henck
Dr. Annita Kallert
Univ.Prof. Margareta Naser
Vittorio Hertrampf
Ing. Massimo Losekann
Gerd Becker
Thorsten Ruppersberger
Zdravko Niemeier
Frau Julia Fliegner
Georgios Neuschäfer
Raphael Bonbach MBA.
Vadim Rose-Wulf
Adolfine Wilms
Hubert Hertrampf
Hans-Bernd Rose
Dipl.-Ing. Korinna Pärtzelt
Anna-Lena Bloch
Ing. Rose-Marie Hölzenbecher
Dr. Muzaffer Sauer B.Eng.
Maritta Boucsein
Damian Jopich B.A.
Elizabeth Budig
Helene Keudel
Karl-Dieter Seifert
Ing. Igor Barth
Gabi Meister
Stanislaw Misicher
Ludwig Zimmer MBA.
Horst Reising
Adelheid Schinke
Belinda Huhn
Henny Eberhardt
Elisabeth Roskoth
Ulrike Gierschner-Koch II
Hans-Joachim Pohl
Gerald Albers-Jähn
Rosa Hübel
Berndt Riehl-Bohlander
Henri Finke-Lehmann
Univ.Prof. Canan Zorbach B.Sc.
Karl-Heinz Buchholz
Gertraude Ruppersberger
Rainer Gude-Kaul
Aenne Sölzer B.A.
Ing. Brunhilde Albers
Dipl.-Ing. Edgar Gehringer B.Eng.
Cläre Bruder-Hentschel
Mona Thies
Dipl.-Ing. Klaus-D. Kostolzin
Thies Blümel
Ing. Alwine Scholz
Valerie Losekann
Nikolai Rädel-Klemt
Uwe Rosenow
Prof. Conny Klingelhöfer B.Eng.
Gilbert Peukert B.Eng.
Rebecca Oderwald
Gerhart Karz
Prof. Sahin Kreusel
Dorota Wilms
Grit Röhricht-Rosemann
Bertold Stadelmann
Dr. Luisa Anders B.A.
Hanspeter Koch II-Wohlgemut
Univ.Prof. Hardy Hartung
Univ.Prof. Milka Bähr
Univ.Prof. Bert Gieß
Elena Wilmsen
Marleen Heser
Konstantin Ladeck
Steffi Schmiedt B.Sc.
Gitta Mohaupt
Birthe Schüler
Dr. Lieselotte Blümel B.A.
Walfried Wohlgemut B.Eng.
David Faust-Holsten
Zeki Otto
Guenter Kohl-Nette
Ekkehart Binner
Ing. Swen Ehlert
Hans-Joachim Häring
Kata Gierschner
Mira Hoffmann
Edda Jungfer
Univ.Prof. Kreszenz Wulf B.A.
Galina Kraus-Hermighausen
Giuseppina Keudel
Frau Tatiana Hande B.Sc.
Henry Austermühle
Geraldine Reising MBA.
Anne-Marie Sontag
Ivana Eimer
Melissa Gehringer
Karl-Hermann Rädel-Müller
Dipl.-Ing. Jaqueline Striebitz
Klaas Vogt
Klaudia Seidel
Annika Wirth
Osman Schmidtke
Felicitas Biggen
Sigrun Weinhold
Pia Steuer
Hans-J. Tröst MBA.
Korinna Spieß MBA.
Margit Klapp
Ing. Hans-Wilhelm Holt B.Sc.
Dipl.-Ing. Baldur Oderwald B.Sc.
Monja Riehl
Univ.Prof. Gesa Loos
Romuald Hartmann
Ing. Vitali Hentschel MBA.
Magdalene Patberg-Mosemann
Alexander Beckmann MBA.
Prof. Monique Budig B.Eng.
Ing. Mohammed Geißler B.Eng.
Herr Roman Sontag B.Sc.
Univ.Prof. Erhard Heuser MBA.
Lilija Kensy
Abraham Hoffmann
Lutz Pärtzelt
Elmar Fröhlich
Kevin Tlustek-Heinz
Herta Hendriks
Prof. Patrik Scheel
Willfried Werner
Dr. Rita Kallert
Dr. Renate Mende
Swen Schweitzer B.Sc.
Heide-Marie Koch II
Mandy Rädel
Reinhart Jopich
Traudel Wilmsen B.A.
Ing. Emmy Beer
Tülay Henschel
Prof. Rudolph Linke
Univ.Prof. Sahin Freudenberger B.A.
Wilma Drub B.Eng.
Marianne Ernst-Zirme
Antonios Zimmer
Carmen Textor-Krebs
Eugenia Sorgatz
Diedrich Lachmann-Oestrovsky
Univ.Prof. Wibke Reinhardt B.Eng.
Marlis Wiek
Heinz-Gerd Beyer
Andree Budig B.Eng.
Hertha Gieß
Siegrun Ring
Dr. Alena Hövel
Asta Hesse
Damian Söding
Stephen Lübs
Prof. Rabea Hettner B.Eng.
Gebhard Krein
Sylvester Bender-Boucsein
Attila Rogner
Michaela Kade
René Kruschwitz
Anna-Marie Heidrich
Klaus-Dieter van der Dussen
Walli Gnatz
Ing. Rotraud Schmidt
Univ.Prof. Virginia Pechel
Univ.Prof. Gundel Atzler B.Eng.
Prof. Sofie Gröttner
Stephen Tintzmann
Fatma Löffler B.Sc.
Andres Sager
Gretchen Eimer-Wilmsen
Beatrice Bender
Elena Fiebig
Herr Benedikt Säuberlich
Dr. Helma Kohl B.A.
Frau Eugenia Matthäi
Univ.Prof. Vinko Tschentscher
Cordula Mangold
Adriane Heinz-Metz
Dr. Friedhilde Adler MBA.
Dipl.-Ing. Sarina Dörr
Albert Seifert MBA.
Univ.Prof. Herlinde Klotz
Anastasia Gunpf
Iris Mans
Joseph Harloff
Gottfried Hettner-Reising
Irmtraud Schönland
Natali Patberg B.A.
Salvatore Eberhardt-Ring
Ilija Lindner
Tülay Hettner-Ebert
Günther Mude B.A.
Sylvie Börner
Natalija Haering
Ron Dobes-Weihmann
Hedy Rudolph MBA.
Dipl.-Ing. Laila Scheuermann B.Sc.
Wilma Pärtzelt-Huhn
Tino Metz
Klaus-Ulrich Tlustek-Förster
Magarete Beyer B.Eng.
Univ.Prof. Ottmar Jopich
Inga Eberhardt
Cynthia Langern
Friedemann Stoll
Edmund Junck
Benita Ullmann
Valeri Tschentscher
Laura Beier
Univ.Prof. Herta Zänker
Günter Schottin
Reimar Jacob-Loos
Ruth Wiek-Bloch
Ekaterina Wieloch
Herr Francis Scholtz
Therese Neureuther
Prof. Norbert Wilms B.A.
Emma Hornich-Kraushaar
Carsten Jüttner B.Eng.
Katerina Drubin
Kazim Rohleder
Gero Schomber
Jolanta Kühnert
Danilo Ehlert
Dipl.-Ing. Leo Sager
Ludmila Patberg
Marcel Fechner
Gisa Hornig-Geißler
Tina Henschel
Ron Beer
Herlinde Schenk B.A.
Mona Wiek B.Eng.
Prof. Magda Textor
Sandor Ritter
Brit Heidrich B.A.
Florian Wulff
Hans-Gerd Gnatz
Annelore Riehl
Henriette Sager
Sibille Kallert
Kristina Röhricht
Irmi Biggen
Univ.Prof. Dorina Lange
Sibilla Eimer
Rudolph Etzold
Ewa Kade
Dipl.-Ing. Dörte Häring MBA.
Hans-Willi Kruschwitz B.Sc.
Ernst Koch II-Graf
Rouven Ziegert
Eckhard Sölzer
