Student
Annemie Kade-Kuhl
Waltraud Wernecke
Serge Kade
Ludmila Karge B.A.
Dipl.-Ing. Christel Beer B.Eng.
Agathe Weinhage B.A.
Kunigunda Hänel-Briemer
Lieschen Rörricht
Giuseppe Preiß
Dipl.-Ing. Adele Huhn MBA.
Nadia Steckel
Helmut Renner
Hans-Gerd Jockel
Hans-Uwe Noack-Fröhlich
Kornelia Bachmann
Dipl.-Ing. Geert Holsten B.Sc.
Babett Pruschke-Schäfer
Vlado Lindner
Dipl.-Ing. Jiri Wesack B.A.
Herr Bastian Ritter B.Sc.
Ralph Binner-Römer
Olga Krein
Carola Kusch
Frau Alexandra Beckmann B.A.
Roland Putz
Marek Mitschke B.Sc.
Tülay Gnatz-Sorgatz
Gabriel Werner
Lydia Wirth
Pauline Bolzmann
Hulda Junk
Natalie Carsten B.A.
Filippo Jungfer-Kabus
Oxana Henschel
Maren Drub
Dominik Huhn
Ehrhard Klotz
Annelies Heidrich
Nick Hermighausen-Krein
Reimer Hethur-Gutknecht
Alois Werner
Harold Bähr B.A.
Jadwiga Gotthard
Gerhild Beyer
Dipl.-Ing. Randolf Martin B.A.
Dipl.-Ing. Sandro Bärer B.A.
Igor Dörschner
Jacob Bähr
Willibald Seidel
Dipl.-Ing. Hanns Nette
Gunda Warmer
Henny Wulff
Herr Gordon Meister
Louis Geisel
Gert Naser
Carl-Heinz Kraus
Reinhild Patberg
Herr Vinzenz Jäntsch B.A.
Alfred Rose
Engin Trub
Jonas Mühle
Gitta Römer
Reinhart Becker
Silva Plath
André Kraushaar-Henck
Hans Josef Striebitz
Kira Hartmann B.Sc.
Auguste Gunpf
Leokadia Putz
Frau Ingried Rogner B.Sc.
Univ.Prof. Herlinde Klotz
Erik Wirth B.Eng.
Gundula Scheel-Döring
Anica Austermühle
Josip Stey
Frau Emma Kaul B.Eng.
Bruno Wagenknecht
Gertraude Ruppersberger
Silja Jüttner
Nermin Jopich
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Mina Beyer
Prof. Urs Flantz
Stanislaw Misicher
Prof. Jan-Peter Schmidt
Walentina Hesse
Michaela Loos-Mentzel
Hans-Ulrich Dussen van
Dipl.-Ing. Elisabeth Wiek
Traudl Röhrdanz-Spieß
Hans-Joachim Pohl
Jan-Peter Scheuermann-Jungfer
Birthe Trommler
Apollonia Trüb B.A.
Priska Rädel
Wilfried Börner
Ing. Mattias Boucsein
Nikolaus Rosenow
Prof. Lene Oestrovsky B.Sc.
Gerlinde Albers-Hörle
Miodrag Dörr-Austermühle
Univ.Prof. Vesna Hering
Klaus-D. Dippel MBA.
Aleksej Fröhlich
Ing. Romy Gieß
Natalja Seidel
Mandy Loos
Wieslaw Käster
Ing. Brunhilde Albers
Dipl.-Ing. Kevin Henk B.A.
Ing. Carolin Hoffmann
Alan Eigenwillig
Dipl.-Ing. Jan-Peter Mende MBA.
Fabienne Dobes-Heuser
Julie Radisch MBA.
Gordon Lehmann
Herr Salih Blümel
Karlfried Zahn B.A.
Elmar Förster
Silke Biggen MBA.
Sigfried Franke B.Sc.
Thea Bauer
Franco Loos B.Eng.
Mahmut Rose B.A.
Dipl.-Ing. Betti Löffler MBA.
Ronald Werner
Diethard Trommler
Gino Hövel B.Sc.
Yusuf Seifert
Dipl.-Ing. Peer Kuhl
Univ.Prof. Pauline Klemt
Philip Weller B.A.
Gislinde Schlosser
Ignaz Beer-Eckbauer
Lidia Butte
Klaus-Dieter van der Dussen
Ing. Hanny Noack MBA.
Melissa Gehringer
Jane Reuter
Hannchen Zahn
Prof. Cora Bolander
Georgios Neuschäfer
Hartmuth Vollbrecht
Jann Schenk
Pedro Hande B.Sc.
Jens Trub
Hugo Keudel B.A.
Dietlinde Binner
Ulrike Ackermann B.Sc.
Adele Stroh
Dipl.-Ing. Dorina Lindau B.Sc.
Jakob Pohl
