Student
Bernt Conradi
Lambert Wilmsen
Thekla Schäfer
Klaus-Dieter Meister
Anton Gute
Dipl.-Ing. Marieluise Löchel
Vlado Hübel B.Eng.
Yusuf Steinberg B.A.
Madlen Trupp B.Eng.
Theodor Striebitz
Marianna Etzler
Carmine Hauffer
Tilmann Geisler
Hülya Scheibe
Sibylle Stey
Klara Blümel
Margrit Schenk B.A.
Helen Tschentscher
Ellen Haase
Dipl.-Ing. Christel Beer B.Eng.
Curt Schönland
Tibor Budig
Anett Wieloch
Monja Weiß
Daniele Heintze B.Eng.
Prof. Stefania Briemer
Berndt Bähr
Univ.Prof. Kata Zahn
Boris Kruschwitz
Univ.Prof. Fatima Faust B.A.
Ljudmila Trapp
Monique Liebelt-Ebert
Osman Schäfer
Dina Hartung
Hannelore Weinhold B.Sc.
Theda Stumpf B.Eng.
Gilbert Steuer-Rosemann
Malgorzata Tlustek
Jochem Hermighausen
Alma Eimer-Seip
Victor Häring
Marleen Langern-Oderwald
Dr. Achim Barth
Mechthilde Lindau B.A.
Luitgard Weiß-Rörricht
Prof. Tillmann Holt B.A.
Leni Heß
Univ.Prof. Alexandros Junk
Annaliese Heser B.Sc.
Prof. Alida Mangold MBA.
Rosl Trupp
Remo Reinhardt
Simone Harloff B.Eng.
Ewa Kade
Gudula Niemeier
Katharine Mühle
Christel Mangold
Brigitta Walter
Elena Linke-Wohlgemut
Dipl.-Ing. Pero Ruppersberger B.Sc.
Dipl.-Ing. Ana Rosemann
Irmengard Röhrdanz
Dipl.-Ing. Dörte Häring MBA.
Dipl.-Ing. Giorgio Drubin B.Eng.
Dipl.-Ing. Elly Davids B.Sc.
Marcella Sölzer
Sonja Barkholz
Hans-Georg Dörschner
Georgine Schäfer
Andreas Gunpf
Marlene Steckel B.A.
Benno Ritter
Marten Wesack
Cilli Lindau B.A.
Nurettin Bärer B.Eng.
Dipl.-Ing. Julian Mühle
Univ.Prof. Jacqueline Faust
Jadwiga Gotthard
Ing. Wieslaw Kobelt B.Sc.
Marlene Drubin
Rosmarie Kambs MBA.
Dipl.-Ing. Giuseppina Etzler B.Sc.
Denis Ruppersberger
Urte Bolzmann
Jose Tlustek B.Sc.
Milan Weiß-Schuchhardt
Knut Jacob
Horst-Peter Thies
Otmar Misicher
Betty Steinberg
Dr. Daniela Linke MBA.
Christina Geisel-Hesse
Kira Hartmann B.Sc.
Prof. Ursula Niemeier B.Eng.
Vinzenz Bruder
Dr. Marie-Luise Klingelhöfer B.Eng.
Jiri Kambs
Ivanka Gierschner-Pergande
Dr. Natascha Trüb
Wibke Tschentscher-Wulf
Prof. John Jessel
Thoralf Eimer
Dr. Rudolf Killer B.Sc.
Erhard Reinhardt
Karola Zorbach B.Eng.
Ulf Kensy MBA.
Dr. Gudula Scheuermann
Dr. Frank Oderwald MBA.
Fatih Bohlander
Jann Cichorius
Magdalene Fröhlich
Annelies Beer
Univ.Prof. Ismet Bloch B.Eng.
Murat Förster
Hans-H. Schönland
Irmtraut Fröhlich-Hertrampf
Univ.Prof. Josefine Lindau
Gina Pieper
Prof. Ferdinand Gertz B.Sc.
Xenia Margraf
Univ.Prof. Philip Kranz B.Sc.
Oda Berger
Theresa Killer
Ing. Magda Jäntsch
Frau Edeltraud Radisch B.A.
Valeri Tschentscher
Zeljko Gieß
Sandy Zimmer
Hedy Loos
Marcel Schlosser
Liliane Koch II
Susan Riehl B.Sc.
Tülay Schmidtke B.Sc.
Zeynep Lehmann
Ewald Hethur
Dr. Helge Täsche MBA.
Maja Jungfer
Univ.Prof. Lydia Langern
Emanuel Schinke B.Sc.
Ottilie auch Schlauchin B.Eng.
Hüseyin Johann
Herr Wladimir Bolnbach
Mattias Sorgatz-Haase
Wulf Caspar
Gottlieb Kade
Ivanka Rogge
Kirstin Boucsein B.Eng.
Joseph Austermühle
Dipl.-Ing. Grete Stiebitz
Dagmar Schinke B.Sc.
Vassilios Birnbaum
Prof. Loretta Speer MBA.
Jann Geisler
Ing. Hatice Gehringer
Ing. Eckehard Bloch MBA.
Ellinor Schmidtke B.Sc.
Dr. Silvester Krein B.Sc.
Mira Bender
Ing. Cilli Gertz B.A.
Ludmila Dobes B.A.
Natalie Carsten B.A.
Slawomir Tlustek B.A.
Frank-Peter Haase
Ilias Wagner
Helma Schaaf B.A.
Ing. Jessica Mende
Univ.Prof. Friederike Bender B.Eng.
Tomasz Bolnbach
Prof. Marie Plath
Heinz-Wilhelm Werner
Kamil Hecker-Hahn
Hartmuth Vollbrecht
Dietlinde Käster
Erwin Jungfer
Rene Rohleder
Imke Austermühle-Löwer
Karla Freudenberger MBA.
Herr Bruno Kreusel
Carlo Ackermann-Birnbaum
Maurice Möchlichen
Sami Linke B.A.
Anett Bien-Schuster
Philip Renner
Leopold Weller-Zobel
Anna-Lena Bloch
Louis Loos B.Eng.
Felicia Ritter
Kathleen Hahn B.A.
Gisa Atzler
Eleni Krause B.A.
Prof. Augustin Stey B.A.
Mercedes Sauer
Univ.Prof. Gusti Schlosser
Kristin Jacob
Genoveva Hofmann
Theodora Wilmsen
Dr. Jost Hiller B.Sc.
Gaetano Köhler
Brigitte Knappe
Tomislav Steckel
Belinda Reinhardt B.A.
Madeleine Thanel MBA.
Gotthard Christoph
Marlen Wende
Metin Peukert-Lindner
Hans-Christian Trüb
Ing. Ayse Mangold MBA.
Angelica Lindau-Heß
Belinda Huhn
Felicitas Kensy-Stey
Joana Wähner
Ing. Ronny Metz B.A.
Magdalene Hering MBA.
Johanne Kusch
Darius Klotz
Geert Etzold
Dipl.-Ing. Laurenz Gerlach MBA.
Juergen Beier B.A.
Lia Heydrich
Micha Eckbauer B.Sc.
Alicja Stiffel
Prof. Maria-Theresia Schaaf B.A.
Prof. Wilma Mangold
Stephen Ackermann B.A.
Andrei Hertrampf-Trommler
Ilias Weiß MBA.
Herr Andy Förster B.A.
Univ.Prof. Baptist Mende MBA.
Univ.Prof. Alexandre Schottin
Hanspeter Koch II-Wohlgemut
Folker Fischer
Lilo Hartung
Frau Katarina Bolander B.Sc.
Solveig Trapp MBA.
Elfie Otto
Dorothee Seidel
Elfi Roht
Mark Schottin B.Eng.
Leokadia Bloch
Ernst-August Gunpf
Annamaria Hesse
Ottmar Hölzenbecher
Siegrid Bachmann-Schaaf
Wojciech Rogner
Helmar Barth
Marie Sorgatz MBA.
Fanny Bolnbach B.Sc.
Wera Hauffer B.A.
Ditmar Trub
Elsbeth Schmiedecke-Wulf
Kamil Hendriks
Frau Aleksandra Dobes B.A.
Herr Vincenzo Liebelt
Nadeshda Schenk
Änne Ring MBA.
Leonardo Vogt
Prof. Maya Peukert
Karlheinz Martin
Raymond Löchel-Ziegert
Univ.Prof. Pamela Kambs MBA.
Immo Koch II
Dr. Steven Wohlgemut
Hannchen Zahn
Hans-Ulrich Dussen van
Jessica Gotthard
Victoria Klingelhöfer
Dorle Killer
Jiri Förster
Miriam Juncken
Herr Maik Klemt MBA.
Konstanze Zänker MBA.
Anica Tintzmann B.Eng.
Stephen Lübs
Käte Ditschlerin-Roht
Gerti Döring
Marcel Hermighausen
Ilse Nette
Univ.Prof. Roman Misicher
Jaroslaw Eckbauer
Vassilios Kramer
Valeska Zimmer-Schleich
Janos Kobelt-Henck
Rita Käster B.A.
Kreszenz Ruppert-Dobes
Dagobert Sorgatz
Sofia Mielcarek B.A.
Witold Heintze
Roberto Ritter-Fritsch
Manuel Wagenknecht
Karina Tschentscher-Butte
Elfriede Gnatz
Pero Scheuermann
Wladimir Rogge
Elfie Preiß
Fernando Schüler
Beatrice Bender
Sibilla Bachmann
Adelinde Gutknecht-Beier
Bertram Rädel
Dorina Rust
Mirja Bähr
Sami Mitschke
Ing. Zbigniew Warmer MBA.
Yasmin Reising
Cilli Gorlitz
Fabienne Conradi B.Eng.
Natali Löffler
Ansgar Tlustek MBA.
Frau Florence Ditschlerin B.Eng.
Dr. Uli Segebahn
Carolin Etzler
Iwan Wilmsen-Weihmann
Dr. Adriane Bärer B.Eng.
Alwin Scholl
Ing. Alexandros Vogt MBA.
Patricia Schäfer
Lena Losekann
Jens-Uwe Schlosser
Dr. Lidwina Oestrovsky
Ing. Danica Gieß MBA.
Dr. Jorge Kambs B.A.
Dr. Diedrich Krebs B.A.
Herwig Jäntsch B.Sc.
Herlinde Birnbaum
Simona Heidrich
Toni Dehmel-Striebitz
Anto Tröst-Schäfer
Korbinian Bolander
Heide-Marie Koch II
Herr Gundolf Barth
Manuel Hering-Jäntsch
Karl-Heinrich Sölzer
Hartmut Biggen-Trapp
Irmtrud Klingelhöfer
Ralf-Peter Ebert
Eckart Klotz
Univ.Prof. Gino Wagner B.Sc.
Charlotte Hecker B.Eng.
Natali Patberg B.A.
Viola Oderwald B.A.
Univ.Prof. Friedl Tlustek
Karl Zirme
Sigmund Herrmann MBA.
Sükrü Fiebig
Frau Chantal Ebert B.Eng.
Lorenz Sauer
Prof. Mohammad Reinhardt
Dipl.-Ing. Augusta Lachmann B.A.
Univ.Prof. Frieder Döhn MBA.
Carola Franke
Ljiljana Stoll
Ottokar Döhn
Veronique Oestrovsky
Sinaida Ruppersberger
Slavko Fliegner B.Sc.
Janos Winkler B.A.
Frau Danica Davids B.A.
Emmy Koch
Kristina Wernecke
Dolores Stey-Matthäi
Marlen Hesse
Dr. Heide Jockel B.Sc.
Annelise Steckel B.Sc.
Herr Hartwig Henk B.A.
Dipl.-Ing. Tomislav Dowerg B.Eng.
Herr Francis Scholtz
Tino Metz
Cord Benthin
Marija Stahr
Gerta Stey-Klemm
Friedlinde Meyer
Frau Raissa Ruppersberger B.Eng.
Natalia Hauffer
Ing. Luisa Oestrovsky
Elena Ditschlerin
Wiltrud Christoph
Nicolai Röhricht-Spieß
Jann Fröhlich
Wolfhard Fiebig
Anselm Mühle
Marta Herrmann
Helena Franke
Hanne Ackermann
Brigitte Geisler
Karl-Dieter Seifert
Univ.Prof. Michail Tintzmann B.Eng.
Harriet Ullmann
Rupert Kallert
Paolo Wernecke
Rüdiger Buchholz-Kuhl
Jelena Jüttner
Dariusz Wirth
Prof. Timo Schleich MBA.
Herr Andrej Rose
Peer Bärer
Thorben Stiebitz
Gesa Keudel-Bauer
Frau Natalija Stey
Anneliese Gnatz
Siegried Otto
Silke Heydrich-Albers
Uli Oderwald-Freudenberger
Bartholomäus Trapp
Hertha Gutknecht
Andrew Misicher
Karl Meister B.Eng.
Rolf-Dieter Flantz B.Eng.
Hans-J. Tröst MBA.
Friedbert Sorgatz
Diether Dussen van-Rohleder
Irmtrud Röhrdanz
Zeljko Henck
Irmi Jüttner
Univ.Prof. Elfriede Rohleder
Sigmar Zobel
Hanno Hölzenbecher B.Sc.
Catrin Weller
Justina Zirme
Dr. Änne Radisch
Tülay Trapp
Timo Spieß
Eckehard Steckel
Prof. Bela Noack
Pawel auch Schlauchin
Ing. Felicia Dörschner B.Sc.
Prof. Goran Sölzer MBA.
Rena Rohleder
Rene Henck
Hedda Haase
Zoran Oestrovsky
Denny Lachmann
Ing. Josip Ruppert
Ing. Fredi Löffler
Herr Frank Bolnbach
Martha Wilmsen
Antonius Kraus
Dogan Sauer
Nikolai Mohaupt
Gerhart Schenk MBA.
Amalie Gotthard-Beckmann
Erna Kensy-Bähr
Mandy Trüb
Aysel Bruder MBA.
Frau Nadeshda Ruppert
Hiltrud Bolander-Ziegert
Ralf-Dieter Riehl B.Eng.
Dipl.-Ing. Hans-Karl Dussen van B.A.
Anni Dietz-Blümel
Selma Fritsch B.Eng.
Hans-Joachim Pohl
Hilda Stey B.Eng.
Lili Kaul
Denny Kusch
Claus Heser B.Sc.
Dr. Elena Kade B.Sc.
Herr Jacek Budig B.Eng.
Benita Juncken
Georg Misicher
Leopold Jungfer
Prof. Woldemar Beier B.A.
Michaela Sontag-Dörr
Carsten Jüttner B.Eng.
Franz Josef Flantz
Hansjürgen Eberth
Prof. Emil Kruschwitz
Willfried Mende
Dr. Annekatrin Striebitz
Herr Wieslaw Trupp
Dr. Fredy Niemeier
Murat Meister
Veli Rädel
Vittorio Hertrampf
Dipl.-Ing. Hans-Michael Stiffel B.Sc.
Hartmuth Gude B.Eng.
Ing. Peter Trubin B.Sc.
Herr Hanno Hesse
Univ.Prof. Roger Stadelmann B.Sc.
Bayram Meister
Natalija Haering
Bertha Köhler
Herr Valentin Warmer
Bela Naser-Löwer
Folkert Schwital
Alicia van der Dussen-Patberg
Gregor Buchholz
Dipl.-Ing. Gilbert Plath B.Sc.
Eggert Börner-Geisler
Siegmar Mies-Baum
Fatma Sager
Karl-Wilhelm Geisel
Dietlinde Schönland
Ernest Stahr
Dr. Carmela Rudolph
Polina Hettner
Univ.Prof. Teresa Weinhage B.A.
Mandy Rädel
Friedrich Bolnbach-Gnatz
Janus Weitzel-Koch
Reinald Gerlach
Dipl.-Ing. Sedat Sontag
Valeri Mielcarek
Willi Heinz
