Student
Frau Beatrix Bonbach B.A.
Frau Ingelore Gertz
Prof. Timo Schleich MBA.
Loni van der Dussen B.Sc.
Vinko Kraus-Schmiedt
Brian Ditschlerin
Antonius Bonbach-Juncken
Brigitte Zirme B.Sc.
Alexei Meister
Uwe Rosenow
Sergio Kraushaar-Anders
Marc Heintze B.A.
Frau Juliane Schulz B.Sc.
Prof. Jolanthe Gude
Andreas Metz
Almuth Pieper
Dipl.-Ing. Louis Spieß B.A.
Prof. Clarissa Barth
Vladimir Kruschwitz
Dipl.-Ing. Oskar Vogt B.A.
Dr. Franco Stumpf B.Eng.
Susi Schuchhardt
Marten Möchlichen
Dipl.-Ing. Laurenz Gerlach MBA.
Christos Beier
Lorenzo Hornig
Adolfine Fischer
Juliana Möchlichen
Stjepan Wesack-Winkler
Miguel Gehringer-Reising
Prof. Sylvio Gumprich
Annelene Adolph B.A.
Herr Imre Kohl
Frank-Peter Weimer
Matthäus Hübel
Siegbert Hartmann B.A.
Henny Herrmann
Celal Mühle
Faruk Döhn
Gilbert Peukert B.Eng.
Dipl.-Ing. Detlef Schacht
Ekaterina Wieloch
Anica Tintzmann B.Eng.
Magret Oderwald
Harriet Ullmann
Maike Bolnbach
Moritz Holzapfel
Herr Gerolf Hermann B.Eng.
Prof. Hermann Bohlander B.Eng.
Gunar Börner
Dorit Zimmer-Krein
Mercedes Blümel
Carla Ruppersberger
Prof. Irena Höfig
Ernest auch Schlauchin
Amalia Hermann-Schäfer
Dogan Sauer
Ellinor Schmidtke B.Sc.
Ing. Gottfried Hoffmann
Guntram Warmer
Ottokar Berger
Trude Ruppersberger
Evelyn Stolze
Victor Seifert
Hannchen Löwer B.Eng.
Dipl.-Ing. Alla Karge
Patrick Haering
Reinhold Schäfer-Eimer
Camilla Kühnert MBA.
Ria Dietz
Prof. Natalja Mies MBA.
Hans-Albert Wirth
Antonino Klingelhöfer
Edeltraut Anders-Rohleder
Julia Conradi-Mentzel
Sieghard Sorgatz
Dr. Filippo Eberhardt B.Eng.
Ulrike Ackermann B.Sc.
Frau Alwina Bohnbach B.Eng.
Josefa Stolze
Lilli Atzler
Peter-Michael Spieß
Nelly Buchholz
Dr. Jann Wesack B.A.
Annamaria Kade-Fischer
Univ.Prof. Ottfried Scholl
Iwan Butte B.Sc.
Eberhard Pechel
Gordana Budig B.A.
Josef Butte-Lindau
Prof. Urs Täsche
Notburga Weller MBA.
Marion Kuhl
Prof. Gülay Birnbaum
Josephine Rogge
Jutta Aumann
Dr. Sybille Bärer B.Sc.
Agnes Tröst
Herr Hartmuth Pruschke
Maximilian Juncken
Gisela Schwital-Scheel
Horst-Peter Faust
Emanuel Scholz B.Eng.
Mirco Barth
Dipl.-Ing. Mariana Mohaupt B.Sc.
Ada Ullmann-Hermann
Hellmut Siering
Fabian Pechel-Dippel
Rena Radisch
Dr. Janos Reising
Michaele Schacht
Kreszentia Bloch-Steckel
Julie Radisch MBA.
Dorota Sorgatz B.A.
