Student
Herr Imre Kohl
Elfie Kreusel
Hedi Gumprich
Mandy Loos
Christl Wähner
Wolfram Klingelhöfer B.Eng.
Jürgen Herrmann-Koch
Ing. Eleonora Holzapfel
Herr Ilhan Tröst B.A.
Dagmar Jungfer
Roselinde Kusch-Röhrdanz
Hans-Martin Drewes
Prof. Necati Stey B.A.
Hanna Knappe
Herr Leonid Fröhlich B.Eng.
Adeline Holsten
Marie-Louise Wulff
Michaela Kade
Marco Schinke B.Eng.
Ing. Brunhilde Albers
Magda Berger B.A.
Dipl.-Ing. Helma Heuser B.Sc.
Jadwiga Gotthard
Reinhold Schäfer-Eimer
Univ.Prof. Birger Weihmann MBA.
Hüseyin Wulf-Schmidt
Stephen Heidrich
Hans-Bernd Rose
Myriam Schäfer-Tschentscher
Jasmina Cichorius-Barth
Cosimo Bender
Frederik Bohlander
Adelinde Zimmer
Damian Söding
Ing. Anton Gotthard MBA.
Henni Mälzer-Tlustek
Andrea Ziegert
Univ.Prof. Immo Mangold
Prof. Claudia Mude
Heiner Rörricht
Gisela Weinhold B.Sc.
Ing. Jens-Peter Tschentscher
Thorsten Gude
Desiree Ruppert
Jost Roskoth
Philipp Ernst
Ing. Marleen Hölzenbecher MBA.
Reinhold Schönland
Nelly Buchholz
Dipl.-Ing. Hans-Günther Bien
Berta Hörle-Börner
Claudio Bolnbach
Ronald Stiebitz
Elzbieta Putz B.Eng.
Ing. Katarzyna Noack
Gerti Döring
Gerold Jacob
Miroslawa Jäkel-Bohnbach
Nadeshda Schenk
Katharina Etzler
Dr. Dora Fischer
Bertold Stadelmann
Rudolf Weihmann
Leonardo Trub B.A.
Dr. Daniela Linke MBA.
Ilhan Hoffmann-Karz
Hedi Butte-Neuschäfer
Änne Boucsein B.Sc.
Peer Bärer
Wolf-Dietrich Gotthard-Dussen van
Sibilla Bachmann
Ole Süßebier MBA.
Resi Ullmann
Anto Kobelt-Kobelt
Sigrun Mälzer
Manuel Stolze MBA.
Ingbert Hartung
Univ.Prof. Franz-Xaver Girschner B.Sc.
Dr. Nadeschda Wulf
Valentin Gute
Ernest Schönland B.Eng.
Univ.Prof. Vinko Tschentscher
Isidor Täsche
Dipl.-Ing. Adem Gerlach
Heidelore Pärtzelt MBA.
Marek Adler
Helena Hettner
Herr Rigo Krebs B.Eng.
Ehrenfried Drubin-Paffrath
Marliese Roht
Marie-Theres Pechel
Pascale Bruder
Dr. Sigrun Schönland B.A.
Florian Weimer
Veronica Benthin
Ilja Krause
Evangelos Beyer
Urs Ebert
Ing. Roman Tröst
Damaris Zirme
Frau Florence Ditschlerin B.Eng.
Ulla Süßebier
Prof. Orhan Ladeck MBA.
Mona Söding
Tino Kensy
Aleksandr Schuster B.A.
Gabi Klapp
Herwig Krebs
Wilhelm Metz
Marion Kuhl
Ansgar Hande
Wulf Schuster
Univ.Prof. Karl-Otto Dowerg MBA.
Dr. Edelgard Sauer B.Sc.
Benno Klemt
Urs Bähr
Herr Ronny Tröst B.Sc.
Univ.Prof. Harro Weller
Anton Gute
Angela Stiffel
Abdul Klapp-Hethur
Hans-Helmut Wesack
Rosa Pieper B.Eng.
Friedrich-Wilhelm Höfig-Johann
Dr. Jonas Anders B.Sc.
Iwan Renner-Dussen van
Enrico Hellwig
Julia Heinrich
Ahmad Preiß
Flora Mühle B.Sc.
Univ.Prof. Woldemar Walter
Dipl.-Ing. Stefano Ditschlerin
Frau Emilia Pruschke B.A.
Dr. Heinz-Georg Aumann MBA.
Cord Benthin
Edda Jungfer
Hans-Jörg Lachmann
Dipl.-Ing. Cora Baum
Dipl.-Ing. Sibylle Kensy
Dr. Frithjof Weinhage MBA.
Julia Graf
Imelda Söding
Ing. Jaqueline Wende B.A.
Prof. Heinz-Joachim Losekann
Gaetano Fröhlich
Erdal Bähr
Francoise Dippel B.Eng.
Hannchen Löwer B.Eng.
Erdmute Mosemann
Dr. Zehra Etzler
Herr Dimitri Mohaupt B.A.
Milos Knappe-Scholz
Irmengard Sauer
Karl-Hans Fiebig
Anastasios Karge
Isolde Seifert
Univ.Prof. Horst Scholtz
Mariusz Stadelmann B.Sc.
Wulf Fiebig B.A.
Ing. Rosalinde Rogner MBA.
Virginia Eigenwillig
Frida Süßebier
Ehrentraud Biggen-Kreusel
Dr. Walburga Kobelt B.Eng.
Herta Hendriks
Egbert Jüttner
Rita Käster B.A.
Andy Mangold
Bernadette Löffler
Zdenka Heser
Jann Schleich
Carsten Jüttner B.Eng.
Univ.Prof. Linus Seifert
Dr. Isabell Trupp
Janko Rose
Steffen Cichorius B.Eng.
Brian van der Dussen
Gerda Gröttner B.Sc.
Ing. Frederic Christoph B.Eng.
Vinko Kraus-Schmiedt
Gertrude Ullmann
Janett Patberg
Jonas Adler
Ing. Cläre Dowerg
Stilla Dobes
Gordon Klemt-Rörricht
Ing. Utz Klemt B.A.
Marit Eberth
Prof. Guenther Margraf B.Eng.
Elvira Gute-Käster
Fredy Birnbaum-Kensy
Hans-Werner Mohaupt
Camilla Wiek
Siegfried Schuster
Volker Süßebier-Staude
Edda Salz
Claire Holt
Fernando Neuschäfer
Dipl.-Ing. Lotte Austermühle B.A.
Tobias Wirth
Friedl Hartmann
Marita Berger B.A.
Swen Schweitzer B.Sc.
Heinrich Putz B.Sc.
Edward Hering MBA.
Dolores Stey-Matthäi
Theodora Wilmsen
Franz Lange
Andrea Wulf
Ing. Elenore Kostolzin
Prof. Wolfram Binner B.Eng.
Carmine Bruder-Rörricht
Bogdan Zirme
Prof. Alexei Krebs
Denis Ruppersberger
Friedlinde Warmer
Irmtraut Mülichen B.A.
Reni auch Schlauchin
Felix Freudenberger
Oskar Rosemann
Flora Gotthard
Berndt Bähr
Arnd Jacobi Jäckel
Dr. Marie-Louise Wohlgemut B.Sc.
Louis Kostolzin
Adalbert Reising
Edwin Wilms MBA.
Ignatz Franke
Sergej Hauffer MBA.
Frau Ayten Pärtzelt MBA.
Friedericke Käster B.A.
Herr Aleksandr Wiek B.Sc.
Rainer Conradi
Herr Francis Scholtz
Elvira Cichorius
Danilo Ladeck-Köhler
Ann Mielcarek
Adelheid Schmidtke
Dipl.-Ing. Margarita Stey
Irmtrud Mohaupt-Etzler
Fatima Eckbauer-Rosemann
Marlen Hesse
Dursun Gehringer
Eugenie Benthin-Ziegert
Fredi Lindner
Prof. Ignaz Cichorius
Dr. Erdogan Fröhlich
Cemal Hamann
Dipl.-Ing. Konrad Schenk
Prof. Gertraud Drewes
Susi Schuchhardt
Ing. Diedrich Gotthard MBA.
Edith Binner
Larissa Löffler
Joachim Fischer
Oliver Schwital
Kristiane Zahn
Egon Paffrath
Melanie Segebahn
Herr Jörgen Kruschwitz
Wilhelm Klemm B.A.
Mark Lindau
Maria Döring B.Sc.
Arnulf Ullmann
Lorenzo Zänker
Dipl.-Ing. Margarete Schmidt
Frau Camilla Kruschwitz
Fabian Lübs
Aenne Hübel-Mühle
Helge Wilmsen-Hein
